date,open,high,low,close,volume
2024-03-01,262.94,266.07,262.29,265.88,410125
2024-03-04,266.93,267.5,261.62,264.93,461045
2024-03-05,261.15,261.375,249.2,253.1,1021676.0
2024-03-06,264.75,266.49,256.87,258.51,791109
2024-03-07,260.81,264.49,255.61,262.06,824361
2024-03-08,263.52,271.99,262.52,263.78,668517
2024-03-11,260.38,265.055,257.12,263.14,665117
2024-03-12,265.84,267.13,259.555,264.74,396874
2024-03-13,262.14,265,258.97,261.42,340820
2024-03-14,261.42,263.675,254.8,259.15,406902
2024-03-15,261,261,253.125,258.98,571652
2024-03-18,260,263.06,257.75,260.92,363998
2024-03-19,257.46,264.31,254.39,261.86,327684
2024-03-20,264.46,266.62,261.26,265.62,481448
2024-03-21,270.4,277.97,268.02,270.12,551550
2024-03-22,270.05,271.752,264.54,268.14,307587
2024-03-25,266.33,269.41,264.9,265.3,205275
2024-03-26,267.17,269.1699,263.3,263.49,311200
2024-03-27,266,267.47,260.6732,263.18,308732
2024-03-28,265.74,271.615,263.81,265.63,318098
2024-04-01,264.99,265.6325,258.425,264.25,358115
2024-04-02,258.24,263.24,257.3,263.12,328010
2024-04-03,262.15,265.62,259.67,262.41,285966
2024-04-04,265,267.52,256.1,256.44,347089
2024-04-05,256.7,260.63,256.56,257.51,348713
2024-04-08,258.92,262,254.995,259.27,280895
2024-04-09,261.97,262.85,257.505,259.99,249315
2024-04-10,254.61,257.3667,252.04,253.28,465326
2024-04-11,255,255.1,248.515,253.9,417496
2024-04-12,250.59,251.58,245.505,248.43,441765
2024-04-15,248.28,248.3,238.0401,239.94,648824
2024-04-16,239.93,241.8099,237.5,239.97,265587
2024-04-17,241.82,241.82,234.06,235.98,417592
2024-04-18,238.27,241.04,234.66,237.09,262966
2024-04-19,235.97,237.19,232.26,233.71,435370
2024-04-22,235.06,236.34,230.38,234.66,274848
2024-04-23,235.1,242.61,235.1,240.11,498928
2024-04-24,246.49,250.48,244.07,244.53,579818
2024-04-25,238.83,246.2,237.1045,245.07,318299
2024-04-26,246.77,248.86,242.56,242.6,338986
2024-04-29,246.32,248,242,243.57,511880
2024-04-30,242.13,244.58,237.92,239.25,543057
2024-05-01,239.06,241.74,235.27,237.16,699755
2024-05-02,226.87,247.34,225.5,233.54,1146087.0
2024-05-03,235.37,236.68,224.61,227.32,768264
2024-05-06,228.26,239.0825,228.24,235.64,725023
2024-05-07,233.84,239.05,232.6,237.47,513129
2024-05-08,235.73,235.85,232.22,234.88,554762
2024-05-09,234.48,235.41,230.18,233.35,327178
2024-05-10,233.94,237.3,232.18,233.57,293429
2024-05-13,233.98,236.17,231.9247,234.02,236441
2024-05-14,234.57,239.56,234.57,238.3,679583
2024-05-15,242.5,246.11,241.135,243.5,579768
2024-05-16,243.58,247.07,241.97,244.73,338066
2024-05-17,245.07,249.7,245.07,246.33,540406
2024-05-20,242.44,249.96,242.1,249.7,1104825.0
2024-05-21,245.32,252.74,243.99,245.84,730744
2024-05-22,248,249.48,240.35,244.52,375624
2024-05-23,247.07,248.99,238.71,239.86,344652
2024-05-24,240.64,244.285,239.48,241.53,307414
2024-05-28,241.7,241.7,234.71,237.63,333478
2024-05-29,234.95,238,233.08,233.54,520939
2024-05-30,231.29,231.29,224.71,225.58,543611
2024-05-31,226.96,229.73,223.407,229.25,527894
2024-06-03,230.35,232,225.88,229.895,1061481.0
2024-06-04,230.32,231,228.1,229.29,326988
2024-06-05,232.65,239.22,231.13,237.38,647631
2024-06-06,237.4,240.94,236.01,237.84,638818
2024-06-07,237.84,242,235,239.97,382430
2024-06-10,239.18,254.12,239.01,252.46,977995
2024-06-11,251,252.1209,245.0137,247.25,461453
2024-06-12,249.91,253.62,248.303,250.77,454034
2024-06-13,251.81,253.79,247.33,251.79,477122
2024-06-14,253.93,254.72,248.55,252.33,610063
2024-06-17,254.34,255.29,251.07,253.65,413723
2024-06-18,253.62,257.63,252.96,255.05,499304
2024-06-20,254.64,257.36,252.18,256.56,543322
2024-06-21,256.72,258.15,251.34,258,759091
2024-06-24,256.21,263.84,254.1487,261.34,531626
2024-06-25,263.03,263.71,259.73,262.75,419308
2024-06-26,262.31,264.24,259.681,262.79,465766
2024-06-27,264.42,271.47,264.065,270.4,724731
2024-06-28,271.43,273.86,270,273.42,496581
2024-07-01,272.9,273,265.9801,269.67,715083
2024-07-02,269,271.32,266.33,270.65,276486
2024-07-03,270.59,274.34,269.22,271.08,287273
2024-07-05,271.28,274.64,270.52,274.32,338961
2024-07-08,275,275.85,270.66,273.39,357317
2024-07-09,272.64,274.14,264.1901,269.79,448913
2024-07-10,270.9,272,266.01,271.26,363528
2024-07-11,273.03,278,269.02,269.22,449966
2024-07-12,269.8,277.13,269.16,269.91,488161
2024-07-15,272.2,277.59,271.12,275.31,538094
2024-07-16,277.04,284.1,274.32,276.1,355756
2024-07-17,271.22,272.52,264.39,267.64,414364
2024-07-18,269.01,269.01,257.76,261.81,736535
2024-07-19,263.61,264.345,257.15,259.63,497330
2024-07-22,261.28,266.57,259.41,262.82,450305
2024-07-23,263.59,268.75,262.01,264.79,318282
2024-07-24,262,265.25,257.72,258.13,233070
2024-07-25,259.4,259.4,249.05,256.86,467789
2024-07-26,260.6,261.1,255.1,257.68,220334
2024-07-29,259.45,261.51,256.39,258.45,255601
2024-07-30,261.55,262.22,253.89,256.4,278772
2024-07-31,261.45,261.45,254.27,256.38,306177
2024-08-01,257.52,258.885,250.735,255.1,456429
2024-08-02,246.81,249.46,241.31,247.04,496366
2024-08-05,231.34,246.02,230,241.52,676087
