date,open,high,low,close,volume
2024-03-01,19,19,18.73,18.73,714
2024-03-04,19.4,19.4,18.63,18.8,1584
2024-03-05,18.75,20.44,18.23,19.4,1408
2024-03-06,19.4,20.4,18.82,20.4,751
2024-03-07,20.98,20.98,19.22,19.8,1568
2024-03-08,17.77,19.65,17.77,19.65,850
2024-03-11,19.4,20,17.93,19.2,2815
2024-03-12,18.3,19,17.73,18.21,2109
2024-03-13,18.02,19.3,16.95,18.55,2224
2024-03-14,17.8,18.6,17.3,18.6,1819
2024-03-15,18.2,19,17.6,18.4,2129
2024-03-19,17.49,18.48,17.49,18.48,582
2024-03-20,17.86,18,16.5,18,1895
2024-03-21,17.02,17.38,17.02,17.38,1459
2024-03-22,16.8,18.5,16.8,18.5,1706
2024-03-25,18.2,18.2,18.2,18.2,429
2024-03-28,18.79,18.79,18.79,18.79,202
2024-04-01,19.4,19.4,19.4,19.4,356
2024-04-04,17.36,19.07,17.23,19.07,1406
2024-04-08,16.9,18.4,16.9,18.4,1475
2024-04-10,17.29,17.8,15.66,16.9,4841
2024-04-11,17.6,17.6,17.6,17.6,506
2024-04-15,17.7,17.7,17.7,17.7,250
2024-04-16,17.5,17.75,17.5,17.75,274
2024-04-17,18.35,18.35,16.81,17.65,414
2024-04-19,15.4,15.7,12.52,13,5834
2024-04-22,11.52,11.52,11.5,11.5,550
2024-04-23,12.5,13.5,12.5,13.5,3377
2024-04-24,13.9,13.9,7.6,8.01,20759
2024-04-25,7.9,10,7.9,10,5769
2024-04-26,9.15,9.15,9.15,9.15,280
2024-04-29,7.8,8.36,7.8,8.36,1373
2024-04-30,8.3,8.44,8.3,8.44,1479
2024-05-01,7.5,7.5,7.35,7.35,3554
2024-05-02,7.3,7.3,7.14,7.14,395
2024-05-03,7.06,7.06,6.25,6.26,880
2024-05-06,6.5,6.5,6.45,6.45,1081
2024-05-07,6.36,6.36,6.36,6.36,891
2024-05-08,6.25,8.35,5.55,6.3,16383
2024-05-14,6.2,6.7,6.2,6.7,620
2024-05-15,6.7,6.7,6.7,6.7,151
2024-05-20,6.5,6.99,6.5,6.99,1445
2024-05-24,7.47,7.48,6.72,7.15,1511
2024-05-28,7.5,7.5,7.5,7.5,102
2024-05-30,7.23,7.49,6.51,7.49,1981
2024-05-31,7.49,11.42,6.71,8.4,27459
2024-06-03,7.7,7.7,7.7,7.7,242
2024-06-06,7.51,8,6.76,8,551
2024-06-07,9.97,10.97,7.7,7.7,1717
2024-06-20,7.36,7.9,7.25,7.74,1713
2024-06-21,7.51,7.54,7.2,7.49,1687
2024-06-24,7.1,7.49,6.65,7.49,3782
2024-06-26,7.48,8.02,7.02,7.5,4384
2024-06-27,7.45,11.09,7.45,10.7,29588
2024-06-28,11.5,12.5,9,9.45,7318
2024-07-02,9.41,9.41,9.41,9.41,406
2024-07-05,8.52,8.8,8.11,8.11,2032
2024-07-08,8.45,8.45,8.45,8.45,120
2024-07-11,9.29,9.29,9.29,9.29,240
2024-07-17,9.02,9.83,8.86,9.02,701
2024-07-23,8.8,9.41,8.59,9.25,1530
2024-07-26,9,10.35,8.82,10.2,16750
2024-07-29,10,10,10,10,211
2024-07-30,10,11.4,9.84,10.5,9649
2024-07-31,10,10.71,9.9,10.3,3107
2024-08-05,8.03,10,8.03,9.88,1822
2024-08-06,10.48,10.9,9.99,9.99,1744
2024-08-13,10.4,12.25,10.4,11.4,4120
2024-08-14,10.55,10.9,9.43,9.9,3329
2024-08-19,9.5,9.75,9.175,9.75,805
2024-08-22,8.99,9,8.85,9,1710
2024-08-23,9.75,9.75,9.75,9.75,150
2024-08-26,8.53,9.38,8.45,9,1203
2024-08-27,9.7,9.7,8.52,9.25,2757
2024-08-28,8.37,8.45,8.32,8.45,1114
2024-08-29,8.87,8.87,8.87,8.87,186
2024-08-30,8.24,8.84,7.94,8.01,1134
2024-09-09,8,8.65,7.72,8.48,487
2024-09-11,8.48,8.48,7.76,7.76,200
2024-09-13,8.48,8.5,7.73,7.73,719
2024-09-18,7.36,7.36,7,7,500
2024-10-03,6.78,6.78,6.78,6.78,149
