date,open,high,low,close,volume
2024-03-01,11.56,11.9,11.32,11.55,18095
2024-03-04,11.54,11.9478,11.54,11.86,37152
2024-03-05,11.98,11.99,11.592,11.94,17603
2024-03-06,12,12.39,11.82,11.98,73571
2024-03-07,12,12.1999,11.982,12.06,25536
2024-03-08,12.18,12.27,12.06,12.22,49761
2024-03-11,12.55,12.61,12.3,12.47,56537
2024-03-12,12.49,12.4901,12.2,12.2,21625
2024-03-13,12.1369,12.61,12.02,12.61,165259
2024-03-14,12.53,12.61,12.1407,12.33,185554
2024-03-15,12.3,12.47,12.0066,12.25,264552
2024-03-18,12.03,12.27,11.7201,12.2,221391
2024-03-19,12.2,12.3,12.15,12.2,161216
2024-03-20,12.2,12.27,12.085,12.2,24386
2024-03-21,12.25,12.35,12.25,12.3,44528
2024-03-22,12.26,12.3,12.08,12.19,30888
2024-03-25,12.18,12.29,12.065,12.2,30297
2024-03-26,12.28,12.28,11.95,11.95,16760
2024-03-27,11.96,12.24,11.96,12.15,27609
2024-03-28,12.21,12.215,12.09,12.15,6051
2024-04-01,12.14,12.19,12.04,12.19,9540
2024-04-02,12.04,12.25,11.88,11.95,6519
2024-04-03,11.78,11.9195,11.72,11.72,9537
2024-04-04,11.8657,11.8657,11.725,11.8,2002
2024-04-05,11.85,11.86,11.61,11.73,6712
2024-04-08,11.851,11.851,11.602,11.74,11650
2024-04-09,11.75,11.75,11.6,11.6,2653
2024-04-10,11.46,11.46,11,11.08,6812
2024-04-11,11.09,11.16,11,11.07,14322
2024-04-12,11.05,11.05,10.85,10.85,5397
2024-04-15,10.76,11.035,10.76,10.99,17370
2024-04-16,10.7514,10.94,10.7514,10.79,2232
2024-04-17,10.77,10.86,10.75,10.86,17581
2024-04-18,10.85,10.85,10.53,10.68,6684
2024-04-19,10.5874,10.97,10.5874,10.97,6798
2024-04-22,10.725,10.92,10.53,10.53,8380
2024-04-23,10.65,10.83,10.4,10.81,4786
2024-04-24,10.57,10.89,10.3916,10.75,3274
2024-04-25,10.36,10.48,10.36,10.48,1695
