date,open,high,low,close,volume
2024-03-01,6.96,7.0788,6.48,6.5988,48022.3333
2024-03-04,6.5988,6.84,5.76,6.6012,38513.5
2024-03-05,6.84,6.96,6.372,6.756,31075.6667
2024-03-06,6.6324,6.6324,6.0144,6.2676,32261.3333
2024-03-07,6.24,6.2508,5.7732,5.916,28574.1667
2024-03-08,6,6.24,5.88,5.9412,18661.1667
2024-03-11,6.108,6.2352,5.94,6.0036,8880.8333
2024-03-12,6.0612,6.234,5.4,5.5212,16051.25
2024-03-13,5.52,5.76,5.412,5.5236,11414.5833
2024-03-14,5.5596,5.76,5.4,5.4624,13941.9167
2024-03-15,5.508,5.76,5.4,5.6208,12438.4167
2024-03-18,5.988,6.36,5.64,6.12,27532.5833
2024-03-19,6.24,6.36,6.036,6.12,9986.9167
2024-03-20,6.036,6.33,5.16,5.5548,83546.1667
2024-03-21,6,6,5.556,5.7,18138
2024-03-22,5.82,5.82,5.4001,5.7408,9874.9167
2024-03-25,5.814,6.36,5.76,6.18,36613.75
2024-03-26,6.36,6.36,5.916,5.9796,13111.0833
2024-03-27,5.988,6.6,5.88,6.588,25660
2024-03-28,6.6,6.7188,5.88,5.8824,46635.25
2024-04-01,5.88,6.2388,5.7612,5.9412,28570
2024-04-02,5.7624,6,5.604,5.9088,16440.3333
2024-04-03,5.988,6,5.6868,5.778,11216.25
2024-04-04,5.88,6.12,5.88,6.108,13640.1667
2024-04-05,6.12,6.12,5.664,5.8944,25547
2024-04-08,6.072,6.1764,5.88,5.9916,14453.1667
2024-04-09,6,6.18,5.646,5.652,13466.4167
2024-04-10,5.652,5.76,5.52,5.7432,11670.8333
2024-04-11,5.8212,5.8608,5.52,5.784,19084.4167
2024-04-12,5.73,5.862,5.52,5.6328,7856.9167
2024-04-15,5.52,5.8188,5.52,5.7612,17046.6667
2024-04-16,5.76,5.8548,5.76,5.8188,7944.6667
2024-04-17,5.52,5.7612,3.36,3.3924,355107.5833
2024-04-18,3.7032,3.7308,3.4812,3.5412,81315
2024-04-19,3.4452,3.72,3.36,3.36,46316.9167
2024-04-22,3.3984,3.588,3.36,3.5436,13765.8333
2024-04-23,3.816,3.8238,3.4932,3.5676,26933
2024-04-24,3.48,3.48,3.36,3.432,36341.5
2024-04-25,3.36,3.4776,3.36,3.4704,27127.25
2024-04-26,3.456,3.7008,3.36,3.6708,14589.6667
2024-04-29,3.612,3.6768,3.36,3.3828,14623.75
2024-04-30,3.36,4.6848,3.36,3.69,999731.3333
2024-05-01,3.84,4.68,3.7596,3.9588,156319.5833
2024-05-02,3.792,3.96,3.6,3.744,81037.9167
2024-05-03,3.834,3.888,3.624,3.7344,28357
2024-05-06,3.8052,3.84,3.6156,3.672,21404.3333
2024-05-07,3.6,3.84,3.6,3.72,15224.4167
2024-05-08,3.828,3.834,3.612,3.6852,18814
2024-05-09,3.72,3.828,3.612,3.7632,11234.1667
2024-05-10,3.696,3.9252,3.696,3.726,19488.25
2024-05-13,3.672,3.84,3.6613,3.7824,15107.0833
2024-05-14,3.72,3.9108,3.72,3.78,34400.6667
2024-05-15,3.96,4.6788,3.9,4.32,182204.6667
2024-05-16,4.8,5.3988,4.44,5.2176,77085
2024-05-17,5.1588,5.8788,5.1588,5.8236,77627.3333
2024-05-20,6.12,7.44,5.76,7.32,117881
2024-05-21,7.56,7.56,4.8024,5.0928,173211.6667
2024-05-22,4.932,5.04,4.533,4.8,41075.6667
2024-05-23,5.22,5.4552,4.92,5.4552,35120.5
2024-05-24,5.64,5.64,4.812,5.232,46420.1667
2024-05-28,5.1,5.1,4.8,4.8972,29249.6667
2024-05-29,4.8,6,4.8,5.64,102304.3333
2024-05-30,5.7,5.7,5.0412,5.1672,33902.0833
2024-05-31,5.1,5.1576,4.908,4.92,15885.8333
2024-06-03,5.16,5.22,4.8,4.92,21408.8333
2024-06-04,5.04,5.16,4.9764,5.1036,14551.9167
2024-06-05,5.16,5.4,5.0712,5.1456,20318
2024-06-06,5.16,5.3148,4.92,5.2596,23497.4167
2024-06-07,5.2596,6.24,5.2596,6.24,67506.8333
2024-06-10,5.76,5.82,5.52,5.7612,20594.9167
2024-06-11,5.64,5.76,5.532,5.5632,11372.6667
2024-06-12,5.76,5.76,5.292,5.292,15209.5
2024-06-13,5.388,5.5188,5.04,5.2248,29614.75
2024-06-14,5.28,5.4576,5.0532,5.3976,19134.9167
2024-06-17,5.3748,5.3964,5.16,5.2188,14896.3333
2024-06-18,5.28,5.28,5.0942,5.16,25143.8333
2024-06-20,5.4,5.4,5.0508,5.0604,23824.9167
2024-06-21,5.04,5.28,5.04,5.214,16307.3333
2024-06-24,5.268,5.76,5.268,5.316,13519.25
2024-06-25,5.58,5.5812,5.1708,5.1912,9823.9167
2024-06-26,5.2788,5.64,5.1612,5.1756,12758.5
2024-06-27,4.6404,5.028,4.08,4.422,271128.8333
2024-06-28,4.812,4.812,3.9122,4.0332,137493.6667
2024-07-01,3.43,4.08,3.25,3.79,219825
2024-07-02,3.58,3.96,3.5515,3.63,46953
2024-07-03,3.36,3.44,3.05,3.09,86811
2024-07-05,3.1,3.41,3.1,3.15,34952
2024-07-08,3.17,3.195,3.05,3.09,43298
2024-07-09,3.1,3.16,3.05,3.13,52998
2024-07-10,3.15,3.63,3.08,3.32,75308
2024-07-11,3.36,3.49,3.24,3.36,22241
2024-07-12,3.37,3.7377,3.37,3.68,36256
2024-07-15,3.66,3.73,3.26,3.38,58803
2024-07-16,3.34,3.5999,3.34,3.4,23404
2024-07-17,3.37,3.4906,3.37,3.48,28844
2024-07-18,3.41,3.41,3.18,3.19,38785
2024-07-19,3.2,3.6,3.2,3.54,115154
2024-07-22,3.59,3.855,3.55,3.69,39442
2024-07-23,3.65,3.69,3.51,3.64,50014
2024-07-24,3.64,3.64,3.59,3.6,14720
2024-07-25,3.57,3.65,3.47,3.6,12517
2024-07-26,3.64,3.64,3.55,3.63,9111
2024-07-29,3.55,3.9,3.55,3.62,40137
2024-07-30,3.6,3.6,3.4,3.42,23017
2024-07-31,3.42,3.47,3.4,3.425,16609
2024-08-01,3.42,3.47,3.4,3.41,16338
2024-08-02,3.41,3.47,3.32,3.32,18860
2024-08-05,3.28,3.32,3.2101,3.2628,34600
2024-08-06,3.18,3.38,3.18,3.22,13157
