date,open,high,low,close,volume
2024-03-01,9.57,9.63,8.7,8.97,740931
2024-03-04,9.01,9.11,8.83,8.92,591125
2024-03-05,8.82,8.82,8.32,8.35,423763
2024-03-06,8.45,8.45,8.08,8.14,431884
2024-03-07,8.21,8.49,8.21,8.38,255314
2024-03-08,8.44,8.7143,8.44,8.48,266119
2024-03-11,8.43,8.705,8.28,8.37,327161
2024-03-12,8.4,8.41,8.15,8.22,255191
2024-03-13,8.22,8.36,8.14,8.185,298296
2024-03-14,7.96,8.19,7.96,8.09,411565
2024-03-15,8.06,8.22,7.81,7.89,641700
2024-03-18,7.92,8.1,7.81,8.05,403735
2024-03-19,7.96,8.07,7.82,7.85,570814
2024-03-20,7.86,8.11,7.75,8.02,389220
2024-03-21,8.09,8.17,7.87,7.91,343295
2024-03-22,7.82,7.86,7.6,7.61,275167
2024-03-25,7.66,7.96,7.66,7.86,493724
2024-03-26,7.96,7.96,7.75,7.78,401151
2024-03-27,7.89,8.06,7.83,7.91,354076
2024-03-28,7.88,8.15,7.88,8.07,622191
2024-04-01,8.18,8.35,7.89,8,582735
2024-04-02,7.71,7.865,7.59,7.71,437354
2024-04-03,7.63,8.05,7.6,8.02,592298
2024-04-04,8.14,8.33,7.96,8.01,576597
2024-04-05,7.94,8.09,7.87,7.92,277157
2024-04-08,7.98,8.02,7.785,7.8,363407
2024-04-09,7.83,7.98,7.8,7.86,424177
2024-04-10,7.57,7.74,7.54,7.73,396734
2024-04-11,7.78,7.82,7.625,7.68,286235
2024-04-12,7.63,7.66,7.27,7.35,310499
2024-04-15,7.37,7.37,6.92,7.09,366358
2024-04-16,7.01,7.385,6.9804,7.31,2107363.0
2024-04-17,7.29,7.31,7.07,7.19,476842
2024-04-18,7.18,7.42,7.03,7.04,405332
2024-04-19,6.99,7.08,6.97,7.06,525269
2024-04-22,7.11,7.35,7.02,7.33,1050091.0
2024-04-23,7.3,7.57,7.24,7.27,729002
2024-04-24,7.24,7.2875,7,7.25,688711
