date,open,high,low,close,volume
2024-03-01,68.62,70.985,68.2,70.02,230380
2024-03-04,70.51,70.89,68.255,68.54,191121
2024-03-05,67.86,68,65.93,66.3,203932
2024-03-06,67.5,68.27,66.775,67.13,184364
2024-03-07,67.7,71.865,67.57,70.94,248580
2024-03-08,71.67,72.175,70.21,70.3,276578
2024-03-11,70.07,71.91,70.07,71.84,255339
2024-03-12,71.93,72.24,69.47,70.82,184124
2024-03-13,70.03,71.28,68.1,68.24,167266
2024-03-14,67.91,68.14,64.8,65.62,483970
2024-03-15,64.45,66.62,64.31,66.33,637225
2024-03-18,67.13,67.25,65.56,65.57,255657
2024-03-19,64.98,65.39,64.16,64.64,161994
2024-03-20,64.6,66.77,64.1083,66.25,263981
2024-03-21,67.51,69.41,67.51,69.14,454679
2024-03-22,68.92,68.955,67.15,68.26,350035
2024-03-25,68.08,68.94,67.01,67.98,376906
2024-03-26,68.55,68.55,67.23,67.55,310730
2024-03-27,68.35,70.965,66.7527,70.38,235632
2024-03-28,70.06,70.85,69.78,70.5,405224
2024-04-01,70.66,72.59,70.39,70.54,294381
2024-04-02,69.41,69.415,68.02,68.51,249283
2024-04-03,67.62,69.02,67.54,68.83,189820
2024-04-04,70.01,70.96,68.06,68.28,248196
2024-04-05,68.1,68.68,67.85,67.89,269253
2024-04-08,68.33,69.78,68.01,69.39,309583
2024-04-09,70.23,72.47,70.09,72.42,205245
2024-04-10,69.58,71.38,69.11,69.87,443711
2024-04-11,70.24,71.05,69.34,70.94,179657
2024-04-12,69.81,69.98,67.66,68.35,250017
2024-04-15,68.5,68.79,67.26,67.88,334699
2024-04-16,67.43,68.555,66.66,68.38,321028
2024-04-17,68.7,71.16,67.1,67.16,456452
2024-04-18,66.85,67.9,66.39,67.74,275425
2024-04-19,67.28,68.43,66.31,66.89,362380
2024-04-22,67.39,68.51,66.81,67.91,349788
2024-04-23,67.96,70.485,67.96,69.68,296233
2024-04-24,70.53,71.65,69.67,70.9,365463
2024-04-25,70.36,72.56,70.36,71.3,339001
2024-04-26,71.3,72.925,70.83,72.68,261158
2024-04-29,72.95,74.29,72.82,74,246969
2024-04-30,73.22,74.2,72.9,73.01,345581
2024-05-01,72.25,73.22,70.51,70.99,338354
2024-05-02,71.87,73.435,70.29,72.92,252442
2024-05-03,74.9,75.23,72.72,72.79,208858
2024-05-06,73.04,74.16,73.03,74.04,167858
2024-05-07,74.51,77.49,74.47,76.51,365110
2024-05-08,75.4,75.42,74.31,74.56,251959
2024-05-09,74.55,76.65,73.79,76.47,484552
2024-05-10,72.13,72.13,67.415,69.32,866300
2024-05-13,70.82,72.4,70.0201,70.94,412328
2024-05-14,72.03,74.05,71.335,72.34,362787
2024-05-15,73.36,74,71.5,72.01,439688
2024-05-16,72.2,73.33,71.44,72.41,278683
2024-05-17,72.46,73.575,71.84,73.27,303354
2024-05-20,73.6,74.22,73.08,73.82,224627
2024-05-21,72.58,73.345,72,72.52,230447
2024-05-22,72.76,76.2,72.76,74.41,326696
2024-05-23,75.11,75.11,72.13,72.43,208152
2024-05-24,73.58,73.61,72.68,73.57,222389
2024-05-28,73.44,75.07,73.2,73.82,341206
2024-05-29,71.96,73.21,71.28,71.75,202043
2024-05-30,72.5,73.28,71.83,72.85,272360
2024-05-31,73.39,74.25,71.99,74.13,259309
2024-06-03,75.27,75.27,73.65,74.85,192822
2024-06-04,73.62,74.395,71,71.91,242469
2024-06-05,72.71,74.9,72.355,74.73,170717
2024-06-06,74.5,74.5,73.03,73.25,163750
2024-06-07,72.19,72.82,71.46,71.51,154194
2024-06-10,70.22,72.42,69.96,71.82,194319
2024-06-11,71.28,72.81,70.46,72.19,177054
2024-06-12,74.47,76.43,74.405,75.11,253984
2024-06-13,74.39,74.72,72.741,73.81,150830
2024-06-14,72.36,72.88,71.09,71.59,245513
2024-06-17,71.49,73.3,70.685,73.17,177412
2024-06-18,73.15,73.7,72.17,72.61,186406
2024-06-20,72.14,72.91,71.3,72.02,239046
2024-06-21,72.01,73.06,71.235,72.79,870591
2024-06-24,72.64,73.21,71.09,71.23,196934
2024-06-25,70.91,70.91,69.815,70.61,263066
2024-06-26,70.26,71.8,69.51,70.6,200567
2024-06-27,70.7,71.25,70.1,70.69,189474
2024-06-28,71.76,73.56,70.92,71.93,1665619.0
2024-07-01,71.61,71.62,69.37,70.19,222507
2024-07-02,69.81,72.11,69.81,72.01,173184
2024-07-03,72.28,73,71.61,72.55,106404
2024-07-05,72.33,73.22,71.32,72.95,189339
2024-07-08,73.92,77.52,73.545,77.49,249352
2024-07-09,77.86,77.99,75.43,77.3,302946
2024-07-10,78,81.15,78,81.08,259270
2024-07-11,82.56,83.39,81.48,82.38,391575
2024-07-12,83.8,85,83.08,84.4,339950
2024-07-15,84.49,86.34,83.55,83.82,388566
2024-07-16,84.98,86.74,84.295,85.82,458675
2024-07-17,83.75,84.9,82.65,83.18,371253
2024-07-18,83.46,84.9,81.6,81.83,326154
2024-07-19,81.78,81.78,78.17,79.36,224610
2024-07-22,80.22,83.4,80.195,83.28,485522
2024-07-23,81.76,84.03,81.29,83.07,335098
2024-07-24,82.47,82.81,79.56,80.1,236289
2024-07-25,79.34,81.07,77.8083,78.56,345331
2024-07-26,80.95,80.95,78.73,80.27,306495
2024-07-29,81.05,81.88,79.57,79.8,157772
2024-07-30,79.84,79.84,77.24,77.44,312827
2024-07-31,79.37,80.07,77.27,78.2,456640
2024-08-01,77.34,78.5,73.6,74.33,314898
2024-08-02,70.73,71.46,66.57,66.72,502907
2024-08-05,62.48,64.835,61.27,62.88,1310927.0
2024-08-06,63.02,63.65,62.04,62.8,605753
2024-08-07,64.78,64.78,59.02,59.1,728766
2024-08-08,60.68,61.26,58.96,60.18,1173406.0
2024-08-09,65.21,67.41,62.43,64.68,1233806.0
2024-08-12,64.52,65.38,63.06,63.67,355461
2024-08-13,64.67,66.66,64.43,65.99,330391
2024-08-14,66.5,66.5,62.8,63.25,338691
2024-08-15,65.78,66.635,64.56,66.59,452953
2024-08-16,66.07,67.6302,65.65,67.24,383956
2024-08-19,67.26,67.99,66.52,67.29,259390
2024-08-20,66.71,67.04,65.97,66.5,192656
2024-08-21,67.49,69.45,67.3,69,278992
2024-08-22,69.05,69.66,66.62,66.97,287769
2024-08-23,68.1,71.49,67.77,71.28,289161
2024-08-26,72.01,72.76,69.69,69.83,411925
2024-08-27,68.91,69.46,67.61,67.74,218166
2024-08-28,67.66,68.23,66.56,66.98,277793
2024-08-29,67.81,70.39,67.71,69.63,206315
2024-08-30,70.98,70.98,68.9,69.69,630933
2024-09-03,68.02,68.355,63.01,63.52,289743
2024-09-04,63.17,64.03,62.17,62.63,221063
2024-09-05,62.28,63.73,62.16,62.85,300141
2024-09-06,62.72,62.72,60.97,61.24,290631
