date,open,high,low,close,volume
2024-03-01,0.98,1.0195,0.98,0.9813,100230
2024-03-04,0.9686,1.05,0.94,1.02,853083
2024-03-05,1.03,1.03,0.95,0.97,157415
2024-03-06,0.95,1.01,0.95,0.9777,127450
2024-03-07,0.99,1.01,0.9511,0.98,70518
2024-03-08,0.99,1.02,0.99,1.01,117608
2024-03-11,1.02,1.02,1,1.01,84933
2024-03-12,1.01,1.18,1.01,1.15,318410
2024-03-13,1.14,1.199,1.08,1.13,121584
2024-03-14,1.15,1.4,1.1,1.37,423415
2024-03-15,1.39,1.44,1.23,1.29,212951
2024-03-18,1.27,1.38,1.27,1.35,106679
2024-03-19,1.32,1.35,1.18,1.18,156426
2024-03-20,1.18,1.31,1.165,1.28,91483
2024-03-21,1.25,1.28,1.18,1.25,87627
2024-03-22,1.26,1.28,1.15,1.17,121787
2024-03-25,1.2,1.2895,1.2,1.28,85576
2024-03-26,1.29,1.29,1.23,1.27,166781
2024-03-27,1.27,1.34,1.2501,1.34,199639
2024-03-28,1.25,1.3,1.17,1.21,234260
2024-04-01,1.23,1.23,1.07,1.11,147103
2024-04-02,1.07,1.11,0.98,1.06,185289
2024-04-03,1.07,1.19,1.07,1.15,79550
2024-04-04,1.15,1.175,1.03,1.03,126717
2024-04-05,1.03,1.05,0.9317,0.9317,214838
2024-04-08,0.9494,0.95,0.8811,0.9005,151542
2024-04-09,0.92,0.92,0.8027,0.845,139571
2024-04-10,0.839,0.87,0.8237,0.8364,104519
2024-04-11,0.83,0.845,0.82,0.8201,83880
2024-04-12,0.83,0.8331,0.75,0.7658,191398
2024-04-15,0.7658,0.8,0.7235,0.7957,86511
2024-04-16,0.7949,0.7957,0.75,0.7815,49249
2024-04-17,0.7889,0.946,0.77,0.878,137359
2024-04-18,0.88,0.94,0.857,0.91,115711
2024-04-19,0.9098,0.9375,0.85,0.8712,114565
2024-04-22,0.85,0.8606,0.8001,0.805,57872
2024-04-23,0.8011,0.8512,0.8011,0.8434,30898
2024-04-24,0.85,0.9135,0.82,0.8835,138740
2024-04-25,0.8711,0.9159,0.87,0.9159,33646
2024-04-26,0.9266,0.9659,0.926,0.9313,104084
2024-04-29,0.9,0.9684,0.87,0.9538,60068
2024-04-30,0.96,0.9983,0.9,0.9596,63090
2024-05-01,0.9502,0.9754,0.9001,0.967,56651
2024-05-02,0.95,1.075,0.9112,0.99,82963
2024-05-03,1.02,1.19,0.9712,1.16,177793
2024-05-06,1.19,1.23,1.15,1.2,104198
2024-05-07,1.22,1.29,1.1601,1.2,135643
2024-05-08,1.2,1.21,0.96,1.02,218102
2024-05-09,1.03,1.13,1.0201,1.13,55141
2024-05-10,1.13,1.18,1.01,1.06,100524
2024-05-13,1.09,1.15,1.01,1.07,98002
2024-05-14,1.04,1.04,0.7366,0.92,287929
2024-05-15,0.91,0.96,0.9014,0.96,122756
2024-05-16,0.969,0.969,0.9,0.9438,67811
2024-05-17,0.97,0.97,0.8899,0.93,177937
2024-05-20,0.96,1.04,0.93,1.04,105052
2024-05-21,1.03,1.33,1.01,1.29,1858139.0
2024-05-22,1.29,1.32,1.18,1.23,299220
2024-05-23,1.24,1.4292,1.1109,1.26,402254
2024-05-24,1.3,1.3,1.22,1.3,76863
2024-05-28,1.33,1.33,1.2,1.24,192984
2024-05-29,1.21,1.37,1.21,1.34,115089
2024-05-30,1.37,1.425,1.31,1.35,229153
2024-05-31,1.34,1.77,1.331,1.71,565903
2024-06-03,1.75,1.88,1.5004,1.65,462386
2024-06-04,1.59,1.6112,1.47,1.53,184247
2024-06-05,1.54,1.62,1.47,1.57,66010
2024-06-06,1.56,1.6,1.52,1.57,50751
2024-06-07,1.57,1.57,1.48,1.52,103449
2024-06-10,1.47,1.47,1.35,1.41,140540
2024-06-11,1.38,1.45,1.3609,1.45,55228
2024-06-12,1.48,1.6,1.45,1.56,82265
2024-06-13,1.55,1.69,1.5496,1.69,38021
2024-06-14,1.74,1.7485,1.57,1.65,151830
2024-06-17,1.62,1.84,1.62,1.78,132394
2024-06-18,1.73,1.79,1.58,1.59,190985
2024-06-20,1.56,1.6,1.4801,1.49,101481
2024-06-21,1.47,1.59,1.46,1.51,95840
2024-06-24,1.48,1.6,1.45,1.49,191522
2024-06-25,1.46,1.5,1.4,1.41,77592
2024-06-26,1.4,1.42,1.31,1.315,81259
2024-06-27,1.28,1.4,1.2705,1.365,194937
2024-06-28,1.35,1.3582,1.28,1.29,113130
2024-07-01,1.27,1.32,1.27,1.31,54061
2024-07-02,1.34,1.45,1.3,1.36,99555
2024-07-03,1.355,1.36,1.28,1.28,24691
2024-07-05,1.29,1.33,1.28,1.31,81877
2024-07-08,1.32,1.38,1.17,1.26,212632
2024-07-09,1.22,1.26,1.1507,1.23,252746
2024-07-10,1.23,1.5,1.15,1.34,217944
2024-07-11,1.35,1.39,1.31,1.31,93219
2024-07-12,1.32,1.42,1.32,1.38,71867
