date,open,high,low,close,volume
2024-03-01,1.85,1.85,1.76,1.76,11998
2024-03-04,1.76,1.7966,1.622,1.71,12433
2024-03-05,1.66,1.7051,1.57,1.6,12157
2024-03-06,1.58,1.82,1.5561,1.57,37310
2024-03-07,1.575,1.7599,1.56,1.68,82928
2024-03-08,1.63,1.73,1.4401,1.56,27676
2024-03-11,1.5,1.67,1.49,1.5,17651
2024-03-12,1.53,1.5865,1.49,1.57,7871
2024-03-13,1.4992,1.5788,1.44,1.46,40988
2024-03-14,1.43,1.4668,1.3,1.3,23749
2024-03-15,1.36,1.37,1.25,1.3,21188
2024-03-18,1.28,1.3,1.27,1.2794,7566
2024-03-19,1.26,1.26,1.2,1.22,16986
2024-03-20,1.23,1.3027,1.18,1.3027,43403
2024-03-21,1.31,1.31,1.19,1.23,28148
2024-03-22,1.245,1.245,1.1408,1.23,43014
2024-03-25,1.21,1.2299,1.14,1.21,14305
2024-03-26,1.2022,1.2022,1.09,1.13,38403
2024-03-27,1.17,1.17,1.13,1.17,24095
2024-03-28,1.19,1.1999,1.1601,1.1999,4323
2024-04-01,1.22,1.38,1.21,1.38,43487
2024-04-02,1.3997,1.45,1.305,1.38,61119
2024-04-03,1.38,1.41,1.28,1.28,36201
2024-04-04,1.32,1.3792,1.28,1.3,39339
2024-04-05,1.25,1.3,1.11,1.17,30651
2024-04-08,1.22,1.29,1.2,1.21,6499
2024-04-09,1.2,1.28,1.2,1.28,13499
2024-04-10,1.2,1.2899,1.2,1.22,2787
2024-04-11,1.25,1.28,1.2,1.2599,20455
2024-04-12,1.27,1.29,1.2001,1.27,11268
2024-04-15,1.3,1.3,1.2,1.23,2338
2024-04-16,1.3206,1.3206,1.13,1.14,13043
2024-04-17,1.11,1.22,1.11,1.14,18115
2024-04-18,1.19,1.2099,1.12,1.18,6723
2024-04-19,1.14,1.1661,1.11,1.12,5974
2024-04-22,1.11,1.23,1.11,1.12,18088
2024-04-23,1.1275,1.195,1.11,1.12,3509
2024-04-24,1.13,1.1966,1.09,1.09,3222
2024-04-25,1.1,1.1099,1.08,1.09,13078
2024-04-26,1.1006,1.13,1.05,1.1,6530
2024-04-29,1.13,1.13,1.07,1.085,11184
2024-04-30,1.09,1.126,0.93,0.965,54092
2024-05-01,0.96,1.13,0.96,1.04,48348
2024-05-02,1.01,1.05,0.9977,1.0459,35576
2024-05-03,1.02,1.06,0.98,0.99,24369
2024-05-06,1.02,1.06,1.02,1.02,2482
2024-05-07,1.0597,1.07,1.04,1.06,19854
2024-05-08,1.06,1.1169,1.02,1.1169,2438
2024-05-09,1.1,1.1242,1.0621,1.105,6102
2024-05-10,1.1637,1.1637,1.0601,1.0601,3078
2024-05-13,1.0115,1.1,1.0115,1.1,5046
2024-05-14,1.05,1.14,1.05,1.07,16682
2024-05-15,1.08,1.12,1.0101,1.085,24356
2024-05-16,1.1,1.11,1.02,1.06,13559
2024-05-17,1.1077,1.12,1.0501,1.1,11205
2024-05-20,1.1,1.12,1.0601,1.09,4949
2024-05-21,1.09,1.2398,1.09,1.22,28526
