date,open,high,low,close,volume
2024-03-01,13.9,13.98,13.61,13.7,1138600.0
2024-03-04,13.72,13.78,13.33,13.53,743649
2024-03-05,13.48,13.9713,13.47,13.8,804921
2024-03-06,13.92,13.98,13.62,13.79,646993
2024-03-07,13.91,14.825,13.905,14.73,1324513.0
2024-03-08,14.8,15.31,14.63,14.76,1066371.0
2024-03-11,14.69,15.05,14.69,14.85,857902
2024-03-12,14.79,15.07,14.47,14.66,858504
2024-03-13,14.62,14.93,14.62,14.87,995020
2024-03-14,14.92,14.94,14.265,14.29,1958000.0
2024-03-15,14.31,14.59,14.15,14.56,1204954.0
2024-03-18,14.83,15.08,14.64,15.02,1002444.0
2024-03-19,14.98,15.2,14.66,15.1,941780
2024-03-20,15.05,15.369,14.84,15.23,1399662.0
2024-03-21,15.29,15.575,15.285,15.31,1041319.0
2024-03-22,15.4,15.61,15.29,15.31,1342019.0
2024-03-25,15.37,15.52,15.01,15.16,829961
2024-03-26,15.26,15.27,14.805,14.82,930705
2024-03-27,14.95,15.65,14.91,15.65,1049474.0
2024-03-28,15.74,16,15.73,15.79,1178917.0
2024-04-01,15.85,15.85,15.495,15.72,907614
2024-04-02,15.54,15.635,15.47,15.55,720198
2024-04-03,15.52,15.555,15.26,15.33,848844
2024-04-04,15.44,15.58,14.84,14.84,751784
2024-04-05,14.79,14.96,14.64,14.9,951494
2024-04-08,14.92,15.04,14.8,14.95,512193
2024-04-09,15.01,15.4,14.96,15.24,963179
2024-04-10,14.84,15.29,14.6,15.2,979868
2024-04-11,15.35,15.35,14.9,15.1,785416
2024-04-12,15,15.085,14.42,14.48,736126
2024-04-15,14.57,14.78,14.46,14.65,701088
2024-04-16,14.53,14.59,14.21,14.4,683254
2024-04-17,14.57,14.755,14.4,14.57,922402
2024-04-18,14.6,14.8,14.46,14.53,593942
2024-04-19,14.5,14.725,13.935,14.11,1062775.0
2024-04-22,14.21,14.49,13.99,14.41,1019664.0
2024-04-23,14.44,15.12,14.34,15.05,1253054.0
2024-04-24,14.98,15.03,14.095,14.25,1533755.0
2024-04-25,14.09,14.44,13.76,14.43,1054924.0
2024-04-26,14.45,14.655,14.29,14.39,961017
2024-04-29,14.5,14.67,14.44,14.52,1473411.0
2024-04-30,14.44,14.48,14.26,14.33,1226720.0
2024-05-01,14.4,14.855,14.235,14.66,1361904.0
2024-05-02,14.39,14.445,10.59,11.69,9654150.0
2024-05-03,11.35,11.96,11.35,11.59,2834299.0
2024-05-06,11.61,12.185,11.495,12,1902107.0
2024-05-07,12.06,12.18,11.46,11.5,1685952.0
2024-05-08,11.44,11.535,11.23,11.23,1735964.0
2024-05-09,11.22,11.37,11.1743,11.26,977708
2024-05-10,11.27,11.425,11.225,11.36,946636
