date,open,high,low,close,volume
2024-03-01,4.08,4.75,4.08,4.7,203937
2024-03-04,4.99,5.8099,4.98,5.59,931314
2024-03-05,5.57,5.8399,4.99,5.72,304604
2024-03-06,5.82,5.873,5.45,5.55,187243
2024-03-07,5.64,5.7449,5.24,5.34,154639
2024-03-08,5.41,5.74,5.2601,5.71,103449
2024-03-11,5.59,5.6863,5.38,5.46,81663
2024-03-12,5.46,5.8983,5.38,5.64,203822
2024-03-13,5.74,6.9899,5.7,6.67,559196
2024-03-14,6.81,7.1899,6.31,6.73,298398
2024-03-15,6.73,6.75,6.11,6.4,172248
2024-03-18,6.33,6.35,5.5506,5.8,277892
2024-03-19,5.7,6.34,5.5,6.27,178101
2024-03-20,6.56,6.7096,6.02,6.55,185302
2024-03-21,6.56,7.6,6.32,7.54,396398
2024-03-22,7.55,7.62,6.8238,7.05,280924
2024-03-25,7.08,7.27,6.51,6.95,212758
2024-03-26,6.96,7.5,6.849,7.34,193963
2024-03-27,7.45,7.65,7.05,7.64,253605
2024-03-28,7.01,7.02,5.52,5.72,812011
2024-04-01,5.81,5.8379,5.54,5.64,248400
2024-04-02,5.55,5.94,5.26,5.94,216378
2024-04-03,6,6.3157,5.81,6.03,193118
2024-04-04,6.02,6.4,6.0001,6.11,185714
2024-04-05,6.09,6.36,5.72,5.84,170249
2024-04-08,5.78,5.8494,5.5595,5.74,60265
2024-04-09,5.6,5.66,5.18,5.44,135737
2024-04-10,5.33,5.57,5.3,5.45,66013
2024-04-11,5.51,5.8999,5.49,5.77,83239
2024-04-12,5.68,5.84,5.48,5.51,46755
2024-04-15,5.5,5.79,5.22,5.36,124690
2024-04-16,5.27,5.46,4.79,4.84,98691
2024-04-17,4.81,5.1154,4.78,4.82,63705
2024-04-18,4.81,5.05,4.53,4.59,165320
2024-04-19,4.55,4.69,4.52,4.57,94103
2024-04-22,4.55,4.6801,4.1,4.55,185399
2024-04-23,4.51,4.9,4.462,4.72,66548
2024-04-24,4.79,4.8607,4.53,4.66,57545
2024-04-25,4.55,4.7903,4.5201,4.64,29108
2024-04-26,4.7,5.15,4.6,5.13,52314
2024-04-29,5.25,5.31,4.9311,4.99,71089
2024-04-30,5,5.14,4.77,4.84,64002
2024-05-01,4.91,5.44,4.83,5.13,62344
2024-05-02,5.19,5.4585,4.92,5.07,46349
2024-05-03,5.2,5.2,4.89,5.08,47948
2024-05-06,5.09,5.55,5.02,5.52,111737
2024-05-07,5.77,5.77,5.26,5.64,68017
2024-05-08,5.66,5.7699,5.43,5.51,58812
2024-05-09,5.52,5.67,5.4101,5.6,60039
2024-05-10,5.65,5.7093,5.5001,5.7,42001
2024-05-13,5.72,5.8,5.45,5.6,81333
2024-05-14,5.73,5.8096,5.51,5.71,81691
2024-05-15,6.28,6.35,5.5886,6.22,298994
2024-05-16,6.39,6.39,5.95,6.14,112460
2024-05-17,6.13,6.18,5.9,6.05,69820
2024-05-20,6.16,6.82,6.1001,6.82,264600
2024-05-21,6.77,6.96,6.5782,6.96,150873
2024-05-22,7.05,7.09,6.529,6.78,77095
2024-05-23,6.88,6.88,6.1301,6.24,182076
2024-05-24,6.33,6.97,6.1229,6.97,159039
2024-05-28,7,7.4,6.74,7.19,201765
2024-05-29,7.1,7.87,7,7.81,331242
2024-05-30,7.93,8,7.02,7.29,315673
2024-05-31,7.52,7.52,7.05,7.14,94022
2024-06-03,7.24,7.35,6.57,6.9,154770
2024-06-04,6.84,6.9101,6.1,6.27,192933
2024-06-05,6.27,6.83,6.27,6.65,110596
2024-06-06,6.75,6.96,6.52,6.64,94527
2024-06-07,6.58,6.8199,6.51,6.6,120846
2024-06-10,6.56,6.66,6.345,6.6,116869
2024-06-11,6.54,6.63,6.3334,6.44,92959
2024-06-12,6.45,6.7336,6.02,6.11,171782
2024-06-13,6.2,6.35,5.9,6.05,130453
2024-06-14,5.98,6.17,5.8,5.96,146461
2024-06-17,5.98,6.42,5.98,6.37,119430
2024-06-18,6.36,6.47,6.085,6.3,117346
