date,open,high,low,close,volume
2024-03-01,0.54,0.593899,0.54,0.5576,91988
2024-03-04,0.5806,0.5891,0.57,0.57,47352
2024-03-05,0.5686,0.587499,0.546,0.57,27235
2024-03-06,0.55424,0.575,0.55001,0.550101,24514
2024-03-07,0.565,0.5798,0.5501,0.571,32316
2024-03-08,0.5595,0.6197,0.5595,0.60495,11903239.0
2024-03-11,1.11,1.32,0.65,0.668,75517838.0
2024-03-12,0.635,0.7887,0.61,0.745,4709647.0
2024-03-13,0.596,0.7398,0.5347,0.7,2758651.0
2024-03-14,0.62,0.68,0.59,0.61,711627
2024-03-15,0.5702,0.5975,0.53,0.558,380062
2024-03-18,0.53,0.5581,0.481,0.4998,588821
2024-03-19,0.486,0.4948,0.42,0.485,293393
2024-03-20,0.5037,0.5037,0.4729,0.4831,123174
2024-03-21,0.4899,0.4899,0.4515,0.452,238852
2024-03-22,0.4689,0.48,0.431,0.4464,126160
2024-03-25,0.475,0.475,0.425,0.438,298591
2024-03-26,0.42,0.4898,0.42,0.4322,129101
2024-03-27,0.428,0.4588,0.425,0.45,117009
2024-03-28,0.45,0.45,0.4301,0.45,95355
2024-04-01,0.448,0.45,0.425,0.4489,82058
2024-04-02,0.45,0.45,0.414999,0.4357,127557
2024-04-03,0.447,0.447,0.415,0.422,85704
2024-04-04,0.43,0.44,0.425,0.432,84518
2024-04-05,0.441,0.441,0.4202,0.4279,75966
2024-04-08,0.445,0.53,0.43,0.4852,647784
2024-04-09,0.4845,0.4845,0.44,0.459,147586
2024-04-10,0.449,0.467,0.4319,0.4398,119796
2024-04-11,0.4334,0.447,0.4212,0.4382,93400
2024-04-12,0.4372,0.4372,0.402,0.403,63501
2024-04-15,0.39,0.425,0.3613,0.37,164968
2024-04-16,0.394,0.394,0.3512,0.37,161526
2024-04-17,0.3799,0.39,0.361,0.389,51334
2024-04-18,0.3909,0.419,0.3801,0.4,113766
2024-04-19,0.4,0.42,0.3812,0.3834,105197
2024-04-22,0.39,0.44,0.38,0.4202,371244
2024-04-23,0.419,0.43,0.3912,0.4125,93475
2024-04-24,0.409,0.414,0.38,0.388,80464
2024-04-25,0.399,0.4204,0.388,0.41,106950
2024-04-26,0.385,0.423,0.385,0.3996,61558
2024-04-29,0.4023,0.41,0.3855,0.4049,103551
2024-04-30,0.4068,0.4085,0.39,0.404899,49219
2024-05-01,0.4,0.4048,0.39,0.39,42294
2024-05-02,0.404,0.404,0.38,0.385,79222
2024-05-03,0.388261,0.3999,0.35,0.3662,144389
2024-05-06,0.3689,0.3989,0.360301,0.38,178736
2024-05-07,0.38,0.3899,0.3708,0.3746,45623
2024-05-08,0.37,0.3789,0.351,0.3568,125378
2024-05-09,0.36,0.3781,0.36,0.365,32444
2024-05-10,0.378,0.378,0.3509,0.3511,57875
2024-05-13,0.369,0.394,0.351,0.384,215084
2024-05-14,0.38,0.4089,0.36,0.392,362218
2024-05-15,0.408,0.408,0.39,0.39511,80382
2024-05-16,0.49,0.49,0.3805,0.3988,1166800.0
2024-05-17,1.52,2.1,1.33,1.68,104959204.0
2024-05-20,1.5,1.5,0.96,1.16,11570137.0
2024-05-21,1.04,1.65,0.96,1.22,9708865.0
2024-05-22,1.22,1.38,1.03,1.21,2325581.0
2024-05-23,1.14,1.19,1.05,1.16,898658
2024-05-24,1.08,1.18,1.06,1.12,831484
2024-05-28,1.11,1.12,1.0101,1.06,622481
2024-05-29,0.9785,0.988,0.77,0.7949,1298046.0
2024-05-30,0.73,0.875,0.7184,0.827,610304
2024-05-31,0.795,0.825,0.7222,0.74,753276
2024-06-03,0.7411,0.79,0.68,0.7391,543775
2024-06-04,0.75,0.782,0.708,0.75435,297721
2024-06-05,0.7312,0.7312,0.69,0.7001,181345
2024-06-06,0.7012,0.71,0.5813,0.635,326265
2024-06-07,0.64,0.74,0.635,0.652,305853
2024-06-10,0.63,0.6414,0.6,0.6169,100565
2024-06-11,0.6165,0.6165,0.525661,0.5802,237956
2024-06-12,0.595,0.639899,0.59,0.61,2271231.0
2024-06-13,0.69,0.73,0.63,0.6608,6489855.0
2024-06-14,0.61,0.649,0.5708,0.606,682171
2024-06-17,0.606,0.74,0.591101,0.71,592529
2024-06-18,0.64,0.6784,0.6305,0.65,201160
2024-06-20,0.65,0.65,0.59,0.6404,180421
2024-06-21,0.6225,0.6299,0.59,0.6053,72755
2024-06-24,0.623,0.6502,0.550101,0.552,1637658.0
2024-06-25,0.564,0.5665,0.5205,0.5635,153055
2024-06-26,0.5599,0.59,0.5355,0.55,352450
2024-06-27,0.54,0.579,0.54,0.54,102393
2024-06-28,0.5375,0.62,0.5375,0.588,530383
2024-07-01,0.5492,0.6,0.539,0.566,230800
2024-07-02,0.556,0.579,0.54,0.575,193806
2024-07-03,0.575,0.5996,0.55,0.5739,57907
2024-07-05,0.5511,0.595,0.5511,0.573301,87812
2024-07-08,0.58,0.614899,0.572,0.5801,87327
