date,open,high,low,close,volume
2024-03-01,35.42,35.7,35.18,35.57,42609
2024-03-04,35.75,35.95,35.08,35.12,39784
2024-03-05,35.07,35.92,35.07,35.63,62185
2024-03-06,35.66,36.13,35.06,35.06,48794
2024-03-07,36.03,40.31,36.03,40.1,211161
2024-03-08,40.21,46.07,40.21,45.22,238782
2024-03-11,45.2,45.2,43.695,44.84,155788
2024-03-12,44.6,45.2,44.125,44.84,99958
2024-03-13,44.78,46.96,44.56,46.35,150841
2024-03-14,46.42,48.89,46.32,48.76,165999
2024-03-15,48.7,49.605,48.39,48.57,384074
2024-03-18,48.62,51.9899,48.62,51.22,224200
2024-03-19,51.18,52.61,50.91,51.99,96980
2024-03-20,52.05,52.72,51.91,52.21,66040
2024-03-21,52.5,53.3,52.29,53.23,68733
2024-03-22,53.91,54.3125,52.14,52.44,94087
2024-03-25,52.41,53.36,51.77,52.11,89126
2024-03-26,52.05,52.8954,51.71,51.73,104549
2024-03-27,52.23,54.058,52.1,53.91,121025
2024-03-28,54.19,54.73,53.47,53.73,171804
2024-04-01,53.73,53.87,52.76,53.71,84267
2024-04-02,53.41,53.41,52.49,53.04,81122
2024-04-03,52.77,54.18,52.77,54.18,80541
2024-04-04,54.88,57.38,54.16,54.59,191630
2024-04-05,54.39,56.16,54.39,55.73,85035
2024-04-08,55.84,56.49,55.39,55.92,67255
2024-04-09,56.12,57.1862,55.56,56.49,97554
2024-04-10,55.2,55.89,54.52,55.67,105454
2024-04-11,55.52,55.615,54.76,54.91,70729
2024-04-12,54.79,55.35,53.87,54.02,75185
2024-04-15,54.32,55.15,52.79,52.97,53067
2024-04-16,52.47,53.08,52,52.47,76812
2024-04-17,52.8,52.8,50.26,50.48,91037
2024-04-18,50.48,51.555,49.98,50.15,75091
2024-04-19,49.84,51.3,49.84,50.47,70344
2024-04-22,50.37,50.6775,49.84,50.05,60588
2024-04-23,50.32,51.75,50.32,51.56,62076
2024-04-24,51.45,52.415,51.17,51.91,59562
2024-04-25,51.23,51.385,50.29,50.97,59704
2024-04-26,51.18,51.62,50.48,50.9,64497
2024-04-29,50.93,51.2655,50.03,50.15,81877
2024-04-30,49.9,49.98,48.71,48.76,67921
2024-05-01,48.91,50.54,48.91,49.67,113228
