date,open,high,low,close,volume
2024-03-01,4.54,4.9596,4.54,4.81,12929
2024-03-04,4.85,4.92,4.475,4.55,14683
2024-03-05,4.6,4.81,4.41,4.41,27980
2024-03-06,4.5,4.5799,4.3,4.315,14143
2024-03-07,4.31,4.6088,4.31,4.35,5766
2024-03-08,4.56,4.7775,4.47,4.5282,9548
2024-03-11,4.4,4.56,4.4,4.56,3956
2024-03-12,4.68,4.7,4.55,4.55,13586
2024-03-13,4.54,4.54,4.33,4.33,7439
2024-03-14,4.3,4.5,4.3,4.36,3445
2024-03-15,4.42,4.73,4.2801,4.39,4566
2024-03-18,4.03,4.6609,3.88,4.3,4784
2024-03-19,4.4,4.54,4.09,4.11,10103
2024-03-20,4.4712,4.4712,4.2001,4.32,9232
2024-03-21,4.22,4.22,4,4.09,16237
2024-03-22,4.02,4.3387,4.02,4.28,5013
2024-03-25,4.29,4.29,3.93,4.1782,24508
2024-03-26,4.185,4.2883,4.115,4.12,3199
2024-03-27,4.3,4.9432,4.1237,4.45,12413
2024-03-28,4.3201,4.4409,4.115,4.1917,10227
2024-04-01,4.0165,4.31,4.0165,4.24,7254
2024-04-02,4.275,4.4,4.136,4.4,5028
2024-04-03,4.4,4.9473,4.3501,4.36,13771
2024-04-04,4.49,4.9,4.49,4.7995,15453
2024-04-05,4.72,4.75,4.46,4.6752,5987
2024-04-08,4.76,4.9566,4.65,4.65,8866
2024-04-09,4.8999,4.8999,4.5401,4.5401,7644
2024-04-10,4.54,4.685,4.3273,4.685,2547
2024-04-11,4.5,4.5,4.475,4.48,2853
2024-04-12,4.48,4.48,4.33,4.4799,5805
2024-04-15,4.26,4.6424,4.16,4.16,8124
2024-04-16,4.2,4.3455,4.12,4.3455,6150
2024-04-17,4.36,4.4,4.36,4.4,568
2024-04-18,4.4435,4.4435,4.2927,4.36,1370
2024-04-19,4.35,4.48,4.2501,4.45,2430
2024-04-22,4.38,4.38,4.38,4.38,812
2024-04-23,4.43,4.4867,4.43,4.465,2343
2024-04-24,4.696,4.7255,4.29,4.31,5087
2024-04-25,4.505,4.6009,4.4555,4.4684,2359
2024-04-26,4.88,4.88,4.31,4.4199,2308
2024-04-29,4.26,4.38,4.26,4.37,2858
2024-04-30,4.49,4.646,4.4004,4.443,2513
2024-05-01,4.3901,4.4524,4.3901,4.4524,590
2024-05-02,4.5602,4.83,4.4,4.5549,4358
2024-05-03,4.52,4.8,4.44,4.6325,3197
2024-05-06,4.72,4.77,4.48,4.48,1997
2024-05-07,4.6857,4.6857,4.45,4.52,3782
2024-05-08,4.5308,4.55,4.12,4.55,5159
2024-05-09,4.6191,4.6191,4.51,4.5141,4851
2024-05-10,4.6465,4.78,4.3155,4.61,7968
2024-05-13,4.61,4.64,4.15,4.435,4687
2024-05-14,4.3343,4.57,4.3343,4.53,6079
2024-05-15,4.595,4.75,4.45,4.51,35841
2024-05-16,4.5,4.54,4.4699,4.52,1638
2024-05-17,4.39,4.75,4.39,4.55,14220
2024-05-20,4.52,4.74,4.5,4.74,2508
2024-05-21,4.51,4.7,4.51,4.55,9238
2024-05-22,4.6,4.644,4.5,4.5714,7990
2024-05-23,4.39,4.64,4.29,4.465,18393
2024-05-24,4.3481,4.7299,4.2101,4.38,14283
2024-05-28,4.26,4.6,4.17,4.2563,21020
2024-05-29,4.2,4.3315,4.12,4.152,10390
2024-05-30,4.25,4.6,4.1605,4.4,41188
2024-05-31,4.16,4.4412,4.16,4.33,3736
2024-06-03,4.365,4.6,4.11,4.59,53980
2024-06-04,4.49,4.6927,4.4,4.59,8833
2024-06-05,4.52,4.65,4.33,4.65,3442
2024-06-06,4.54,4.68,4.395,4.56,15118
2024-06-07,4.41,4.59,4.41,4.5899,4088
2024-06-10,4.66,4.68,4.4001,4.64,5627
2024-06-11,4.64,4.67,4.45,4.45,6526
2024-06-12,4.55,4.64,4.35,4.48,5339
