date,open,high,low,close,volume
2024-03-01,16.5,16.9,14.4,16.8,239409.4
2024-03-04,16,16.5,15,15.8,30443.6
2024-03-05,15.2,15.7,14.6,15.6,17964.9
2024-03-06,15.3,15.3,14.3,14.8,15441.8
2024-03-07,14.4,14.9,13.5,14.5,28783.6
2024-03-08,14.5,14.5,13.6,14.4,12518.3
2024-03-11,14.4,14.465,13.45,13.5,16323
2024-03-12,13.7,13.9,13,13.4,13534.9
2024-03-13,13.4,13.5,12.6,13.3,12818.4
2024-03-14,13.3,13.7,12.6,13.7,16367.4
2024-03-15,13.5,13.7,12.7,13.7,13232
2024-03-18,13.6,13.7,12.8,13.5,13019.9
2024-03-19,13.1,13.2,12.3,12.3,12671.3
2024-03-20,12.3,12.6,11.9,12.1,10154.4
2024-03-21,12.1,12.4,11.6,12.1,9712.1
2024-03-22,12.2,13.5,11.6,13.5,88797.4
2024-03-25,13,13.5,12.3,13.3,17813.4
2024-03-26,13.4,13.4,12.6,12.6,13533.8
2024-03-27,12.8,13.3,12.6,13.2,12124.5
2024-03-28,13.5,15,13.3,15,57237.5
2024-04-01,15,15.8,14.405,15,32715.7
2024-04-02,15.5,16.2,15,15.6,32217.7
2024-04-03,15.5,17.8,15.3,17.6,52316.2
2024-04-04,18.7,23.9,18.6,23.2,191649
2024-04-05,29.7,36.7,25,26.9,975575.1
2024-04-08,27.3,27.9,24.9,27.3,276419.8
2024-04-09,27.5,28.3,25.1,26.9,61453.9
2024-04-10,26.9,27.8,25.006,27.7,282464.2
2024-04-11,26.8,27.7,26.2,26.6,41118.7
2024-04-12,26.6,27.3,25.7,27,175944.7
2024-04-15,27.1,32.1,27,31,157401.2
2024-04-16,31.2,32.928,29,29.9,198864.1
2024-04-17,30,32.5,25.3,30.1,100569.8
2024-04-18,29.4,30.4,28.7,29.8,53283
2024-04-19,29.9,32.7,29.9,31.35,189585.5
2024-04-22,30.6,33,29.2,30.2,384407.4
2024-04-23,30.1,31.4,29,29.6,164858.7
2024-04-24,29.8,31.3,28.501,29.1,414165.1
2024-04-25,29.1,29.1,6.795,7.7,1236391.0
2024-04-26,7.102,7.142,5.1,5.264,672482
2024-04-29,5.25,5.6,5.102,5.145,232274.5
2024-04-30,5.14,5.155,4.004,4.349,290822.9
2024-05-01,4.227,4.5,4.1,4.212,105757
2024-05-02,4.3,4.45,3.96,4.151,146056.5
2024-05-03,4.11,4.353,4.11,4.262,89021.2
2024-05-06,4.21,4.717,4.21,4.497,153198.4
2024-05-07,4.8,5.105,4.7,5.05,341511.6
2024-05-08,5.38,5.45,5.105,5.298,238733.7
2024-05-09,5.45,5.7,5.35,5.54,242581.1
2024-05-10,5.75,6.546,5.54,6.4,251985.3
2024-05-13,6.3,7.2,6.3,7.18,260052
2024-05-14,7.436,7.949,7.221,7.9,190550.6
2024-05-15,8.3,9.45,8.1,9.4,185441.1
2024-05-16,9.6,10.3,8.63,10.3,263288.6
2024-05-17,8.407,8.497,6.7,6.979,321314.1
2024-05-20,7.86,7.86,4.7,6.27,262452
2024-05-21,6.4,7.3625,5.07,7.35,162943.2
2024-05-22,7.338,7.38,6.821,7.355,63443.9
2024-05-23,7.455,7.455,6.31,6.9,52882
2024-05-24,6.9,7.06,6.855,6.919,40788.4
2024-05-28,6.8,6.9,4.566,5.751,111428.3
2024-05-29,5.787,6.23,5.787,6.141,53447.6
2024-05-30,6.1,6.3,5.6,5.775,46430.8
2024-05-31,5.856,6,5.5015,5.7413,37002.9
2024-06-03,5.607,5.8,5.247,5.521,41237.1
2024-06-04,5.802,5.919,5.558,5.784,57710.3
2024-06-05,5.784,5.794,5.187,5.429,60720.3
2024-06-06,5.006,5.3489,4.701,4.85,81383
2024-06-07,4.695,4.757,4.381,4.481,57206
2024-06-10,4.6,4.6,4.32,4.405,37060.5
2024-06-11,4.72,7,4.701,5.4,1118933.9
2024-06-12,5.5,6.243,5.469,5.99,282419.1
2024-06-13,7.2,9.799,6.074,6.596,4263880.7
2024-06-14,7.35,8.3,7.042,7.48,338013.9
2024-06-17,8.3,8.99,7.8,8.99,355571
2024-06-18,8.98,8.98,7.5,8.66,426028.7
2024-06-20,8.9,9,8.661,9,566824.6
2024-06-21,9.172,9.25,8.1,9.199,350322.7
2024-06-24,9.2,9.705,9,9.3,474220.8
2024-06-25,9.7,10.2,9.3,10.2,482398.3
2024-06-26,9.851,9.999,9.5,9.6,128821.1
2024-06-27,9.6,10.4,9.2,10.3,689963.4
2024-06-28,9.79,10.4,9.4,10.3,298273.9
2024-07-01,10.3,10.4,10,10.2,52609.5
2024-07-02,9.99,11,9.98,10.7,221420.9
2024-07-03,10.8,12.9,10.6,11.7,223129
2024-07-05,12,13.5,11.218,13.4,317113.9
2024-07-08,15,15.3,11.4,11.8,332603.8
2024-07-09,11.9,12.265,11.6,11.7,78761
2024-07-10,11.8,11.95,10.8,11.5,103503.7
2024-07-11,11.5,12.4,11.5,12.3,89070.4
2024-07-12,12.4,12.7,12.1,12.3,47033.6
2024-07-15,12.3,13,12.219,12.6,76306.6
2024-07-16,12.9,13.7,12.799,13.7,83955.6
2024-07-17,13.7,14.5,12.7,13.8,167627.4
2024-07-18,13.8,13.9,13.3,13.5,455080.8
2024-07-19,13.8,15,13.8,15,175339.2
2024-07-22,15,15.1,13.6,14.3,425113.1
2024-07-23,14.5,14.686,13.6,13.9,133858.4
2024-07-24,14,14.85,13.7,14.6,149546
2024-07-25,14.6,15.5,14.3,14.6,483415.1
2024-07-26,14.4,14.5,11,14.2,122470
2024-07-29,14.2,15.2,14.2,15,182082.7
2024-07-30,14.5,14.8,14.2,14.6,53469.1
2024-07-31,14.2,14.6,13.9,14,47647.4
2024-08-01,14.3,14.401,14,14.1,45059.5
2024-08-02,14.1,14.5,13,14.4,96621.5
2024-08-05,13.8,14.9,12.7,14.7,176699.3
2024-08-06,14.2,15.1,13.9,15.1,89763
2024-08-07,14.8,14.8,14,14,55191.8
2024-08-08,14.3,14.3,13.7,13.7,23741.8
2024-08-09,13.7,13.959,13,13.3,105115.1
2024-08-12,13.1,13.6,12.2,13.1,147449.5
2024-08-13,12.7,12.7,1.345,1.5,8925325.2
2024-08-14,1.621,1.65,0.96,1.048,12498743.7
2024-08-15,1,1.129,0.811,1.042,7451378.2
2024-08-16,1.066,1.308,1.021,1.24,4072257.9
2024-08-19,1.24,1.265,1.03,1.113,2269683.1
2024-08-20,1.164,1.246,1.1,1.128,2371226.8
2024-08-21,1.115,1.146,1.077,1.124,1009342.5
2024-08-22,1.111,1.18,1.052,1.06,795626.3
2024-08-23,1.063,1.1,1.01,1.043,939968.5
2024-08-26,1.099,1.127,1.046,1.06,964812.2
2024-08-27,1.1,1.176,1.052,1.069,1888510.7
2024-08-28,1.09,1.099,0.9,0.935,1593541.9
2024-08-29,0.972,0.972,0.9,0.936,1405277.3
2024-08-30,0.94,0.96,0.884,0.912,794480.5
2024-09-03,0.93,0.964,0.9,0.946,496271.8
2024-09-04,0.935,1.08,0.911,1.076,1019925.8
2024-09-05,1.078,1.261,1.077,1.243,2085680.3
2024-09-06,1.189,1.272,1.083,1.224,1231689.5
2024-09-09,1.191,1.271,1.143,1.209,865904.9
2024-09-10,1.2,1.23,1.04,1.139,1145734.1
2024-09-11,1.137,1.142,1.05,1.129,1051106.4
2024-09-12,1.138,1.15,1.079,1.124,1443944.5
2024-09-13,1.106,1.124,1.053,1.086,766921.3
