date,open,high,low,close,volume
2024-03-01,3.64,3.75,3.5101,3.52,7791
2024-03-04,3.62,3.67,3.52,3.67,2389
2024-03-05,3.67,3.82,3.4126,3.6,7530
2024-03-06,3.79,3.79,3.4,3.53,9312
2024-03-07,3.59,3.6,3.5,3.59,8350
2024-03-08,3.35,3.575,3.2102,3.24,23889
2024-03-11,3.2101,3.33,3.21,3.21,3532
2024-03-12,3.33,3.33,2.8,2.82,21930
2024-03-13,2.82,3.01,2.82,2.99,13228
2024-03-14,3.4899,3.4899,3.26,3.26,5306
2024-03-15,3.09,3.4,3.09,3.3,16480
2024-03-18,3.53,3.63,3.36,3.39,34720
2024-03-19,3.35,3.5684,3.35,3.39,79748
2024-03-20,3.38,3.4,3.21,3.31,6628
2024-03-21,3.35,3.4099,3.2,3.2,7088
2024-03-22,3.3,3.3,3.15,3.29,9384
2024-03-25,3.19,3.29,3.19,3.27,5131
2024-03-26,3.2,3.36,3.15,3.225,10053
2024-03-27,3.16,3.2939,3.15,3.15,4744
2024-03-28,3.2,3.24,3.15,3.15,3001
2024-04-01,3.145,3.145,3.01,3.1,6039
2024-04-02,3.09,3.09,3.08,3.08,3003
2024-04-03,3.01,3.18,3,3.16,6054
2024-04-04,3.01,3.1799,2.881,3.09,15382
2024-04-05,3,3.04,2.97,2.97,8611
2024-04-08,3,3.06,2.77,3.0264,10185
2024-04-09,2.76,3.18,2.76,2.865,5487
2024-04-10,2.84,2.995,2.835,2.86,17908
2024-04-11,2.81,3.2,2.7501,3.0399,15689
2024-04-12,3.14,3.2,2.77,2.99,18594
2024-04-15,2.78,2.915,2.78,2.915,675
2024-04-16,2.9,2.99,2.8,2.8645,2571
2024-04-17,2.93,3.07,2.885,3.04,7456
2024-04-18,2.8784,3.05,2.8784,3.05,3260
2024-04-19,2.91,3.03,2.8095,2.91,3368
2024-04-22,2.86,3,2.86,2.92,4147
2024-04-23,2.91,2.95,2.8404,2.8659,4416
2024-04-24,2.86,2.9999,2.86,2.89,6674
2024-04-26,2.8533,2.915,2.78,2.78,13269
2024-04-29,2.87,2.9899,2.77,2.93,32757
2024-04-30,2.85,2.9,2.7454,2.77,46686
2024-05-01,2.7707,2.9399,2.7707,2.85,1402
2024-05-02,2.85,2.91,2.7854,2.8,32409
2024-05-03,2.9,2.99,2.85,2.93,11826
2024-05-06,2.99,2.99,2.825,2.87,15162
2024-05-07,2.91,2.97,2.9,2.9,9319
2024-05-08,2.915,2.98,2.8714,2.92,7848
2024-05-09,2.88,2.93,2.8,2.8,7023
2024-05-10,2.76,3.35,2.76,3.29,57999
2024-05-13,3.2146,4,3.2146,3.42,65062
2024-05-14,3.59,3.59,3.18,3.34,28436
2024-05-15,3.49,3.69,3.28,3.28,32261
2024-05-16,3.26,3.28,3.22,3.22,10153
2024-05-17,3.38,3.42,3.24,3.31,2972
2024-05-20,3.325,3.3999,3.27,3.3602,12942
2024-05-21,3.26,3.4875,3.24,3.38,13406
2024-05-22,3.2322,3.38,3.2322,3.38,51351
2024-05-23,3.285,3.43,2.8901,3.25,37615
2024-05-24,3.2717,3.39,3.0101,3.25,4949
2024-05-28,3.25,3.43,3.25,3.3,14613
2024-05-29,3.3,3.3199,3.1201,3.3199,16086
2024-05-30,3.22,3.305,3.22,3.22,3101
2024-05-31,3.3,3.3,3.23,3.25,8333
2024-06-03,3.3,3.35,3.23,3.35,5117
2024-06-04,3.35,3.35,3.2901,3.3499,9522
2024-06-05,3.23,3.3429,3.23,3.3429,3793
2024-06-06,3.349,3.4,3.336,3.4,2852
2024-06-07,3.39,3.5,3.3215,3.41,6905
2024-06-10,3.34,3.6342,3.34,3.47,30701
2024-06-11,3.55,4.3899,3.55,3.965,94129
2024-06-12,4.1246,4.2219,3.59,3.8,30921
2024-06-13,3.85,4.11,3.66,3.87,25116
2024-06-14,3.94,4.09,3.6313,3.83,21283
2024-06-17,3.25,3.961,3.02,3.18,560879
2024-06-18,3.3,3.77,3.16,3.27,291910
2024-06-20,3.67,3.68,3.3601,3.48,67158
2024-06-21,3.48,3.9,3.34,3.5,278311
2024-06-24,3.94,4.05,3.355,3.91,112911
2024-06-25,3.92,4.3199,3.71,3.8,139737
2024-06-26,3.77,3.935,3.53,3.55,49958
2024-06-27,3.59,4.59,3.59,4.24,205955
2024-06-28,4.32,4.99,4.31,4.96,222263
2024-07-01,4.99,5.24,4.59,4.68,269485
2024-07-02,4.76,5.1499,4.2,4.4,82577
2024-07-03,4.4,4.53,4.2403,4.38,22128
2024-07-05,4.52,4.71,4.31,4.57,108710
2024-07-08,4.67,4.84,4.35,4.83,71978
2024-07-09,4.8,4.9099,4.53,4.66,139426
2024-07-10,4.76,4.91,4.44,4.5,71062
2024-07-11,4.55,4.7208,4.55,4.58,37614
2024-07-12,4.56,4.75,4.08,4.4,206440
2024-07-15,4.37,4.5178,4.3002,4.36,77193
2024-07-16,4.53,4.55,4.3601,4.43,33158
2024-07-17,4.36,4.363,3.86,4.04,76857
2024-07-18,3.99,4.37,3.99,4.01,30675
2024-07-19,3.97,4.1,3.71,4,30132
2024-07-22,3.8,3.95,3.71,3.76,53885
2024-07-23,3.57,4.3,3.53,4.06,78916
2024-07-24,3.95,3.9601,3.74,3.81,15318
2024-07-25,3.87,4.0699,3.68,3.75,7607
2024-07-26,3.75,4.015,3.57,3.78,69893
2024-07-29,3.7823,3.9236,3.71,3.71,14915
2024-07-30,3.55,3.9,3.5,3.63,59525
2024-07-31,3.76,3.99,3.612,3.65,158887
2024-08-01,3.77,3.77,3.3,3.42,72749
2024-08-02,3.32,3.4473,2.9,2.99,159679
2024-08-05,2.63,2.9156,2.44,2.73,95582
2024-08-06,2.89,3.16,2.73,2.93,52979
2024-08-07,3.14,3.21,2.72,2.84,71765
2024-08-08,2.56,3.375,2.28,3.07,148026
2024-08-09,3,3.13,2.9001,3,15518
2024-08-12,2.95,2.95,2.83,2.84,11339
2024-08-13,2.92,3.15,2.92,3.0659,15959
2024-08-14,3.06,3.7,2.9499,3.3,47380
2024-08-15,3.18,3.49,3,3.36,37864
