date,open,high,low,close,volume
2024-03-01,14.51,15.5,14.2501,15.47,63218
2024-03-04,15.22,16.61,14.7601,16.25,26459
2024-03-05,16.34,16.5,16.03,16.5,9122
2024-03-06,16,16.6989,15.49,16.01,36998
2024-03-07,15.75,16.344,15.43,15.99,12178
2024-03-08,16.79,16.99,15.735,16.01,84176
2024-03-11,15.9,16.53,15.2,16.53,31348
2024-03-12,16.4,16.79,16.1,16.79,6752
2024-03-13,16.51,16.78,16.0639,16.78,26350
2024-03-14,16.52,16.76,16.0001,16.68,41867
2024-03-15,16.43,17,15.87,16.85,102184
2024-03-18,17,17.89,16.51,17.55,30843
2024-03-19,17.49,18.16,17.32,18,24286
2024-03-20,17.955,18,17.3556,17.8,114354
2024-03-21,17.7,17.85,17.52,17.8,15572
2024-03-22,17.8,18.075,17.525,17.98,87694
2024-03-25,17.72,18.24,17.645,18.24,34693
2024-03-26,18.16,18.4,17.12,18,41037
2024-03-27,18.16,18.16,16.501,17.24,53302
2024-03-28,17.75,17.75,15.14,16.95,35053
2024-04-01,17.35,17.5426,16.59,16.89,8877
2024-04-02,16.28,17.05,16.28,16.9,17673
2024-04-03,17.1,17.1,16.15,16.54,40297
2024-04-04,15.74,17.1,15.74,16.4,32826
2024-04-05,15.97,16.755,15.97,16.47,22488
2024-04-08,16.46,16.75,16.01,16.27,19058
2024-04-09,15.82,16.6,14.08,16.19,86744
2024-04-10,16.02,16.67,15.76,15.76,83505
2024-04-11,16,16.36,15.86,16.28,34205
2024-04-12,16,16.04,14.08,15.4006,44571
2024-04-15,15.4,16,14.69,15.79,52833
2024-04-16,15.5,15.75,15,15.6,18706
2024-04-17,15.6,15.75,15.2,15.74,17692
2024-04-18,15.34,15.41,13.49,14.17,45433
2024-04-19,14.45,15,14.45,14.8494,10344
2024-04-22,15.49,15.49,14.5,14.8,65845
2024-04-23,15,15.375,14.8,15.26,51307
2024-04-24,15,15.04,14.5006,14.75,36349
2024-04-25,14.96,15.19,14.55,14.72,48417
2024-04-26,14.92,15.5,14,15.5,113417
2024-04-29,15.24,16.6189,15.24,15.7,172175
2024-04-30,15.5,16.508,15.5,15.9,30487
2024-05-01,15.46,16.25,15.435,15.89,18432
2024-05-02,16.21,16.21,15.15,15.32,132062
2024-05-03,15.49,16,14.52,15.51,222557
2024-05-06,15.45,15.7416,14.8206,15.49,741978
2024-05-07,15.5,15.5,14.5,14.93,315679
2024-05-08,14.97,15,14.48,14.52,20966
2024-05-09,14.22,14.67,14.22,14.4,8339
2024-05-10,14.5,14.5,13.99,14.23,3342
2024-05-13,14.25,14.365,14.125,14.23,4691
2024-05-14,14.04,14.24,14,14.24,2488
2024-05-15,14.24,14.24,12.9177,13.62,6372
2024-05-16,13.955,14.19,13.65,14.19,2070
2024-05-17,13.84,13.84,12.85,12.98,6016
2024-05-20,12.88,13.01,12.21,12.67,6924
2024-05-21,12.67,13.28,12.67,13.27,2705
2024-05-22,12.97,13.22,12.515,13.22,10936
2024-05-23,13.21,13.24,13,13.14,1552
2024-05-24,12.87,13,12.37,12.86,6472
2024-05-28,12.23,12.57,12.23,12.57,810
2024-05-29,12.47,12.74,12.35,12.74,1398
2024-05-30,12.49,12.8,10.5,10.5,57687
2024-05-31,10.5,12,8.5,8.79,127532
2024-06-03,9.74,11,7.45,8,297348
2024-06-04,8.14,8.92,7.2501,7.7,39400
2024-06-05,8.075,8.11,6.91,7.95,35308
2024-06-06,7.863,8.04,7.62,7.865,2064
2024-06-07,7.86,8.65,7.86,8.5,440304
2024-06-10,8.17,8.594,7.7001,7.91,50499
2024-06-11,8.6,8.75,7.9,8.74,318572
2024-06-12,8.62,10.76,8.615,9.9,271797
2024-06-13,9.97,10.3491,9.79,10,86701
