date,open,high,low,close,volume
2024-03-01,2.55,2.63,2.301,2.5,250260
2024-03-04,2.29,2.4886,2.111,2.23,592945
2024-03-05,2.12,2.47,2.11,2.24,161674
2024-03-06,2.23,2.3939,2.1601,2.26,153726
2024-03-07,2.25,2.79,2.25,2.71,311534
2024-03-08,2.78,2.908,2.65,2.67,202724
2024-03-11,2.52,2.7,2.17,2.53,259066
2024-03-12,2.59,2.66,2.27,2.53,138275
2024-03-13,2.46,2.6319,2.46,2.63,97516
2024-03-14,2.63,2.7808,2.45,2.55,149355
2024-03-15,2.44,2.74,2.38,2.54,143670
2024-03-18,2.53,2.71,2.48,2.64,94674
2024-03-19,2.47,2.79,2.47,2.69,184748
2024-03-20,2.72,2.91,2.59,2.88,262109
2024-03-21,2.87,2.9,2.72,2.77,270916
2024-03-22,2.72,2.985,2.72,2.82,282219
2024-03-25,2.78,2.9,2.3,2.44,460372
2024-03-26,2.26,2.3469,1.61,2.06,694489
2024-03-27,1.95,2.13,1.92,2.06,171229
2024-03-28,2.04,2.45,2.04,2.31,386043
2024-04-01,2.27,2.3252,2.01,2.11,404015
2024-04-02,2.11,2.296,2.08,2.18,159714
2024-04-03,2.16,2.41,2.14,2.33,219141
2024-04-04,2.41,2.43,2.19,2.22,145267
2024-04-05,2.24,2.26,2.1,2.135,116981
2024-04-08,2.11,2.2,1.92,1.92,159949
2024-04-09,1.91,2.087,1.91,1.94,72614
2024-04-10,1.92,1.9922,1.812,1.86,213376
2024-04-11,1.96,1.98,1.9,1.95,53831
2024-04-12,1.92,1.99,1.85,1.85,39197
2024-04-15,1.89,1.9,1.72,1.77,86012
2024-04-16,1.77,1.85,1.71,1.85,57222
2024-04-17,1.83,1.89,1.65,1.79,92978
2024-04-18,1.76,1.84,1.71,1.73,73529
2024-04-19,1.72,1.794,1.6,1.61,103321
2024-04-22,1.68,1.7146,1.58,1.65,55767
2024-04-23,1.63,1.82,1.63,1.72,88154
2024-04-24,1.79,1.83,1.69,1.79,107568
2024-04-25,1.79,1.85,1.67,1.81,130536
2024-04-26,1.85,1.85,1.69,1.71,80229
2024-04-29,1.71,1.7201,1.63,1.63,64393
2024-04-30,1.65,1.74,1.35,1.49,259473
2024-05-01,1.47,1.5346,1.32,1.46,242439
2024-05-02,1.46,1.63,1.45,1.56,65738
2024-05-03,1.58,1.7099,1.56,1.67,73261
2024-05-06,1.67,1.8646,1.67,1.72,73153
2024-05-07,1.74,1.81,1.74,1.78,74288
2024-05-08,1.83,1.83,1.6601,1.7,40842
2024-05-09,1.73,1.86,1.66,1.8,62251
2024-05-10,1.89,1.89,1.51,1.53,126682
2024-05-13,1.51,1.6591,1.4901,1.54,58036
2024-05-14,1.54,1.61,1.47,1.54,143599
2024-05-15,1.56,1.66,1.5012,1.54,50418
2024-05-16,1.52,1.6454,1.51,1.54,53631
2024-05-17,1.545,1.6,1.5305,1.56,31380
2024-05-20,1.57,1.6,1.51,1.55,60346
2024-05-21,1.54,1.57,1.51,1.51,38158
2024-05-22,1.51,1.61,1.36,1.43,90841
2024-05-23,1.43,1.49,1.345,1.4,96871
2024-05-24,1.4,1.4851,1.37,1.4,67336
2024-05-28,1.4,1.48,1.38,1.46,91643
2024-05-29,1.4499,1.5,1.38,1.38,83925
2024-05-30,1.37,1.5,1.37,1.47,21913
2024-05-31,1.5,1.53,1.47,1.5,69039
2024-06-03,1.5,1.51,1.4304,1.47,91027
2024-06-04,1.36,1.39,1.01,1.06,10831288.0
2024-06-05,0.95,1.03,0.8558,0.8578,1483672.0
2024-06-06,0.8705,0.9,0.8649,0.8969,570562
2024-06-07,0.83,0.8555,0.8009,0.801,328431
2024-06-10,0.8,0.8002,0.6957,0.7073,419921
2024-06-11,0.7068,0.75,0.696,0.7273,291636
2024-06-12,0.72,0.72,0.68,0.711,320690
2024-06-13,0.6905,0.7855,0.6903,0.7855,458910
2024-06-14,0.78,0.8101,0.7012,0.713,180842
2024-06-17,0.7199,0.7543,0.6911,0.7166,125719
2024-06-18,0.7266,0.7266,0.688,0.69,102848
2024-06-20,0.691,0.7099,0.6602,0.664,153990
2024-06-21,0.68,0.684251,0.6425,0.664,117319
2024-06-24,0.665,0.7599,0.65501,0.6807,396048
2024-06-25,0.68,0.697,0.67,0.6838,74818
2024-06-26,0.6925,0.696,0.6694,0.6701,92097
2024-06-27,0.6627,0.6789,0.631,0.668,186052
2024-06-28,0.6789,0.7,0.65,0.6932,83302
2024-07-01,0.693,0.693,0.669,0.6779,33773
2024-07-02,0.68,0.701,0.6499,0.68,94555
2024-07-03,0.671,0.702,0.6596,0.662,41760
2024-07-05,0.67,0.7067,0.6652,0.6799,114634
2024-07-08,0.67,0.7415,0.66,0.71,121829
2024-07-09,0.7011,0.719899,0.689,0.7098,92569
2024-07-10,0.695,0.75,0.695,0.7319,97101
2024-07-11,0.7311,0.78,0.708,0.761,73135
2024-07-12,0.7515,0.8423,0.740516,0.8423,157537
2024-07-15,0.84,0.893,0.8175,0.89,155751
2024-07-16,0.8603,0.9498,0.831,0.9097,182353
2024-07-17,0.92,0.95,0.8762,0.9288,160500
2024-07-18,0.9388,0.9388,0.8907,0.91,83317
2024-07-19,0.9,0.9,0.844,0.87,76020
2024-07-22,0.8889,0.8913,0.8521,0.8635,33239
2024-07-23,0.8795,0.884999,0.8,0.874,91017
2024-07-24,0.8852,0.8899,0.8427,0.8824,44682
2024-07-25,0.89,0.89,0.76,0.8,157134
2024-07-26,0.7778,0.8178,0.765,0.8177,47615
2024-07-29,0.8118,0.812,0.7603,0.7883,52547
2024-07-30,0.76,0.788,0.7111,0.731,92399
2024-07-31,0.722,0.7999,0.7218,0.7472,95538
2024-08-01,0.7472,0.7589,0.7,0.7302,56470
2024-08-02,0.7201,0.7302,0.67,0.6912,83181
2024-08-05,0.66,0.6862,0.6276,0.6355,117420
2024-08-06,0.685,0.7599,0.6006,0.7299,780547
2024-08-07,0.76,0.7989,0.702,0.734,82549
2024-08-08,0.7144,0.764,0.7003,0.711,62962
2024-08-09,0.76,0.76,0.7,0.7,39965
2024-08-12,0.701,0.75,0.69,0.72,51718
2024-08-13,0.72,0.749,0.71,0.729951,104838
2024-08-14,0.75,0.799,0.7127,0.799,68597
2024-08-15,0.79,0.839,0.780101,0.8099,143277
2024-08-16,0.79,0.8095,0.7751,0.7851,69257
2024-08-19,0.79,0.8,0.7765,0.7801,56097
2024-08-20,0.79,0.8399,0.7801,0.8264,125708
2024-08-21,0.84,0.866,0.8205,0.8227,100780
2024-08-22,0.83,0.96,0.83,0.94,310863
2024-08-23,0.97,1.09,0.96,1.0897,314419
2024-08-26,1.08,1.19,1.07,1.125,308030
2024-08-27,1.16,1.1688,0.99585,1.04,246376
2024-08-28,1.05,1.09,1.01,1.02,68862
2024-08-29,1.01,1.31,1.01,1.08,831312
2024-08-30,1.1,1.12,1.04,1.07,120214
2024-09-03,1.08,1.08,0.94,0.971,142076
2024-09-04,0.9419,1.05,0.92,0.9749,74524
2024-09-05,0.99,1.0335,0.97,0.98,43807
2024-09-06,1,1.03,0.89,0.926,315476
2024-09-09,0.94,0.94,0.8505,0.8944,184619
2024-09-10,0.88,0.9588,0.8501,0.8824,159335
2024-09-11,0.85,0.8804,0.85,0.8595,169400
2024-09-12,0.86,0.8899,0.86,0.87,43751
2024-09-13,0.9038,0.9398,0.852,0.87,73169
2024-09-16,0.8999,0.8999,0.83,0.86,135560
2024-09-17,0.891,0.891,0.85,0.855,78885
2024-09-18,0.894099,0.894099,0.85,0.85,76014
2024-09-19,0.87,0.8846,0.85,0.87,70077
2024-09-20,0.8888,0.9391,0.821,0.85,101909
2024-09-23,0.833,0.88,0.74,0.7989,204328
2024-09-24,0.785,0.838,0.785,0.8201,58955
2024-09-25,0.8002,0.837,0.8,0.81,12306
