date,open,high,low,close,volume
2024-03-01,16.12,16.62,15.93,16.09,962437
2024-03-04,16.08,16.09,15.34,15.69,454966
2024-03-05,15.46,15.71,15.19,15.34,307281
2024-03-06,15.54,15.57,15.25,15.46,351193
2024-03-07,15.54,15.74,15.28,15.56,292221
2024-03-08,15.74,15.75,15.18,15.2,254228
2024-03-11,15.12,15.3,14.79,15.05,443099
2024-03-12,15.08,15.2286,14.54,14.75,425480
2024-03-13,14.65,14.98,14.65,14.82,353427
2024-03-14,14.75,14.75,14.06,14.17,374573
2024-03-15,14.12,14.84,14.075,14.82,1638850.0
2024-03-18,14.98,15.04,14.52,14.58,289981
2024-03-19,14.5,14.85,14.3,14.78,234027
2024-03-20,14.79,15.22,14.73,15.2,314526
2024-03-21,15.4,16.09,14.645,15.61,500161
2024-03-22,15.59,15.635,15.2,15.3,347701
2024-03-25,15.38,15.445,14.9,15.1,279948
2024-03-26,15.19,15.37,14.96,15.15,351454
2024-03-27,15.33,15.86,15.28,15.8,323600
2024-03-28,15.86,16,15.6367,15.79,334479
2024-04-01,15.79,15.95,15.605,15.87,321598
2024-04-02,15.54,15.585,14.77,14.93,386636
2024-04-03,14.76,15.6,14.69,15.54,249664
2024-04-04,15.63,15.95,15.4,15.51,513007
2024-04-05,15.37,15.37,14.82,14.86,272375
2024-04-08,15.03,15.18,14.72,14.73,293101
2024-04-09,14.66,14.915,14.503,14.83,502898
2024-04-10,14.39,14.66,14.15,14.39,399770
2024-04-11,14.48,14.805,14.09,14.8,422046
2024-04-12,14.72,15.21,14.28,14.37,311382
2024-04-15,14.43,14.74,13.92,13.98,188297
2024-04-16,13.75,13.79,13.54,13.7,289104
2024-04-17,13.82,13.98,13.46,13.53,408607
2024-04-18,13.52,13.74,13.41,13.63,251210
2024-04-19,13.58,13.78,13.51,13.71,355744
2024-04-22,13.78,13.79,13.57,13.75,258874
2024-04-23,13.63,14.22,13.63,13.89,267072
2024-04-24,13.84,14.05,13.66,13.98,258853
2024-04-25,13.7,14.24,13.56,14.19,384452
2024-04-26,14.2,14.38,14.01,14.2,249869
2024-04-29,14.4,14.87,14.24,14.86,371290
2024-04-30,14.57,15.07,14.555,14.9,387988
2024-05-01,14.8,14.99,14.37,14.65,386550
2024-05-02,14.65,14.86,12.45,13.04,1465627.0
2024-05-03,13.59,14.175,13.3501,13.64,691059
2024-05-06,13.64,13.87,13.375,13.43,425293
2024-05-07,13.35,13.97,13.335,13.87,489655
2024-05-08,13.66,13.725,13.38,13.49,353810
2024-05-09,13.5,13.95,13.18,13.9,663395
2024-05-10,14.24,14.7,13.91,13.96,587348
2024-05-13,13.95,14.175,13.82,13.86,319406
2024-05-14,14.1,14.3,13.84,13.9,399271
2024-05-15,14.13,14.25,13.76,14.09,265618
2024-05-16,14.08,14.17,13.855,14.04,240408
2024-05-17,14,14,13.56,13.71,306088
2024-05-20,13.65,13.815,13.57,13.58,211631
2024-05-21,13.51,14.08,13.47,13.95,265012
2024-05-22,13.81,14.03,13.77,13.91,263952
2024-05-23,13.89,13.89,13.12,13.29,208490
2024-05-24,13.38,13.59,13.34,13.58,271264
2024-05-28,13.78,13.81,13.5,13.8,298030
2024-05-29,13.54,13.69,13.18,13.23,233949
2024-05-30,13.44,13.7,13.115,13.42,332573
2024-05-31,13.38,13.76,13.31,13.5,400925
2024-06-03,13.77,13.77,13.125,13.26,295654
2024-06-04,13.19,13.19,12.65,12.72,392061
2024-06-05,12.78,12.97,12.75,12.86,200682
2024-06-06,12.97,13.95,12.885,13.48,707862
2024-06-07,13.3,13.35,12.965,13.33,663067
2024-06-10,13.29,13.65,13.2461,13.63,365525
2024-06-11,13.43,13.66,13.19,13.64,382741
2024-06-12,14.18,14.74,13.85,13.87,367968
2024-06-13,13.8,13.86,13.26,13.44,185475
2024-06-14,13.44,13.55,12.8,12.83,273021
2024-06-17,12.72,13.03,12.63,13.03,213129
2024-06-18,12.96,13.05,12.5,12.53,153165
2024-06-20,12.34,12.55,12.32,12.41,187939
2024-06-21,12.4,12.5,12.26,12.37,486299
2024-06-24,12.42,13.24,12.3773,13.05,402741
2024-06-25,13.01,13.09,12.47,12.51,294888
2024-06-26,12.41,13.05,12.41,12.95,358257
2024-06-27,12.97,13.22,12.78,13.21,379351
2024-06-28,13.23,13.45,13.01,13.29,853106
2024-07-01,13.28,13.38,12.66,12.7,366822
2024-07-02,12.74,13.16,12.4638,12.79,236172
2024-07-03,12.96,13.06,12.85,12.95,128290
2024-07-05,12.91,12.94,12.59,12.6,246761
2024-07-08,12.6,12.92,12.5301,12.68,220417
2024-07-09,13.54,13.58,12.96,13.47,518249
2024-07-10,13.54,13.705,13.315,13.64,336985
2024-07-11,14.07,14.41,13.86,14.31,357354
2024-07-12,14.57,15.14,14.36,14.37,429353
2024-07-15,14.53,15.19,14.38,14.76,529531
2024-07-16,14.88,15.44,14.76,15.41,488872
2024-07-17,15.22,15.73,15,15.06,567710
2024-07-18,14.96,15.23,14.55,14.6,239639
2024-07-19,14.6,14.61,14.15,14.29,392612
2024-07-22,14.38,14.52,14.06,14.49,257362
2024-07-23,14.39,14.84,14.32,14.68,252822
2024-07-24,14.5,14.92,14.29,14.32,262375
2024-07-25,14.39,15.13,14.34,14.84,242970
2024-07-26,15.17,15.23,14.7,14.91,247812
2024-07-29,14.86,15.27,14.3301,14.43,226538
2024-07-30,14.53,14.64,14.12,14.47,244581
2024-07-31,14.47,15.02,14.36,14.58,321645
2024-08-01,16.03,17.73,15.2298,17.59,1756265.0
2024-08-02,16.85,17.07,16.09,16.29,688278
2024-08-05,15.57,16.17,15.26,16.03,771855
2024-08-06,16.03,16.69,15.735,15.86,804495
2024-08-07,16.23,16.51,15.92,15.95,286747
2024-08-08,16.61,16.66,16.12,16.6,300065
2024-08-09,16.66,16.87,16.33,16.65,455969
2024-08-12,16.66,16.87,16.395,16.6,432333
2024-08-13,16.63,16.76,16.29,16.7,280326
2024-08-14,16.81,16.8956,16.32,16.62,229989
2024-08-15,17.14,17.41,16.82,17.19,348654
2024-08-16,17.2,17.68,17.2,17.46,328367
2024-08-19,17.29,17.85,17.29,17.83,246170
2024-08-20,17.84,18.05,17.46,17.65,454188
2024-08-21,17.65,18.24,17.44,18.18,313603
2024-08-22,18.16,18.21,17.65,17.74,384748
2024-08-23,17.94,18.24,17.73,18.23,377141
2024-08-26,18.36,18.36,17.9,18.02,270286
2024-08-27,17.98,18.08,17.65,17.8,510567
2024-08-28,17.59,17.77,16.57,16.57,336344
2024-08-29,16.64,16.97,16.44,16.44,285300
2024-08-30,16.54,16.585,16.08,16.24,352379
2024-09-03,15.97,16.15,15.6,15.81,410097
2024-09-04,15.66,15.895,15.6144,15.83,286007
2024-09-05,15.92,15.92,14.7,14.79,420241
2024-09-06,14.81,14.885,14.44,14.48,298437
2024-09-09,14.45,14.99,14.43,14.86,295722
2024-09-10,14.95,15.31,14.61,15.3,487450
2024-09-11,15.3,15.61,14.95,15.49,374559
2024-09-12,15.61,15.63,15.31,15.51,334335
2024-09-13,15.64,16.16,15.64,16.03,231352
2024-09-16,16.04,16.17,15.795,16.01,486339
2024-09-17,16.26,16.47,15.91,16.45,282655
2024-09-18,16.47,17.135,16.395,16.84,431189
2024-09-19,17.35,17.45,16.92,17.24,277663
2024-09-20,17.16,17.16,16.55,17.05,616719
2024-09-23,17.05,17.25,16.805,17.05,208093
2024-09-24,17.18,17.53,17.14,17.53,136296
2024-09-25,17.6,17.74,17.01,17.04,270606
2024-09-26,17.32,17.42,17.06,17.15,163242
2024-09-27,17.37,17.475,16.99,17.19,175132
2024-09-30,17.09,17.47,17.01,17.39,179439
2024-10-01,17.55,17.55,16.96,17.11,189327
2024-10-02,17.1,17.31,16.91,17.31,414739
2024-10-03,17.12,17.26,16.96,17.01,186275
2024-10-04,17.35,17.35,16.855,16.9,203575
2024-10-07,16.76,17.64,16.72,17.6,215363
2024-10-08,17.55,18.775,17.35,18.63,488247
2024-10-09,18.58,18.928,18.505,18.74,354081
2024-10-10,18.41,18.71,18.12,18.62,296170
2024-10-11,18.51,18.685,18.22,18.65,293387
2024-10-14,18.57,18.7,18.22,18.37,268903
2024-10-15,18.28,18.36,17.982,18.04,358440
2024-10-16,18.19,18.307,17.785,17.93,402291
2024-10-17,18.09,18.27,17.91,18.01,358952
2024-10-18,18.15,19,18.06,18.87,434628
2024-10-21,18.95,19.11,18.52,18.91,482404
2024-10-22,18.79,18.81,17.93,17.99,398426
2024-10-23,17.89,18.02,17.55,17.88,302348
2024-10-24,17.94,18.025,17.62,17.85,258329
2024-10-25,18,18.09,17.64,17.82,149213
2024-10-28,18.01,18.2,17.885,17.98,212627
2024-10-29,17.81,17.9,17.48,17.58,406169
2024-10-30,17.56,17.995,17.51,17.86,302724
2024-10-31,16.85,18.1,16.1886,17.86,538979
2024-11-01,17.84,19.1,17.79,18.53,606433
2024-11-04,18.47,18.94,18.15,18.52,320785
2024-11-05,18.49,19.1,18.49,19.06,292999
2024-11-06,19.1,19.95,19,19.6,673465
2024-11-07,19.58,20.01,19.49,19.86,369894
2024-11-08,19.82,20.27,19.55,19.71,322197
2024-11-11,19.98,20.215,19.76,19.93,425424
2024-11-12,19.89,19.89,19.34,19.43,232263
2024-11-13,19.59,19.82,19.06,19.17,286535
2024-11-14,19.32,19.32,18.84,19,204898
2024-11-15,19.08,19.22,18.715,18.75,323137
2024-11-18,18.72,18.84,14.47,14.66,3038502.0
2024-11-19,15.34,15.74,14.97,15.35,1004122.0
2024-11-20,15.27,15.69,14.96,15.5,694260
2024-11-21,15.65,15.695,15.1,15.63,3078537.0
2024-11-22,15.76,16.12,15.64,15.8,487473
2024-11-25,15.95,16.11,15.54,15.6,581954
2024-11-26,15.54,15.55,15.17,15.33,463087
2024-11-27,15.33,15.72,15.19,15.2,429954
2024-11-29,15.39,15.995,15.38,15.56,364652
2024-12-02,15.58,16.23,15.54,16.04,323701
2024-12-03,16.04,16.39,16.04,16.31,418925
2024-12-04,16.23,16.65,16.12,16.21,343690
2024-12-05,16.48,17.22,16.305,16.4,390798
2024-12-06,16.51,16.66,16.2,16.26,504234
2024-12-09,16.48,16.8,16.385,16.59,273679
2024-12-10,16.53,16.93,16.36,16.8,467115
2024-12-11,16.99,17.44,16.84,17.37,495581
2024-12-12,17.33,17.3832,16.26,16.42,363528
2024-12-13,16.41,16.41,15.93,16.11,203177
2024-12-16,16.09,16.43,16.09,16.19,239939
2024-12-17,16.16,16.39,15.88,16.09,306372
2024-12-18,16.21,16.3946,15.32,15.38,298480
2024-12-19,15.43,15.91,15.07,15.16,339033
2024-12-20,14.93,15.5915,14.92,15.14,1073227.0
2024-12-23,15.15,15.37,14.7901,14.83,385203
2024-12-24,14.8,14.92,14.67,14.74,217556
2024-12-26,14.69,15.27,14.614,15.18,487401
2024-12-27,15.1,15.25,14.75,14.86,223961
2024-12-30,14.75,14.8,14.5,14.72,251005
2024-12-31,14.83,14.9,14.58,14.7,290461
2025-01-02,14.91,15.2891,14.66,14.89,293938
2025-01-03,15.02,15.18,14.94,15.06,193180
2025-01-06,15.19,15.45,15.12,15.34,241171
2025-01-07,15.3,15.38,14.82,14.89,249050
2025-01-08,14.78,14.86,14.4,14.79,300376
2025-01-10,14.47,14.53,13.99,14.14,284899
2025-01-13,13.99,14.09,13.8,14.06,292589
2025-01-14,14.25,14.36,13.94,14.1,210085
2025-01-15,14.48,14.64,14.26,14.37,232001
2025-01-16,14.43,14.63,14.26,14.35,241232
2025-01-17,14.54,14.84,14.43,14.77,360652
2025-01-21,14.87,15.17,14.78,15.105,218738
2025-01-22,15.05,15.22,14.695,14.73,306260
2025-01-23,14.62,14.77,14.53,14.61,204403
2025-01-24,14.56,14.73,14.31,14.4,227580
2025-01-27,14.34,14.445,14.1,14.26,351159
2025-01-28,14.31,14.39,14.07,14.33,210883
2025-01-29,14.32,14.46,14.265,14.42,206979
2025-01-30,14.56,14.71,14.41,14.56,243734
2025-01-31,14.54,14.66,14.2,14.34,319043
2025-02-03,14.23,14.34,13.94,14.14,369875
2025-02-04,14.16,14.6,14.16,14.58,205998
2025-02-05,14.63,14.78,14.45,14.69,182532
2025-02-06,14.8,14.87,14.57,14.7,164923
2025-02-07,14.69,14.755,14.4506,14.53,142100
2025-02-10,14.67,14.75,14.595,14.72,150012
2025-02-11,14.51,14.86,14.51,14.86,153361
2025-02-12,14.61,14.925,14.45,14.9,253238
2025-02-13,14.98,15.12,14.79,15.1,202136
2025-02-14,15.2,15.47,15.16,15.29,341695
2025-02-18,15.53,15.76,15.28,15.55,340963
2025-02-19,15.44,15.74,15.2729,15.63,164836
2025-02-20,15.54,15.565,15.305,15.48,253446
2025-02-21,15.6,15.6,14.59,14.65,274884
2025-02-24,14.72,14.9,14.58,14.78,268301
2025-02-25,14.86,14.98,14.615,14.68,292957
2025-02-26,14.67,14.95,14.62,14.68,267962
2025-02-27,14.8,16.03,14.76,15.05,515639
2025-02-28,14.89,15.05,14.63,14.96,621220
