date,open,high,low,close,volume
2024-03-01,3.96,4.075,3.9,3.99,829130
2024-03-04,4.05,4.08,3.82,3.85,1056837.0
2024-03-05,3.82,3.88,3.74,3.78,822027
2024-03-06,3.75,3.925,3.745,3.88,1141018.0
2024-03-07,3.86,4.0899,3.86,4.04,811035
2024-03-08,4.11,4.15,3.845,3.89,949210
2024-03-11,3.88,4.04,3.82,3.99,1075833.0
2024-03-12,4.04,4.19,3.96,4.14,801066
2024-03-13,4.16,4.215,3.94,3.96,1176304.0
2024-03-14,3.9,3.955,3.765,3.94,1471006.0
2024-03-15,3.89,4.11,3.89,4.07,3704309.0
2024-03-18,4.09,4.16,3.89,4.07,1396585.0
2024-03-19,4.05,4.08,3.98,4.05,697602
2024-03-20,4.01,4.225,3.96,4.17,889856
2024-03-21,4.23,4.49,4.18,4.45,1482449.0
2024-03-22,4.47,4.54,4.41,4.44,800456
2024-03-25,4.48,4.605,4.29,4.3,825493
2024-03-26,4.33,4.37,4.08,4.14,1728937.0
2024-03-27,4.2,4.28,4.11,4.28,624335
2024-03-28,4.3,4.4,4.24,4.38,986768
2024-04-01,4.36,4.51,4.28,4.5,953729
2024-04-02,4.5,4.68,4.45,4.63,1215795.0
2024-04-03,4.68,4.98,4.64,4.77,1881607.0
2024-04-04,4.77,4.78,4.485,4.51,1386598.0
2024-04-05,4.5,4.59,4.4,4.5,938746
2024-04-08,4.5,4.51,4.28,4.35,1256845.0
2024-04-09,4.43,4.51,4.295,4.33,818546
2024-04-10,4.25,4.35,4.215,4.34,817774
2024-04-11,4.36,4.57,4.33,4.53,889490
2024-04-12,4.53,4.6175,4.34,4.36,1549676.0
2024-04-15,4.4,4.435,4.205,4.22,1059292.0
2024-04-16,4.13,4.26,4,4.16,1378167.0
2024-04-17,4.14,4.28,4.055,4.15,1081853.0
2024-04-18,4.11,4.2,4.1,4.11,569694
2024-04-19,4.06,4.17,4.06,4.17,693652
2024-04-22,4.12,4.23,4.08,4.19,654105
2024-04-23,4.15,4.3,4.1,4.29,954035
2024-04-24,4.25,4.39,4.22,4.37,573664
2024-04-25,4.35,4.4,4.275,4.39,690321
2024-04-26,4.4,4.47,4.36,4.46,760776
