date,open,high,low,close,volume
2024-03-01,49.46,49.555,48.595,49.12,2653707.0
2024-03-04,48.99,50.05,48.86,49.99,2804783.0
2024-03-05,50.35,51.155,50.045,50.35,2728535.0
2024-03-06,50.79,51.185,50.4,50.68,3005434.0
2024-03-07,51.13,51.44,51.01,51.36,3266364.0
2024-03-08,50.97,51.97,50.53,51.56,4148587.0
2024-03-11,51.38,52.14,51.33,51.63,2310325.0
2024-03-12,51.38,51.43,50.6,51.27,2258060.0
2024-03-13,51.91,52.35,51.29,51.44,2793695.0
2024-03-14,51.5,51.62,50.595,50.94,2273056.0
2024-03-15,50.82,51.72,50.81,51.6,3810103.0
2024-03-18,51.32,51.95,51.205,51.76,2235611.0
2024-03-19,51.69,52.43,51.69,52.2,1651935.0
2024-03-20,52.32,52.36,51.5,51.77,2270144.0
2024-03-21,51.74,52.19,51.69,51.79,2158706.0
2024-03-22,52.13,52.2799,51.36,51.63,2400441.0
2024-03-25,51.78,51.855,51.115,51.42,1694196.0
2024-03-26,51.69,51.76,51.06,51.28,1925374.0
2024-03-27,51.45,53.07,51.45,53.05,2169864.0
2024-03-28,53.12,53.595,52.99,53.38,2158415.0
2024-04-01,53.38,53.38,52.65,52.74,1453544.0
2024-04-02,52.81,53.415,52.8,53.01,2070973.0
2024-04-03,52.87,52.93,52.44,52.72,1310801.0
2024-04-04,53.09,53.215,52.33,52.68,2306268.0
2024-04-05,52.33,52.48,51.84,52.2,2040523.0
2024-04-08,52.13,52.91,52.11,52.78,1997436.0
2024-04-09,53.02,53.17,52.67,52.97,1651095.0
2024-04-10,52.07,52.17,51.37,51.68,1890793.0
2024-04-11,52,52.03,50.98,51.46,2053657.0
2024-04-12,51.48,51.75,50.68,50.95,1882040.0
2024-04-15,51.15,51.41,50.2725,50.39,1774581.0
2024-04-16,50.32,50.36,49.55,49.56,1805126.0
2024-04-17,49.78,50.67,49.7,50.53,1242548.0
2024-04-18,50.9,51.08,50.355,50.96,1474957.0
2024-04-19,51.04,51.97,51.04,51.76,1877578.0
2024-04-22,51.79,52.37,51.61,52.26,1446664.0
2024-04-23,52.06,52.73,51.93,52.25,1900095.0
2024-04-24,51.77,52.71,51.49,52.48,2084190.0
2024-04-25,52.23,52.59,51.825,52.42,1641941.0
2024-04-26,52.3,52.57,51.685,51.69,1152878.0
2024-04-29,51.95,52.78,51.9,52.75,1939769.0
2024-04-30,52.35,52.81,51.91,52.45,1779269.0
2024-05-01,52.19,53.36,52.11,52.94,1909342.0
2024-05-02,53.21,53.57,52.83,53.55,2115003.0
2024-05-03,53.92,54.19,53.33,54.1,3059495.0
2024-05-06,54.15,54.3,53.69,53.96,2159699.0
2024-05-07,54.19,54.68,53.91,54.45,1834653.0
2024-05-08,54.34,54.695,54.13,54.57,1531860.0
2024-05-09,54.15,55.86,54.15,55.72,4434885.0
2024-05-10,56.07,56.22,55.29,55.42,4676034.0
2024-05-13,55.69,56.06,55.45,55.74,2779356.0
2024-05-14,56.3,56.34,55.15,55.3,2357227.0
2024-05-15,56.04,56.16,55.58,55.64,1823172.0
2024-05-16,55.69,55.93,55.445,55.64,2033069.0
2024-05-17,55.11,55.63,54.94,55.11,2037094.0
2024-05-20,55.12,55.23,54.845,55.09,953805
2024-05-21,55.21,55.655,55.14,55.63,1111075.0
2024-05-22,55.22,55.47,54.77,54.84,1283564.0
2024-05-23,54.61,54.7,53.4,53.41,1822248.0
2024-05-24,53.59,53.74,53.405,53.43,1135168.0
2024-05-28,53.46,53.76,53.09,53.26,1224846.0
2024-05-29,52.73,52.84,52.4226,52.57,2117952.0
2024-05-30,53.01,53.33,52.61,53.29,1458627.0
2024-05-31,53.55,54.69,53.435,54.66,3298842.0
2024-06-03,54.59,54.93,54.14,54.29,1798083.0
2024-06-04,54.12,54.97,54.1,54.58,1595753.0
2024-06-05,54.32,54.43,53.775,53.81,1563870.0
2024-06-06,53.67,54.06,53.39,53.41,1025178.0
2024-06-07,52.84,53.33,52.71,52.96,783278
2024-06-10,52.51,53.17,52.51,53.05,1452490.0
2024-06-11,52.6,53.34,52.52,53.28,1583519.0
2024-06-12,53.86,53.86,52.845,53.12,1569808.0
2024-06-13,53.05,53.32,52.305,52.96,1261666.0
2024-06-14,52.7,53.1,52.51,52.74,901146
2024-06-17,52.36,53.23,52.15,52.62,1083208.0
2024-06-18,52.58,53.15,52.5,52.8,1247125.0
2024-06-20,52.72,53.43,52.685,52.87,1346964.0
2024-06-21,53.08,53.285,52.61,52.66,2871389.0
2024-06-24,52.69,53.615,52.69,53.37,947629
2024-06-25,53.27,53.27,52.62,52.87,1615948.0
2024-06-26,52.41,52.9,52.1,52.83,1365260.0
2024-06-27,52.8,53.34,52.605,53.25,1103052.0
2024-06-28,53.46,53.48,52.91,52.97,2381276.0
2024-07-01,53.28,53.5,52.55,52.71,1156399.0
2024-07-02,52.94,53.31,52.66,52.79,898327
2024-07-03,52.81,53.27,52.44,52.46,594935
2024-07-05,52.45,53.02,52.32,52.82,3022123.0
2024-07-08,52.88,53.03,52.58,52.9,1508772.0
2024-07-09,52.77,53.56,52.77,53.24,1299783.0
2024-07-10,53.53,53.71,53.25,53.68,1446657.0
2024-07-11,53.98,54.78,53.805,54.64,2030159.0
2024-07-12,54.94,55.51,54.69,55.05,1871719.0
2024-07-15,54.48,54.7,54.09,54.12,954363
2024-07-16,54.42,54.94,54.23,54.77,889288
2024-07-17,55,55.8,54.96,55.27,1370711.0
2024-07-18,55.27,56.04,55.07,55.12,828913
2024-07-19,55.28,55.38,54.76,55.37,967838
2024-07-22,55.32,55.72,55.2,55.49,662948
2024-07-23,55.33,55.55,55.13,55.22,745611
2024-07-24,55.55,56.26,55.42,56.22,1341692.0
2024-07-25,56.53,57.17,55.88,56.33,2077841.0
2024-07-26,56.46,56.875,56.41,56.75,1579568.0
2024-07-29,57.01,57.335,56.54,57.21,1053352.0
2024-07-30,57.05,57.78,56.97,57.71,1404103.0
2024-07-31,57.83,58.05,57.25,58,3133280.0
2024-08-01,58.16,59.95,58.15,59.75,1967861.0
2024-08-02,60.44,61.14,59.155,60.16,2896634.0
2024-08-05,60.55,61.05,58.295,58.52,2245966.0
2024-08-06,58.5,59.47,58.415,58.78,1888516.0
2024-08-07,58.98,59.56,58.78,59.03,1818743.0
2024-08-08,58.79,59.3228,58.57,59,1759938.0
2024-08-09,59.8,59.8,57.28,58.69,1872235.0
2024-08-12,58.66,58.68,58.02,58.52,1558785.0
2024-08-13,58.77,58.95,58.52,58.82,1505549.0
2024-08-14,58.44,59.38,58.39,59.13,1052711.0
2024-08-15,58.84,59.09,58.28,58.6,1639476.0
2024-08-16,58.52,58.81,58.26,58.76,3245133.0
2024-08-19,58.77,59.085,58.435,58.93,2025112.0
2024-08-20,58.23,58.53,57.82,57.85,1601792.0
2024-08-21,57.98,58.52,57.82,58.34,1436723.0
2024-08-22,58.34,58.68,58.12,58.38,1734160.0
2024-08-23,58.5,58.78,58.32,58.53,1296123.0
2024-08-26,58.8,60,58.675,59.27,1737678.0
2024-08-27,59.19,59.3286,58.61,58.65,913979
2024-08-28,58.64,59.04,58.61,58.77,1674132.0
2024-08-29,58.83,58.83,58.25,58.71,2012245.0
2024-08-30,58.82,59.19,58.61,59.14,1363364.0
2024-09-03,59.21,59.98,59.07,59.7,1393480.0
2024-09-04,59.91,60.75,59.91,60.21,1842980.0
2024-09-05,60.76,60.81,59.9,60.42,1244618.0
2024-09-06,60.51,60.64,59.69,59.76,995104
2024-09-09,60.03,60.6,59.775,60.44,1474775.0
2024-09-10,60.45,60.74,59.97,60.4,2067898.0
2024-09-11,60.2,60.33,59.56,60.08,1369411.0
2024-09-12,60.12,60.43,59.84,60.36,1509248.0
2024-09-13,60.67,61.13,60.47,61.06,1286801.0
2024-09-16,61.35,62.24,61.25,62.01,1332145.0
2024-09-17,61.93,62.06,61.65,61.91,1226441.0
2024-09-18,61.73,62.08,61.32,61.55,1554745.0
2024-09-19,61.23,61.4,60.55,61.07,1571956.0
2024-09-20,61.52,61.83,61.0414,61.65,3499829.0
2024-09-23,62,62.05,61.66,62,2092796.0
2024-09-24,61.68,62.575,61.4,61.71,2075141.0
2024-09-25,61.97,62.06,61.45,61.75,1897534.0
2024-09-26,61.45,61.99,61.385,61.53,1553236.0
2024-09-27,61.71,62.21,61.53,61.94,1495644.0
2024-09-30,62.12,62.255,61.63,62.01,1144240.0
2024-10-01,62.11,62.11,61.24,61.64,3756267.0
2024-10-02,61.29,61.82,61.135,61.27,2198851.0
2024-10-03,61.29,61.3736,60.23,60.77,3470266.0
2024-10-04,60.27,60.48,59.91,60.33,2253806.0
2024-10-07,60.04,60.10361,59.35,59.59,1988756.0
2024-10-08,59.79,60.15,59.585,59.86,1622069.0
2024-10-09,59.91,60.08,59.285,59.57,1662987.0
2024-10-10,59.66,59.95,59.002,59.06,1577401.0
2024-10-11,59.12,59.47,59.12,59.34,958296
2024-10-14,59.32,59.9111,59.24,59.73,1128733.0
2024-10-15,60.07,60.86,60.02,60.34,1181661.0
2024-10-16,60.38,61.25,60.26,61.15,1324652.0
2024-10-17,61.24,61.26,60.67,60.78,1033911.0
2024-10-18,60.6,61.54,60.39,61.12,1616327.0
2024-10-21,61.18,61.29,60.64,61.2,1916221.0
2024-10-22,60.97,61.63,60.59,61.51,1539130.0
2024-10-23,61.64,61.97,61.485,61.96,1226046.0
2024-10-24,62,62.1,61.46,61.64,983047
2024-10-25,61.87,61.87,60.75,60.77,1339611.0
2024-10-28,61.19,61.3,60.935,60.97,861848
2024-10-29,60.59,60.59,59.8,59.91,1242362.0
2024-10-30,59.99,60.235,59.83,60.06,1630143.0
2024-10-31,60.11,60.81,60.0201,60.44,2198068.0
2024-11-01,60.32,60.9,59.5,59.58,1293094.0
2024-11-04,59.35,59.805,59.23,59.79,1866335.0
2024-11-05,59.67,61.1,59.33,61.06,2083897.0
2024-11-06,60.8,61.6,60.62,61.05,1942815.0
2024-11-07,61.09,62.035,60.39,61.41,3189051.0
2024-11-08,61.24,62.56,61.11,62.51,2990899.0
2024-11-11,62.4,63.7411,62.32,63.28,2421069.0
2024-11-12,63.48,64.07,63.195,63.68,2188309.0
2024-11-13,63.9,63.9,62.84,63.38,2220685.0
2024-11-14,63.38,63.455,62.71,62.8,1561958.0
2024-11-15,63.06,63.825,62.81,63.76,1880868.0
2024-11-18,63.58,64.135,63.48,63.87,1475851.0
2024-11-19,63.53,64,63,63.98,1247521.0
2024-11-20,64.05,64.42,63.74,64.37,1509169.0
2024-11-21,63.7,64.69,63.38,64.56,1636500.0
2024-11-22,64.95,64.95,64.23,64.26,1324613.0
2024-11-25,64.54,64.94,64.29,64.49,2047041.0
2024-11-26,64.78,64.885,64.235,64.84,1614308.0
2024-11-27,64.78,65.47,64.78,65,1508793.0
2024-11-29,64.87,65.0099,64.56,64.63,708305
2024-12-02,64.78,64.79,63.25,63.61,1788213.0
2024-12-03,63.91,64.22,63.21,63.25,1153467.0
2024-12-04,63.28,63.465,63.015,63.3,1280997.0
2024-12-05,63.25,63.81,63.133,63.32,1499061.0
2024-12-06,63.56,63.56,62.92,62.96,1396131.0
2024-12-09,62.73,63.19,62.46,62.47,1384609.0
2024-12-10,62.67,62.83,61.59,62.36,2315221.0
2024-12-11,62.47,62.66,61.965,62.27,3113875.0
2024-12-12,62.45,62.76,61.96,62.12,2314194.0
2024-12-13,62.34,62.63,61.88,61.91,1426908.0
2024-12-16,61.91,62.025,61.25,61.42,1735772.0
2024-12-17,60.98,61.91,60.91,61.5,1893449.0
2024-12-18,61.35,61.72,60.49,60.5,3328700.0
2024-12-19,60.34,61.29,60.23,60.53,2210236.0
2024-12-20,60.6,61.48,60.5,61.43,2657585.0
2024-12-23,61.38,61.43,60.685,61.32,1159548.0
2024-12-24,61.3,61.77,61.03,61.75,498560
2024-12-26,61.64,61.8,61.42,61.68,971976
2024-12-27,61.43,62.03,61.1,61.7,876489
2024-12-30,61.65,61.7,61.02,61.52,2017611.0
2024-12-31,61.64,61.945,61.18,61.55,1147887.0
2025-01-02,62.07,62.28,61.24,61.64,1550242.0
2025-01-03,61.68,61.89,61.445,61.55,1179516.0
2025-01-06,61.35,61.45,60.1909,60.27,1322487.0
2025-01-07,60.28,60.96,60.27,60.54,1202238.0
2025-01-08,60.47,60.94,59.76,60.91,2871444.0
2025-01-10,60.56,61.03,59.8041,59.9,1468471.0
2025-01-13,60.25,60.71,59.67,60.67,1369692.0
2025-01-14,60.53,61.43,60.53,61.21,1852680.0
2025-01-15,62,62.1,61.44,61.68,1358329.0
2025-01-16,61.68,62.955,61.64,62.93,1579517.0
2025-01-17,63.24,63.34,62.84,63.16,1631377.0
2025-01-21,63.75,64.11,63.54,63.63,1223830.0
2025-01-22,63.33,63.385,62.57,62.87,2590616.0
2025-01-23,63.03,63.61,62.6801,63.06,1953650.0
2025-01-24,63,63.76,62.87,63.52,1550248.0
2025-01-27,63.92,64.27,62.83,64.23,2459063.0
2025-01-28,64.45,64.45,63.18,63.21,1576818.0
2025-01-29,63.21,63.56,62.85,63.02,1349674.0
2025-01-30,63.33,64.41,63.33,64.25,2051193.0
2025-01-31,64.27,64.44,63.865,64.17,2542566.0
