date,open,high,low,close,volume
2024-10-02,83.35,83.41,81.66,83.24,2029789.0
2024-10-03,83.38,85.3,83.11,85.21,3145286.0
2024-10-04,84.935,86,84.551,85.63,3530372.0
2024-10-07,85.82,85.9,85.05,85.44,3411637.0
2024-10-08,84.48,86.12,83.26,86,2264347.0
2024-10-09,86,87.23,85.47,87.03,2883833.0
2024-10-10,87.1,87.26,86.44,86.61,1937622.0
2024-10-11,86.1,88.17,86.05,87.39,2168574.0
2024-10-14,86.89,87.6,86.21,86.62,3143387.0
2024-10-15,85.2,86.45,84.5,85.79,3473548.0
2024-10-16,86,86.46,85.03,86.46,2596148.0
2024-10-17,86.57,87.95,86.105,87.57,1779356.0
2024-10-18,87.025,87.5,86.05,86.66,3078692.0
2024-10-21,86.49,87.5,85.19,85.75,2346962.0
2024-10-22,86.07,86.45,84.125,84.37,1576672.0
2024-10-23,83.74,84.105,82.7,83.29,1580925.0
2024-10-24,83.7,85.32,83.04,85.3,1304593.0
2024-10-25,85.76,86.17,84.6001,84.79,1213419.0
2024-10-28,82.73,85.38,82.69,85.26,1374427.0
2024-10-29,85.82,85.88,85.01,85.73,1866608.0
2024-10-30,86.01,90.41,86.01,88.7,3666952.0
2024-10-31,89.19,89.29,84.66,84.72,2536184.0
2024-11-01,85.51,85.91,83.1,83.66,2599553.0
2024-11-04,83.42,86.45,83.415,85.84,2103856.0
2024-11-05,85.12,87.15,85.05,86.67,2029635.0
2024-11-06,89.75,93.13,89.21,92.36,4000630.0
2024-11-07,92.06,92.51,91.03,92.14,3184197.0
2024-11-08,91.61,93.46,91.24,92.49,1807700.0
2024-11-11,94.25,96.62,93.63,95.74,2783116.0
2024-11-12,95.23,96.035,94.76,95.58,2204889.0
2024-11-13,94.97,96.5,94.89,96.14,1919625.0
2024-11-14,95.92,96.55,94.6775,95.19,1829659.0
2024-11-15,95.01,96.1137,94.51,94.99,2370802.0
2024-11-18,95.92,97.54,95.64,96.42,2614591.0
2024-11-19,95.47,96.76,95.01,95.71,2598704.0
2024-11-20,96.5,99.57,95.7576,98.26,4678668.0
2024-11-21,100,101.27,99.07,100.97,3836476.0
2024-11-22,100,100.48,98.25,99.43,3177899.0
2024-11-25,100.19,100.5,98.77,98.87,6852735.0
2024-11-26,98.01,99.5,97.78,98.89,2594720.0
2024-11-27,98.18,99.75,98.15,98.75,1534288.0
2024-11-29,98.23,99.71,98.23,98.96,1759911.0
2024-12-02,99,99.23,96.98,97.84,1927370.0
2024-12-03,98.47,98.69,97.89,97.98,1780833.0
2024-12-04,98.32,98.37,96.63,97.48,1375940.0
2024-12-05,97.41,98.37,96.66,96.73,1812114.0
2024-12-06,96.67,97.17,95.7,96.57,1526906.0
2024-12-09,99.12,99.285,96.95,97.13,2453994.0
2024-12-10,97.6,98.19,96.74,97.02,1653399.0
2024-12-11,97.48,100.245,97.04,99.6,3371889.0
2024-12-12,99.81,100.51,99.14,99.66,3663012.0
2024-12-13,99.8,100.18,98.26,98.53,1740905.0
2024-12-16,98.31,98.4499,96.55,96.71,1616532.0
2024-12-17,95.98,96.95,95.24,96.75,1653472.0
2024-12-18,97.08,97.235,94.02,94.5,2336963.0
2024-12-19,95.75,96.1,94.25,94.32,2677524.0
2024-12-20,94.21,96.41,94,94.87,6982368.0
2024-12-23,94.44,96.88,94.09,96.63,1377459.0
2024-12-24,97.06,97.79,95.88,97.47,1029283.0
2024-12-26,96.6,96.78,95.52,96.2,1271212.0
2024-12-27,96.14,97.235,95.59,96.61,1097926.0
2024-12-30,97.49,101.46,97.49,99.84,2624551.0
2024-12-31,99.03,100.27,98.81,99.55,1616157.0
2025-01-02,100.34,101.67,99.3755,101.22,3409444.0
2025-01-03,101.22,101.93,99.25,100.01,1937604.0
2025-01-06,101.4,102.58,100.77,101.5,3099839.0
2025-01-07,101.86,103.395,101.65,102.68,3074878.0
2025-01-08,103.41,104.125,102.42,102.92,2447026.0
2025-01-10,104.76,105,102.09,102.15,2742957.0
2025-01-13,103.25,103.6668,101.02,102.21,3072604.0
2025-01-14,101.77,104.72,101.4,104.12,3981390.0
2025-01-15,105,106.2745,104.57,105.24,3855043.0
2025-01-16,105.36,108.8299,105.08,107.78,4301200.0
2025-01-17,107.99,109.47,105.97,106.36,3279430.0
2025-01-21,105.7,107.05,105.14,106.8,2288459.0
2025-01-22,107.25,108.32,106.71,107.06,1842723.0
2025-01-23,107.13,107.56,105.98,106,2485680.0
2025-01-24,106,106.3564,105.54,106,2919976.0
2025-01-27,103.86,104.2,99.07,101.42,7201031.0
2025-01-28,100.52,102.22,100.47,102.13,2130850.0
2025-01-29,101.85,103.43,101.71,102.57,1332403.0
2025-01-30,103.6,104,102.35,102.72,1397191.0
2025-01-31,103.07,103.07,101.17,101.6,2082724.0
2025-02-03,102.09,103.26,101.37,102.87,2333182.0
2025-02-04,102.7,104.67,102.25,103.95,2256820.0
2025-02-05,104.09,105.85,103.6,105.09,2316677.0
2025-02-06,105.09,105.4,103.16,103.87,2301213.0
2025-02-07,103.88,105.07,102.645,103,1565530.0
2025-02-10,104.08,105.54,103.11,105.12,2225003.0
2025-02-11,105.67,106.66,104.96,105.785,2609695.0
