date,open,high,low,close,volume
2024-03-01,4.475,4.975,4.4253,4.625,17932
2024-03-04,4.45,4.75,3.65,3.825,26038
2024-03-05,3.875,4.9748,3.875,4.425,44282.4
2024-03-06,4.375,4.6725,4.1625,4.4,10676.8
2024-03-07,4.5,4.875,4.125,4.625,66306
2024-03-08,4.725,4.8248,4.45,4.6,14087.2
2024-03-11,4.7,4.85,4.4,4.85,21201.6
2024-03-12,4.8475,4.9498,4.7,4.775,6386.4
2024-03-13,4.9,5.45,4.725,5.2,17950.4
2024-03-14,5.3,5.375,4.7003,5.075,25444.4
2024-03-15,4.8945,4.975,4.4,4.4,20953.2
2024-03-18,4.4,4.9145,4.3,4.425,10491.2
2024-03-19,4.45,4.5,3.85,4.025,33880.8
2024-03-20,4,4.3248,3.75,4.2,30960
2024-03-21,4.2,4.8498,4,4.25,116288.8
2024-03-22,4.25,4.625,4.025,4.425,27291.6
2024-03-25,4.525,4.525,4.125,4.3,5549.2
2024-03-26,4.475,4.475,3.95,4.2,8271.6
2024-03-27,4.275,4.3333,4.025,4.2,4604
2024-03-28,4.175,4.375,3.975,4.275,6451.6
2024-04-01,4.3,4.55,4.125,4.475,12263.6
2024-04-02,4.35,5.475,4.35,5.225,101411.6
2024-04-03,5.025,5.875,5.025,5.375,52588.4
2024-04-04,5.075,5.75,4.8,5.6,56998
2024-04-05,5.5,6.625,5.35,6.25,23980.4
2024-04-08,6.3,6.5875,5.6795,6.35,21094
2024-04-09,6.475,6.475,5.7,5.925,15446.4
2024-04-10,5.675,6.2,5.6275,5.7,26886.4
2024-04-11,5.825,5.85,5.15,5.85,10597.6
2024-04-12,5.8625,6.075,5.625,6.075,4676
2024-04-15,6.05,6.1747,5.85,5.85,4060.4
2024-04-16,5.85,5.954,5.575,5.825,8405.6
2024-04-17,5.5,5.875,5.375,5.75,16867.2
2024-04-18,5.625,5.875,5.625,5.825,1855.2
2024-04-19,5.875,5.9685,5.5,5.925,2590
2024-04-22,5.9408,6.25,5.725,5.8,19483.6
2024-04-23,5.7625,6.025,5.65,6.025,4596.8
2024-04-24,6.1,6.175,5.925,6.1278,5769.2
2024-04-25,6.205,6.475,5.925,5.95,2050
2024-04-26,5.9498,6.2498,5.8,6.025,4279.2
2024-04-29,6.05,6.1,5.875,6.075,3650.8
2024-04-30,5.9,6.15,5.55,5.7503,14191.2
2024-05-01,5.75,6.175,5.625,5.9,3589.6
2024-05-02,5.875,6.775,5.792,6.2295,13884.8
2024-05-03,6.55,6.55,5.9,6.475,3112.4
2024-05-06,6.2,7,6.2,6.925,7232.4
2024-05-07,6.85,7.5498,6.85,7.125,15172.8
2024-05-08,6.9625,7.5235,6.9625,7.1,5692
2024-05-09,6.8,7.1605,6.8,6.8,878.4
2024-05-10,6.525,6.95,6.175,6.175,5186.8
2024-05-13,6.125,6.775,5.5875,6.45,12970
2024-05-14,6.325,7.2498,5.975,6.65,11170.8
2024-05-15,6.65,7.0247,5.75,6.275,6504
2024-05-16,6.45,6.625,6,6.35,7586.4
2024-05-17,6.325,7.1013,6.325,6.55,6256
