date,open,high,low,close,volume
2024-03-01,183.34,185.78,183.15,185.17,1774320.0
2024-03-04,183.1,183.1,178.21,178.89,1320011.0
2024-03-05,179.02,182.1202,178.89,180.06,1141535.0
2024-03-06,180.99,181.8253,179.3,181.18,1736752.0
2024-03-07,181.55,183.62,181.5,182.81,1551220.0
2024-03-08,182.7,184.89,182.33,183.29,1251802.0
2024-03-11,182.53,184.61,181.55,184.5,1290792.0
2024-03-12,185.5,185.87,183.72,184.52,1099172.0
2024-03-13,186.75,188.6,185.99,187.56,1436892.0
2024-03-14,188.01,189.7,187.79,189.5,1467788.0
2024-03-15,189.09,191.38,187.85,189.94,3367155.0
2024-03-18,190.72,191.29,188.79,190.06,1170340.0
2024-03-19,189.91,192.86,189.5,192.62,1288760.0
2024-03-20,191.7,193.01,190.075,192.9,1373612.0
2024-03-21,193.22,194.67,192.38,194.4,1326913.0
2024-03-22,195,195.12,193.01,194.7,1080359.0
2024-03-25,195.73,197.38,195.73,196.59,1332861.0
2024-03-26,196.59,198.12,194.08,194.25,1542104.0
2024-03-27,193.88,196.56,193.45,196.53,987008
2024-03-28,198.01,198.53,196.5,198.17,1052629.0
2024-04-01,199.35,199.87,197.57,199.45,1148353.0
2024-04-02,200,200.66,198.15,200.37,1543879.0
2024-04-03,201.01,203.47,200.96,203.22,1490125.0
2024-04-04,203.64,203.97,200.57,201.05,1459725.0
2024-04-05,201.4,205.025,200.3,204.32,1519799.0
2024-04-08,204.58,208.49,203.4,206.57,1830404.0
2024-04-09,207.55,208.49,204.75,205.53,1830260.0
2024-04-10,204,206.81,203.7617,206.23,1182883.0
2024-04-11,207,208.29,203.6,208.26,1250243.0
2024-04-12,209.36,211.96,205.0001,206.34,1527047.0
2024-04-15,207.91,209.475,204.61,205.35,1188216.0
2024-04-16,203.96,205.1999,201.82,203.95,1320956.0
2024-04-17,203.605,204.99,199.37,201.15,1549896.0
2024-04-18,202.07,202.7649,198.735,199.6,1054277.0
2024-04-19,201.23,203.85,200.1,200.74,1467375.0
2024-04-22,200,203.69,198.05,202.58,1397209.0
2024-04-23,201.51,204.525,200.5,204.37,934727
2024-04-24,203.71,206.65,202.92,205.24,1266417.0
2024-04-25,205.64,207.66,203.43,207.1,1078537.0
2024-04-26,205.18,208.845,204.86,207.76,1114392.0
2024-04-29,206.74,207.47,204.28,205.86,1546529.0
2024-04-30,204.58,205.61,200.72,201.13,2003879.0
2024-05-01,203,203.5,193.185,196.01,2850524.0
2024-05-02,196.82,198.15,195.04,197.63,1894970.0
2024-05-03,196.58,201.54,196.29,201.5,1838088.0
2024-05-06,202.51,205.74,202.1561,204.19,1633878.0
2024-05-07,204.44,205.47,203.04,203.68,1179381.0
2024-05-08,202.36,204.77,201.76,203.22,1343660.0
2024-05-09,203.29,204.67,202.9,203.72,895555
2024-05-10,204.4,205.579,200.945,202.19,1726996.0
2024-05-13,203.19,203.29,200.125,200.77,1357504.0
2024-05-14,198.52,199.92,197.06,198.05,1387791.0
2024-05-15,197.09,197.8,193.53,196.74,1588693.0
2024-05-16,196.88,197.57,194.48,194.59,1122497.0
2024-05-17,195.36,198.28,194.825,197.67,1010017.0
2024-05-20,197.82,199.08,197.0009,197.83,922799
2024-05-21,196.46,199.1,196.34,196.56,819222
2024-05-22,196.25,196.34,191.48,192.34,1168549.0
2024-05-23,194.03,195.1699,191.76,191.96,1368905.0
2024-05-24,193.76,194.88,193.17,193.46,682921
2024-05-28,195.24,198.165,195.2,197.76,1182087.0
2024-05-29,197.57,197.79,193.265,195.02,1457183.0
2024-05-30,194.54,197.89,194.54,197.34,1239543.0
2024-05-31,197.53,199.455,196.96,199.26,2781661.0
2024-06-03,198.45,198.825,186.48,190.71,2691095.0
2024-06-04,188.73,189.29,185.095,189.22,1687194.0
2024-06-05,189.22,190.01,188.485,189.19,814571
2024-06-06,188.88,191.55,188.8,191.04,1159795.0
2024-06-07,191.04,191.6,189.78,190.3,929810
2024-06-10,190.76,194.995,190.615,193.97,958118
2024-06-11,192.61,193.73,191.24,193.67,697318
2024-06-12,195.26,196,192.35,193.65,1033747.0
2024-06-13,192.5,192.87,188.27,190.35,1263504.0
2024-06-14,189.9,189.995,185.69,185.97,968192
2024-06-17,186.56,188.13,185.1,187.56,1198494.0
2024-06-18,188.79,189.86,188.21,188.87,1102549.0
2024-06-20,189.51,193.6,189.51,192.73,1911750.0
2024-06-21,193.57,193.7014,190.3336,190.88,3058690.0
2024-06-24,192.12,199.145,191.85,198.03,1731564.0
2024-06-25,197.89,198.63,196.33,197.88,1408823.0
2024-06-26,198.16,198.16,195.01,196.96,1207962.0
2024-06-27,198.25,199.39,196.65,199.19,1012549.0
2024-06-28,200.535,202.8699,199.07,200.19,2065538.0
2024-07-01,201.82,204.39,199.7775,203.71,1211819.0
2024-07-02,205.49,208.62,203.8,204.9,1731723.0
2024-07-03,206.08,208.77,204.3301,206.93,732120
2024-07-05,206.45,207.48,202.31,203.53,737366
2024-07-08,202.37,203.55,201.04,203.35,749874
2024-07-09,200.95,204.62,199.62,202.6,974045
2024-07-10,202.07,202.65,200.75,202.39,944933
2024-07-11,202.51,208.3,201.575,207.17,1236416.0
2024-07-12,207.37,208.65,203.43,204.17,1103963.0
2024-07-15,205,212.1,204.36,210.93,1378907.0
2024-07-16,209.85,210.61,208.18,209.06,989783
2024-07-17,210.58,214.5,209.35,210.94,1456700.0
2024-07-18,211.07,212.275,206.64,210.03,873141
2024-07-19,208.99,209.57,205.34,205.47,1303601.0
2024-07-22,205.37,205.74,202.08,204.68,915784
2024-07-23,204.34,204.5,198.29,198.36,1373549.0
2024-07-24,199.83,201.93,198.31,198.83,1169001.0
2024-07-25,198.4,202.19,197.52,199.8,1048818.0
2024-07-26,199.52,201.32,197.73,200.76,759280
2024-07-29,201.6,202.28,196.49,198.27,839056
2024-07-30,198.5,200.44,197.3017,198.08,1388764.0
2024-07-31,203.02,203.98,198.98,202.31,1181222.0
2024-08-01,201.34,203.76,195.86,198.22,1493962.0
2024-08-02,195,195.57,185.98,189.06,1963314.0
2024-08-05,184.13,186.88,179.61,185.18,2408968.0
2024-08-06,192.38,194.835,187,189.7,1925558.0
2024-08-07,193.61,196.66,191.11,191.38,1415923.0
2024-08-08,191,199.16,191,197.49,1214813.0
2024-08-09,197.09,201.71,195.56,199.77,1249572.0
2024-08-12,200.69,202.87,199.57,201.29,1109183.0
2024-08-13,198.77,199.24,195.57,196.14,1763373.0
2024-08-14,196.15,196.93,195.16,196.45,1057493.0
2024-08-15,194.79,197.82,194.48,196.58,1212587.0
2024-08-16,193.89,196.2,193.49,194.82,1124671.0
2024-08-19,195.68,198.51,195.25,195.84,1182569.0
2024-08-20,195.69,195.69,189.56,189.75,1094247.0
2024-08-21,191.94,192.98,189.86,191.12,1089204.0
2024-08-22,191.5,193.44,190.79,191.73,885325
2024-08-23,193.08,195.91,192.925,195.22,743163
2024-08-26,197.65,199.2551,194.43,197.28,1122079.0
2024-08-27,197.15,197.9,193.8794,194.71,855722
2024-08-28,193.45,195.47,193.09,194.57,677483
2024-08-29,197.09,198.63,194.42,196.79,1039297.0
2024-08-30,194.25,195.6,192.76,195.11,1670299.0
2024-09-03,191.425,191.425,186.4,187.48,1327555.0
2024-09-04,188.36,189.25,184.23,184.28,1023878.0
2024-09-05,185.9,186.33,182.885,184.01,1270061.0
2024-09-06,183.64,185.38,178.81,179.73,1492389.0
2024-09-09,180.52,180.84,178.81,179.21,1413342.0
2024-09-10,178.83,179.21,168.92,171.49,3091372.0
2024-09-11,172.42,172.42,167.84,168.5,2527951.0
2024-09-12,169.97,177.97,167.93,170.86,2655533.0
2024-09-13,171.23,174.55,171.23,172.42,1454709.0
2024-09-16,174,176.24,171.84,174.81,1623554.0
2024-09-17,174.21,180.33,174.21,179.77,1762574.0
2024-09-18,179.51,182.9,177.88,178.12,1577145.0
2024-09-19,182.4,183.88,179.33,181.63,1138831.0
2024-09-20,179.27,182.18,178.05,181,7635658.0
2024-09-23,182.24,186.1887,181.64,185.25,3191597.0
2024-09-24,188,189.12,184.19,185.43,3008109.0
2024-09-25,185.43,185.84,179.86,180.53,1721095.0
2024-09-26,176.04,177.1408,168.09,168.86,4597284.0
2024-09-27,170.55,173.25,169.37,170.63,4883881.0
2024-09-30,170.11,172.58,168.76,172.4,2648337.0
2024-10-01,170.92,178.79,169.985,177.52,3120634.0
2024-10-02,182.62,183.299,178.53,181.29,3005688.0
2024-10-03,181.87,188.82,180.88,188.3,3005215.0
2024-10-04,191.56,195.55,189.5,194.61,3461407.0
2024-10-07,195.95,200.47,195,199.5,3474868.0
2024-10-08,196.12,196.885,191.8301,193.77,10163707.0
2024-10-09,192.38,194.7143,190.81,193.75,2247039.0
2024-10-10,194.7,197.68,193.96,194.06,1405118.0
2024-10-11,192.66,196,192.45,194.96,1308932.0
2024-10-14,192.42,193.31,189.7414,190.7,1531377.0
2024-10-15,183.66,184.24,179.65,179.77,2820860.0
2024-10-16,180.22,183.62,180.22,182.46,1863188.0
2024-10-17,182.07,184.09,180.75,183.96,1651547.0
