date,open,high,low,close,volume
2024-03-01,33.91,34.07,33.18,33.98,122995
2024-03-04,34.04,34.885,33.68,33.73,90922
2024-03-05,33.47,35.2,33.47,34.9,103942
2024-03-06,34.99,35.63,34.04,34.92,93473
2024-03-07,35.51,35.7599,35.06,35.18,92536
2024-03-08,35.75,35.889,35.22,35.26,76915
2024-03-11,34.97,35.25,34.97,35.05,70465
2024-03-12,34.88,34.89,34.19,34.21,84753
2024-03-13,34.09,34.785,33.97,34.15,69975
2024-03-14,34,34,33.1201,33.37,99719
2024-03-15,33.28,34.2,33.28,34.06,344379
2024-03-18,34.15,34.25,33.36,33.45,116837
2024-03-19,33.38,34.0145,33.26,33.28,91522
2024-03-20,33.19,35.15,32.9142,34.77,127967
2024-03-21,35.12,35.6,35.04,35.37,140324
2024-03-22,35.22,35.443,34.69,35.03,164370
2024-03-25,35.2,35.805,35.0333,35.19,77678
2024-03-26,35.35,35.35,34.7,34.76,81198
2024-03-27,34.9,35.94,34.5241,35.94,157486
2024-03-28,35.88,36.51,35.18,36.12,163175
2024-04-01,36.35,36.35,34.301,35.36,101686
2024-04-02,34.81,35.08,34.08,34.28,149791
2024-04-03,33.94,34.36,33.94,33.96,93949
2024-04-04,34.25,34.85,34.17,34.2,107328
2024-04-05,34.12,34.5,33.89,34.04,82981
2024-04-08,34.35,34.59,34.1,34.4,95882
2024-04-09,34.44,35.04,34.34,34.51,78314
2024-04-10,33.52,33.755,32.17,32.74,198338
2024-04-11,32.78,32.82,32.21,32.68,130804
2024-04-12,32.4,32.68,31.85,32,181163
2024-04-15,32.27,32.58,31.39,31.8,115259
2024-04-16,31.48,31.7,31.1,31.24,120919
2024-04-17,31.675,31.675,30.87,30.98,154909
2024-04-18,31,31.55,30.83,31.26,151274
2024-04-19,31.07,32.36,31.07,32.31,149982
2024-04-22,32.65,33.49,32.41,33.22,103457
2024-04-23,33.29,34.45,33.1983,34.11,137019
2024-04-24,33.61,34.6,33.61,34.5,146088
2024-04-25,33.81,33.81,31.45,31.55,244291
2024-04-26,31.68,31.99,31.4,31.52,177094
2024-04-29,31.48,31.74,30.98,31.03,117083
2024-04-30,30.74,31,30.23,30.41,136258
2024-05-01,30.55,31.72,30.38,31.25,201025
2024-05-02,31.5,31.76,31.0948,31.7,127465
2024-05-03,32.22,32.22,31.4425,31.85,181231
2024-05-06,31.95,32.055,31.41,31.46,113363
2024-05-07,31.61,31.95,31.59,31.73,118453
2024-05-08,31.41,31.85,31.41,31.83,105961
2024-05-09,31.8,32.16,31.79,31.9,282035
2024-05-10,32.02,32.03,31.55,31.8,143344
2024-05-13,31.88,32,31.61,31.74,110551
2024-05-14,32.19,32.2,31.38,31.71,109965
2024-05-15,32.2,32.24,31.5,31.81,140859
2024-05-16,31.78,32.46,31.67,32.25,122144
2024-05-17,32.4,32.94,32.4,32.6,112988
2024-05-20,32.7,32.88,32.2,32.22,92355
2024-05-21,32.08,32.49,32,32.44,148051
2024-05-22,32.48,32.5,32.04,32.15,105390
2024-05-23,32.17,32.17,31.2412,31.41,103843
2024-05-24,31.54,31.76,31.21,31.75,125180
2024-05-28,31.86,31.95,31.39,31.49,106221
2024-05-29,30.78,31.12,30.59,31.02,152897
2024-05-30,31.55,31.69,31.22,31.5,229719
2024-05-31,31.66,31.86,31.16,31.55,131780
2024-06-03,31.93,31.93,30.81,30.94,99071
2024-06-04,30.72,30.77,30.26,30.34,69986
2024-06-05,30.66,30.935,30.21,30.9,102507
2024-06-06,30.76,31.38,30.73,31.34,114501
2024-06-07,30.89,31.47,30.81,31.19,92552
2024-06-10,30.77,30.79,29.86,30.1,155424
2024-06-11,29.89,30.03,29.63,29.79,152358
2024-06-12,30.91,31.41,30.39,30.83,147578
2024-06-13,30.89,30.89,30.29,30.55,94495
2024-06-14,30.02,30.07,29.75,30.02,82450
2024-06-17,29.83,30.648,29.7,30.62,73269
2024-06-18,30.44,30.82,30.37,30.38,89262
2024-06-20,30.38,30.67,29.99,30.48,126456
2024-06-21,30.5,30.5,30.06,30.22,401007
2024-06-24,30.46,30.785,30.2,30.47,326352
2024-06-25,30.28,30.5,29.97,30,113893
2024-06-26,29.71,30.94,29.53,30.7,155049
2024-06-27,30.75,31.27,30.38,31.18,124711
2024-06-28,31.37,32.12,31.22,31.92,383836
2024-07-01,31.68,32.24,30.76,31.65,134638
2024-07-02,31.65,32.735,31.1766,32.58,163171
2024-07-03,32.64,32.64,32.04,32.14,108926
2024-07-05,32.03,32.65,31.76,31.88,103908
2024-07-08,32.06,32.59,31.78,31.86,196925
2024-07-09,31.58,32.18,31.55,31.97,227719
2024-07-10,32.08,33.22,32.08,33.19,133577
2024-07-11,34.13,35.2,33.795,35.05,174962
2024-07-12,35.61,35.94,34.82,35.11,227127
2024-07-15,35.74,36.87,35.74,36.01,325287
2024-07-16,36.53,38.07,36.53,37.9,259665
2024-07-17,37.4,38.985,37.4,38.84,370855
2024-07-18,38.44,39.37,37.85,38.21,298977
2024-07-19,38.25,39.32,35.848,38.15,161218
2024-07-22,37.86,39.04,37.56,38.82,137703
2024-07-23,38.6,40.29,38.6,39.67,241455
2024-07-24,39.31,40.5,39.295,39.34,163094
2024-07-25,42,45.4099,41.555,44.15,854214
2024-07-26,44.32,44.86,42.2,43.19,415248
2024-07-29,43.1,43.47,41.66,41.84,217125
2024-07-30,41.87,42.36,41.55,41.84,171399
2024-07-31,42.01,43.12,41.42,41.8,234744
2024-08-01,41.79,41.79,39.48,40.05,224759
2024-08-02,38.28,39.56,37.58,39.18,191883
2024-08-05,37.13,38.97,36.465,38.55,253207
2024-08-06,38.39,38.855,38.04,38.29,110373
2024-08-07,38.82,39.2,37.8,38.2,115797
2024-08-08,39,39.96,39,39.93,235777
2024-08-09,39.8,39.8,38.58,39.08,133569
2024-08-12,39.56,40.25,38.635,38.91,144072
2024-08-13,39.52,39.645,38.65,39.58,152488
2024-08-14,39.74,39.74,38.63,39.12,100668
2024-08-15,40.16,40.62,39.79,39.95,118995
2024-08-16,39.93,41.08,39.93,41,148074
2024-08-19,41.06,42.23,40.96,41.81,408783
2024-08-20,41.51,41.51,40.76,40.98,119087
2024-08-21,41.35,41.35,40.48,40.95,77065
2024-08-22,40.78,41.5,40.43,41.03,61764
2024-08-23,41.43,44,41.43,42.95,183233
2024-08-26,43.28,43.42,42.24,42.27,124961
2024-08-27,42.07,42.07,41.39,41.52,99086
2024-08-28,41.57,42.38,41.27,41.92,192049
2024-08-29,42.4,42.44,41.6625,42,112886
2024-08-30,42.1,42.55,41.825,42.48,118327
2024-09-03,41.93,42.66,41.93,42.25,145998
2024-09-04,41.99,42.365,41.33,41.56,156395
2024-09-05,41.85,41.93,41.13,41.47,114711
2024-09-06,41.55,41.99,40.59,40.92,142447
2024-09-09,40.98,41.54,40.63,41.26,194913
2024-09-10,41.25,41.53,40.55,41.36,168005
2024-09-11,40.92,41.4,39.88,41.21,160908
2024-09-12,41.56,41.725,40.905,41.25,125728
2024-09-13,41.86,42.5,41.66,42.43,141916
2024-09-16,42.5,42.97,41.91,42.71,131430
2024-09-17,43,44.14,42.54,42.85,220282
2024-09-18,43.03,44.785,42.24,43.1,203733
2024-09-19,43.76,44.6,43.11,44.54,226035
2024-09-20,44.24,44.55,43.435,43.62,607667
2024-09-23,43.86,44,43.02,43.24,153272
2024-09-24,43.15,43.29,42.07,42.15,135966
2024-09-25,42.17,42.17,41.31,41.41,132943
2024-09-26,41.95,41.98,41.37,41.41,113403
2024-09-27,41.8,41.985,41.12,41.3,118400
2024-09-30,41.11,41.97,40.815,41.59,151077
2024-10-01,41.42,41.42,40,40.32,133446
2024-10-02,40.38,41.245,40.38,40.62,109292
2024-10-03,40.53,41.07,40.11,41.03,198789
2024-10-04,41.58,42.1,41.2724,41.73,123660
2024-10-07,41.61,41.69,41.15,41.41,123231
2024-10-08,41.55,41.63,41.07,41.07,108120
2024-10-09,40.93,41.74,40.92,41.38,85229
2024-10-10,41.28,41.4632,40.82,41.35,196139
2024-10-11,41.53,43.08,41.53,42.56,155166
2024-10-14,42.55,43.695,42.31,43.52,146877
2024-10-15,43.65,44.99,43.31,43.83,199172
2024-10-16,44.38,44.895,44.255,44.41,149826
2024-10-17,44.2,44.69,43.85,44.62,134778
2024-10-18,44.53,44.53,43.6,43.66,112269
2024-10-21,43.66,43.66,41.84,41.97,137609
2024-10-22,41.94,42.33,41.76,42.29,87078
2024-10-23,41.9,42.485,41.1663,42.39,97593
2024-10-24,41.5,41.88,40.99,41.57,159623
2024-10-25,41.99,42.09,40.86,40.94,152986
2024-10-28,41.47,42.96,41.45,42.67,166722
2024-10-29,42.33,42.64,42.08,42.17,76964
2024-10-30,42.03,43.39,42.03,42.49,107968
2024-10-31,42.4,42.62,41.7,41.7,91511
2024-11-01,42.13,42.55,41.47,41.64,64288
2024-11-04,41.31,41.5,40.5,41.15,83642
2024-11-05,41.2,42.2,41.0189,42.17,78854
2024-11-06,45,48.21,44.3,47.16,719733
2024-11-07,46.54,46.66,44.655,44.96,260841
2024-11-08,45.39,45.8,44.72,45.37,195465
2024-11-11,46.3,47.69,46.16,46.9,355148
2024-11-12,46.92,47.62,46.585,46.81,189795
2024-11-13,47.39,48.12,46.53,46.63,181421
2024-11-14,46.84,47.095,46.05,46.57,106617
2024-11-15,46.77,46.85,45.43,45.75,155726
2024-11-18,45.75,46.13,45.45,45.49,120252
2024-11-19,44.69,45.45,44.44,45.32,115532
2024-11-20,45.31,45.32,44.31,44.97,115798
2024-11-21,45.17,46.855,45.06,46.69,317123
2024-11-22,46.96,48.185,46.79,48.12,176124
2024-11-25,48.84,50.34,48.61,49.2,397712
2024-11-26,49.03,49.43,48.565,48.58,247061
2024-11-27,48.71,49.11,47.84,47.86,165571
2024-11-29,48.17,48.17,46.93,47.3,101037
2024-12-02,47.26,47.72,46.48,47.3,155972
2024-12-03,47.32,47.665,46.71,46.74,115752
2024-12-04,46.81,47.72,46.78,47.64,145974
2024-12-05,47.85,48.42,47.54,47.65,131019
2024-12-06,47.97,47.99,47.185,47.93,88694
2024-12-09,48.32,48.62,48.03,48.33,177415
2024-12-10,48.27,49.05,47.425,48.07,274838
2024-12-11,48.65,48.91,48.04,48.05,177560
2024-12-12,47.96,48.305,46.9,47.33,131258
2024-12-13,47.2,47.56,46.75,47.56,166023
2024-12-16,47.42,48.06,47.17,47.94,265482
2024-12-17,47.9,48.18,47.06,47.35,232735
2024-12-18,47.84,47.84,43.52,43.89,228690
2024-12-19,44.37,45.455,43.4,43.55,219513
2024-12-20,43.41,45.03,43.41,44.69,445278
2024-12-23,44.39,44.95,44.08,44.45,111322
2024-12-24,44.61,44.93,44.3,44.92,47120
2024-12-26,44.52,45.34,44.325,45.17,102751
2024-12-27,44.75,45.035,43.865,44.4,120972
2024-12-30,44.2,44.53,43.235,44.24,97147
2024-12-31,44.26,44.545,43.74,43.97,80533
2025-01-02,44.16,46.17,42.97,43,122852
2025-01-03,43.02,43.595,42.2201,43.38,125691
2025-01-06,43.38,44.11,43.1,43.18,140495
2025-01-07,43.47,43.475,42.15,42.63,123797
2025-01-08,42.5,42.79,42.046,42.29,101540
2025-01-10,41.38,41.39,40.39,40.96,144845
2025-01-13,40.4,41.36,40.19,41.26,142348
2025-01-14,41.64,43.06,41.64,43.05,150529
2025-01-15,44.61,44.995,43.365,43.72,144643
2025-01-16,43.49,43.87,43.12,43.49,194492
2025-01-17,43.85,44.375,43.45,44.14,232768
2025-01-21,44.47,46.285,44.24,44.46,151259
2025-01-22,44.16,44.9,43.695,43.9,166463
2025-01-23,43.3,44.28,43.3,43.8,162074
2025-01-24,43.71,44.35,43.61,43.94,161230
2025-01-27,44.13,45.335,43.55,44.56,188020
2025-01-28,44.27,44.69,43.97,44.13,155079
2025-01-29,44.42,44.535,43.28,43.94,205217
2025-01-30,40.66,44.54,40.66,43.58,193558
2025-01-31,42.59,44.45,42.59,44.13,302010
2025-02-03,44.83,44.83,42.8,43.24,188319
2025-02-04,42.99,44.69,42.755,44.67,115296
2025-02-05,45.07,45.51,44.5,45.5,141713
2025-02-06,45.57,46.14,45.325,45.94,141498
2025-02-07,45.16,45.18,43.8,43.96,229028
2025-02-10,44.05,44.75,43.49,43.71,157116
2025-02-11,43.34,44.685,43.34,44.66,126395
2025-02-12,43.73,43.91,43.01,43.02,171832
2025-02-13,43.5,44.35,42.3245,43.31,117765
2025-02-14,43.61,44,43.16,43.19,81618
2025-02-18,43.18,44.475,42.99,43.27,152667
2025-02-19,42.3,43.255,42.09,42.97,125130
2025-02-20,42.73,43.75,41.73,42.46,157620
2025-02-21,42.91,43.725,41.53,41.71,200854
2025-02-24,42.19,42.84,41.2,41.36,162796
2025-02-25,41.59,42.68,41.06,41.23,177178
2025-02-26,41.24,41.42,40.4,40.98,241978
2025-02-27,40.78,41.51,40.68,41.28,147004
2025-02-28,41.34,42.525,40.24,41.96,153865
