date,open,high,low,close,volume
2024-03-01,26.81,27.5,26.8,27.355,2225
2024-03-07,28,28,27.075,27.075,764
2024-03-08,27.09,27.29,27.09,27.27,1743
2024-03-11,27.462,27.462,27.462,27.462,229
2024-03-12,27.79,27.8,27.79,27.8,1261
2024-03-13,27.89,27.89,27.89,27.89,619
2024-03-15,26.7501,28.01,26.7501,27.93,1064
2024-03-18,28.01,28.15,27.565,28.01,3962
2024-03-19,28.11,28.11,28.11,28.11,1079
2024-03-20,27.2429,27.28,27.2429,27.28,373
2024-03-21,28.29,29.49,28.12,28.89,7373
2024-03-22,28.13,29.01,28.13,29.01,693
2024-03-25,28.22,28.9,28.22,28.9,532
2024-03-27,29.95,29.95,28.55,28.91,3254
2024-03-28,29.83,29.83,28.5,28.55,2041
2024-04-01,28.71,29.75,28.45,28.45,1295
2024-04-02,27.63,29.75,27.2259,29.21,6360
2024-04-03,29.75,29.75,28.76,28.76,975
2024-04-04,29.46,30.24,29.05,30.24,1095
2024-04-05,29.54,29.54,29.1,29.1,507
2024-04-09,29.441,29.441,27.98,28.58,4635
2024-04-11,29.07,29.07,27.51,27.51,764
2024-04-12,27.135,27.53,27.135,27.53,573
2024-04-15,27.99,27.99,27.99,27.99,1083
2024-04-16,28.8,28.8,27.41,27.99,774
2024-04-17,27.5,27.61,27.5,27.61,2405
2024-04-18,27.98,27.98,27.98,27.98,657
2024-04-22,27.5801,27.5801,27.5801,27.5801,336
2024-04-23,27.87,27.89,27.85,27.85,824
2024-04-25,28,28,28,28,459
2024-04-26,29,29,28.49,28.72,1572
2024-04-29,28.4,28.5,28.4,28.5,435
2024-04-30,27.75,28.084,26.73,27.5,4472
2024-05-02,28,28,28,28,997
2024-05-03,27.6,28.28,26.86,28.08,7049
2024-05-06,28,28.17,28,28.17,2148
2024-05-07,28.56,28.59,28.03,28.03,1452
2024-05-10,28.05,28.05,28.05,28.05,632
2024-05-13,28.49,28.5,28.3925,28.5,1283
2024-05-15,28.66,28.66,28.49,28.51,1212
2024-05-16,29.0888,30.25,28.975,30,6214
2024-05-17,29.1699,29.37,28.0721,29.05,6273
