date,open,high,low,close,volume
2024-03-01,28.77,29.91,27.65,29.37,865496
2024-03-04,29.66,29.96,28.51,28.74,2445308.0
2024-03-05,28.62,29.14,27,27.04,596876
2024-03-06,27.16,28.27,27.0029,28.26,432774
2024-03-07,28.57,29.66,28,29.51,686284
2024-03-08,30.1,31.16,28.4961,29.57,702052
2024-03-11,29.63,30.15,28.33,28.55,646599
2024-03-12,28.68,28.9399,27.5,28.53,458655
2024-03-13,28.53,29.575,28.46,29.4,437216
2024-03-14,29.05,29.59,28.29,29.37,855433
2024-03-15,28.8,32.37,28.8,31.51,1561209.0
2024-03-18,31.27,31.91,30.44,31.03,778815
2024-03-19,31,32.09,29.23,32.02,796911
2024-03-20,32.12,33.94,31.37,33.5,481428
2024-03-21,33.99,34.28,33.55,33.8,665603
2024-03-22,33.44,33.95,32.9,33.6,302108
2024-03-25,33.4,34.18,33.398,33.6,297482
2024-03-26,33.63,34.71,33.161,34.05,487821
2024-03-27,34.39,36.25,33.83,35.87,723668
2024-03-28,34.16,34.1979,30.25,31.86,1605197.0
2024-04-01,31.78,31.87,28.77,30.01,1070044.0
2024-04-02,28.79,29.66,27.46,27.98,2012163.0
2024-04-03,27.46,28.09,27,27.92,661127
2024-04-04,28.17,28.86,27.42,27.64,641407
2024-04-05,27.4,28.71,26.9,28.6,367190
2024-04-08,28.65,29.265,28.122,28.75,555663
2024-04-09,28.79,29.22,26.8,27.1,545303
2024-04-10,26.5,27.29,25.68,26.93,520160
2024-04-11,27.19,27.865,26.6,27.7,649466
2024-04-12,27.53,27.7199,26.09,26.35,401322
2024-04-15,27.89,28.43,25.94,26.25,601162
2024-04-16,25.74,27.24,25.74,26.75,475661
2024-04-17,26.94,26.99,25.145,25.3,515136
2024-04-18,25.04,25.27,24.71,24.78,410806
2024-04-19,24.61,25.56,24.3801,25.25,635044
2024-04-22,25.6,26.9162,24.57,26.39,481679
2024-04-23,26.45,26.89,24.6853,24.81,565556
2024-04-24,25.19,25.38,24.23,24.25,289114
2024-04-25,23.51,23.98,22.91,23.53,447324
2024-04-26,23.45,23.855,22.75,23.25,321552
2024-04-29,23.58,24.66,23.34,24.25,313303
2024-04-30,23.76,24.555,23.57,23.93,355150
2024-05-01,24,26.59,24,25.39,694880
2024-05-02,25.31,26.54,24.93,26.38,406689
2024-05-03,27.21,27.84,26.17,26.38,320136
2024-05-06,26.47,27,26.41,26.76,370856
2024-05-07,26.79,27.09,26.26,26.8,334995
2024-05-08,26.26,26.78,25.88,26.33,293923
2024-05-09,26.41,26.845,25.54,25.64,323004
2024-05-10,25.19,26.235,24.27,25.7,396087
2024-05-13,25.94,27.36,25.2,25.57,593875
2024-05-14,26.39,27.24,25.61,25.75,425059
2024-05-15,26.55,27.17,25.5,25.58,427495
2024-05-16,25.18,26.1,24.77,25.64,526900
2024-05-17,25.72,25.72,24.36,25.34,435710
2024-05-20,25.33,26.25,25.02,26,453428
2024-05-21,25.06,25.9499,24.73,25.15,402276
2024-05-22,25.18,26.53,25.15,26.14,554906
2024-05-23,26.14,26.21,24.88,25.15,474133
2024-05-24,25.38,26.1,25.07,25.15,398936
2024-05-28,25.54,25.72,24.03,24.9,417445
2024-05-29,24.42,24.61,23.95,23.96,377659
2024-05-30,24.21,24.99,24,24.64,569726
2024-05-31,25,25.61,23.845,23.97,699037
2024-06-03,24.37,25.4,23.74,24.73,624425
2024-06-04,24.8,25.06,24.12,24.8,415126
2024-06-05,25.01,27.35,24.74,27.28,469819
2024-06-06,22.34,24.89,22.265,22.57,1143096.0
2024-06-07,22.25,23.325,21.54,22.72,774360
2024-06-10,22.42,22.875,21.805,22.57,680477
2024-06-11,22.3,23.76,22.3,23.29,688492
2024-06-12,24.31,24.79,23.76,24.07,454147
2024-06-13,23.62,25,23.62,24.41,264761
2024-06-14,24.05,24.38,23.5,23.63,359141
2024-06-17,23.45,24.47,23.45,23.8,406071
2024-06-18,23.64,23.64,22.5,22.78,407395
2024-06-20,22.71,22.87,22.02,22.61,394477
2024-06-21,22.89,23.12,22.06,22.94,1326951.0
2024-06-24,22.89,23.65,22.69,23.25,356175
2024-06-25,23.14,23.24,21.86,22,1239507.0
2024-06-26,21.93,22.09,20.65,21.01,817854
2024-06-27,21.01,21.08,20.33,20.93,618397
2024-06-28,20.95,21.16,20.3968,20.99,2599997.0
2024-07-01,20.95,21.74,20.7,21.34,521224
2024-07-02,21.28,21.6,20.42,20.58,400433
2024-07-03,20.79,21.38,20.5,20.85,241954
2024-07-05,20.68,21.2,20.555,21.15,245894
2024-07-08,21.35,21.63,21,21.49,399136
2024-07-09,21.55,22.84,21.3417,22.69,374028
2024-07-10,22.75,23.22,22.05,23.21,400890
2024-07-11,23.6,27,23.38,25.79,1098739.0
2024-07-12,26.2,28.38,26.2,27.22,1170564.0
