date,open,high,low,close,volume
2024-03-01,1.77,1.89,1.6801,1.87,749746
2024-03-04,1.91,2.4,1.8801,2.22,2942734.0
2024-03-05,2.24,2.26,1.95,2.13,1184807.0
2024-03-06,2.19,2.2,1.69,1.89,1658171.0
2024-03-07,1.89,2.15,1.83,2.03,776420
2024-03-08,2.06,2.15,1.98,2.04,539015
2024-03-11,2.02,2.06,1.84,1.86,423887
2024-03-12,1.84,1.94,1.72,1.91,428810
2024-03-13,1.8,2.03,1.75,1.81,558326
2024-03-14,1.83,1.8808,1.62,1.72,461734
2024-03-15,1.79,2.05,1.7826,1.88,1129522.0
2024-03-18,2.05,2.1199,1.88,1.94,802246
2024-03-19,1.9,2.07,1.78,2,642285
2024-03-20,1.87,1.88,1.71,1.8,3174449.0
2024-03-21,1.8,1.81,1.62,1.72,934871
2024-03-22,1.69,1.7381,1.6,1.66,559134
2024-03-25,1.6,1.67,1.58,1.61,574500
2024-03-26,1.6,1.62,1.46,1.5,873224
2024-03-27,1.47,1.5,1.345,1.47,902411
2024-03-28,1.44,1.65,1.44,1.55,496124
2024-04-01,1.54,1.79,1.51,1.72,941529
2024-04-02,1.72,1.79,1.68,1.74,469006
2024-04-03,1.79,1.83,1.75,1.81,418479
2024-04-04,1.84,1.84,1.69,1.71,273229
2024-04-05,1.74,1.74,1.67,1.69,264821
2024-04-08,1.72,1.72,1.55,1.58,340190
2024-04-09,1.63,1.63,1.54,1.55,220871
2024-04-10,1.56,1.56,1.395,1.43,473715
2024-04-11,1.42,1.48,1.39,1.4,404874
2024-04-12,1.41,1.41,1.27,1.3,420534
2024-04-15,1.3,1.41,1.265,1.34,861316
2024-04-16,1.3,1.365,1.29,1.31,278083
2024-04-17,1.34,1.34,1.29,1.3,121149
2024-04-18,1.3,1.3699,1.27,1.31,189497
2024-04-19,1.3,1.34,1.28,1.32,167020
2024-04-22,1.32,1.355,1.22,1.27,224046
2024-04-23,1.23,1.36,1.23,1.33,282476
2024-04-24,1.34,1.41,1.32,1.33,114142
2024-04-25,1.33,1.34,1.27,1.33,103654
2024-04-26,1.33,1.3643,1.21,1.27,138216
2024-04-29,1.27,1.34,1.25,1.32,84220
2024-04-30,1.33,1.33,1.27,1.27,69173
2024-05-01,1.27,1.34,1.27,1.3,108447
2024-05-02,1.29,1.3299,1.22,1.235,284746
2024-05-03,1.28,1.32,1.24,1.29,62923
2024-05-06,1.3,1.39,1.3,1.35,180394
2024-05-07,1.39,1.44,1.34,1.42,138488
2024-05-08,1.43,1.51,1.37,1.39,306168
2024-05-09,1.34,1.3742,1.25,1.27,235599
2024-05-10,1.28,1.285,1.2,1.21,139097
2024-05-13,1.24,1.3,1.21,1.27,182457
2024-05-14,1.28,1.38,1.25,1.38,183989
2024-05-15,1.35,1.39,1.32,1.33,158543
2024-05-16,1.32,1.36,1.26,1.29,138866
2024-05-17,1.29,1.29,1.24,1.27,258096
2024-05-20,1.25,1.2825,1.22,1.26,127405
2024-05-21,1.29,1.299,1.22,1.28,110033
2024-05-22,1.24,1.35,1.24,1.3,96232
2024-05-23,1.31,1.31,1.22,1.24,75044
2024-05-24,1.24,1.33,1.21,1.28,320569
2024-05-28,1.27,1.29,1.21,1.21,147229
2024-05-29,1.22,1.22,1.16,1.17,152431
2024-05-30,1.18,1.22,1.17,1.18,138558
2024-05-31,1.19,1.22,1.1745,1.18,66519
2024-06-03,1.16,1.1899,1.1,1.15,193133
2024-06-04,1.14,1.23,1.14,1.18,143460
2024-06-05,1.18,1.2099,1.1,1.11,157741
2024-06-06,1.14,1.15,1.02,1.05,284465
2024-06-07,1.03,1.07,1.03,1.04,139607
2024-06-10,1.04,1.11,1.02,1.09,143205
2024-06-11,1.09,1.1,1.06,1.08,74376
2024-06-12,1.08,1.09,1.02,1.04,145389
2024-06-13,1.02,1.07,1.02,1.0401,48756
2024-06-14,1.05,1.05,1,1.015,78685
2024-06-17,1.01,1.0299,0.99,1.01,117183
2024-06-18,1.01,1.01,0.9521,0.955,199501
2024-06-20,1.02,1.37,1.01,1.27,1554545.0
2024-06-21,1.31,1.3994,1.11,1.15,580130
2024-06-24,1.14,1.2,1.1,1.17,127126
2024-06-25,1.16,1.17,1.08,1.09,136023
2024-06-26,1.05,1.09,1.03,1.04,156934
2024-06-27,1.07,1.23,1.07,1.15,179258
2024-06-28,1.14,1.16,1.09,1.14,87655
2024-07-01,1.14,1.2,1.14,1.17,103368
2024-07-02,1.14,1.17,1.1,1.11,82786
2024-07-03,1.14,1.14,1.08,1.1,42674
2024-07-05,1.08,1.11,1.08,1.11,93774
2024-07-08,1.11,1.16,1.11,1.14,118186
2024-07-09,1.14,1.145,1.05,1.1,129097
2024-07-10,1.09,1.15,1.04,1.09,190368
2024-07-11,1.07,1.13,1.0601,1.12,110511
2024-07-12,1.1,1.1489,1.09,1.14,108104
2024-07-15,1.13,1.1498,1.1,1.12,96052
2024-07-16,1.12,1.21,1.12,1.2,224178
2024-07-17,1.21,1.2161,1.1194,1.15,116387
2024-07-18,1.11,1.18,1.11,1.11,71591
2024-07-19,1.1,1.11,1.07,1.09,87406
2024-07-22,1.09,1.13,1.07,1.12,102412
2024-07-23,1.13,1.14,1.09,1.11,96331
2024-07-24,1.1,1.19,1.1,1.16,166927
2024-07-25,1.15,1.16,1.09,1.13,118038
2024-07-26,1.1685,1.29,1,1.14,681439
2024-07-29,1.12,1.1599,1.12,1.145,50225
2024-07-30,1.17,1.17,1.11,1.12,98140
2024-07-31,1.13,1.15,1.12,1.13,81103
2024-08-01,1.1362,1.15,1.08,1.13,125072
2024-08-02,1.1,1.11,1.04,1.05,143640
2024-08-05,0.9,1.069,0.8875,1,327035
2024-08-06,1.03,1.095,0.9999,1.05,127209
2024-08-07,1.05,1.1,1.05,1.05,110005
2024-08-08,0.99,1,0.86,0.8601,529476
2024-08-09,0.9,0.9581,0.8731,0.9301,161960
2024-08-12,0.9293,1.09,0.91,1.05,170260
2024-08-13,1.1,1.1399,1.07,1.09,102918
2024-08-14,1.11,1.18,1.05,1.06,220622
2024-08-15,1.07,1.13,1.07,1.1,86522
2024-08-16,1.08,1.1378,1.04,1.09,58304
2024-08-19,1.09,1.09,1.05,1.06,63780
2024-08-20,1.1,1.1,0.96,1,187346
2024-08-21,1.05,1.065,0.9995,1.04,101599
2024-08-22,1.05,1.0501,0.9498,1.01,161392
2024-08-23,0.9897,1.07,0.9703,1.07,80423
2024-08-26,1.08,1.08,1.03,1.08,58504
2024-08-27,1.05,1.0713,1.04,1.07,56448
2024-08-28,1.04,1.06,1.02,1.05,56255
