date,open,high,low,close,volume
2024-03-01,21.61,21.75,21.19,21.62,283457
2024-03-04,21.58,22.01,21.51,21.59,307370
2024-03-05,21.5,22.285,21.5,22.2,370151
2024-03-06,22.2,22.55,21.64,22.12,316415
2024-03-07,22.36,22.55,22.007,22.16,230318
2024-03-08,22.46,22.49,22.04,22.14,273964
2024-03-11,22.15,22.1986,22.009,22.04,202554
2024-03-12,22,22.005,21.51,21.61,341581
2024-03-13,21.51,21.93,21.5,21.66,257472
2024-03-14,21.54,21.59,20.895,21.06,359461
2024-03-15,21.01,21.55,21.01,21.37,1016067.0
2024-03-18,21.3,21.34,20.98,21.04,357044
2024-03-19,20.97,21.255,20.97,21.12,355115
2024-03-20,21.04,22.1,20.98,21.94,371957
2024-03-21,22,22.28,21.86,21.92,509168
2024-03-22,22,22,21.48,21.56,262932
2024-03-25,21.61,21.81,21.51,21.53,148329
2024-03-26,21.54,21.66,21.29,21.36,276562
2024-03-27,21.48,22.25,21.48,22.25,254922
2024-03-28,22.22,22.66,22.055,22.42,351489
2024-04-01,22.57,22.57,21.87,21.9,266471
2024-04-02,21.59,21.76,21.38,21.59,380553
2024-04-03,21.59,21.73,21.45,21.57,246497
2024-04-04,21.81,22.01,21.55,21.71,389754
2024-04-05,21.58,21.78,21.58,21.63,175403
2024-04-08,21.7,21.96,21.69,21.9,177914
2024-04-09,22.01,22.18,21.92,22.12,199655
2024-04-10,21.65,21.65,20.87,21.12,431299
2024-04-11,21.26,21.31,20.96,21.2,241041
2024-04-12,21.01,21.23,20.94,21.18,232937
2024-04-15,21.31,21.43,20.82,21.07,264495
2024-04-16,20.85,20.95,20.68,20.79,208873
2024-04-17,21.02,21.15,20.82,20.86,219554
2024-04-18,20.86,21.24,20.84,21.06,319883
2024-04-19,20.96,21.92,20.96,21.89,466641
2024-04-22,21.99,22.24,21.81,21.95,291579
2024-04-23,21.84,22.74,21.84,22.6,366375
2024-04-24,22.32,22.58,22.25,22.55,301392
2024-04-25,22.42,22.475,22.12,22.36,342366
2024-04-26,22.8,22.8,22.07,22.57,459239
2024-04-29,22.56,22.735,22.25,22.28,279746
2024-04-30,22.06,22.32,21.95,22.11,256219
2024-05-01,22.31,22.96,22.21,22.69,396454
2024-05-02,22.8,23.2,22.78,23.08,278767
2024-05-03,23.5,23.59,23.14,23.29,246392
2024-05-06,23.32,23.5,23.26,23.37,276005
2024-05-07,23.4,23.54,23.31,23.33,267844
2024-05-08,23.1,23.42,23.1,23.33,186907
2024-05-09,23.36,23.6,23.3,23.55,277540
2024-05-10,23.53,23.78,23.41,23.72,272186
2024-05-13,23.84,23.9,23.63,23.65,280520
2024-05-14,23.94,23.99,23.57,23.78,244152
2024-05-15,24,24.05,23.51,23.73,322635
2024-05-16,23.62,23.72,23.55,23.61,243646
2024-05-17,23.74,23.925,23.62,23.66,265936
2024-05-20,23.61,23.69,23.16,23.18,247297
2024-05-21,23.05,23.36,23.05,23.32,191450
2024-05-22,23.28,23.35,22.905,23.08,209734
2024-05-23,23.15,23.18,22.48,22.56,253340
2024-05-24,22.71,22.72,22.25,22.59,529614
2024-05-28,22.69,22.74,22.03,22.24,515634
2024-05-29,21.99,22.05,21.74,21.96,418824
2024-05-30,22.2,22.39,22.015,22.08,411481
2024-05-31,22.14,22.37,22.14,22.3,407158
2024-06-03,22.33,22.36,21.6,21.69,271550
