date,open,high,low,close,volume
2024-03-01,0.0072,0.014,0.0072,0.014,236514
2024-03-04,0.014,0.015,0.01,0.01,163799
2024-03-05,0.0119,0.0147,0.01,0.014,63426
2024-03-06,0.014,0.014,0.01,0.01,9493
2024-03-07,0.0098,0.0148,0.0098,0.0147,138434
2024-03-08,0.0131,0.0131,0.013,0.013,52208
2024-03-11,0.011154,0.012,0.011154,0.012,21571
2024-03-12,0.0113,0.01249,0.0112,0.0113,70144
2024-03-13,0.01299,0.0146,0.01,0.01,116248
2024-03-14,0.0125,0.0126,0.01,0.0105,34270
2024-03-15,0.0111,0.0124,0.011,0.011,4802
2024-03-18,0.012165,0.0125,0.011,0.011,17849
2024-03-19,0.0123,0.0123,0.0111,0.0113,14291
2024-03-20,0.0122,0.0123,0.011,0.011,4836
2024-03-21,0.0122,0.0148,0.0122,0.013,216410
2024-03-22,0.0188,0.0188,0.01,0.0111,491815
2024-03-25,0.0141,0.0141,0.0105,0.011,28103
2024-03-26,0.0111,0.0115,0.008,0.0115,89875
2024-03-27,0.0129,0.014,0.011,0.0111,131648
2024-03-28,0.011,0.012,0.011,0.011,18420
2024-04-01,0.0115,0.012,0.01,0.0101,69005
2024-04-02,0.011,0.011,0.011,0.011,4800
2024-04-03,0.014,0.014,0.0115,0.0115,18512
2024-04-04,0.012,0.012,0.011,0.011,4669
2024-04-05,0.011,0.012,0.0083,0.01,189401
2024-04-08,0.012,0.013,0.01145,0.01145,316686
2024-04-09,0.0129,0.0149,0.0128,0.013,201900
2024-04-10,0.0148,0.0155,0.013,0.015,142500
2024-04-11,0.0167,0.0167,0.013,0.0138,39506
2024-04-12,0.0165,0.017,0.015,0.0159,218147
2024-04-15,0.0158,0.016,0.0144,0.0159,17214
2024-04-16,0.014,0.0151,0.0105,0.0151,34627
2024-04-17,0.0159,0.016,0.011,0.015899,82023
2024-04-18,0.015,0.016,0.011,0.0111,30863
2024-04-19,0.0158,0.0159,0.011,0.011,9165
2024-04-22,0.014207,0.014207,0.011,0.0122,15852
2024-04-23,0.0105,0.0139,0.0105,0.0139,3126
2024-04-24,0.0138,0.0138,0.012,0.012,4323
2024-04-25,0.014,0.014,0.011,0.0121,11679
2024-04-26,0.0138,0.016,0.0105,0.01301,36035
2024-04-29,0.0105,0.014,0.0105,0.012,33177
2024-04-30,0.0129,0.013,0.012,0.0121,13579
2024-05-01,0.013,0.0139,0.0105,0.0119,80231
2024-05-02,0.0129,0.013,0.0129,0.0129,41119
2024-05-03,0.0105,0.012,0.0082,0.010149,135765
2024-05-06,0.0109,0.0129,0.0109,0.0115,23316
2024-05-07,0.01005,0.0115,0.009,0.0115,17329
2024-05-08,0.0115,0.0115,0.0115,0.0115,652
2024-05-09,0.011261,0.0113,0.0096,0.01,106365
2024-05-10,0.011,0.011,0.0096,0.0103,10364
2024-05-13,0.011,0.014,0.0094,0.012,394505
2024-05-14,0.014,0.03,0.012794,0.029999,2488009.0
2024-05-15,0.0506,0.085,0.0226,0.0566,3405427.0
2024-05-16,0.078,0.1,0.0533,0.0711,5435691.0
2024-05-17,0.1,0.13,0.0727,0.0885,6502745.0
2024-05-20,0.1099,0.13,0.0801,0.089,2219673.0
2024-05-21,0.0887,0.09,0.0422,0.0579,1513637.0
2024-05-22,0.0556,0.09,0.0451,0.0648,669229
2024-05-23,0.0838,0.0838,0.067449,0.0777,413955
2024-05-24,0.08,0.099,0.0501,0.0599,688878
2024-05-28,0.0698,0.07,0.06,0.0604,345597
2024-05-29,0.0594,0.0594,0.03,0.0341,1411910.0
2024-05-30,0.0385,0.05,0.034,0.0399,764699
2024-05-31,0.042,0.05,0.0365,0.0435,829081
2024-06-03,0.07,0.07,0.045051,0.049,523006
2024-06-04,0.049,0.06,0.04,0.04115,222476
2024-06-05,0.0411,0.0512,0.0409,0.0431,408881
2024-06-06,0.0549,0.0549,0.0351,0.0425,439154
2024-06-07,0.06,0.07,0.0426,0.045,1148685.0
2024-06-10,0.055,0.059,0.044,0.05,373320
2024-06-11,0.057,0.057,0.045,0.0499,81708
2024-06-12,0.0455,0.0465,0.0402,0.0412,410539
2024-06-13,0.0487,0.0498,0.0412,0.0448,176815
2024-06-14,0.0498,0.05,0.0408,0.0469,277459
2024-06-17,0.0466,0.0498,0.0404,0.0408,193911
2024-06-18,0.0408,0.0459,0.04,0.04,85538
2024-06-20,0.0405,0.043,0.04,0.0402,261341
2024-06-21,0.0402,0.0439,0.0401,0.0405,79678
2024-06-24,0.0401,0.0438,0.0401,0.0402,155443
2024-06-25,0.0402,0.0428,0.04,0.0401,662552
2024-06-26,0.0402,0.055,0.0401,0.045,968095
2024-06-27,0.06,0.06,0.045,0.049,536122
2024-06-28,0.049,0.0491,0.042,0.0422,94540
2024-07-01,0.0449,0.0449,0.0401,0.044799,146821
2024-07-02,0.041,0.047099,0.0401,0.042799,430419
2024-07-03,0.0417,0.0428,0.04,0.0428,74432
2024-07-05,0.0436,0.044,0.04,0.04,191026
2024-07-08,0.04,0.0428,0.04,0.040504,69294
2024-07-09,0.0412,0.0412,0.04,0.040167,170114
2024-07-10,0.04,0.041,0.04,0.04,65581
2024-07-11,0.04,0.042399,0.04,0.04,51745
2024-07-12,0.0415,0.0419,0.04,0.04,41355
2024-07-15,0.0419,0.0419,0.0406,0.0409,127597
2024-07-16,0.0415,0.0415,0.04,0.041,91838
2024-07-17,0.041,0.041,0.04,0.0404,39841
2024-07-18,0.0407,0.041,0.04,0.04,126611
2024-07-19,0.04,0.040501,0.04,0.04,75018
2024-07-22,0.04,0.05,0.04,0.045,256851
2024-07-23,0.049,0.0498,0.045,0.045,34963
2024-07-24,0.04,0.041,0.04,0.04,83864
2024-07-25,0.040101,0.05,0.04,0.047,53564
2024-07-26,0.05,0.05,0.04,0.0488,42516
2024-07-29,0.047,0.047,0.0407,0.0411,42519
2024-07-30,0.0468,0.0468,0.041,0.0411,41810
2024-07-31,0.0442,0.0468,0.04,0.044,164140
2024-08-01,0.04,0.0448,0.04,0.0421,306964
2024-08-02,0.041,0.0427,0.04,0.04,140810
2024-08-05,0.04,0.04,0.0311,0.0399,163724
2024-08-06,0.0315,0.0423,0.0315,0.0376,56203
2024-08-07,0.0375,0.0388,0.0375,0.0376,34755
2024-08-08,0.0398,0.045,0.0365,0.0391,613976
2024-08-09,0.0375,0.0375,0.0311,0.0312,49192
2024-08-12,0.035,0.035101,0.035,0.035,9039
2024-08-13,0.0346,0.0372,0.0346,0.0372,13600
2024-08-14,0.036,0.0396,0.03,0.0359,164690
2024-08-15,0.0323,0.034,0.03,0.0311,57069
2024-08-16,0.036899,0.0399,0.0339,0.0393,91581
2024-08-19,0.0393,0.0393,0.03,0.03,116040
2024-08-20,0.031,0.037,0.0299,0.0331,81173
2024-08-21,0.0299,0.035,0.029,0.0302,45183
2024-08-22,0.03,0.0575,0.0281,0.0451,1210220.0
2024-08-23,0.06,0.065,0.035,0.03685,964298
2024-08-26,0.039,0.039,0.029,0.0314,237418
2024-08-27,0.037,0.037,0.03,0.0309,342312
2024-08-28,0.0358,0.0359,0.03,0.0333,407958
2024-08-29,0.0348,0.0348,0.03,0.0308,98164
2024-08-30,0.03,0.035,0.03,0.0321,50711
2024-09-03,0.0349,0.0349,0.03,0.0302,92416
2024-09-04,0.032,0.0397,0.03,0.0358,541613
2024-09-05,0.039,0.039,0.03,0.0343,234273
2024-09-06,0.0305,0.034,0.03,0.0301,88012
2024-09-09,0.03,0.0324,0.03,0.0316,61502
2024-09-10,0.0316,0.0324,0.0298,0.0298,126163
2024-09-11,0.0318,0.032,0.0251,0.0279,128975
2024-09-12,0.0281,0.0281,0.015,0.0234,709499
2024-09-13,0.0233,0.0233,0.0159,0.0201,177726
2024-09-16,0.021199,0.0223,0.0199,0.0199,42987
2024-09-17,0.0221,0.0224,0.02,0.02,103057
2024-09-18,0.0175,0.0233,0.0175,0.02,88517
2024-09-19,0.025,0.025,0.0208,0.0208,48772
2024-09-20,0.0208,0.0208,0.0208,0.0208,5946
2024-09-23,0.020901,0.03,0.02,0.0201,89980
2024-09-24,0.022,0.0275,0.02,0.0261,107521
2024-09-25,0.026,0.0262,0.02,0.0207,84483
2024-09-26,0.021,0.0257,0.0168,0.0178,225630
2024-09-27,0.02,0.02,0.0183,0.0186,36887
2024-09-30,0.0171,0.0275,0.0171,0.0226,115779
2024-10-01,0.0219,0.0238,0.0151,0.0188,144589
2024-10-02,0.0189,0.0218,0.0189,0.0202,16233
2024-10-03,0.0202,0.0212,0.019,0.0212,65134
2024-10-04,0.0216,0.025,0.019,0.0217,102563
2024-10-07,0.0182,0.0226,0.0182,0.0226,15195
2024-10-08,0.0226,0.0226,0.0179,0.0222,88063
2024-10-09,0.022,0.027,0.0201,0.0201,207056
2024-10-10,0.0255,0.027,0.0206,0.0253,225299
2024-10-11,0.0255,0.027,0.0205,0.0214,108373
2024-10-14,0.0259,0.0268,0.0214,0.024,41087
2024-10-15,0.0213,0.0268,0.0213,0.0257,54218
2024-10-16,0.022,0.0269,0.0216,0.025,23733
2024-10-17,0.0223,0.0227,0.0218,0.0219,13858
2024-10-18,0.026,0.026,0.0183,0.0205,102411
