date,open,high,low,close,volume
2024-03-01,30.67,30.98,30.2925,30.72,433909
2024-03-04,30.74,31.29,30.7,30.9,345020
2024-03-05,30.73,32.44,30.73,32.36,585436
2024-03-06,32.45,33.03,31.65,32.28,443630
2024-03-07,32.78,32.965,32.285,32.53,420136
2024-03-08,33.12,33.15,32.57,32.57,299207
2024-03-11,32.5,32.595,32.095,32.14,266811
2024-03-12,31.86,32.16,31.39,31.64,429348
2024-03-13,31.52,32.015,31.19,31.4,345103
2024-03-14,31.21,31.21,29.84,30.1,501965
2024-03-15,29.92,30.62,29.92,30.33,1807213.0
2024-03-18,30.29,30.64,29.95,29.98,421781
2024-03-19,29.91,30.51,29.91,30.1,392028
2024-03-20,29.94,31.45,29.94,31.1,423239
2024-03-21,31.2,31.78,31.2,31.43,384985
2024-03-22,31.56,31.56,30.65,31.11,476939
2024-03-25,31.23,31.58,31,31.08,370413
2024-03-26,31.27,31.4,30.815,30.98,357223
2024-03-27,31.19,32.6,31.18,32.55,491645
2024-03-28,32.54,32.94,32.25,32.81,690602
2024-04-01,32.73,32.73,31.795,32.26,496811
2024-04-02,31.69,32.0899,31.16,31.2,458314
2024-04-03,30.97,31.49,30.97,31.26,338402
2024-04-04,31.76,32.22,31.45,31.57,382456
2024-04-05,31.34,31.71,31.18,31.44,297315
2024-04-08,31.76,31.94,31.6,31.63,268559
2024-04-09,31.84,32.27,31.73,31.98,285015
2024-04-10,31,31.15,29.52,29.92,644055
2024-04-11,30.18,30.6,29.7,30.21,419398
2024-04-12,29.83,30.065,29.53,29.68,318282
2024-04-15,29.73,30.01,28.93,29.31,467755
2024-04-16,29,29.3479,28.77,29.02,402139
2024-04-17,29.4,29.47,28.63,28.65,428119
2024-04-18,28.67,29.075,28.4,28.8,665697
2024-04-19,28.57,30.09,28.445,30.01,1068728.0
2024-04-22,29.93,30.55,29.71,30.42,467757
2024-04-23,30.37,30.88,30.37,30.51,387826
2024-04-24,30.13,30.57,29.93,30.48,379097
2024-04-25,30.21,30.47,29.64,30.41,414067
2024-04-26,30.37,30.75,30.18,30.36,376776
2024-04-29,30.45,30.53,29.6,29.71,255948
2024-04-30,29.5,29.93,29.4601,29.56,361045
2024-05-01,29.78,30.75,29.73,30.02,420117
2024-05-02,30.52,30.64,30.13,30.59,326716
2024-05-03,31.21,31.21,30.54,30.76,250450
2024-05-06,30.95,31.15,30.75,30.76,424998
2024-05-07,30.95,31.39,30.835,31.08,567322
2024-05-08,30.67,30.97,30.67,30.87,274856
2024-05-09,30.98,31.15,30.76,31.07,281273
2024-05-10,31.02,31.08,30.6904,30.87,245981
2024-05-13,31.2,31.23,30.98,31.14,311775
2024-05-14,31.5,31.93,31.165,31.82,502906
2024-05-15,32.2,32.301,31.16,31.47,461898
2024-05-16,31.46,31.564,31.08,31.1,342579
2024-05-17,31.38,31.79,31.23,31.78,474519
2024-05-20,31.67,31.93,31.37,31.46,299558
2024-05-21,31.34,31.74,31.1,31.13,345690
2024-05-22,30.97,31.105,30.13,30.29,395653
2024-05-23,30.29,30.3425,29.32,29.61,298783
2024-05-24,29.88,30.02,29.61,30.01,330206
2024-05-28,30.37,30.63,30,30.15,409074
2024-05-29,29.51,29.52,29.17,29.32,323057
2024-05-30,29.72,30.13,29.55,29.84,289223
2024-05-31,29.97,30.185,29.8,29.98,808088
2024-06-03,30.48,30.48,29.26,29.32,306502
2024-06-04,29,29.1996,28.94,28.97,427597
2024-06-05,29.19,29.22,28.63,28.86,635480
2024-06-06,28.74,29.1,28.57,28.92,441941
2024-06-07,28.62,29.02,28.56,28.84,515424
2024-06-10,28.61,28.61,28.11,28.28,464919
2024-06-11,28.01,28.35,27.7201,28.16,470099
2024-06-12,29.09,29.33,28.5,28.75,408358
2024-06-13,28.64,28.64,28.23,28.45,359440
2024-06-14,27.85,28.06,27.62,27.82,433013
2024-06-17,27.75,28.19,27.69,28.14,631082
2024-06-18,28.18,28.33,28.03,28.1,674318
2024-06-20,27.85,28.33,27.85,28.21,613851
2024-06-21,28.14,28.32,27.98,28,1833371.0
2024-06-24,28.3,28.71,28.1,28.5,793241
2024-06-25,28.35,28.49,28.25,28.36,610159
2024-06-26,28.21,28.67,28.12,28.58,654986
2024-06-27,28.66,29.02,28.35,29,611843
2024-06-28,29.12,29.65,29.08,29.53,2581559.0
2024-07-01,29.52,29.64,28.83,28.89,769114
2024-07-02,28.88,29.78,28.75,29.69,790820
2024-07-03,29.69,29.79,29.2,29.29,464573
2024-07-05,29.27,29.27,28.68,28.71,312606
2024-07-08,28.98,29.1,28.52,28.56,680338
2024-07-09,28.54,29.05,28.35,29.01,530168
2024-07-10,29.07,29.65,28.92,29.62,505549
2024-07-11,30.05,30.95,29.93,30.88,698188
2024-07-12,31,31.28,30.85,30.88,732576
2024-07-15,31.47,32.43,31.38,32.17,864803
2024-07-16,32.5,34.17,32.33,34.16,910893
2024-07-17,33.75,35.21,33.69,34.98,1013884.0
2024-07-18,34.5,35.89,34.35,34.81,1394074.0
2024-07-19,36,36.64,35.5075,35.69,882219
2024-07-22,35.67,36.85,35.55,36.76,802066
2024-07-23,36.47,37.69,36.4268,37.56,881121
2024-07-24,37.35,37.95,36.93,36.95,730453
2024-07-25,37.07,38.79,36.55,38.44,1019926.0
2024-07-26,38.72,39.52,38.35,39.46,914716
2024-07-29,39.5,39.525,38.15,38.17,811361
2024-07-30,38.44,38.68,37.91,38.43,501018
2024-07-31,38.36,39.48,37.915,38.46,606070
2024-08-01,38.09,38.49,36.27,36.51,710437
2024-08-02,34.89,35.515,34.58,35.42,648920
2024-08-05,33.71,34.94,33.05,34.5,745122
2024-08-06,34.39,35.27,34,34.29,579453
2024-08-07,34.78,35.03,34.05,34.27,420435
2024-08-08,34.7,35.12,34.45,35.09,422548
2024-08-09,34.94,35.055,34.49,34.8,378655
2024-08-12,35.26,35.48,34.04,34.28,331279
2024-08-13,34.74,34.785,34.29,34.68,439230
2024-08-14,34.8,34.93,34.14,34.37,361650
2024-08-15,35.27,35.88,35.17,35.33,500387
2024-08-16,35.19,36.25,35.19,35.65,612736
2024-08-19,35.87,35.98,35.42,35.93,337846
