date,open,high,low,close,volume
2024-03-01,18.23,18.47,17.7001,18.25,46328
2024-03-04,18.19,18.74,18.15,18.35,44218
2024-03-05,18.45,19.17,18.45,19,30423
2024-03-06,19.02,19.02,18.45,18.78,34733
2024-03-07,18.97,19.16,18.9,19.08,31527
2024-03-08,19.38,19.41,19.15,19.22,29347
2024-03-11,18.93,19,18.47,18.52,33360
2024-03-12,18.44,18.5827,18.25,18.49,34867
2024-03-13,18.7,18.841,18.56,18.63,41155
2024-03-14,18.31,18.47,18.105,18.27,72331
2024-03-15,18.14,18.6,18.14,18.51,108302
2024-03-18,18.42,18.51,18.12,18.22,63316
2024-03-19,18.23,18.38,18.23,18.29,24012
2024-03-20,18.13,19.14,18.084,18.97,50458
2024-03-21,19.15,19.22,18.93,18.94,36448
2024-03-22,19.13,19.13,18.37,18.4,16515
2024-03-25,18.05,18.43,18.05,18.19,55545
2024-03-26,18.28,18.33,18.11,18.11,38823
2024-03-27,18.09,18.64,18.09,18.64,55765
2024-03-28,18.61,19.11,18.61,18.82,64554
2024-04-01,18.76,18.76,18.28,18.3,45466
2024-04-02,18.25,18.595,17.9,18,66975
2024-04-03,17.87,18.12,17.86,17.98,32522
2024-04-04,18.33,18.4,17.89,17.95,43733
2024-04-05,17.81,18.09,17.8,17.85,40564
2024-04-08,17.84,17.99,17.72,17.8,49306
2024-04-09,17.83,18.07,17.81,17.92,37066
2024-04-10,17.8,17.9,16.7,16.81,206310
2024-04-11,16.99,16.99,16.685,16.88,42957
2024-04-12,16.73,17.13,16.66,17.09,47675
2024-04-15,17.25,17.43,16.5901,16.67,44896
2024-04-16,16.66,16.75,16.42,16.56,27005
2024-04-17,16.57,16.715,16.29,16.34,30640
2024-04-18,16.36,16.64,16.295,16.42,49560
2024-04-19,16.39,17.36,16.39,17.36,39329
2024-04-22,17.43,17.69,17.35,17.35,31861
2024-04-23,17.5,17.915,17.0908,17.71,29219
2024-04-24,17.61,18.125,17.34,17.77,43439
2024-04-25,17.19,17.53,17.175,17.42,56550
2024-04-26,17.21,17.64,16.95,17.6,49810
2024-04-29,17.71,17.86,17.41,17.47,36479
2024-04-30,17.3,17.42,17.09,17.22,49380
2024-05-01,17.36,17.9399,17.24,17.43,68071
2024-05-02,17.54,17.88,17.47,17.83,63531
2024-05-03,18.17,18.17,17.73,17.85,30597
2024-05-06,18.1,18.19,17.67,17.76,49965
2024-05-07,17.9302,18.05,17.776,17.79,29557
2024-05-08,17.65,18.31,17.65,18.15,54317
2024-05-09,18.24,18.66,17.94,18.52,80965
2024-05-10,18.59,18.9,18.38,18.87,37772
2024-05-13,18.98,18.98,18.45,18.69,100462
2024-05-14,18.79,18.98,18.51,18.71,27597
2024-05-15,18.85,18.85,18.5,18.5,58995
2024-05-16,18.6795,18.788,18.54,18.7,39044
2024-05-17,18.76,19.11,18.7,19,120449
2024-05-20,18.91,19.01,18.43,18.43,74596
2024-05-21,18.56,18.87,18.56,18.79,35221
2024-05-22,18.7,18.86,18.545,18.67,41241
2024-05-23,18.82,18.82,18,18.09,59936
2024-05-24,18.2,18.2,17.87,17.99,29022
2024-05-28,18.16,18.16,17.695,17.77,38505
2024-05-29,17.52,17.8701,17.3,17.34,39516
2024-05-30,17.43,17.795,17.43,17.55,34420
2024-05-31,17.53,17.79,17.51,17.61,44730
2024-06-03,17.96,17.96,17.45,17.55,23477
2024-06-04,17.415,17.48,17.32,17.41,38191
2024-06-05,17.45,17.612,17.25,17.49,37457
2024-06-06,17.4,17.805,17.38,17.72,42284
2024-06-07,17.62,17.62,17.3,17.5,33326
2024-06-10,17.28,17.43,17.12,17.26,37523
2024-06-11,17.16,17.26,16.98,17.22,29917
2024-06-12,17.61,18.06,17.12,17.52,36564
2024-06-13,17.48,17.48,17.06,17.38,46285
2024-06-14,16.81,17.21,16.81,17.1,45690
2024-06-17,17.03,17.55,16.94,17.48,33595
2024-06-18,17.46,17.68,17.36,17.59,28440
2024-06-20,17.45,17.59,17.44,17.46,23510
2024-06-21,17.45,17.8,17.2705,17.41,77948
2024-06-24,17.34,17.82,17.34,17.61,24610
2024-06-25,17.46,17.81,17.44,17.66,21888
2024-06-26,17.66,18.08,17.43,17.93,54438
2024-06-27,17.82,18.12,17.8,18.02,24219
2024-06-28,18.24,19.55,18.11,19.32,256275
2024-07-01,19.29,19.3,18.75,19,56403
2024-07-02,19.07,19.51,18.9,19.32,44332
2024-07-03,19.42,19.46,19.14,19.23,27854
2024-07-05,19.14,19.14,18.56,18.61,75390
2024-07-08,18.68,19.05,18.68,18.92,47145
2024-07-09,18.96,19.1199,18.69,18.88,25990
2024-07-10,18.915,19.37,18.915,19.31,29244
2024-07-11,19.55,20.76,19.55,20.6,58792
2024-07-12,20.91,21.25,20.56,20.56,45859
2024-07-15,21,21.8,20.8232,21.26,84565
2024-07-16,21.59,22.59,21.59,22.55,68624
2024-07-17,22.33,23,22.33,22.84,66498
2024-07-18,22.62,23.12,22.14,22.27,35710
2024-07-19,22.27,22.69,20.21,22.09,56246
2024-07-22,22.03,22.95,21.75,22.74,38309
2024-07-23,22.79,23.94,22.76,23.85,69392
2024-07-24,23.79,24.2615,23.66,23.76,87899
2024-07-25,23.88,24.936,23.88,24.63,65209
2024-07-26,25.34,25.835,24.855,25.8,84088
2024-07-29,25.48,25.48,24.73,24.91,82490
2024-07-30,24.92,27.75,24.86,27.58,237314
2024-07-31,27.65,27.65,26.31,26.32,142838
2024-08-01,26.22,26.22,24.65,25.13,76281
2024-08-02,24.02,24.56,23.54,24.04,75759
2024-08-05,22.42,23.3899,22.315,22.68,78032
2024-08-06,22.68,23.16,22.46,23.09,42131
2024-08-07,23.47,23.71,22.59,22.72,30502
2024-08-08,22.5,23.36,22.5,23.23,36890
2024-08-09,23.14,23.715,22.6,23.22,37308
2024-08-12,23.59,23.59,22.67,22.98,44697
2024-08-13,23.13,24.27,22.47,23.65,92074
2024-08-14,24.1,24.1,23.23,23.63,43301
2024-08-15,24.33,24.43,23.75,23.93,52305
2024-08-16,23.95,24.83,23.46,24.64,93347
2024-08-19,24.8,24.83,24.43,24.58,47554
2024-08-20,24.58,24.58,24,24.24,43782
2024-08-21,24.35,24.53,24.16,24.46,26871
2024-08-22,24.77,24.77,24.411,24.57,25367
2024-08-23,24.82,26.41,24.82,25.94,51281
2024-08-26,26.18,26.25,25.71,25.79,52313
2024-08-27,25.48,25.78,25.06,25.46,28463
2024-08-28,24.7201,25.805,24.7201,25.65,31584
2024-08-29,26.02,26.02,25.5,25.91,46455
2024-08-30,25.93,26.25,25.63,26.02,28521
2024-09-03,25.6,25.88,25.4,25.59,21156
2024-09-04,25.34,25.625,24.85,24.99,25410
2024-09-05,25.23,25.23,24.74,24.82,13474
2024-09-06,24.81,24.81,24.41,24.55,20430
2024-09-09,24.57,25.07,24.57,25.01,37745
2024-09-10,25.18,25.44,24.67,25.34,23427
2024-09-11,24.97,24.97,24.03,24.57,28302
2024-09-12,24.86,25.11,24.54,24.87,39702
2024-09-13,25.04,25.7,25,25.57,43659
2024-09-16,25.58,25.91,25.58,25.81,22663
2024-09-17,26.01,26.66,25.775,26.08,26619
2024-09-18,26.29,27,25.67,26.03,44126
2024-09-19,26.74,26.85,26.23,26.84,50483
2024-09-20,26.8,26.93,26.4,26.4,123191
2024-09-23,26.46,26.565,25.41,25.55,48217
2024-09-24,25.72,25.7919,25.2301,25.26,29268
2024-09-25,25.1,25.115,24.7,24.97,33276
2024-09-26,25.29,25.455,24.87,25.16,26362
2024-09-27,25.46,25.64,25.06,25.18,16764
2024-09-30,24.8675,25.83,24.785,25.47,19200
2024-10-01,25.37,25.37,24.6,24.7,22795
2024-10-02,24.72,24.88,24.21,24.4,21235
2024-10-03,24.21,24.61,23.81,24.4,34847
2024-10-04,24.86,25.27,24.46,24.77,35038
2024-10-07,24.62,24.72,24.22,24.55,26256
2024-10-08,24.72,24.78,24.48,24.62,22469
2024-10-09,24.3101,24.83,24.3101,24.49,18794
2024-10-10,24.22,24.6,24.22,24.57,19838
2024-10-11,24.68,25.51,24.68,25.51,36681
2024-10-14,25.31,25.77,24.9779,25.54,29612
2024-10-15,25.6,26.604,25.59,25.87,40661
2024-10-16,26.15,26.83,25.88,26.52,51517
2024-10-17,26.37,26.87,26.234,26.83,28850
2024-10-18,26.81,26.81,26.15,26.21,20147
2024-10-21,25.98,25.98,25.14,25.18,23666
2024-10-22,25.23,25.41,25.11,25.34,28661
2024-10-23,25.28,25.62,25.23,25.61,28518
2024-10-24,25.8,25.8,24.5801,24.98,51595
2024-10-25,24.77,24.87,23.54,24.01,33481
2024-10-28,24.2,24.96,24.08,24.54,47322
2024-10-29,24.44,24.7,24.38,24.48,26152
2024-10-30,24.48,25.15,24.47,24.47,22682
2024-10-31,24.5,24.66,24.01,24.01,26653
2024-11-01,24.14,24.17,23.6801,23.84,25101
2024-11-04,23.85,24.27,23.69,24.21,48260
2024-11-05,24.24,24.74,24.24,24.65,30405
2024-11-06,26.73,28,26.73,27.98,157142
2024-11-07,27.99,27.99,26.64,26.64,56328
2024-11-08,26.53,27.11,26.53,26.96,39962
2024-11-11,27.4,28.12,27.3,27.78,57381
2024-11-12,27.75,28,27.4,27.46,45148
2024-11-13,27.69,27.91,27.1,27.17,34550
2024-11-14,27.15,27.45,26.9,27.04,25220
2024-11-15,27.2,27.29,26.631,26.83,26313
2024-11-18,26.82,27.05,26.4,26.54,33461
2024-11-19,26.2,26.51,26.057,26.4,16082
2024-11-20,26.3,26.45,26.0015,26.38,25639
2024-11-21,26.54,27.49,26.54,27.46,48898
2024-11-22,27.5,28.14,27.42,27.9,41479
2024-11-25,28.24,29.135,27.71,28.21,57089
2024-11-26,27.93,28.26,26.26,27.37,179303
2024-11-27,27.39,27.73,26.39,26.92,108633
2024-11-29,27.18,27.3,26.77,27.16,23974
2024-12-02,27.16,27.29,26.5001,27.06,39227
2024-12-03,27.03,27.05,26.545,26.705,22611
2024-12-04,26.57,27.01,26.5,26.92,29470
2024-12-05,26.95,27.16,26.705,26.71,34393
2024-12-06,27,27,26.29,26.73,31274
2024-12-09,26.77,27.05,26.57,26.64,36028
2024-12-10,26.8,27.42,26.2,26.73,50421
2024-12-11,27.12,27.36,26.68,27.02,74755
2024-12-12,27.5471,28.95,27.05,28.75,1252426.0
2024-12-13,28.32,28.88,27.72,28.86,162054
2024-12-16,28.74,28.99,28.31,28.92,98536
2024-12-17,29.04,29.34,28.4,28.45,161892
2024-12-18,28.54,28.9899,26.89,27.06,134876
2024-12-19,27.43,27.75,26.615,26.65,136418
2024-12-20,26.76,27.49,26.76,27.12,251753
2024-12-23,27.09,27.47,27.05,27.37,100411
2024-12-24,27.47,27.7531,26.99,27.39,56284
2024-12-26,27.26,27.56,26.76,27.38,155463
2024-12-27,27.3,27.635,26.7,27.01,98570
2024-12-30,27,27.2,26.5,27.02,82289
2024-12-31,27.25,27.48,26.93,27.29,77578
2025-01-02,27.28,27.86,26.75,26.81,122509
2025-01-03,26.83,26.99,26.4,26.81,85115
2025-01-06,26.82,27.3,26.6151,26.7,111852
2025-01-07,26.66,26.95,26.11,26.37,109107
2025-01-08,26.31,26.47,25.9,26.25,71808
2025-01-10,25.73,25.73,25.23,25.66,128351
2025-01-13,25.45,25.91,25.41,25.8,77829
2025-01-14,26.01,26.74,26.01,26.69,82996
2025-01-15,27.45,27.5,26.8,27.2,78174
2025-01-16,27.23,27.31,26.4,26.62,169939
2025-01-17,26.95,27.3,26.82,26.97,461887
2025-01-21,27.09,27.78,27.09,27.33,76441
2025-01-22,27.18,27.3,26.77,26.98,70016
2025-01-23,27.06,27.18,26.63,26.85,83221
2025-01-24,26.7,27.205,26.7,27.08,182759
2025-01-27,27.05,27.69,27.05,27.22,82470
2025-01-28,27.06,27.3,26.785,27.03,142413
2025-01-29,27.32,27.545,26.745,27.19,195784
2025-01-30,27.39,27.53,26.905,27.16,120752
2025-01-31,26.25,27.315,26,26.37,414667
2025-02-03,26.37,27.2899,26.37,26.72,231257
2025-02-04,26.69,27.67,26.57,27.63,199736
2025-02-05,27.73,27.93,27.5063,27.88,84487
2025-02-06,28.03,28.37,27.76,28.33,103789
2025-02-07,28.25,28.25,27.22,27.93,148028
2025-02-10,27.98,28.15,27.53,27.98,101666
2025-02-11,27.77,28.45,27.74,28.39,149913
2025-02-12,28,28.26,27.84,28,90749
2025-02-13,28.18,28.52,28.01,28.45,130568
2025-02-14,28.5,29,28.26,28.89,152807
2025-02-18,28.9,29.645,28.72,29.56,155564
2025-02-19,29.17,29.785,28.97,29.63,168320
2025-02-20,29.51,29.77,28.89,29.16,164883
2025-02-21,29.5,29.5,28.58,28.66,166848
2025-02-24,28.7,28.75,28.2,28.21,220084
2025-02-25,28.33,28.58,28.12,28.16,151008
2025-02-26,28.23,28.57,27.63,27.83,161085
2025-02-27,27.84,28.1,27.635,27.73,113955
2025-02-28,27.8,28.18,27.75,28.02,111803
