date,open,high,low,close,volume
2024-03-01,34.08,34.4,33.48,34.37,4668845.0
2024-03-04,34.8,35.8422,34.61,35.48,7090342.0
2024-03-05,35.44,36.655,35.385,36.35,4939302.0
2024-03-06,36.29,36.3414,35.46,36.04,5674113.0
2024-03-07,36.25,36.64,36.17,36.38,3872234.0
2024-03-08,36.75,36.945,36.36,36.37,4369093.0
2024-03-11,36.45,36.98,36.21,36.72,5796479.0
2024-03-12,36.67,37.03,36.525,36.69,6602494.0
2024-03-13,36.7,36.93,36.14,36.23,5742425.0
2024-03-14,35.8956,36.22,35.135,35.42,5019142.0
2024-03-15,35.1,35.81,35.08,35.24,24536169.0
2024-03-18,35.1,35.77,34.92,35.77,3911850.0
2024-03-19,35.37,35.81,35.255,35.43,4609247.0
2024-03-20,35.36,36.805,35.21,36.61,5453847.0
2024-03-21,36.75,37.36,36.705,37.01,5540971.0
2024-03-22,37.18,37.35,36.29,36.37,4399180.0
2024-03-25,36.38,36.84,36.175,36.25,3602187.0
2024-03-26,36.42,36.5,36.03,36.03,5049364.0
2024-03-27,36,36.76,35.8,36.74,4595393.0
2024-03-28,36.74,37.41,36.64,37.21,5183981.0
2024-04-01,36.97,37.03,36.48,36.7,3809438.0
2024-04-02,36.41,36.42,35.9,35.98,3491893.0
2024-04-03,35.99,36.32,35.65,35.84,3226557.0
2024-04-04,36.17,36.47,35.2025,35.28,4039708.0
2024-04-05,35.22,35.545,34.99,35.3,2888365.0
2024-04-08,35.55,36.44,35.49,36.17,3784059.0
2024-04-09,36.29,36.46,35.97,36.39,2842698.0
2024-04-10,35.68,35.68,34.605,34.79,5251052.0
2024-04-11,34.89,35.05,33.93,34.86,5190108.0
2024-04-12,34.45,34.69,34.23,34.53,3340002.0
2024-04-15,35.04,35.45,34.35,34.62,5631515.0
2024-04-16,34.28,34.43,33.82,34.09,6051201.0
2024-04-17,34.52,34.68,33.93,34.1,5441930.0
2024-04-18,34.17,34.66,33.995,34.22,5982791.0
2024-04-19,36.42,36.75,34.97,36.25,13739464.0
2024-04-22,36.55,36.845,36.11,36.55,5436277.0
2024-04-23,36.64,37.15,36.44,37.06,4241227.0
2024-04-24,36.58,37.275,36.53,37.23,3473408.0
2024-04-25,36.96,37.24,36.4,36.82,2802704.0
2024-04-26,36.78,37.19,36.7,36.9,2431571.0
2024-04-29,36.83,37.165,36.78,37,2837275.0
2024-04-30,36.73,36.91,36.43,36.46,3273835.0
2024-05-01,36.83,37.665,36.63,37.1,3979833.0
2024-05-02,37.47,37.5,36.705,36.89,5259198.0
2024-05-03,37.4,37.77,37.28,37.56,3946390.0
2024-05-06,37.88,38.09,37.645,38,3081189.0
2024-05-07,38.24,38.285,37.93,38.03,4508818.0
2024-05-08,37.57,38.51,37.57,38.48,3028604.0
2024-05-09,38.45,38.71,38.18,38.65,2591070.0
2024-05-10,38.78,39.04,38.71,38.78,2997304.0
2024-05-13,39,39.12,38.15,38.2,3808280.0
2024-05-14,38.52,38.73,38.21,38.47,3263981.0
2024-05-15,38.85,39.14,38.68,38.98,3559770.0
2024-05-16,38.86,39,38.51,38.6,2948150.0
2024-05-17,38.77,38.77,38.425,38.56,2727965.0
2024-05-20,38.5,38.62,37.71,37.76,2130013.0
2024-05-21,37.68,38.18,37.68,38.04,2831893.0
2024-05-22,37.79,38.005,37.455,37.59,1800640.0
2024-05-23,37.66,37.66,36.6,36.82,2482979.0
2024-05-24,36.99,37.25,36.93,37.25,1792946.0
2024-05-28,37.39,37.565,36.59,36.68,2908376.0
2024-05-29,35.98,36.29,35.6494,36.26,2871582.0
2024-05-30,36.56,36.82,36.13,36.75,3930068.0
2024-05-31,37.22,37.53,36.85,37.42,6355535.0
2024-06-03,37.79,37.79,36.27,36.85,2846125.0
2024-06-04,36.34,37.03,36.15,36.17,2633696.0
2024-06-05,36.46,36.505,36.085,36.38,2116106.0
2024-06-06,36.36,36.615,36.09,36.11,3134017.0
2024-06-07,35.71,36.285,35.65,36.13,3666781.0
2024-06-10,35.75,36.04,35.1399,35.62,6612294.0
2024-06-11,35.13,35.62,34.7845,35.28,6170225.0
