date,open,high,low,close,volume
2024-03-01,13.42,13.425,13.27,13.32,69817
2024-03-04,13.32,13.539,13.295,13.32,46694
2024-03-05,13.23,13.68,13.23,13.59,55390
2024-03-06,13.65,13.69,13.39,13.56,73438
2024-03-07,13.49,13.56,13.26,13.31,60033
2024-03-08,13.46,13.55,13.35,13.4,58287
2024-03-11,13.3,13.43,13.3,13.38,49833
2024-03-12,13.31,13.33,13.08,13.105,53840
2024-03-13,13.03,13.1,12.83,12.94,186258
2024-03-14,12.92,12.93,12.36,12.52,223903
2024-03-15,12.45,12.775,12.45,12.56,371869
2024-03-18,12.59,12.62,12.29,12.34,222597
2024-03-19,12.32,12.6,12.32,12.4,212863
2024-03-20,12.59,13.02,12.37,12.93,112685
2024-03-21,12.94,13.06,12.89,13.05,97944
2024-03-22,13.06,13.06,12.745,12.78,66313
2024-03-25,12.72,12.9,12.71,12.77,53414
2024-03-26,12.95,12.95,12.65,12.74,68659
2024-03-27,12.87,13.17,12.84,13.15,74677
2024-03-28,13.25,13.4,13.15,13.36,177408
2024-04-01,13.36,13.36,13.1,13.18,80953
2024-04-02,13.05,13.19,12.94,12.99,87658
2024-04-03,12.91,13.1,12.9,12.97,81060
2024-04-04,13.09,13.145,12.88,12.91,67736
2024-04-05,12.85,12.8612,12.77,12.8,43073
2024-04-08,12.89,12.9,12.75,12.76,73686
2024-04-09,12.74,12.92,12.74,12.9,53246
2024-04-10,12.64,12.705,12.065,12.17,118797
2024-04-11,12.2,12.31,12,12.12,99806
2024-04-12,12.08,12.11,12,12.03,68793
2024-04-15,12.03,12.2,11.88,11.97,59083
2024-04-16,11.9,11.9,11.8,11.84,52889
2024-04-17,11.85,11.9922,11.85,11.87,64811
2024-04-18,11.86,12.02,11.86,11.98,82200
2024-04-19,11.93,12.43,11.78,12.41,85166
2024-04-22,12.49,12.6158,12.38,12.46,75585
2024-04-23,12.47,12.765,12.42,12.63,81630
2024-04-24,12.76,12.92,12.32,12.38,99940
2024-04-25,12.14,12.35,11.95,12.16,96509
2024-04-26,12.16,12.24,12.01,12.07,55385
2024-04-29,12.07,12.19,11.97,11.98,72969
2024-04-30,11.89,12,11.83,11.83,83624
2024-05-01,11.9,12.39,11.9,12.23,69752
