date,open,high,low,close,volume
2024-03-01,3.11,3.16,2.93,3,62731
2024-03-04,3.02,3.15,2.9701,3.06,45828
2024-03-05,3.04,3.1094,2.9301,2.98,20376
2024-03-06,2.92,3.1045,2.9,3.005,24879
2024-03-07,2.95,3.215,2.6,2.78,186611
2024-03-08,2.71,2.88,2.71,2.8,18852
2024-03-11,2.83,2.92,2.65,2.8,20617
2024-03-12,2.8,2.9,2.73,2.77,14290
2024-03-13,2.79,2.8,2.5,2.7913,38222
2024-03-14,2.82,2.82,2.59,2.78,12688
2024-03-15,2.81,2.81,2.608,2.78,10639
2024-03-18,2.76,2.84,2.64,2.7,10733
2024-03-19,2.65,2.7,2.5,2.59,13775
2024-03-20,2.5501,2.61,1.985,2.485,57321
2024-03-21,2.41,2.49,2.35,2.48,4307
2024-03-22,2.5,2.5879,2.41,2.5,8846
2024-03-25,2.45,2.525,2.41,2.41,7589
2024-03-26,2.4,2.65,2.2395,2.39,23506
2024-03-27,2.42,2.45,2.2701,2.425,9774
2024-03-28,2.47,2.47,2.22,2.4,22162
2024-04-01,2.45,2.73,2.35,2.68,15520
2024-04-02,2.57,2.87,2.5,2.7,46145
2024-04-03,2.84,2.85,2.7,2.83,32175
2024-04-04,2.83,2.85,2.75,2.78,9230
2024-04-05,2.77,3.05,2.7504,3.05,14621
2024-04-08,3.22,3.48,2.75,2.81,186705
2024-04-09,2.99,2.99,2.81,2.91,18259
2024-04-10,2.93,3,2.75,2.89,37982
2024-04-11,2.98,3.03,2.8117,2.9,45464
2024-04-12,3.02,3.02,2.78,2.87,76944
2024-04-15,2.85,2.9526,2.75,2.8,22993
2024-04-16,2.71,2.74,2.43,2.49,44960
2024-04-17,2.46,2.5999,2.38,2.38,23899
2024-04-18,2.38,2.43,2.2,2.37,25511
2024-04-19,2.3704,2.46,2.25,2.425,13938
2024-04-22,2.47,2.47,2.36,2.47,13259
2024-04-23,2.44,2.65,2.4001,2.65,3536
2024-04-24,2.6,2.67,2.49,2.67,18108
2024-04-25,2.61,2.61,2.555,2.6,4653
2024-04-26,2.53,2.65,2.53,2.65,5001
2024-04-29,2.68,2.75,2.6009,2.68,15468
2024-04-30,2.675,2.75,2.6001,2.665,4742
2024-05-01,2.6,2.7,2.6,2.6,8788
2024-05-02,2.7,2.7,2.44,2.52,4887
2024-05-03,2.6,2.62,2.44,2.54,8133
2024-05-06,2.57,2.6,2.5,2.5,6914
2024-05-07,2.25,2.62,2.25,2.5,29719
2024-05-08,2.38,2.6,2.38,2.59,21321
2024-05-09,2.61,2.61,2.5,2.6,1745
2024-05-10,2.52,2.6,2.43,2.51,8259
2024-05-13,2.52,2.52,2.425,2.45,2734
2024-05-14,2.44,2.52,2.44,2.52,2743
2024-05-15,2.52,2.5488,2.36,2.4,14604
2024-05-16,2.45,3.01,2.45,2.92,160047
2024-05-17,2.86,2.99,2.7,2.9,36923
2024-05-20,2.96,3,2.71,2.72,25349
2024-05-21,2.77,2.844,2.68,2.78,9482
