date,open,high,low,close,volume
2024-03-01,12.95,13.595,12.95,13.29,2764155.0
2024-03-04,13.29,13.49,12.99,13.46,1781425.0
2024-03-05,13.4,13.53,13.185,13.35,2072621.0
2024-03-06,13.49,13.49,12.365,12.6,3755164.0
2024-03-07,12.66,12.76,12.26,12.29,5597635.0
2024-03-08,12.5,12.61,12.145,12.3,4714399.0
2024-03-11,12.32,12.44,12,12.13,1657961.0
2024-03-12,12.13,12.18,11.705,11.79,3779037.0
2024-03-13,11.73,11.91,11.66,11.81,6375626.0
2024-03-14,11.71,11.79,11.42,11.54,4508897.0
2024-03-15,11.49,11.72,11.365,11.48,5488378.0
2024-03-18,11.47,11.84,11.38,11.58,2330195.0
2024-03-19,11.58,11.935,11.53,11.84,3871043.0
2024-03-20,11.78,12.01,11.62,12,3008796.0
2024-03-21,12.08,12.24,11.66,11.69,2188404.0
2024-03-22,11.72,11.76,11.445,11.53,1750589.0
2024-03-25,11.55,11.6865,11.44,11.54,1342915.0
2024-03-26,11.54,11.74,11.32,11.43,1946156.0
2024-03-27,11.51,11.87,11.325,11.86,2526969.0
2024-03-28,11.87,11.93,11.485,11.78,2475945.0
2024-04-01,11.7,11.77,11.51,11.75,2454717.0
2024-04-02,11.53,11.53,11.35,11.37,2058106.0
2024-04-03,11.28,11.415,11.11,11.37,4269483.0
2024-04-04,11.43,11.61,11.38,11.46,2990828.0
2024-04-05,11.37,11.785,11.21,11.72,2737946.0
2024-04-08,11.69,11.82,11.495,11.6,1541698.0
2024-04-09,11.6,11.77,11.49,11.75,2082600.0
2024-04-10,11.36,11.46,11.14,11.27,2453491.0
2024-04-11,11.33,11.41,11.15,11.22,1693240.0
2024-04-12,11.07,11.07,10.56,10.68,2248224.0
2024-04-15,10.66,10.81,10.59,10.66,2513649.0
2024-04-16,10.61,10.7199,10.485,10.56,2305536.0
2024-04-17,10.61,10.655,10.48,10.55,2332085.0
2024-04-18,10.56,10.59,10.32,10.33,1686762.0
2024-04-19,10.27,10.66,10.24,10.61,2471243.0
2024-04-22,10.7,10.91,10.66,10.82,3595370.0
2024-04-23,10.82,10.93,10.68,10.71,3962459.0
2024-04-24,10.71,10.78,10.495,10.54,1577383.0
2024-04-25,10.4,10.47,10.02,10.17,3931048.0
2024-04-26,10.26,10.32,10.11,10.28,1699282.0
2024-04-29,10.38,10.515,10.24,10.25,1918769.0
2024-04-30,10.17,10.23,9.96,9.99,2298546.0
2024-05-01,10.09,10.6,9.975,10.43,3961901.0
2024-05-02,10.51,10.61,10.365,10.43,2325175.0
2024-05-03,10.74,10.79,10.36,10.4,1333615.0
2024-05-06,10.39,10.46,10.29,10.34,1080879.0
2024-05-07,10.4,10.57,10.26,10.42,2300935.0
2024-05-08,10.26,10.38,10.105,10.14,2199480.0
2024-05-09,9.97,10,9.24,9.48,6239509.0
2024-05-10,9.5,9.56,9.13,9.23,3505739.0
2024-05-13,9.33,9.45,9.02,9.04,2758515.0
2024-05-14,9.49,9.63,9.125,9.33,3114019.0
2024-05-15,9.54,9.795,9.465,9.66,2725808.0
2024-05-16,9.61,9.63,9.28,9.5,2378866.0
2024-05-17,9.49,9.59,9.34,9.57,2129640.0
2024-05-20,9.59,9.76,9.53,9.75,1954081.0
2024-05-21,9.69,10.06,9.69,9.91,1992800.0
2024-05-22,9.85,9.98,9.61,9.72,2129550.0
2024-05-23,9.73,9.73,9.38,9.47,2724514.0
2024-05-24,9.45,9.69,9.42,9.66,2961609.0
2024-05-28,9.74,9.755,9.38,9.58,1733709.0
2024-05-29,9.41,9.48,9.28,9.36,1614365.0
