date,open,high,low,close,volume
2024-03-01,22.3,22.82,22.21,22.5,20730
2024-03-04,22.48,22.99,22.48,22.99,18815
2024-03-05,23.02,23.135,22.83,23.13,8249
2024-03-06,23.25,23.25,22.31,22.69,18039
2024-03-07,22.67,23.16,22.34,23.16,31318
2024-03-08,23.25,23.41,22.3,22.65,21305
2024-03-11,22.68,22.68,22.11,22.21,21356
2024-03-12,22.06,23,22.06,23,22435
2024-03-13,22.7,22.96,22.3031,22.72,37193
2024-03-14,22.61,22.72,21.9099,22.25,26468
2024-03-15,22.08,22.3436,21.72,21.89,17338
2024-03-18,21.9,21.9,21.48,21.61,13782
2024-03-19,21.75,21.8999,21.11,21.14,33052
2024-03-20,21.05,22.3,20.94,22.23,29778
2024-03-21,22.24,22.38,21.5,22.34,22627
2024-03-22,22.2,22.39,22.1125,22.28,16884
2024-03-25,22.2,22.39,21.615,21.85,17725
2024-03-26,21.65,22.2,21.52,21.71,10474
2024-03-27,21.75,22.1,21.55,21.79,6175
2024-03-28,21.71,21.71,21.3579,21.36,13902
2024-04-01,21.25,21.25,20.088,20.42,21122
2024-04-02,20.3,20.4,20,20.05,12660
2024-04-03,19.92,20.3399,19.71,19.71,16867
2024-04-04,19.3498,20.026,19.3498,19.825,6374
2024-04-05,19.7,20.085,19.49,19.54,7980
2024-04-08,19.36,20.1799,18.62,18.75,12478
2024-04-09,18.74,19.88,18.74,19.1,33085
2024-04-10,19.01,19.02,17.44,18.06,43032
2024-04-11,18.06,18.475,17.32,17.64,28737
2024-04-12,17.64,18.5833,17.09,17.16,19874
2024-04-15,17.25,17.43,16.64,16.83,27471
2024-04-16,17,17.065,16.5,16.79,15156
2024-04-17,16.8,17.1267,16.52,16.52,15532
2024-04-18,17.09,17.09,16.5,16.825,19269
2024-04-19,17.005,17.035,16.8,16.81,5681
2024-04-22,16.59,16.85,16.14,16.2,20837
2024-04-23,16.2,16.63,16,16.01,14603
2024-04-24,16.5899,16.5899,15.9,16.19,17005
2024-04-25,16.1,16.97,15.885,16.86,17010
2024-04-26,16.97,16.97,16.26,16.27,8979
2024-04-29,16.26,16.8,16.01,16.09,22033
2024-04-30,16,16,15.66,15.74,34363
2024-05-01,15.88,16.1001,15.56,16.01,13796
2024-05-02,16.08,16.35,16.08,16.26,12171
2024-05-03,16.52,16.7,16.28,16.31,11316
2024-05-06,16.5,17.79,16.5,17.61,25086
2024-05-07,17.68,17.68,17.15,17.15,9928
2024-05-08,17.15,17.59,16.4001,17.55,26065
2024-05-09,17.5,17.56,17.27,17.48,10470
2024-05-10,17.24,17.2999,16.86,16.88,15907
2024-05-13,16.88,17.3,16.24,16.24,26079
2024-05-14,16.19,16.65,15.94,16.45,30637
2024-05-15,16.72,16.845,15.92,16.27,73596
2024-05-16,16.17,16.22,15.4,15.71,28474
2024-05-17,15.76,15.9738,15.24,15.24,32883
2024-05-20,15.24,15.24,14.39,14.39,59204
2024-05-21,14.54,14.9,14.05,14.41,63213
2024-05-22,14.52,15.5,14.42,15.465,77641
2024-05-23,15.2325,15.45,15.2,15.31,22567
2024-05-24,15.47,16,15.05,15.34,36270
2024-05-28,15.5,15.54,15.4,15.53,27949
2024-05-29,15.51,15.51,15.14,15.27,31054
2024-05-30,15.49,15.86,15.3,15.56,15279
2024-05-31,15.4087,15.77,15.4087,15.59,18278
2024-06-03,15.59,15.9,14.91,15.07,37681
2024-06-04,15.05,15.9116,15.05,15.45,25531
2024-06-05,15.45,15.81,15.45,15.67,11814
2024-06-06,15.6,15.7,15.31,15.55,11983
2024-06-07,15.55,15.92,15.55,15.67,23117
2024-06-10,15.06,15.41,15.06,15.28,16709
2024-06-11,15.17,15.4,15.1,15.2,9106
2024-06-12,15.71,15.8368,15.3101,15.48,11281
2024-06-13,15.49,15.605,15,15,34230
2024-06-14,15.0001,15.33,15,15.05,5559
2024-06-17,15,15.4494,15,15.36,24523
2024-06-18,15.44,15.72,15.27,15.27,14831
2024-06-20,15.21,15.37,15.13,15.13,6712
2024-06-21,15.08,15.35,15.0657,15.35,8396
2024-06-24,15.35,15.3745,15.2,15.2,11924
2024-06-25,15.25,15.69,15.08,15.6,23942
2024-06-26,15.53,16.15,15.41,16.1,16463
2024-06-27,16.011,16.23,15.62,15.77,20382
2024-06-28,15.79,16.01,15.79,16,11254
2024-07-01,16,16.21,15.78,16.14,24242
2024-07-02,16.18,16.277,15.84,15.9,10914
2024-07-03,16.24,16.24,15.83,16.055,6304
2024-07-05,16.27,16.5,16.01,16.5,19012
2024-07-08,16.3751,16.5,16.02,16.06,11725
2024-07-09,16.17,16.17,16,16,7765
2024-07-10,16.23,16.36,16.08,16.15,4520
2024-07-11,16.22,16.45,16.1,16.35,3782
2024-07-12,16.218,16.64,16.14,16.64,19146
2024-07-15,16.6,16.9,16.5825,16.8,15994
2024-07-16,16.85,17.49,16.85,17.38,25171
2024-07-17,17.305,17.69,17.26,17.69,15385
2024-07-18,17.43,17.9256,17.3477,17.87,25768
2024-07-19,17.7153,18.2,17.5983,18.2,16842
2024-07-22,18.29,18.44,17.88,18.27,28381
2024-07-23,18.085,18.68,18.085,18.52,11058
