date,open,high,low,close,volume
2024-03-01,24.08,24.11,23,23.68,21512
2024-03-04,23.26,23.78,23.26,23.78,10098
2024-03-05,23.89,24.9809,23.67,24.21,27261
2024-03-06,23.96,24.21,23.75,24,14382
2024-03-07,24.39,24.39,24.078,24.24,8943
2024-03-08,24.57,24.57,23.81,23.81,11357
2024-03-11,23.54,23.54,23.41,23.5,6578
2024-03-12,23.47,23.715,23.47,23.5,7465
2024-03-13,23.765,23.765,23.14,23.58,19280
2024-03-14,23.02,23.445,22.175,22.54,14648
2024-03-15,22.22,23.4899,22.22,22.7,53582
2024-03-18,22.79,23.05,22.79,22.84,7632
2024-03-19,22.84,23.07,22.73,23.06,6185
2024-03-20,22.39,23.46,22.39,23.44,9071
2024-03-21,23.35,23.5,22.47,23.5,17182
2024-03-22,23.67,23.67,22.905,23.44,12415
2024-03-25,23.45,23.67,23.04,23.04,8630
2024-03-26,22.3748,22.82,22.28,22.81,13038
2024-03-27,23.02,23.91,22.722,23.8,21790
2024-03-28,21.7,22.56,21.5,22.5,570658
2024-04-01,22.39,22.7,21.9816,22.38,177996
2024-04-02,22.2,22.385,21.99,22.18,157608
2024-04-03,22.07,22.245,21.8,22,91333
2024-04-04,22.26,22.34,21.98,22,55229
2024-04-05,22.025,22.19,21.75,22,138738
2024-04-08,21.91,22.47,21.91,22.19,46741
2024-04-09,22.35,22.445,22.03,22.06,28580
2024-04-10,21.72,21.85,21.1,21.3,72545
2024-04-11,21.49,21.7,21.335,21.6,37570
2024-04-12,21.26,21.7,21.26,21.42,27463
2024-04-15,21.59,21.6,21.3775,21.43,30092
2024-04-16,21.42,21.56,21.16,21.48,44209
2024-04-17,21.52,21.6,21.405,21.43,27296
2024-04-18,21.4301,21.63,21.35,21.45,52559
2024-04-19,21.35,21.95,21.35,21.94,37662
2024-04-22,21.875,22.35,21.875,22.09,51787
2024-04-23,22,22.27,21.89,21.97,31664
2024-04-24,21.7,22.01,21.69,21.95,38195
2024-04-25,21.86,21.88,21.55,21.85,32187
2024-04-26,21.9,22.08,21.51,21.75,27149
2024-04-29,21.67,21.7601,21.37,21.59,47084
2024-04-30,21.65,21.81,21.5,21.62,67336
2024-05-01,21.85,22.03,21.72,21.79,54225
2024-05-02,21.96,22.3102,21.85,22.18,55727
2024-05-03,22.07,22.22,21.9107,22.13,52707
2024-05-06,22.16,22.23,21.98,22.02,29624
2024-05-07,22.105,22.13,21.94,21.94,27524
2024-05-08,21.78,22.16,21.78,22.07,31340
2024-05-09,22.14,22.5,22.1,22.48,30666
2024-05-10,22.6,22.6,22.35,22.54,27665
2024-05-13,22.7,22.8,22.18,22.19,30740
2024-05-14,22.3,22.6,22.26,22.49,26312
2024-05-15,22.63,22.8,22.56,22.7,14696
2024-05-16,22.8763,23,22.6914,22.84,20619
2024-05-17,22.97,23.5,22.9,23.41,40825
2024-05-20,23.39,23.83,23.2501,23.47,34414
2024-05-21,23.42,23.64,23.165,23.38,35515
2024-05-22,23.295,23.385,22.92,23.24,30879
2024-05-23,23.17,23.3,22.785,22.88,34870
2024-05-24,23.04,23.39,22.91,23.26,25743
2024-05-28,23.5,23.5,22.92,23.21,41729
2024-05-29,22.85,22.9025,22.53,22.53,28331
2024-05-30,22.58,23.24,22.58,22.66,26378
2024-05-31,23.06,23.2,22.9,22.92,35003
2024-06-03,23.04,23.16,22.57,22.57,28050
2024-06-04,22.38,22.54,22.22,22.43,23170
