date,open,high,low,close,volume
2024-03-01,22.09,22.09,21.5508,21.71,11598
2024-03-04,21.55,22.0199,21.41,21.69,34102
2024-03-05,21.5001,22.61,21.5001,22.32,28829
2024-03-06,22.25,22.44,22.0002,22.44,12072
2024-03-07,22.61,22.61,22.232,22.28,12118
2024-03-08,21.51,22.5784,21.51,22.12,13874
2024-03-11,22,22.2,21.98,22.19,16081
2024-03-12,22.19,22.19,21.93,22.16,13053
2024-03-13,22.06,22.3,21.91,22.05,10633
2024-03-14,22.05,22.05,21.78,21.8,18038
2024-03-15,21.94,22.1,21.7,21.87,35908
2024-03-18,22.01,22.05,21.7,21.7,19082
2024-03-19,21.7,21.965,21.7,21.81,24183
2024-03-20,21.92,22.53,21.79,22.53,48147
2024-03-21,22.6,22.95,22.41,22.55,21200
2024-03-22,22.55,22.67,21.812,22.64,11865
2024-03-25,22.44,22.94,22.4,22.7,23635
2024-03-26,22.6,22.8799,21.9001,22.6,9915
2024-03-27,22.78,22.78,22.445,22.62,26052
2024-03-28,22.675,23.1,22.55,22.91,10168
2024-04-01,22.82,23.06,22.61,22.83,11134
2024-04-02,22.6,23.08,22.445,22.88,17914
2024-04-03,22.83,22.875,22.5,22.5,25543
2024-04-04,22.79,22.815,22.42,22.63,9959
2024-04-05,22.5,22.76,22.4,22.54,9140
2024-04-08,22.69,22.69,22.28,22.55,29737
2024-04-09,22.4501,22.88,22.4501,22.6,10895
2024-04-10,22.59,22.59,22.08,22.53,17542
2024-04-11,22.465,22.65,22.25,22.44,22690
2024-04-12,22.57,22.58,22.28,22.44,16555
2024-04-15,22.35,22.49,22.07,22.31,26703
2024-04-16,22.44,22.44,21.72,22.01,19125
2024-04-17,21.94,22.25,21.9001,22.02,30031
2024-04-18,21.95,22.15,21.9,22.1,59629
2024-04-19,22.28,22.54,22.13,22.18,25296
2024-04-22,22.19,22.37,22.115,22.2,31141
2024-04-23,22.27,22.42,22.11,22.27,14558
2024-04-24,22,22.32,21.97,22.2,48647
2024-04-25,22.18,22.35,22.03,22.28,38046
2024-04-26,22.21,22.67,22.125,22.52,29574
2024-04-29,22.69,22.79,22.54,22.64,23132
2024-04-30,22.52,22.75,22.5,22.59,45466
2024-05-01,22.59,22.88,22.57,22.57,17528
2024-05-02,22.52,22.84,22.52,22.63,22384
2024-05-03,22.89,22.89,22.69,22.69,12492
2024-05-06,22.73,22.755,22.61,22.61,24355
2024-05-07,22.6,22.68,22.54,22.54,21717
2024-05-08,22.59,22.6,22.5,22.53,26902
2024-05-09,22.5,22.74,22.49,22.52,30514
2024-05-10,22.5,22.69,22.48,22.48,11155
2024-05-13,22.579,22.579,22.38,22.38,18636
2024-05-14,22.5,22.5,22.35,22.39,20062
2024-05-15,22.4,22.6,22.27,22.4,21321
2024-05-16,22.3,22.48,22.24,22.29,14090
2024-05-17,22.3,22.33,22.2,22.24,10229
2024-05-20,22.2,22.26,22.03,22.03,16895
