date,open,high,low,close,volume
2024-03-01,22.63,22.75,22.5401,22.6,12883
2024-03-04,22.58,22.58,22.56,22.58,870
2024-03-05,22.72,22.72,22.66,22.66,1979
2024-03-06,22.8,22.8,22.67,22.75,1743
2024-03-07,22.74,22.74,22.7,22.71,1431
2024-03-08,22.78,22.78,22.77,22.77,1470
2024-03-11,22.8,22.8996,22.8,22.87,4139
2024-03-12,22.785,22.84,22.785,22.8394,4805
2024-03-13,22.82,22.86,22.79,22.8394,8225
2024-03-14,22.7713,22.7713,22.75,22.76,11180
2024-03-15,22.75,22.86,22.73,22.84,10425
2024-03-18,22.85,22.9441,22.78,22.91,3596
2024-03-19,22.92,23.07,22.92,22.96,9222
2024-03-20,22.95,22.95,22.79,22.95,10106
2024-03-21,23.02,23.08,22.98,22.98,3200
2024-03-22,23,23,22.99,22.99,1826
2024-03-26,22.93,22.93,22.93,22.93,332
2024-03-27,22.99,22.99,22.99,22.99,521
2024-03-28,22.9301,22.99,22.93,22.99,3554
2024-04-01,22.93,22.96,22.88,22.88,8396
2024-04-02,22.88,22.97,22.88,22.97,904
2024-04-03,22.9613,22.97,22.96,22.9699,1696
2024-04-04,22.96,22.96,22.96,22.96,494
2024-04-05,22.97,23.07,22.97,23.0367,4464
2024-04-09,23.03,23.03,23.03,23.03,166
2024-04-10,22.84,22.84,22.84,22.84,1326
2024-04-11,22.9149,22.9149,22.86,22.86,1388
2024-04-12,22.65,22.74,22.65,22.74,1769
2024-04-15,22.61,22.675,22.52,22.52,4054
2024-04-16,22.49,22.64,22.47,22.55,2421
2024-04-18,22.56,22.57,22.45,22.45,2528
2024-04-19,22.55,22.55,22.45,22.52,4098
2024-04-22,22.55,22.6,22.55,22.6,1199
2024-04-23,22.58,22.8,22.58,22.8,2624
2024-04-24,22.65,22.65,22.52,22.64,4235
2024-04-25,22.5975,22.6,22.5975,22.6,1257
2024-04-29,22.55,22.7099,22.55,22.65,3339
2024-04-30,22.65,22.71,22.59,22.71,7343
2024-05-01,22.61,22.68,22.58,22.65,5057
2024-05-02,22.6,22.64,22.55,22.64,3881
2024-05-03,22.66,22.66,22.5381,22.6,5728
2024-05-06,22.66,22.69,22.6,22.69,1182
2024-05-07,22.6,22.7199,22.6,22.7199,1925
2024-05-08,22.6,22.64,22.565,22.64,2514
2024-05-09,22.64,22.6852,22.631,22.68,3099
2024-05-10,22.65,22.7199,22.65,22.7199,2615
2024-05-13,22.72,22.86,22.68,22.82,2659
2024-05-14,22.86,22.9665,22.82,22.89,2990
2024-05-15,22.91,23.015,22.91,23,3195
2024-05-16,23,23.07,23,23.05,1999
2024-05-17,22.9,23,22.9,23,301
2024-05-20,22.9,23.06,22.9,22.95,3146
2024-05-21,23.05,23.05,22.93,23.05,1080
2024-05-22,23.05,23.05,22.99,22.99,395
2024-05-23,22.94,22.94,22.81,22.81,2954
2024-05-24,22.9645,22.9645,22.9645,22.9645,504
2024-05-28,23.0093,23.0093,22.93,22.93,1379
2024-05-29,22.8,23.0195,22.8,22.95,5172
2024-05-31,22.825,22.99,22.8,22.96,4513
2024-06-03,23,23,23,23,755
2024-06-04,22.99,23.02,22.962,22.962,1402
2024-06-05,23.01,23.01,23,23,1015
2024-06-06,23.03,23.19,23.03,23.19,1648
2024-06-07,23,23,23,23,1180
2024-06-10,23.15,23.15,23.15,23.15,521
2024-06-11,22.8303,23.15,22.8303,23.15,1391
2024-06-12,23.15,23.15,23.15,23.15,394
2024-06-13,23.1,23.1,23.055,23.055,1045
2024-06-17,22.97,22.98,22.97,22.98,710
2024-06-18,23.1,23.1,22.8896,22.8896,2930
2024-06-20,23,23.07,22.98,22.98,2306
2024-06-21,22.96,22.96,22.8,22.89,7917
2024-06-24,22.932,22.932,22.8,22.92,10023
2024-06-25,22.9001,22.99,22.9001,22.99,721
2024-06-26,23,23,23,23,576
2024-06-27,22.92,23.01,22.88,22.9073,7860
2024-06-28,22.82,22.9083,22.76,22.76,5129
2024-07-01,22.75,22.76,22.675,22.73,2944
2024-07-02,22.66,22.908,22.66,22.73,6034
2024-07-03,22.7708,22.99,22.7401,22.99,2892
2024-07-05,23,23,22.97,22.97,602
2024-07-08,22.88,23.017,22.85,23.0169,2416
2024-07-10,23,23.0335,22.82,22.85,11470
2024-07-11,22.98,23,22.97,23,897
2024-07-12,23.01,23.04,22.978,22.978,2356
2024-07-15,22.78,22.78,22.78,22.78,540
2024-07-16,22.8,22.905,22.8,22.905,1482
2024-07-17,22.7607,22.95,22.7607,22.95,2257
2024-07-18,22.917,22.97,22.917,22.97,1343
2024-07-23,22.885,22.885,22.885,22.885,102
2024-07-25,22.74,22.85,22.74,22.85,14818
2024-07-26,22.86,22.8828,22.8497,22.8497,1969
2024-07-30,22.91,22.91,22.91,22.91,441
2024-07-31,22.8,22.92,22.78,22.92,2956
2024-08-01,22.79,23.0799,22.79,23.05,8776
2024-08-02,23.0258,23.0949,22.92,23.09,11066
2024-08-05,23.08,23.15,23.0409,23.13,6305
2024-08-06,23.14,23.15,23.095,23.095,1033
2024-08-07,23.0542,23.0542,23,23.01,3240
2024-08-08,22.81,22.81,22.81,22.81,411
2024-08-09,22.947,22.947,22.8,22.86,6567
2024-08-12,22.95,22.95,22.95,22.95,1415
2024-08-13,22.95,22.95,22.8,22.8,1511
2024-08-14,22.85,23,22.85,22.899,3092
2024-08-15,23,23.0169,23,23,3066
2024-08-16,23.005,23.005,23.005,23.005,1080
2024-08-19,23.0676,23.0676,22.85,22.91,2805
2024-08-20,22.85,22.892,22.82,22.892,2642
2024-08-21,22.87,22.89,22.72,22.8,2919
2024-08-22,22.78,22.8,22.78,22.8,766
2024-08-23,22.91,22.99,22.91,22.99,1919
2024-08-26,22.81,22.97,22.81,22.97,505
2024-08-27,22.8001,23.1196,22.8001,23.09,3720
2024-08-28,23.1,23.144,22.95,23.1199,4536
2024-08-29,22.91,23.02,22.91,22.96,1900
2024-08-30,22.91,23.05,22.91,22.92,3923
2024-09-03,22.92,23.055,22.84,22.95,19371
2024-09-04,23.1232,23.14,23,23,1317
2024-09-05,23.14,23.14,23.14,23.14,314
2024-09-06,23.16,23.16,23.15,23.16,1218
2024-09-09,23.17,23.2,23.08,23.2,1818
2024-09-10,23.2,23.31,23.1708,23.31,975
2024-09-11,23.35,23.77,23.34,23.77,3557
2024-09-12,23.63,23.77,23.61,23.76,3474
2024-09-13,23.75,23.95,23.7,23.74,19232
2024-09-16,23.75,23.88,23.7475,23.88,4884
2024-09-17,23.9778,24.0196,23.97,23.99,6135
2024-09-18,24,24.01,23.9,23.9,1159
2024-09-19,23.98,24.02,23.95,24.01,2214
2024-09-20,23.95,24.08,23.9,24.08,3973
2024-09-23,24.16,24.16,24.14,24.14,755
2024-09-24,23.92,24.02,23.9,24,2645
2024-09-25,23.94,23.94,23.9,23.9,1471
2024-09-26,23.977,23.977,23.977,23.977,300
2024-09-27,24.05,24.065,24.01,24.01,731
2024-09-30,23.92,24.1493,23.83,23.83,7372
2024-10-01,24,24.1,24,24.1,725
2024-10-02,24.15,24.15,23.9135,23.9135,2576
2024-10-03,24.1499,24.1499,24.1499,24.1499,621
2024-10-04,23.99,23.99,23.99,23.99,185
2024-10-07,23.86,23.86,23.86,23.86,314
2024-10-08,24.12,24.1385,23.8401,23.8401,868
2024-10-09,23.84,23.84,23.84,23.84,621
2024-10-10,23.9,24.0199,23.9,24.0199,1038
2024-10-11,23.99,23.99,23.99,23.99,487
2024-10-14,23.84,23.84,23.84,23.84,1318
2024-10-15,23.7,23.7,23.69,23.69,1768
2024-10-16,23.79,23.79,23.68,23.68,6325
2024-10-17,23.75,23.75,23.75,23.75,2862
2024-10-22,23.7,23.7,23.66,23.66,1250
2024-10-23,23.31,23.31,23.31,23.31,333
2024-10-24,23.4,23.4,23.4,23.4,233
2024-10-25,23.41,23.7,23.41,23.7,655
2024-10-29,23.28,23.37,23.18,23.37,3063
2024-10-30,23.55,23.55,23.3,23.3,802
2024-10-31,23.27,23.27,22.825,22.9,31939
2024-11-01,23.08,23.23,22.97,23.23,1315
2024-11-04,23.15,23.5971,23.15,23.25,2333
2024-11-05,23.29,23.36,23.14,23.24,1441
2024-11-06,23.01,23.24,23.01,23.24,1238
2024-11-07,23.27,23.3,23.22,23.22,3125
2024-11-08,23.25,23.32,23.21,23.315,3919
2024-11-11,23.3,23.35,23.02,23.24,1196
2024-11-13,23.35,23.35,23.31,23.31,1344
2024-11-14,23.58,23.58,23.58,23.58,800
2024-11-19,23.33,23.35,22.9,23.2,76537
2024-11-20,23.32,23.32,23.32,23.32,488
2024-11-21,23.245,23.37,23.245,23.37,412
2024-11-22,23.28,23.28,23.12,23.25,2105
2024-11-25,23.35,23.36,23.27,23.27,3241
2024-11-26,23.35,23.369,23.04,23.15,2143
2024-11-27,23.19,23.19,23.19,23.19,465
2024-11-29,23.37,23.46,23.37,23.46,3201
2024-12-02,23.335,23.45,23.335,23.45,1352
2024-12-03,23.48,23.49,23.46,23.46,2448
2024-12-04,23.45,23.45,23.45,23.45,252
2024-12-09,23.46,23.46,23.46,23.46,684
2024-12-10,23.36,23.4899,23.26,23.4899,1943
2024-12-11,23.42,23.425,23.37,23.41,1872
2024-12-12,23.39,23.4,23.3,23.3,3985
2024-12-13,23.34,23.4699,23.325,23.4699,17088
2024-12-16,23.3158,23.37,23.3158,23.37,703
2024-12-17,23.38,23.38,23.354,23.354,1191
2024-12-18,23.335,23.415,23.335,23.415,2430
2024-12-19,23.293,23.42,23.1801,23.1801,10317
2024-12-20,23.35,23.46,23.35,23.46,2227
2024-12-23,23.26,23.478,23.26,23.26,2169
2024-12-24,23.42,23.42,23.2424,23.2424,678
2024-12-27,23.3999,23.3999,23.2,23.2,8735
2024-12-30,23.2301,23.4,23.2,23.35,10774
2024-12-31,23.35,23.65,23.22,23.65,21205
2025-01-02,23.43,23.43,23.43,23.43,345
2025-01-03,23.6,23.6,23.59,23.6,1049
2025-01-06,23.59,23.59,23.59,23.59,380
2025-01-07,23.35,23.45,23.28,23.45,2297
2025-01-08,23.43,23.45,23.42,23.42,1184
2025-01-10,23.3,23.48,23.14,23.4,49105
2025-01-13,23.2501,23.41,23.2501,23.41,1310
2025-01-14,23.42,23.42,23.32,23.42,1993
2025-01-15,23.2,23.3305,23.2,23.3,3340
2025-01-16,23.0543,23.35,23.0543,23.2901,9108
2025-01-17,23.36,23.36,23.2645,23.33,1951
2025-01-21,23.31,23.3855,23.31,23.3855,7851
2025-01-22,23.35,23.35,23.35,23.35,522
2025-01-23,23.205,23.3995,23.2,23.38,6318
2025-01-24,23.39,23.39,23.3,23.34,1844
2025-01-27,23.1908,23.34,23.1908,23.3,3536
2025-01-28,23.23,23.29,23.14,23.29,7949
2025-01-30,23.34,23.34,23.34,23.34,339
2025-01-31,23.26,23.26,23.26,23.26,2257
2025-02-03,23.2756,23.34,23.2756,23.34,361
2025-02-04,23.37,23.39,23.27,23.37,1969
2025-02-05,23.26,23.34,23.26,23.3,1909
2025-02-06,23.325,23.37,23.325,23.37,1065
2025-02-07,23.26,23.37,23.26,23.37,1074
2025-02-10,23.39,23.39,23.3899,23.39,3757
2025-02-11,23.4,23.4,23.2701,23.38,2512
2025-02-12,23.27,23.37,23.2601,23.37,1043
2025-02-13,23.3788,23.38,23.3788,23.38,1497
2025-02-18,23.36,23.36,23.24,23.33,14191
2025-02-19,23.34,23.34,23.26,23.34,1499
2025-02-21,23.3106,23.3106,23.3106,23.3106,334
2025-02-24,23.34,23.4,23.3,23.4,10186
2025-02-25,23.3927,23.45,23.3293,23.45,1602
2025-02-26,23.45,23.48,23.44,23.48,3380
2025-02-27,23.48,23.48,23.48,23.48,253
2025-02-28,23.4,23.4,23.2,23.2,40145
