date,open,high,low,close,volume
2024-06-06,16.7,17.1,15.8,16.45,1434522.0
2024-06-07,16.93,16.94,15.74,15.74,128268
2024-06-10,15.08,15.9045,14.5,15.16,110860
2024-06-11,15,15.4,14.795,15.22,71922
2024-06-12,15.21,15.5,14.903,15.21,27279
2024-06-13,15.01,15.385,14.79,14.88,37207
2024-06-14,14.98,15.225,14,14.24,37712
2024-06-17,13.9,13.9,11.4385,11.54,383622
2024-06-18,11.78,12.46,11.4,11.69,153354
2024-06-20,11.3,13.2707,11.3,12.37,127695
2024-06-21,12.27,14.44,12.0601,13.14,95337
2024-06-24,13.21,13.7108,12.065,12.1,94289
2024-06-25,12.05,12.6326,10.71,10.95,112899
2024-06-26,10.68,11.8299,10.24,11.27,134133
2024-06-27,11.38,11.6999,10.68,11.02,56297
2024-06-28,10.81,12.3,10.81,12.02,72964
2024-07-01,12.14,12.6399,10.79,11.45,160213
2024-07-02,11.54,11.71,11,11.01,83662
2024-07-03,11.01,11.5399,10.35,10.85,86152
2024-07-05,11.42,11.42,10.49,10.83,140955
2024-07-08,10.9,11.2899,10.56,10.83,129043
2024-07-09,10.83,11.54,9.91,10.1,124255
2024-07-10,10.01,10.554,8.1717,8.28,459852
2024-07-11,8.75,9.59,8.4,9.59,409938
2024-07-12,9.6,9.74,8.61,9.35,228015
2024-07-15,9.87,12.1599,9.14,12.09,300981
2024-07-16,11.87,12.08,11.32,11.62,132414
2024-07-17,11.52,11.7844,10.83,11.22,133966
2024-07-18,11.02,11.8,10.5,10.9,93238
2024-07-19,10.79,10.8899,10.335,10.37,29992
2024-07-22,10.72,11.4402,10.05,10.59,30786
2024-07-23,10.41,11.02,10.18,10.61,29886
2024-07-24,10.4,10.75,10.1001,10.12,55183
2024-07-25,10.12,10.33,9.51,9.61,52496
2024-07-26,9.77,10.5384,9.41,10.28,112958
2024-07-29,10.37,10.5,9.65,10.19,29188
2024-07-30,10.19,10.94,9.8277,10.35,72760
2024-07-31,10.66,11,10.07,10.62,31821
2024-08-01,10.96,11.0162,10.4,10.43,26822
2024-08-02,10.37,10.45,10.12,10.43,12843
2024-08-05,10.16,10.16,9.425,9.75,54476
2024-08-06,9.91,10.55,9.5256,10.54,34812
2024-08-07,10.77,11.3169,10.5,10.86,26131
2024-08-08,10.44,10.882,9.53,10.27,36511
2024-08-09,10.25,10.69,9.87,9.87,29719
2024-08-12,9.99,9.99,9.01,9.01,14282
2024-08-13,9.55,9.7,9.12,9.33,17076
2024-08-14,9.41,9.5777,9.19,9.41,8158
2024-08-15,9.22,10.85,9.14,10.85,35987
2024-08-16,11,11.2,10.7601,11.05,15408
2024-08-19,11.16,11.82,10.0101,11.23,19698
2024-08-20,11.1,11.65,10.5,11.28,71901
2024-08-21,11,11.85,10.55,10.75,46722
2024-08-22,11.37,11.37,10.5,10.5,57317
2024-08-23,10.95,12.4254,10.75,12.005,150850
2024-08-26,12.23,12.23,11.235,11.66,47971
2024-08-27,11.43,11.7164,11.06,11.08,51054
2024-08-28,11.3,11.37,11.1,11.3,31114
2024-08-29,11.41,11.5,10.57,10.65,56890
2024-08-30,10.99,11.39,10.6101,10.735,34649
2024-09-03,10.89,11,9.74,9.86,43473
2024-09-04,9.89,10.69,9.61,9.745,59666
2024-09-05,9.9,10.14,9.4,9.6,35025
2024-09-06,9.97,9.97,9.2201,9.61,32539
2024-09-09,9.99,10.33,9.53,9.77,23777
2024-09-10,9.98,9.98,9.49,9.77,12110
2024-09-11,9.54,9.8122,9.18,9.73,17297
2024-09-12,9.55,9.705,9.35,9.42,20961
2024-09-13,9.69,10.0771,9.4,9.62,33209
2024-09-16,10.35,10.5435,9,9.33,45210
2024-09-17,9.21,9.7947,9.12,9.19,22159
2024-09-18,9.14,9.28,9,9,10182
2024-09-19,9.2,9.3899,9.0101,9.122,11360
2024-09-20,9.13,9.3,9,9.25,18033
2024-09-23,9.2958,9.3,8.73,8.73,14981
2024-09-24,9.07,9.4,8.85,9.14,20694
2024-09-25,9.11,9.3899,8.91,8.92,23102
2024-09-26,9.18,9.3749,8.91,8.92,16144
2024-09-27,9.23,9.35,9.035,9.19,15450
2024-09-30,9.02,9.15,8.6192,8.853,20424
2024-10-01,8.83,9.1799,8.6881,9.07,22241
2024-10-02,9,9.05,8.76,8.92,11852
2024-10-03,9,9.455,8.89,8.91,25819
2024-10-04,8.89,9.24,8.45,9.24,19696
2024-10-07,9,9.22,8.91,8.92,16824
2024-10-08,8.89,8.97,8.6,8.73,16575
2024-10-09,8.94,8.94,8.4,8.421,18460
2024-10-10,8.5,9.7,8.42,9.26,78119
2024-10-11,9.4,9.45,8.933,8.99,21961
2024-10-14,8.98,9.595,8.96,9.5,27091
2024-10-15,9.74,9.82,9.25,9.82,22130
2024-10-16,9.7,10.25,9.7,10.05,24248
2024-10-17,10.05,10.1576,9.63,9.8,15149
2024-10-18,9.85,9.99,9.72,9.89,19064
2024-10-21,9.67,9.67,9,9.09,16653
2024-10-22,9,9.29,8.81,8.87,22396
2024-10-23,10.17,10.1845,9.5,9.6,46162
2024-10-24,9.72,9.88,8.98,9.29,33507
2024-10-25,9.4,9.734,9.01,9.36,39682
2024-10-28,9.2174,10.17,9.2174,10.1,25270
2024-10-29,10,10.6,9.86,10.32,33545
2024-10-30,10.2,10.5999,9.8924,9.93,19377
2024-10-31,9.735,9.88,9.3,9.66,28658
2024-11-01,8.76,9.42,8.76,8.95,55695
2024-11-04,8.95,8.95,8.485,8.57,45966
2024-11-05,8.57,8.57,7.55,7.98,57933
2024-11-06,8.2,8.2,7.36,7.59,133786
2024-11-07,7.79,8.1233,7.6,7.96,59387
2024-11-08,8.04,8.4499,7.69,8.39,81405
2024-11-11,8.7,8.74,8.06,8.74,75920
2024-11-12,8.87,9.48,8.45,8.47,75558
2024-11-13,8.7,9,7.77,8.11,112872
2024-11-14,8.08,8.08,7.53,7.76,21858
2024-11-15,7.74,8.5099,7.07,7.17,40874
2024-11-18,6.78,7.62,6.78,7.07,79234
2024-11-19,7,7.57,7,7.475,58827
2024-11-20,7.48,7.63,7.29,7.63,34347
2024-11-21,7.7,8.24,7.3,8.03,31770
2024-11-22,7.72,8.17,7.53,7.89,15330
2024-11-25,7.96,8.292,7.78,8.09,27361
2024-11-26,8.51,8.51,7.95,8.08,25302
2024-11-27,8.2,8.415,7.77,7.96,45087
2024-11-29,8,8.3899,7.94,8.12,22486
2024-12-02,8.2,8.49,7.66,7.66,26065
2024-12-03,7.66,8.7199,7.66,8.24,83390
2024-12-04,8.35,8.77,8.05,8.31,55657
2024-12-05,9.36,9.4,8.68,8.8,349774
2024-12-06,9.24,9.2664,8.8,8.95,203667
2024-12-09,9,9,7.59,8.02,122538
2024-12-10,7.79,8.3799,7.58,7.79,62343
2024-12-11,7.79,8.3799,7.0201,8,89147
2024-12-12,7.75,8,7.53,7.96,51829
2024-12-13,7.92,8.09,7.6001,7.8,21163
2024-12-16,7.53,7.925,7.11,7.37,70286
2024-12-17,7.35,7.87,7.3001,7.8,111522
2024-12-18,7.88,8.3,7.61,8.14,143219
2024-12-19,8.05,8.75,7.66,8.57,67280
2024-12-20,9.02,10.2,9,9.7,266498
2024-12-23,9.61,10.1,9.51,9.68,80274
2024-12-24,9.9,10.3468,9.745,10.08,58922
2024-12-26,9.97,10.07,9.13,9.46,41546
2024-12-27,9.51,9.99,9.182,9.72,64355
2024-12-30,9.57,10.3692,9.17,10.2,62743
2024-12-31,10.25,10.26,9.5,9.91,46470
2025-01-02,10,10.46,9.8,10.22,46394
2025-01-03,10.35,10.885,10.04,10.16,39238
2025-01-06,10.16,11.47,10.16,10.365,75508
2025-01-07,10.61,11.55,10.18,11.22,72804
2025-01-08,11.29,11.29,9.9492,10.3,69553
2025-01-10,10.94,11.3,9.55,10.8,37725
2025-01-13,10.95,11.42,10.4128,10.73,39591
2025-01-14,11.42,11.42,10.0801,10.71,33459
2025-01-15,10.71,11.29,10.68,10.88,44727
2025-01-16,11.58,11.7913,11.04,11.23,103725
2025-01-17,11.36,11.44,10.6543,10.84,36266
2025-01-21,11.05,11.51,10.88,11.51,42167
2025-01-22,11.7,12.49,11.28,11.94,96987
2025-01-23,12.01,13,11.75,12.73,84316
2025-01-24,13,13,11.5,11.88,98581
2025-01-27,11.46,11.84,10.8794,11.01,49214
2025-01-28,11,11.3,10.68,10.97,42715
2025-01-29,11.3,11.98,10.8,11.15,51846
2025-01-30,11.07,11.58,10.6,11.42,48180
2025-01-31,11.5,11.8632,11.0906,11.23,38616
2025-02-03,11.01,11.6517,11,11.12,49858
2025-02-04,11.1,11.6299,10.75,10.845,31117
2025-02-05,11.2,11.3612,11,11.15,26491
2025-02-06,11.11,11.11,10,10.58,51178
2025-02-07,10.58,11.4302,10.33,10.53,20132
2025-02-10,10.63,11.2499,10,10.77,51427
2025-02-11,10.56,10.9,10.25,10.25,23059
2025-02-12,10.25,10.98,10.25,10.84,19094
2025-02-13,10.92,10.92,10.5001,10.89,31965
2025-02-14,10.68,11.05,10.52,10.54,19266
2025-02-18,10.5,11.45,10.5,11.27,27438
2025-02-19,11.13,11.27,11,11.27,35979
2025-02-20,11.27,11.909,11.01,11.62,69448
2025-02-21,11.71,12.13,11.26,11.49,44497
2025-02-24,11.24,11.73,11.21,11.28,16725
2025-02-25,11.27,11.515,10.5601,10.8,60621
2025-02-26,10.7,11.4,10.7,11.33,28173
2025-02-27,11.33,11.38,10.622,10.84,26700
2025-02-28,10.63,11.12,10.54,10.75,10615
