date,open,high,low,close,volume
2024-03-01,27.5,27.7025,27.5,27.5,11649
2024-03-04,28.2599,28.2599,27.25,27.25,3241
2024-03-05,28,28.43,27.2,28,8820
2024-03-06,27.0001,27.78,27.0001,27.78,3267
2024-03-07,28.71,28.71,27.3798,28.25,3600
2024-03-08,29.02,29.0511,28.55,28.55,3623
2024-03-11,27.595,28.21,27.595,28.12,3844
2024-03-12,28.92,28.92,27.91,27.91,2671
2024-03-13,28,28.56,28,28.56,17378
2024-03-14,28.295,30.42,28.295,29.67,22316
2024-03-15,28.61,29.415,26.77,26.77,22764
2024-03-18,26.81,27.75,26.06,26.06,7962
2024-03-19,26.6,27.49,26.51,26.51,18405
2024-03-20,26,26.6196,26,26.5,7454
2024-03-21,26.81,28.99,26.7706,28.99,8968
2024-03-22,28.65,28.73,27.68,27.68,3989
2024-03-25,27.06,27.06,27.06,27.06,1984
2024-03-26,27.91,28.4,26.43,26.43,7571
2024-03-27,26.91,28.61,26.91,28.61,5691
2024-03-28,28.51,29.3,28.1,28.79,16684
2024-04-01,28.21,28.3394,26.54,26.75,9485
2024-04-02,26,26.25,25.9,26.12,7961
2024-04-03,25.51,26.44,25.51,26.23,4460
2024-04-04,26.2781,26.2781,25.7,26,5263
2024-04-05,25.94,26.8,25.9106,26.19,6642
2024-04-08,26.23,27.1,26.23,26.55,3764
2024-04-09,26.58,27.28,26.05,26.8,9493
2024-04-10,26.05,26.58,25.32,26.39,12871
2024-04-11,26.65,27.72,26.43,26.57,9322
2024-04-12,26.84,27.86,26.26,26.57,21646
2024-04-15,26.85,27.685,26.4055,27.25,19468
2024-04-16,27.21,28.37,27.1,27.69,6696
2024-04-17,28,28.455,27.26,27.26,10685
2024-04-18,27.7175,28.305,27.3,27.4,17047
2024-04-19,27.26,28.67,26.8706,28.6,13155
2024-04-22,28.94,29.975,28.7,29.11,6354
2024-04-23,29.26,30,28.43,29.26,6618
2024-04-24,29.22,29.46,28.38,28.65,10039
2024-04-25,28.6,29.57,28.14,28.89,27151
2024-04-26,29.3,29.99,29.3,29.99,7270
2024-04-29,30,30,29.5,29.53,7637
2024-04-30,29.35,30,29.26,29.42,16040
2024-05-01,28.23,30.6,28.23,30.25,18547
2024-05-02,30.16,31.24,29.76,30.92,25373
2024-05-03,30.75,31.755,30.75,31.06,9896
2024-05-06,31.41,31.87,30.96,31.21,19631
2024-05-07,31.87,31.99,31.535,31.66,11645
2024-05-08,31.51,31.875,30.98,31.28,8006
2024-05-09,31.89,32.505,29.86,29.86,28266
2024-05-10,30.19,30.45,28.555,29.52,30726
2024-05-13,29.56,31.08,29,30.37,48798
2024-05-14,30.85,31.68,30.57,31.23,18582
2024-05-15,31.48,32.36,30.95,32.36,34416
2024-05-16,32.27,32.96,32.15,32.4,6495
2024-05-17,32.65,32.7727,32.14,32.22,16331
2024-05-20,32.04,32.21,31.285,31.5,11647
2024-05-21,31.04,33.32,30.36,31.85,12326
2024-05-22,31.28,32.25,31.13,31.69,27347
2024-05-23,31.95,32.2,31.21,31.21,31127
2024-05-24,31.04,32.45,31.04,32,22719
2024-05-28,32.34,32.9,31.82,32.13,26039
2024-05-29,32.04,32.645,30.48,30.81,31780
2024-05-30,31,31.83,30.325,31.05,48323
2024-05-31,31.5,32,30.4,31.43,140777
2024-06-03,31.22,31.5,29.975,31.35,26309
2024-06-04,31.49,31.49,30.565,30.85,30409
2024-06-05,30.61,31.43,30.396,30.86,22309
2024-06-06,30.73,31.19,30.51,30.84,25675
2024-06-07,31.14,31.14,30.81,30.82,32647
2024-06-10,30.78,31.3,30.51,30.53,37288
2024-06-11,30.55,31.18,30.42,30.42,36822
2024-06-12,31.36,32.24,30.96,31.5,20903
2024-06-13,31.19,31.22,29.99,30.15,16517
2024-06-14,29,29.8,29,29.53,12767
2024-06-17,29.45,30.4,29.4,30,12409
2024-06-18,30.32,30.79,30.01,30.42,32976
2024-06-20,30.54,31.075,30.51,30.83,18600
2024-06-21,30.75,31.34,30.68,31.26,45083
2024-06-24,31.2,31.75,30.87,31.38,13817
2024-06-25,31,31.13,30.56,30.56,13693
2024-06-26,30.3,31.5,30.21,31.06,20335
2024-06-27,30.9,31.96,30.89,31.96,16473
2024-06-28,32.05,33.97,32.05,33.71,131656
2024-07-01,33.3575,33.42,31.55,32.36,39504
2024-07-02,32.48,32.48,32,32.1,8194
2024-07-03,32.21,32.655,31.2615,31.47,13818
2024-07-05,31.01,31.01,30,30.34,16163
2024-07-08,30.7,31.07,29.95,30.03,25479
2024-07-09,30.27,30.77,29.6,29.95,70430
2024-07-10,29.61,30,29.4,29.54,73894
2024-07-11,30.19,32.32,30.02,31.72,25856
2024-07-12,32.05,32.19,31.36,32.04,16701
2024-07-15,32.35,33.22,32.35,33.22,49323
2024-07-16,33.86,35,33.5,35,45685
2024-07-17,34.78,37.12,34.78,36.08,32946
2024-07-18,35.55,35.81,33.92,34.15,14994
2024-07-19,34.18,34.45,33.5,33.81,12330
2024-07-22,34.36,35.45,33.4,35.25,33179
2024-07-23,35.08,36.77,34.91,36.27,35226
2024-07-24,36,36.84,34.9,34.9,15461
2024-07-25,35.5,37.23,35.1859,36.35,39240
2024-07-26,37.06,37.06,35.475,36.66,21339
2024-07-29,36.85,36.8999,35.08,35.4,12947
2024-07-30,35.39,36.065,35.01,35.88,31142
2024-07-31,34.27,37.25,34.27,36.25,24541
2024-08-01,35.6,35.625,33.53,33.88,25583
2024-08-02,32.16,32.64,31.4216,32.28,21285
2024-08-05,31,31.44,30.25,30.41,17856
2024-08-06,30.25,31.64,30.25,31.29,10328
2024-08-07,32.31,32.31,30.855,31.01,17273
2024-08-08,31,31.93,30.77,31.75,19786
2024-08-09,31.65,31.65,30.76,30.82,13320
2024-08-12,30.76,31.0148,30.0001,30.66,9071
2024-08-13,30.75,30.91,30.47,30.91,4766
2024-08-14,30.6431,30.91,30.47,30.82,5497
2024-08-15,31.39,32.39,31.29,31.57,7801
2024-08-16,31.59,33.01,31.28,31.33,18839
2024-08-19,31.34,31.98,31.0598,31.44,26579
2024-08-20,31.02,31.75,30.71,30.82,31573
2024-08-21,30.9,31.53,30.76,31.53,6363
2024-08-22,31.5,31.6028,30.61,30.77,9630
2024-08-23,30.91,33.485,30.91,32.7,20854
2024-08-26,33.07,33.15,31.78,31.78,15500
2024-08-27,31.469,31.85,31.15,31.38,19936
2024-08-28,31.33,32.54,31.33,32.23,7593
2024-08-29,32.65,33.74,32.4,33.32,12063
2024-08-30,33.36,34.99,33.2,34.09,16119
2024-09-03,33.79,33.79,31.87,32.22,9440
2024-09-04,31,33.27,31,32.49,11835
2024-09-05,32.55,33.18,31.47,31.85,11573
2024-09-06,31.97,32.09,30.46,30.57,20080
2024-09-09,30.75,31.275,30.18,30.57,14522
2024-09-10,31.4,31.4,30.04,31.14,5275
2024-09-11,30.205,30.52,30.16,30.16,4653
2024-09-12,30.58,30.77,30.055,30.35,12906
2024-09-13,30.57,30.85,30.21,30.58,31264
2024-09-16,30.375,30.44,30.18,30.31,10859
2024-09-17,30.59,31.315,30.46,31.2,9520
2024-09-18,30.8095,32.01,30.8095,30.92,11314
2024-09-19,31.81,32.9,31.59,32.74,8087
2024-09-20,32.5,32.5,30.2801,30.73,39471
2024-09-23,30.71,30.71,30.275,30.66,6544
2024-09-24,30.86,31.01,30.59,31.01,9780
2024-09-25,30.38,30.57,30.25,30.28,6566
2024-09-26,30.81,31.0024,30.15,30.34,17122
2024-09-27,30.34,30.805,30.27,30.48,11716
2024-09-30,30.81,30.9,30.18,30.9,12443
2024-10-01,30.91,31.16,29.91,30.01,11824
2024-10-02,29.845,29.845,29.12,29.12,4239
2024-10-03,29.11,29.2178,28.0951,28.71,7412
2024-10-04,29.02,29.445,28.81,29.27,8486
2024-10-07,28.9,29.15,28.9,28.97,4360
2024-10-08,29,29.29,28.81,28.96,12147
2024-10-09,28.86,28.99,28.86,28.99,3356
2024-10-10,28.98,28.98,28.95,28.96,5066
2024-10-11,29.01,29.4625,28.855,29.15,9657
2024-10-14,29.36,30.01,29.315,29.82,11775
2024-10-15,30.01,30.32,29.86,29.99,15556
2024-10-16,30.06,30.3,30,30.05,20076
2024-10-17,30,30.175,29.73,29.99,7847
2024-10-18,30.16,30.16,29.63,29.88,8419
2024-10-21,30.1599,30.1599,28.59,28.59,5598
2024-10-22,28.23,28.33,27.6201,28.03,15143
2024-10-23,27.65,28.46,27.55,28.19,7487
2024-10-24,28.81,28.81,28.7,28.75,5331
2024-10-25,28.81,28.81,28.21,28.21,6285
2024-10-28,28.64,29.2625,28.57,28.98,7466
2024-10-29,28.615,28.67,28.44,28.45,6211
2024-10-30,29.145,29.315,28.44,28.44,5041
2024-10-31,28.655,28.8,28,28,8964
2024-11-01,28.02,28.03,27.53,27.95,7947
2024-11-04,28.17,28.2,27.5101,27.84,21016
2024-11-05,28,28.965,27.85416,28.7,46675
2024-11-06,30.55,35.03,30.55,34.97,49828
2024-11-07,34.94,35.34,33.8,34.47,29204
2024-11-08,34.14,34.5,32.96,33.6,23984
2024-11-11,34.14,34.95,33.05,34.95,27041
2024-11-12,33.2,35,33.2,34.39,12304
2024-11-13,34.24,35,33.99,33.99,10157
2024-11-14,33.661,34.15,33.661,34.11,6281
2024-11-15,34.32,34.32,33.14,33.35,7083
2024-11-18,33.42,33.42,32.3,32.3,5984
2024-11-19,32.14,32.54,31.7,31.93,24726
2024-11-20,31.23,31.83,31.05,31.22,6155
2024-11-21,30.745,31.95,30.745,30.87,13393
2024-11-22,31.19,32.2,31.19,31.59,26588
2024-11-25,31.75,32.55,31.44,31.44,24516
2024-11-26,31.0672,31.66,30.51,30.94,23757
2024-11-27,31.29,31.3,30.26,30.36,12750
2024-11-29,30.8,31.05,30.0308,30.42,9377
2024-12-02,30.28,30.28,29.53,29.67,14825
2024-12-03,29.1,29.55,29.1,29.27,61314
2024-12-04,29.51,30.09,28.905,29.89,48964
2024-12-05,29.95,30.25,29.55,30.04,25442
2024-12-06,30.15,30.58,29.695,30.58,26488
2024-12-09,30.62,31.275,30.0478,31.25,19284
2024-12-10,31.07,31.34,30.79,30.79,21283
2024-12-11,30.98,31.83,30.56,31.51,17867
2024-12-12,31.25,31.49,31,31.37,12339
2024-12-13,31.6561,31.6561,31.02,31.36,18761
2024-12-16,31.06,31.83,31,31.39,12284
2024-12-17,31.3,31.63,30.95,31.63,15896
2024-12-18,31.83,31.83,29.65,29.66,22182
2024-12-19,29.79,30.5,29.325,29.8,17458
2024-12-20,29.25,31,29.25,29.89,36567
2024-12-23,29.97,30,29,29.48,11217
2024-12-24,29.66,29.66,28.87,29.2,9432
2024-12-26,29.32,29.58,28.5,28.55,36029
2024-12-27,27.89,28.54,27.41,27.9,22157
2024-12-30,27.85,28.27,27.4,27.7,34175
2024-12-31,28,28.205,27.25,27.72,23057
2025-01-02,27.7,27.7,26.76,26.93,24897
2025-01-03,26.95,27.56,26.65,27.22,34673
2025-01-06,27.35,27.83,26.71,27.25,27294
2025-01-07,27.19,27.72,26.25,26.61,38935
2025-01-08,27.03,27.08,26.32,26.51,40670
2025-01-10,26,26.79,25.39,26.06,43479
2025-01-13,25.91,26.71,25.9,26.25,16513
2025-01-14,26.01,26.42,25.98,26.13,25128
2025-01-15,26.95,27.46,26.5,26.68,6184
2025-01-16,26.72,27,26.11,26.44,17728
2025-01-17,26.69,27,26.2389,26.95,19404
2025-01-21,27,27.38,26.66,26.97,58161
2025-01-22,26.81,27.3,26.5,26.85,18220
2025-01-23,25.49,27.305,25.25,26.05,18012
2025-01-24,26,26.53,25.41,26.4,47649
2025-01-27,26.34,27.11,26.34,26.4,28197
2025-01-28,26.14,26.99,25.91,26.82,20767
2025-01-29,26.53,27.41,26.215,27.4,23165
2025-01-30,27.185,27.5,26.59,26.6,15883
2025-01-31,26.5,26.89,25.91,26.5,32591
2025-02-03,25.83,26.8,25.75,26.3,21288
2025-02-04,26.13,26.35,25.67,26.14,17553
2025-02-05,26.1,26.4,25.8,26.31,12580
2025-02-06,26.6,27,26.12,27,16016
2025-02-07,27.3,27.3,25.885,26.6,27900
2025-02-10,27,27.29,26.43,26.88,13951
2025-02-11,26.84,27.095,26.75,26.8,12086
2025-02-12,26.46,26.98,26.43,26.71,15069
2025-02-13,26.74,27,26.67,26.79,17934
2025-02-14,27.3,27.52,27.1,27.4,10971
2025-02-18,27.28,27.55,27.0672,27.4,11797
2025-02-19,27.5,27.5,27.25,27.41,10070
2025-02-20,27.26,27.62,26.6,27.3,16472
2025-02-21,27.5,27.5,26.5,27.19,33908
2025-02-24,27.16,27.16,26.21,26.56,17706
2025-02-25,26.57,27.05,26.48,26.65,20214
2025-02-26,26.56,27.1,26.56,26.6,9635
2025-02-27,26.82,26.82,26.29,26.53,11850
2025-02-28,26.48,27.41,25.76,25.9,32660
