date,open,high,low,close,volume
2024-03-01,8.5,8.56,8.44,8.56,507185
2024-03-04,8.54,8.56,8.445,8.45,87131
2024-03-05,8.52,8.52,8.38,8.45,123677
2024-03-06,8.49,8.52,8.38,8.515,70257
2024-03-07,8.56,8.68,8.49,8.61,231045
2024-03-08,8.68,8.75,8.61,8.67,312949
2024-03-11,8.66,8.885,8.66,8.85,191050
2024-03-12,8.87,8.9,8.68,8.69,93040
2024-03-13,8.67,8.74,8.67,8.74,150711
2024-03-14,8.72,8.77,8.65,8.75,142985
2024-03-15,8.7,8.93,8.53,8.92,476377
2024-03-18,8.93,8.95,8.8,8.8,194479
2024-03-19,8.81,8.91,8.81,8.85,99950
2024-03-20,8.84,9.05,8.83,8.99,182993
2024-03-21,9,9.06,8.9175,8.97,346074
2024-03-22,8.98,9.06,8.98,9.04,145551
2024-03-25,9.06,9.17,9.005,9.06,136715
2024-03-26,9.1,9.23,9.1,9.22,371190
2024-03-27,9.28,9.355,9.24,9.29,177027
2024-03-28,9.3,9.67,9.275,9.66,904196
2024-04-01,9.66,9.7,9.48,9.5,206582
2024-04-02,9.39,9.45,8.8801,9.33,156674
2024-04-03,9.26,9.45,9.23,9.36,169037
2024-04-04,9.43,9.49,9.295,9.34,115596
2024-04-05,9.35,9.38,9.279,9.335,63497
2024-04-08,9.37,9.42,9.315,9.39,52869
2024-04-09,9.37,9.39,9.21,9.36,58774
2024-04-10,9.2,9.3,9.14,9.27,157261
2024-04-11,9.24,9.34,9.2,9.29,82418
2024-04-12,9.34,9.49,9.295,9.43,101441
2024-04-15,9.48,9.49,9.26,9.28,84799
2024-04-16,9.22,9.42,9.22,9.39,79598
2024-04-17,9.42,9.455,9.225,9.27,153593
2024-04-18,9.27,9.35,9.1804,9.28,141197
2024-04-19,9.24,9.46,9.24,9.44,89938
2024-04-22,9.44,9.4996,9.38,9.42,91311
2024-04-23,9.41,9.52,9.4,9.47,131123
2024-04-24,9.42,9.5,9.371,9.47,150077
2024-04-25,9.38,9.43,9.3,9.31,87830
2024-04-26,9.32,9.41,9.28,9.34,141529
