date,open,high,low,close,volume
2024-03-01,1.99,2.1,1.99,2.08,105760
2024-03-04,2.1,2.11,1.97,1.97,74587
2024-03-05,1.97,2.0057,1.9,1.97,44201
2024-03-06,1.98,2,1.85,2,66387
2024-03-07,1.98,2,1.91,1.98,26510
2024-03-08,1.95,1.98,1.74,1.87,85592
2024-03-11,1.78,1.86,1.54,1.67,74522
2024-03-12,1.65,1.65,1.55,1.57,44306
2024-03-13,1.59,1.5946,1.35,1.35,280459
2024-03-14,1.48,1.48,1.33,1.36,51082
2024-03-15,1.39,1.44,1.33,1.4,47118
2024-03-18,1.37,1.44,1.37,1.44,28149
2024-03-19,1.43,1.445,1.33,1.35,31720
2024-03-20,1.35,1.42,1.35,1.41,22711
2024-03-21,1.4,1.4698,1.4,1.41,16259
2024-03-22,1.4,1.49,1.39,1.45,41200
2024-03-25,1.42,1.425,1.275,1.28,54865
2024-03-26,1.25,1.26,1.15,1.17,79605
2024-03-27,1.28,1.38,0.9549,1.09,2131365.0
2024-03-28,1.06,1.07,0.9848,1.03,341388
2024-04-01,1,1.06,0.959,0.9951,156378
2024-04-02,0.9517,0.99,0.95,0.958,78743
2024-04-03,0.97,0.995,0.921,0.962,73624
2024-04-04,0.92,0.9998,0.8815,0.9201,1876829.0
2024-04-05,0.91,0.95,0.83,0.92,199999
2024-04-08,1,1.14,0.81,0.8299,1708243.0
2024-04-09,0.864,0.8962,0.801,0.814,376429
2024-04-10,0.8,0.8101,0.75,0.7883,142401
2024-04-11,0.75,0.7872,0.7,0.7163,197839
2024-04-12,0.704,0.72,0.68,0.681,335962
2024-04-15,0.698,0.7,0.6219,0.6219,205699
2024-04-16,0.63,0.67,0.585175,0.6699,192197
2024-04-17,0.6401,0.7,0.6401,0.6909,142426
2024-04-18,0.729,0.76,0.7,0.745,180463
2024-04-19,0.7568,0.76,0.65,0.67,181035
2024-04-22,0.69,0.73,0.65,0.711,145204
2024-04-23,0.6804,0.699,0.59,0.6887,107331
2024-04-24,0.7231,0.7231,0.631,0.6905,85747
2024-04-25,0.72,0.76,0.7001,0.735,85297
2024-04-26,0.78,0.78,0.683,0.7104,132980
2024-04-29,0.717,0.76,0.717,0.726,89769
2024-04-30,0.726,0.7448,0.6841,0.7099,62880
2024-05-01,0.6897,0.7478,0.6888,0.71,64580
2024-05-02,0.725,0.73,0.695,0.6982,35955
2024-05-03,0.7001,0.72,0.6762,0.698,56236
2024-05-06,0.6979,0.78,0.69,0.733,226279
2024-05-07,0.7,0.757399,0.7,0.7264,77782
2024-05-08,0.7034,0.7412,0.7034,0.7351,35898
2024-05-09,0.75,0.75,0.7005,0.7153,28752
2024-05-10,0.708,0.749,0.69,0.7299,38495
2024-05-13,0.7,0.7499,0.7,0.74035,32215
2024-05-14,0.69,0.764451,0.6899,0.74,62169
2024-05-15,0.749,0.789,0.7005,0.772501,85848
2024-05-16,0.77,0.8235,0.7413,0.819971,61526
2024-05-17,0.818812,0.92,0.7612,0.825,189951
