date,open,high,low,close,volume
2024-03-01,19,19.4,18.75,18.97,1117011.0
2024-03-04,19.05,19.24,18.6,18.92,1342860.0
2024-03-05,18.58,19.1063,18.4,18.77,1340704.0
2024-03-06,18.91,19.13,18.23,18.46,1269424.0
2024-03-07,18.6,20.05,18.43,19.86,1948810.0
2024-03-08,20,20.59,19.32,19.73,1402343.0
2024-03-11,19.84,20.33,18.895,18.99,1065203.0
2024-03-12,19.02,19.08,18.345,18.64,1306295.0
2024-03-13,18.5,19.31,18.5,19,1542613.0
2024-03-14,19.29,19.46,17.94,18.37,2209334.0
2024-03-15,18.15,18.55,17.65,17.74,2460239.0
2024-03-18,17.8,17.97,17.395,17.45,2146690.0
2024-03-19,17.28,18.05,17.24,17.94,1454790.0
2024-03-20,18.14,18.195,17.75,17.93,1438708.0
2024-03-21,18,18.325,17.48,17.56,1595732.0
2024-03-22,17.53,17.72,17.06,17.25,1202451.0
2024-03-25,17.26,17.35,16.95,17.13,1670547.0
2024-03-26,17.22,17.77,16.915,17.69,1804724.0
2024-03-27,17.8,17.98,17.2,17.96,2741839.0
2024-03-28,18.2,20.755,18.13,20.63,5569146.0
2024-04-01,20.7,20.7,19.36,20.25,2065103.0
2024-04-02,22.25,22.57,19.62,20.79,6454821.0
2024-04-03,20.76,21.68,19.53,19.7,3183779.0
2024-04-04,19.86,20.12,18.13,18.15,3649400.0
2024-04-05,18.05,18.295,17.57,17.63,2483787.0
2024-04-08,17.61,18.795,17.59,18.66,2216708.0
2024-04-09,18.75,19.86,18.75,19.2,1950743.0
2024-04-10,18.29,19.21,18.02,19.11,1854087.0
2024-04-11,19.35,19.41,18.32,18.68,1113315.0
2024-04-12,18.42,18.575,17.96,18.26,1308053.0
2024-04-15,18.34,18.45,16.94,17.06,2409284.0
2024-04-16,16.84,16.8899,16.035,16.16,1835063.0
2024-04-17,16.23,16.88,15.89,16.39,1538065.0
2024-04-18,16.34,16.84,16.05,16.67,1557358.0
2024-04-19,16.56,16.79,15.81,16.07,1841433.0
2024-04-22,16.78,17.68,16.775,17.59,1943042.0
2024-04-23,17.45,18.27,17.3,17.34,1783632.0
2024-04-24,17.72,18.11,17.34,18.1,1791732.0
2024-04-25,17.71,17.86,16.95,17.16,1660488.0
2024-04-26,16.98,17.52,16.77,17.35,692625
2024-04-29,17.52,18.38,17.52,18.19,1307580.0
2024-04-30,17.9,18.3306,17.55,18,903580
2024-05-01,18.01,18.97,17.85,18.26,1147466.0
2024-05-02,18.59,18.675,17.985,18.58,945154
2024-05-03,19.11,19.63,18.73,18.88,1018263.0
2024-05-06,19.1,19.48,18.96,19.1,1062302.0
2024-05-07,19.19,19.255,18.78,18.82,1381343.0
2024-05-08,18.68,19.1,18.47,18.64,1499861.0
2024-05-09,18.36,19.5,18.01,19.44,2777358.0
2024-05-10,21.43,22.51,20.53,22.37,5854219.0
2024-05-13,22.7,24.19,22.3681,24,4184363.0
2024-05-14,24.56,25.85,24.47,24.73,3987068.0
2024-05-15,25.2201,25.76,24.57,25.75,2393517.0
2024-05-16,25.74,27.31,25.16,26.24,3342100.0
2024-05-17,26.495,26.495,25.07,25.36,2416935.0
2024-05-20,25.5,25.57,24.5,24.77,2860445.0
2024-05-21,24.72,25.09,23.53,23.57,2520703.0
2024-05-22,23.54,23.62,22.4,22.51,3127217.0
2024-05-24,26.22,26.3606,23.3449,25.52,5996426.0
2024-05-28,26,26.83,25.6,26.16,3381310.0
2024-05-29,25.8,26.305,25.34,26.09,2041221.0
2024-05-30,26.37,27.52,26.06,27.47,2072135.0
2024-05-31,27.62,27.89,26.95,27.1,3539791.0
2024-06-03,27.35,27.56,26.3803,27.41,2375976.0
2024-06-04,27.87,28.32,26.74,27.99,2348465.0
2024-06-05,28.04,32.3,27.33,31.19,6648814.0
2024-06-06,30.59,30.79,28.975,29.02,2096986.0
2024-06-07,28.53,28.89,28.11,28.67,1760417.0
2024-06-10,28.38,30.365,28.0508,30.06,1524405.0
2024-06-11,29.84,30.69,29.26,30.5,1898689.0
2024-06-12,31.9,32.3,30.96,31.84,2578308.0
2024-06-13,31.9,32.06,30.93,31.51,1115434.0
2024-06-14,31.25,31.44,29.55,30.21,1421208.0
2024-06-17,30.01,30.89,29.75,30.5,1840324.0
2024-06-18,30.21,31,29.79,29.94,1680052.0
2024-06-20,29.75,30.14,29.19,29.56,1578239.0
2024-06-21,29.55,30.17,29.47,29.56,2374172.0
2024-06-24,29.57,30.31,28.67,29.09,1186872.0
2024-06-25,29.06,30,28.74,29.48,1037055.0
2024-06-26,29.48,29.93,28.91,29.39,808925
2024-06-27,29.4,30,28.86,29.05,743804
2024-06-28,30,30,28.22,28.88,3655020.0
2024-07-01,28.95,29.43,27.92,28.26,1106765.0
2024-07-02,28.25,28.93,28,28.87,704184
2024-07-03,28.82,28.83,28.09,28.41,736312
2024-07-05,28.13,28.905,27.9408,28.75,615218
2024-07-08,28.5,28.7199,27.48,27.57,1497757.0
2024-07-09,27.52,27.72,26.37,27.65,1451044.0
2024-07-10,27.86,28.2257,27.02,27.61,827052
2024-07-11,28.49,30.41,27.95,29.97,2595817.0
2024-07-12,30.19,31.23,30,31.07,1605669.0
2024-07-15,31.3,31.63,30.68,31.54,1164589.0
2024-07-16,31.99,34.075,31.68,33.83,1738495.0
2024-07-17,33.02,33.81,31.97,32.55,1156298.0
2024-07-18,33.2,33.58,30.89,31.15,1290049.0
2024-07-19,31.39,31.73,30.56,30.75,950641
2024-07-22,30.8,32.1825,30.7,32,749380
2024-07-23,32.03,33.41,31.948,32.68,936957
2024-07-24,32.6,33.445,31.68,31.78,907206
2024-07-25,31.79,33.25,31.79,31.93,658649
2024-07-26,32.73,33.53,31.8,33,1203361.0
2024-07-29,34.2,35.9599,33,35.28,5050211.0
2024-07-30,35.82,37.0399,35.28,36.29,3718300.0
2024-07-31,36.56,36.56,34.66,35.13,4341307.0
2024-08-01,35.78,36.1,32.3237,33.36,3725546.0
2024-08-02,31.94,31.94,30.34,31.75,3122131.0
2024-08-05,28.34,31.1769,28.212,30.55,2659738.0
2024-08-06,31.07,32.39,30.08,32.16,1509367.0
2024-08-07,32.7,34.31,32.37,33.96,4335389.0
2024-08-08,32.06,33.28,29.8001,30.27,4667024.0
2024-08-09,30.2,30.35,28.9,29,2551056.0
2024-08-12,29.49,30.53,29,30.47,2190755.0
2024-08-13,30.78,31.675,29.42,29.74,2321031.0
2024-08-14,29.75,30.14,28.7874,29.05,1505907.0
2024-08-15,29.67,30.02,28.33,28.54,3241996.0
2024-08-16,28.2,28.69,27.695,27.95,3079817.0
2024-08-19,27.94,28.42,27.72,28.38,1579417.0
2024-08-20,28.47,28.47,27.27,27.68,1694112.0
2024-08-21,28,28.36,27.44,28.26,1361132.0
2024-08-22,28.28,28.4083,27.75,27.87,1305338.0
2024-08-23,28.11,29.26,27.94,29.02,1411625.0
2024-08-26,27.38,27.475,25.43,26.74,4303675.0
2024-08-27,26.51,26.85,25.755,26.15,2584693.0
2024-08-28,26.1,26.65,25.51,26.2,3287698.0
2024-08-29,26.36,26.85,25.735,25.93,3316014.0
2024-08-30,26.15,26.32,25.27,25.58,2491401.0
2024-09-03,25.35,25.65,24.5,24.57,1784194.0
2024-09-04,24.57,25.31,24.26,24.35,1899550.0
2024-09-05,24.43,24.58,23.94,24.33,1776177.0
2024-09-06,24.44,24.44,23.48,23.73,2641355.0
2024-09-09,23.89,24.28,23.49,23.77,1895776.0
2024-09-10,23.93,25.87,23.71,25.81,1838735.0
2024-09-11,25.69,25.8,24.8,24.87,2455874.0
2024-09-12,24.88,25.795,24.55,25.58,2133162.0
2024-09-13,25.85,27.13,25.48,26.79,3793189.0
2024-09-16,23.08,25.9,23.07,25.38,5793670.0
2024-09-17,25.43,25.9,24.465,25.09,2575562.0
2024-09-18,24.79,25.83,24.65,25.08,2591522.0
2024-09-19,25.46,26.19,25.24,25.39,1942859.0
2024-09-20,25.39,25.39,24.62,25.09,2599076.0
2024-09-23,25.23,25.3082,23.48,23.49,2460782.0
2024-09-24,23.6,23.79,22.395,22.56,2919014.0
2024-09-25,22.58,22.8,22.05,22.3,1999751.0
2024-09-26,22.7,22.96,22.21,22.73,1319539.0
2024-09-27,23.01,23.29,22.67,22.88,846111
2024-09-30,22.78,23.2,22.58,22.94,1035438.0
2024-10-01,22.85,22.89,21.695,22.12,1845667.0
2024-10-02,22.08,22.53,22.04,22.36,1070355.0
2024-10-03,22,22.26,21.77,21.8,909243
2024-10-04,21.99,22.21,21.62,22.16,974147
2024-10-07,22.04,22.17,21.17,21.35,1908864.0
2024-10-08,21.25,21.46,20.96,21.05,1330815.0
2024-10-09,20.99,21.18,20.595,20.89,1539030.0
2024-10-10,20.53,20.82,20.36,20.61,1230163.0
2024-10-11,20.52,21.5,20.4622,21.4,1387033.0
2024-10-14,21.4,21.73,20.795,21.34,1144809.0
2024-10-15,21.29,21.735,21.185,21.56,1379162.0
2024-10-16,21.8,21.95,21.3406,21.62,1151905.0
2024-10-17,21.4,21.53,20.18,20.68,1979815.0
2024-10-18,20.76,21.52,20.35,21.38,1326229.0
2024-10-21,21.34,21.475,20.76,20.84,1160649.0
2024-10-22,20.8,20.84,20.18,20.35,1143319.0
2024-10-23,20.18,20.49,20.14,20.42,1149797.0
2024-10-24,20.58,20.64,20.16,20.2,1268257.0
2024-10-25,20.19,20.62,20.14,20.51,1400648.0
2024-10-28,20.9,22.38,20.815,22.2,1847601.0
2024-10-29,22.01,22.4388,21.61,21.79,975162
2024-10-30,21.36,23.5,21.2765,23.07,1708115.0
2024-10-31,22.93,23.35,21.85,21.88,1390173.0
2024-11-01,22.28,23.19,22.15,23,1974595.0
2024-11-04,22.92,24.32,22.915,23.6,1942028.0
2024-11-05,23.41,24.1,23.27,23.52,2467778.0
2024-11-06,24.5,25.5299,23.73,25.29,4267269.0
2024-11-07,32.39,33.6379,28.24,28.59,5609959.0
2024-11-08,28.58,29.78,28.1966,28.61,2764036.0
2024-11-11,29.21,29.75,28.48,29.36,1907108.0
2024-11-12,29.37,30.1799,29.09,29.73,1877999.0
2024-11-13,29.52,32.26,29.52,31.61,2919841.0
2024-11-14,31.24,31.32,30.03,30.21,1991834.0
2024-11-15,30.58,30.67,28.975,29.11,2978877.0
2024-11-18,29.15,29.74,28.69,28.96,2374147.0
2024-11-19,28.55,30.7,28.4498,30.68,1543939.0
2024-11-20,30.66,30.75,30.14,30.68,1574416.0
2024-11-21,31,31.16,30.3,30.98,1690429.0
2024-11-22,31.17,33.4498,30.83,32.65,2160258.0
2024-11-25,33.14,36.02,32.89,35.4,3531045.0
2024-11-26,34.92,35.05,33.75,34.37,1904051.0
2024-11-27,35.05,35.5645,34.53,35.1,994090
2024-11-29,35.3,35.81,35,35.61,796650
2024-12-02,35.89,36.05,34.995,35.52,1147304.0
2024-12-03,35.3,35.97,34.5,35.78,936349
2024-12-04,35.7,38.53,35.47,38.11,2166186.0
2024-12-05,37.89,38.11,36.68,37.11,1486149.0
2024-12-06,37.52,37.8,36.57,36.87,1553378.0
2024-12-09,37.01,37.725,36.0984,36.37,1078598.0
2024-12-10,36.25,36.37,34.95,35.53,1321792.0
2024-12-11,36.2,36.34,35.46,35.66,1141479.0
2024-12-12,35.44,36.9599,34.83,34.94,1466652.0
2024-12-13,35,35.275,34.2,34.76,1296541.0
2024-12-16,34.5,36.24,34.5,35.62,1844635.0
2024-12-17,35.06,35.79,34.52,34.84,1142212.0
2024-12-18,34.97,35.055,32.09,32.36,1911590.0
2024-12-19,32.56,33,30.84,31.13,1814550.0
2024-12-20,30.69,32.22,30.49,31.67,2166431.0
2024-12-23,31.34,31.66,30.775,31.04,1064054.0
2024-12-24,31.1,31.845,30.8814,31.57,409044
2024-12-26,31.12,31.57,30.74,31.37,2109384.0
2024-12-27,31.16,31.375,30.14,30.44,1162494.0
2024-12-30,30.26,31.24,29.91,30.54,1370821.0
2024-12-31,30.86,30.98,30.1502,30.55,1539831.0
2025-01-02,31.25,32.67,30.97,31.77,1675287.0
2025-01-03,32.06,33.82,31.72,33.76,1663113.0
2025-01-06,33.9,37.08,33.7501,35.88,3524952.0
2025-01-07,36.1,36.57,34.55,36.15,1823528.0
2025-01-08,36.35,37.46,36.11,36.59,2189181.0
2025-01-10,36.85,37.0799,34.8,36.705,2773947.0
2025-01-13,37.07,38.33,35.68,38.1,2869420.0
2025-01-14,38.18,39.29,35.82,37.46,2444208.0
2025-01-15,38.52,38.97,36.945,37.5,1497622.0
2025-01-16,37.13,37.87,36.86,37.31,1092121.0
2025-01-17,37.58,37.93,36.4457,36.66,1122116.0
2025-01-21,39.04,45.68,38.32,45.13,7113655.0
2025-01-22,45.13,49.86,44.77,47.2,5908449.0
2025-01-23,46.8,48.82,45.42,48.6,2719667.0
2025-01-24,48.26,48.6,46.43,47.21,1701468.0
2025-01-27,46.94,47.78,45.59,46.98,1748659.0
2025-01-28,47.53,48.29,46.71,48.26,2224934.0
2025-01-29,48.3,48.94,47.5,47.65,1468873.0
2025-01-30,48.97,50.89,48.3198,49.94,3237144.0
2025-01-31,49.77,49.77,46.73,46.98,2363960.0
2025-02-03,44.51,47.63,44.1,47.57,1815040.0
2025-02-04,48.45,48.45,46.84,47.17,1325813.0
2025-02-05,47.36,48.5828,47.07,47.595,1053165.0
2025-02-06,47.72,48.0752,46.0216,46.09,1258969.0
2025-02-07,44.52,45.97,44.26,44.47,6126698.0
2025-02-10,44.59,44.61,41.79,44.4,2705978.0
2025-02-11,43.71,44.4,42.76,43.6,1481845.0
2025-02-12,42.5,45.75,42.21,45.38,1361739.0
2025-02-13,45.73,47.55,45.705,46.98,2411256.0
2025-02-14,47.5,49.48,47.27,48.12,1989866.0
2025-02-18,49.9,49.9,47.0301,48.27,2035239.0
2025-02-19,48.47,49.5,47.56,49,2282001.0
2025-02-20,48.33,49.345,46.83,47.4,2904415.0
2025-02-21,48.5,49,42.19,42.87,5720996.0
2025-02-24,43.235,45.98,42.25,42.44,2570421.0
2025-02-25,42.455,44.01,40.28,40.35,2237911.0
2025-02-26,41.41,43.83,41.39,43.19,2500275.0
2025-02-27,43.19,43.23,41.48,42.11,1508324.0
2025-02-28,41.72,42.67,41.11,42.55,1475550.0
