date,open,high,low,close,volume
2024-03-01,10.16,10.16,10.16,10.16,170
2024-03-04,10.16,10.16,10.16,10.16,581
2024-03-06,10.17,10.17,10.17,10.17,49429
2024-03-07,10.175,10.175,10.175,10.175,517
2024-03-08,10.17,10.17,10.17,10.17,116
2024-03-13,10.18,10.19,10.18,10.18,1229
2024-03-18,10.18,10.18,10.18,10.18,2463
2024-03-19,10.19,10.27,10.18,10.27,5624
2024-03-22,10.18,10.19,10.17,10.19,622
2024-03-25,10.19,10.19,10.19,10.19,146
2024-03-26,10.17,10.2,10.17,10.2,576
2024-03-27,10.1801,10.1822,10.18,10.1822,6416
2024-03-28,10.19,10.19,10.18,10.18,826
2024-04-01,10.18,10.2,10.18,10.2,6375
2024-04-02,10.18,10.19,10.18,10.18,4092
2024-04-08,10.19,10.2,10.19,10.2,1607
2024-04-09,10.21,10.21,10.21,10.21,2638
2024-04-10,10.21,10.21,10.21,10.21,1112
2024-04-11,10.23,10.23,10.23,10.23,793
2024-04-12,10.22,10.325,10.22,10.24,110311
2024-04-15,10.23,10.23,10.23,10.23,794
2024-04-16,10.31,10.31,10.23,10.27,1666
2024-04-17,10.25,10.25,10.24,10.24,333870
2024-04-18,10.24,10.24,10.2,10.225,97432
2024-04-19,10.23,10.23,10.21,10.21,22687
2024-04-22,10.22,10.22,10.212,10.215,45637
2024-04-23,10.22,10.22,10.21,10.21,15968
2024-04-24,10.215,10.22,10.1902,10.1902,27242
2024-04-25,10.21,10.22,10.21,10.215,138309
2024-04-26,10.22,10.225,10.215,10.22,57042
2024-04-29,10.23,10.23,10.23,10.23,1992
2024-04-30,10.22,10.22,10.22,10.22,679
2024-05-01,10.236,10.27,10.236,10.25,9576
2024-05-06,10.23,10.23,10.23,10.23,277
2024-05-07,10.22,10.23,10.22,10.23,15537
2024-05-08,10.265,10.265,10.265,10.265,485
2024-05-09,10.26,10.26,10.25,10.25,742
2024-05-13,10.24,10.26,10.24,10.255,2194
2024-05-14,10.24,10.24,10.24,10.24,554
2024-05-15,10.255,10.255,10.255,10.255,615
2024-05-17,10.25,10.25,10.24,10.245,8178
2024-05-20,10.23,10.235,10.23,10.235,5885
2024-05-21,10.23,10.23,10.23,10.23,401
2024-05-23,10.25,10.25,10.25,10.25,513
2024-05-24,10.26,10.26,10.26,10.26,199
2024-05-28,10.255,10.26,10.255,10.26,8370
2024-05-30,10.27,10.27,10.27,10.27,4602
2024-05-31,10.26,10.29,10.26,10.275,371349
2024-06-03,10.27,10.28,10.27,10.28,22175
2024-06-04,10.28,10.31,10.28,10.28,67657
2024-06-05,10.292,10.292,10.28,10.29,2716
2024-06-06,10.28,10.28,10.26,10.28,3940
2024-06-07,10.271,10.275,10.27,10.275,3201
2024-06-10,10.29,10.31,10.29,10.31,1387
2024-06-11,10.28,10.29,10.28,10.29,232
2024-06-13,10.3,10.31,10.29,10.29,2910
2024-06-14,10.28,10.295,10.28,10.295,16775
2024-06-17,10.29,10.29,10.29,10.29,570
2024-06-18,10.3,10.3,10.3,10.3,471
2024-06-20,10.3,10.3,10.28,10.285,2334
2024-06-21,10.424,10.424,10.33,10.33,602
