date,open,high,low,close,volume
2024-03-01,2.24,2.27,2.16,2.24,59755
2024-03-04,2.17,2.215,2.15,2.19,47797
2024-03-05,2.16,2.1866,2.09,2.16,53710
2024-03-06,2.15,2.17,2.1,2.16,117190
2024-03-07,2.14,2.21,2.11,2.2,78301
2024-03-08,2.24,2.2647,2.178,2.25,60108
2024-03-11,2.2,2.25,2.2,2.24,36834
2024-03-12,2.19,2.3,2.19,2.29,64174
2024-03-13,2.3,2.37,2.27,2.33,47080
2024-03-14,2.31,2.35,2.25,2.25,28336
2024-03-15,2.27,2.2899,2.21,2.23,36392
2024-03-18,2.21,2.29,2.2,2.25,37019
2024-03-19,2.28,2.3246,2.19,2.2,32462
2024-03-20,2.19,2.26,2.17,2.26,132556
2024-03-21,2.29,2.29,2.16,2.2001,139569
2024-03-22,2.18,2.23,2.1639,2.19,8999
2024-03-25,2.19,2.19,2.1303,2.1677,33676
2024-03-26,2.1799,2.18,2.15,2.18,23586
2024-03-27,2.18,2.2,2.1613,2.17,15928
2024-03-28,2.1906,2.21,2.18,2.2,45737
2024-04-01,2.18,2.22,2.18,2.18,82153
2024-04-02,2.16,2.19,2.16,2.17,19693
2024-04-03,2.15,2.28,2.15,2.27,46044
2024-04-04,2.2,2.26,2.18,2.2,35126
2024-04-05,2.2,2.26,2.11,2.15,159960
2024-04-08,2.11,2.19,2.11,2.14,86395
2024-04-09,2.18,2.19,2.1366,2.14,8651
2024-04-10,2.14,2.16,2.13,2.135,19984
2024-04-11,2.11,2.13,2.1,2.11,28122
2024-04-12,2.12,2.16,2.07,2.16,62676
2024-04-15,2.13,2.21,2.0902,2.11,97051
2024-04-16,2.09,2.16,2.01,2.07,141437
2024-04-17,2.05,2.06,2,2.005,23742
2024-04-18,2.04,2.1,1.95,2.024,53941
2024-04-19,2.0499,2.09,1.9901,2.01,26701
2024-04-22,2,2.06,1.97,1.99,17256
2024-04-23,2.0393,2.0468,1.907,1.94,36951
2024-04-24,1.95,1.97,1.8921,1.9,20004
2024-04-25,1.95,1.98,1.9,1.9296,19737
2024-04-26,1.9,1.95,1.9,1.95,26050
2024-04-29,1.91,1.95,1.8665,1.9,40370
2024-04-30,1.9,1.9,1.88,1.885,7815
2024-05-01,1.9,1.91,1.86,1.89,39679
2024-05-02,1.91,1.9181,1.86,1.87,23894
