date,open,high,low,close,volume
2024-03-01,20.63,21.495,20.585,20.78,1971264.0
2024-03-04,20.65,20.73,20.38,20.51,1383433.0
2024-03-05,20.48,21.06,20.38,20.97,1290628.0
2024-03-06,21.08,21.56,20.99,21.28,1903986.0
2024-03-07,21.37,21.43,21.03,21.09,1678119.0
2024-03-08,21.26,21.33,21.15,21.23,1301973.0
2024-03-11,20.99,21.4,20.96,21.37,1568884.0
2024-03-12,23.22,23.79,22.74,23.24,4405206.0
2024-03-13,23.1,23.745,23.06,23.66,2251330.0
2024-03-14,23.73,23.74,23.41,23.64,1646265.0
2024-03-15,23.59,23.948,23.4001,23.54,2350027.0
2024-03-18,23.48,23.84,23.32,23.83,1720398.0
2024-03-19,23.75,24.28,23.72,24.11,1681927.0
2024-03-20,24.12,24.64,23.81,24.56,1705475.0
2024-03-21,24.56,24.75,24.295,24.45,870920
2024-03-22,24.31,24.33,23.98,23.98,627045
2024-03-25,24.06,24.3,23.72,23.73,547987
2024-03-26,23.79,23.8,23.45,23.52,910474
2024-03-27,23.55,23.79,23.465,23.79,573538
2024-03-28,23.83,24.16,23.71,24.06,783328
2024-04-01,24,24.325,23.735,24.13,876031
2024-04-02,24.23,24.5,23.96,24.48,867590
2024-04-03,24.33,25.205,24.2199,25.12,1801105.0
2024-04-04,25.48,25.73,25.05,25.37,1874719.0
2024-04-05,25.3,25.55,25.02,25.43,1270388.0
2024-04-08,25.38,25.555,25.23,25.4,994257
2024-04-09,25.47,25.53,24.96,25.16,817241
2024-04-10,24.879,25.52,24.66,25.42,886171
2024-04-11,25.44,25.9,25.07,25.38,832169
2024-04-12,25.54,25.64,24.79,24.97,845830
2024-04-15,25.03,25.32,24.815,24.85,756553
2024-04-16,24.56,24.9,24.21,24.74,581380
2024-04-17,24.78,25.14,24.53,24.77,543077
2024-04-18,24.77,24.985,24.565,24.69,443667
2024-04-19,24.67,25.295,24.65,25.17,723067
2024-04-22,25.08,25.485,24.8801,25.29,764513
2024-04-23,25.17,25.725,25.0401,25.54,491309
2024-04-24,25.37,25.49,25.15,25.18,671237
2024-04-25,25.2,25.3347,24.9105,25.02,939301
2024-04-26,25,25.22,24.81,25.1,978661
2024-04-29,25.12,25.2,24.78,24.95,587198
2024-04-30,24.89,25.03,24.415,24.52,677568
