date,open,high,low,close,volume
2024-09-12,4.44,5.3899,4.2,4.45,2580221.0
2024-09-13,4.5,4.9799,4.29,4.45,687710
2024-09-16,4.41,5.2,4.41,4.83,501516
2024-09-17,4.92,4.99,4.49,4.59,220398
2024-09-18,4.6,6.19,4.6,6.06,910676
2024-09-19,6.15,7.86,3.83,4.8,1401742.0
2024-09-20,5.04,5.8401,5.04,5.79,245823
2024-09-23,5.79,6.36,5.6375,6.12,358243
2024-09-24,6.14,6.7,5.13,5.84,199288
2024-09-25,5.76,6.7499,5.6765,6.06,277467
2024-09-26,6.2,6.4799,5.75,5.96,127311
2024-09-27,6,6.2,5.749,6.01,26746
2024-09-30,6.06,6.3832,5.96,6.17,143006
2024-10-01,6.24,7.4099,6.13,6.78,340554
2024-10-02,6.95,7.9,6.61,7.29,831478
2024-10-03,7.44,7.95,7.05,7.62,425781
2024-10-04,7.52,7.94,7.52,7.7789,99476
2024-10-07,7.9,7.9399,7.25,7.57,88128
2024-10-08,7.75,8,7.305,8,285185
2024-10-09,7.8,8.09,7.5,7.7,246025
2024-10-10,7.67,13.89,7.57,10.3,5067478.0
2024-10-11,10.06,11.22,8.91,10.13,538401
2024-10-14,10.11,10.35,9.15,9.44,197838
2024-10-15,9.81,10.1522,9.2,9.73,289451
2024-10-16,9.59,10.89,9.36,9.86,326882
2024-10-17,9.86,10.58,9.77,10.22,227139
2024-10-18,10.75,11.9909,10.45,10.77,641255
2024-10-21,10.9,12.11,10.25,10.94,942769
2024-10-22,10.95,11.09,10.4,10.93,169419
2024-10-23,10.61,11.3,10.53,11.22,96053
2024-10-24,10.66,11.72,10.652,11.61,126900
2024-10-25,11.53,13.215,11.2,12.9,1480355.0
2024-10-28,13.1,13.7,11.4,12.25,1333247.0
2024-10-29,12.51,13.115,12.2,12.92,318154
2024-10-30,12.45,13.15,12.21,12.33,268503
2024-10-31,12.3,12.84,11.62,12.67,338515
2024-11-01,12.8,13.51,12.4662,13.27,475572
2024-11-04,13.3,13.74,12.81,13.03,497199
2024-11-05,13.1,15.08,12.765,14.96,1140304.0
2024-11-06,15.34,16.9259,14.63,16.12,174312
2024-11-07,14.91,15.47,10.81,13.52,706390
2024-11-08,13.52,15.205,12.4,14.68,235302
2024-11-11,15.05,16.16,14.02,15.5,2228946.0
2024-11-12,15.7,15.977,13.96,14.31,573618
2024-11-13,14.5,14.5475,3.92,6.24,2961816.0
2024-11-14,5.68,5.9,4.22,4.36,646387
2024-11-15,4.34,5.33,4.2,5.02,441144
2024-11-18,4.88,5.0083,2.8,3.34,610421
2024-11-19,3.5,3.79,3.2032,3.45,249695
2024-11-20,3.6,4.14,3.6,3.91,205775
2024-11-21,3.83,4.11,1.51,1.81,2447697.0
2024-11-22,1.8,1.982,1.2,1.43,1132182.0
2024-11-25,1.4,1.42,1.1,1.28,509717
2024-11-26,1.25,1.37,1.14,1.17,363758
2024-11-27,1.15,1.29,1.15,1.18,219752
2024-11-29,1.16,1.26,1.12,1.18,233586
2024-12-02,1.2,1.2,1.12,1.15,347761
2024-12-03,1.1,1.12,1.02,1.05,289231
2024-12-04,1.05,1.05,0.9337,0.975,243665
2024-12-05,0.95,0.96,0.83,0.87,187062
2024-12-06,0.84,1.5,0.84,1.18,3598686.0
2024-12-09,1.25,1.5599,1.12,1.15,1239462.0
2024-12-10,1,1.1,0.91955,1.05,275552
2024-12-11,1.09,1.2,1.05,1.09,104804
2024-12-12,1.05,1.1181,1,1.02,118748
2024-12-13,1.01,1.01,0.925,0.9401,105330
2024-12-16,0.92,0.941126,0.8,0.8051,206386
2024-12-17,0.81,0.8309,0.73,0.77,161668
2024-12-18,0.73,0.7969,0.712,0.749,145389
2024-12-19,0.7695,0.7823,0.733,0.7594,43390
2024-12-20,0.78,0.799,0.7014,0.787,121570
2024-12-23,0.7634,0.7998,0.7504,0.789,43579
2024-12-24,0.7654,0.8036,0.71,0.7233,36860
2024-12-26,0.75,0.9,0.73,0.879,251105
2024-12-27,0.88,1.03,0.8475,1,237289
2024-12-30,1,1,0.9,0.94,141448
2024-12-31,0.94,0.99,0.88,0.99,156630
2025-01-02,0.99,1.07,0.98,1.02,139798
2025-01-03,1,1.03,0.9622,0.98,102009
2025-01-06,1.01,1.02,0.95,0.9764,75734
2025-01-07,0.95,0.975,0.9,0.9,55996
