date,open,high,low,close,volume
2024-03-01,2.62,2.65,2.25,2.31,272852
2024-03-04,2.26,2.35,1.96,2,419405
2024-03-05,2.01,2.125,1.91,1.95,178781
2024-03-06,1.97,2.0615,1.85,1.92,163380
2024-03-07,1.92,1.9899,1.72,1.78,271764
2024-03-08,1.93,1.95,1.68,1.7,263181
2024-03-11,1.78,2.59,1.5,1.57,3535718.0
2024-03-12,1.63,1.88,1.55,1.78,896298
2024-03-13,1.9,1.9,1.71,1.71,471578
2024-03-14,1.75,1.75,1.52,1.56,446249
2024-03-15,1.52,1.56,1.3896,1.49,433165
2024-03-18,1.48,1.53,1.41,1.5156,104499
2024-03-19,1.49,1.5095,1.36,1.39,166354
2024-03-20,1.36,1.44,1.27,1.34,277310
2024-03-21,1.37,1.65,1.37,1.47,593353
2024-03-22,1.49,1.6,1.4127,1.48,199053
2024-03-25,1.58,1.5846,1.45,1.49,558344
2024-03-26,1.47,1.51,1.35,1.38,393461
2024-03-27,1.37,1.43,1.25,1.37,455507
2024-03-28,1.4,1.57,1.35,1.49,361486
2024-04-01,1.43,1.5453,1.35,1.46,288407
2024-04-02,1.35,1.41,1.22,1.24,324649
2024-04-03,1.25,1.33,1.25,1.3,218877
2024-04-04,1.4,1.4,1.26,1.29,184961
2024-04-05,1.24,1.348,1.24,1.29,251293
2024-04-08,1.35,1.53,1.35,1.5,569919
2024-04-09,1.54,1.89,1.51,1.78,2021538.0
2024-04-10,1.77,1.78,1.57,1.72,445771
2024-04-11,1.71,1.71,1.5301,1.65,323729
2024-04-12,1.6,1.6887,1.43,1.47,241099
2024-04-15,1.51,1.6,1.3731,1.48,198577
2024-04-16,1.48,1.5499,1.35,1.4,149802
2024-04-17,1.4,1.42,1.3,1.35,172268
2024-04-18,1.4,1.466,1.34,1.39,98469
2024-04-19,1.37,1.41,1.32,1.36,131075
2024-04-22,1.5,1.52,1.36,1.39,1307306.0
2024-04-23,1.36,1.38,1.27,1.32,374280
2024-04-24,1.3,1.45,1.29,1.39,232951
2024-04-25,1.46,1.5,1.33,1.5,433107
2024-04-26,1.49,1.75,1.475,1.63,497826
2024-04-29,1.56,1.59,1.37,1.52,413029
2024-04-30,1.5,1.5798,1.395,1.45,316004
2024-05-01,1.45,1.62,1.45,1.48,528545
2024-05-02,1.55,1.59,1.45,1.55,120946
2024-05-03,1.54,1.58,1.49,1.55,115351
2024-05-06,1.53,1.59,1.46,1.51,242114
2024-05-07,1.6,1.6499,1.41,1.47,626880
2024-05-08,1.47,1.62,1.41,1.6,547187
2024-05-09,1.62,1.62,1.5,1.55,212201
2024-05-10,1.55,1.65,1.5,1.65,375323
2024-05-13,1.78,1.8,1.59,1.64,962923
2024-05-14,1.62,1.74,1.55,1.74,584280
2024-05-15,1.69,1.75,1.6,1.645,388980
2024-05-16,1.73,1.74,1.56,1.63,576839
2024-05-17,1.65,1.65,1.57,1.6,262158
2024-05-20,1.63,1.75,1.55,1.68,469995
2024-05-21,1.7,1.7249,1.55,1.59,519825
2024-05-22,1.65,1.65,1.45,1.5,938630
2024-05-23,1.54,1.54,1.35,1.38,510742
2024-05-24,1.4,1.41,1.2601,1.315,401593
2024-05-28,1.33,1.33,1.25,1.3,288565
2024-05-29,1.29,1.3,1.21,1.23,317483
2024-05-30,1.27,1.27,1.14,1.23,304418
2024-05-31,1.22,1.28,1.19,1.22,285640
2024-06-03,1.19,1.24,1.17,1.24,170758
2024-06-04,1.21,1.26,1.21,1.22,163004
2024-06-05,1.26,1.26,1.16,1.2,161047
2024-06-06,1.21,1.49,1.2,1.44,1032806.0
2024-06-07,1.44,1.44,1.25,1.27,510755
2024-06-10,1.29,1.4,1.25,1.39,256541
2024-06-11,1.35,1.45,1.31,1.33,430544
2024-06-12,1.37,1.44,1.29,1.34,588643
2024-06-13,1.35,1.37,1.24,1.25,330796
2024-06-14,1.28,1.3,1.25,1.3,228146
2024-06-17,1.25,1.32,1.25,1.28,194900
2024-06-18,1.29,1.29,1.2,1.25,243140
2024-06-20,1.29,1.29,1.2253,1.24,280392
2024-06-21,1.24,1.25,1.14,1.14,830344
2024-06-24,1.16,1.16,1.06,1.12,666948
2024-06-25,1.12,1.15,1.08,1.12,236725
2024-06-26,1.14,1.2,1.0901,1.14,562914
2024-06-27,1.12,1.13,1.08,1.11,258868
2024-06-28,1.13,1.2,1.1,1.19,715061
2024-07-01,1.2,1.23,1.1452,1.21,248402
2024-07-02,1.21,1.27,1.21,1.25,230672
2024-07-03,1.23,1.3,1.2,1.24,122684
2024-07-05,1.17,1.2399,1.16,1.21,150289
2024-07-08,1.2,1.21,1.12,1.14,132112
2024-07-09,1.11,1.15,1.08,1.11,168573
2024-07-10,1.12,1.1299,1.1,1.12,71771
2024-07-11,1.13,1.13,1.09,1.12,179164
2024-07-12,1.11,1.18,1.11,1.11,145765
2024-07-15,1.15,1.21,1.12,1.16,771993
2024-07-16,1.13,1.17,1.08,1.11,611726
2024-07-17,1.12,1.13,1.06,1.09,257625
2024-07-18,1.08,1.1,1.05,1.09,196197
2024-07-19,1.06,1.12,1.0505,1.08,152899
2024-07-22,1.1,1.11,1.04,1.0622,174992
2024-07-23,1.04,1.08,1.01,1.02,198566
2024-07-24,1,1.02,0.9669,0.9749,277863
2024-07-25,0.95,0.97,0.9,0.9101,146929
2024-07-26,0.9111,0.94,0.91,0.9181,89690
2024-07-29,0.94,0.982,0.9175,0.949,172448
2024-07-30,0.93,0.96,0.919,0.9272,42550
2024-07-31,0.91,0.96,0.87,0.88,182773
2024-08-01,0.8769,0.88,0.8499,0.861,141133
2024-08-02,0.834,0.8448,0.71,0.7403,237618
2024-08-05,0.594,0.67605,0.4915,0.571,420453
2024-08-06,0.57,0.703,0.5626,0.6822,491771
2024-08-07,0.7,0.73,0.6392,0.65,176006
2024-08-08,0.6343,0.75,0.6343,0.6976,236313
2024-08-09,0.709,0.744,0.68,0.690101,279305
2024-08-12,0.735,0.735,0.65,0.6928,89816
2024-08-13,0.73,0.7994,0.6882,0.7696,189012
2024-08-14,0.79,0.7994,0.7272,0.731,111819
2024-08-15,0.74,0.7547,0.71,0.7235,201581
2024-08-16,0.749,0.8588,0.7194,0.8194,125384
2024-08-19,0.82,0.8522,0.8,0.8304,141797
2024-08-20,0.836,0.882,0.6566,0.7499,633093
2024-08-21,0.74,0.8,0.73,0.7664,307674
2024-08-22,0.784,0.8,0.74,0.741,109822
2024-08-23,0.7511,0.7789,0.7401,0.7745,306854
2024-08-26,0.78,0.78,0.7371,0.7645,307838
2024-08-27,0.765,0.7946,0.74,0.7738,225072
2024-08-28,0.7645,0.76575,0.71,0.7133,68672
2024-08-29,0.7135,0.74,0.6715,0.7054,233720
2024-08-30,0.7,0.7053,0.6711,0.6711,148091
2024-09-03,0.695,0.695,0.55,0.6172,318117
