date,open,high,low,close,volume
2024-03-15,12.5,14,11.8,11.8,115214
2024-03-18,12.43,13.32,12.03,12.1468,57409
2024-03-19,12.5,12.5,10.92,11.19,54841
2024-03-20,11.19,11.19,9.78,9.926,18874
2024-03-21,10.27,10.99,9.78,9.88,17241
2024-03-22,9.9052,9.96,9.2,9.4011,19464
2024-03-25,8.62,9.6,8,8,18714
2024-03-26,8,8,7.2,7.705,14285
2024-03-27,7.64,7.8,6.9544,7,16203
2024-03-28,7,7.37,7,7.07,15706
2024-04-01,7.08,7.95,7,7.42,48207
2024-04-02,7.5,7.75,7.17,7.18,12747
2024-04-03,7.3,7.6843,7.23,7.23,22276
2024-04-04,7.3,8.172,7.3,7.64,6083
2024-04-05,8.04,8.04,7.61,7.65,9333
2024-04-08,7.88,8,7.5301,7.6,16193
2024-04-09,7.98,8,7.7,7.75,6936
2024-04-10,8.02,8.19,7.9,8.19,2346
2024-04-11,8.29,8.7894,8.2326,8.66,6068
2024-04-12,8.8,11,8.8,10.14,51665
2024-04-15,10.6,10.9827,10.3,10.77,12339
2024-04-16,10.8,11.09,10.025,10.22,15087
2024-04-17,10.22,10.22,9.15,9.605,6920
2024-04-18,9.6,10.55,9.6,9.61,27461
2024-04-19,9.88,9.88,5.85,6.43,95332
2024-04-22,7,9.27,7,7.55,35094
2024-04-23,7.94,8.425,7.3014,7.31,18909
2024-04-24,7.5,7.5,7.01,7.14,18008
2024-04-25,7.2,7.2402,6.8,6.95,12524
2024-04-26,7.0368,7.6899,6.91,6.95,18283
2024-04-29,6.95,7.25,6.911,7.0858,14998
2024-04-30,7,7.28,6.7,7.2,35354
2024-05-01,7.28,7.28,6.85,6.8893,8515
2024-05-02,6.81,7.28,6.81,7.2347,10287
2024-05-03,7,7.35,7,7.23,15806
2024-05-06,7.2001,7.45,6.95,7.44,26278
2024-05-07,7.5,7.5,7,7.09,48417
2024-05-08,7.325,7.51,6.9755,7.5,38451
2024-05-09,7.36,7.4899,7.0601,7.45,20835
2024-05-10,7.2,7.235,7.06,7.2019,8713
2024-05-13,7.35,7.5,6.95,7.13,32350
2024-05-14,7,7.05,6.45,6.45,41176
2024-05-15,6.91,6.91,6,6.07,85865
2024-05-16,6.01,6.35,6,6.11,46576
2024-05-17,6.42,6.42,5.86,6.05,33283
2024-05-20,6.25,6.49,6.11,6.185,21344
2024-05-21,6.5,6.5,6.19,6.44,16441
2024-05-22,6.46,7.2,6.19,6.36,138794
2024-05-23,6.58,6.86,5.85,6.1348,72184
2024-05-24,6.2,6.2699,5.88,6.13,20616
2024-05-28,6.35,6.3626,5.65,5.66,49651
2024-05-29,5.7,6.0399,5.7,5.97,36251
2024-05-30,6,6,5.75,5.76,38885
2024-05-31,6,6,5.76,5.9099,33624
2024-06-03,5.91,5.9899,5.74,5.9799,22350
2024-06-04,5.9899,6.33,5.65,6.0598,87593
2024-06-05,5.9847,6.46,5.5,5.5,90821
2024-06-06,5.62,5.8599,5.55,5.69,31611
2024-06-07,5.7945,6.02,5.45,5.6099,103963
2024-06-10,5.67,5.7,5.47,5.5755,25456
2024-06-11,5.5,5.5199,5.43,5.44,15363
2024-06-12,5.6,5.8,5.6,5.8,11764
2024-06-13,5.87,6.27,5.65,6.06,20500
2024-06-14,6,6.6,5.785,6.2,154080
2024-06-17,6,6.1999,5.75,5.84,46115
2024-06-18,5.8,5.81,5.32,5.3986,33378
2024-06-20,5.4,5.83,5.4,5.545,17766
2024-06-21,5.6,5.7399,4.8,4.8,27837
2024-06-24,5,5.03,4.5,4.6399,59855
2024-06-25,4.61,4.6699,4.5,4.55,17745
2024-06-26,4.54,4.5899,4.455,4.49,44416
2024-06-27,4.5,4.52,4.2,4.25,49955
2024-06-28,4.25,5.3,4.25,4.89,70332
2024-07-01,5.22,5.22,4.41,4.45,51277
2024-07-02,4.455,4.5199,4.36,4.38,11147
2024-07-03,4.35,4.4899,4.3,4.34,7413
2024-07-05,4.5,4.55,4.2765,4.41,35264
2024-07-08,4.35,4.53,4.33,4.4099,31322
2024-07-09,4.4,4.42,4.2001,4.201,32049
