date,open,high,low,close,volume
2024-03-01,9.3,10.43,8.95,10.07,638637
2024-03-04,10.25,10.5,9.73,10.14,463870
2024-03-05,10.1,10.18,9.19,9.3,210763
2024-03-06,9.31,9.6602,8.81,9,224121
2024-03-07,9.07,9.3597,8.85,9.1,211925
2024-03-08,9.1,9.19,8.33,8.33,333111
2024-03-11,8.54,8.62,7.81,7.93,317700
2024-03-12,9.01,9.04,6.585,7.11,1863397.0
2024-03-13,7,7.21,6.6209,6.8,420953
2024-03-14,6.85,6.99,6.11,6.75,493520
2024-03-15,6.58,6.9307,6.35,6.35,478056
2024-03-18,6.66,6.66,5.917,6.25,261445
2024-03-19,6.31,6.77,6.1,6.51,209857
2024-03-20,6.42,6.93,6.415,6.86,157907
2024-03-21,6.92,7.48,6.6764,7.28,177229
2024-03-22,7.18,7.47,7.17,7.43,174810
2024-03-25,7.38,8.18,7.25,7.78,324105
2024-03-26,7.79,8.37,7.62,7.68,262315
2024-03-27,7.72,7.99,7.1,7.2,154724
2024-03-28,7.17,7.97,6.9,7.4,244775
2024-04-01,5.79,7.74,5.7501,7.45,1913849.0
2024-04-02,7.08,7.4,6.5,6.74,376034
2024-04-03,6.8,7.59,6.53,7.35,272129
2024-04-04,7.5,7.84,7.3,7.48,152841
2024-04-05,7.45,7.82,7.21,7.36,110074
2024-04-08,7.38,7.73,7.31,7.64,121522
2024-04-09,7.68,7.7227,7.35,7.42,94392
2024-04-10,7.3,7.4,6.865,7,163557
2024-04-11,7.08,7.5459,6.625,6.86,179851
2024-04-12,6.97,7.045,6.45,6.51,319339
2024-04-15,6.67,7.18,6.54,6.65,105184
2024-04-16,6.62,6.935,6.4576,6.83,79971
2024-04-17,6.97,7.19,6.52,6.64,94811
2024-04-18,6.55,6.79,6.51,6.57,69626
2024-04-19,6.53,6.75,6.51,6.55,101592
2024-04-22,6.62,6.7748,6.3,6.54,120220
2024-04-23,6.47,6.79,6.47,6.55,145688
2024-04-24,6.84,6.84,6.0875,6.29,195510
2024-04-25,6.13,6.72,6.02,6.72,149795
2024-04-26,6.69,6.88,6.47,6.7,111862
2024-04-29,6.84,7.03,6.4679,6.98,116155
2024-04-30,7.03,7.03,6.68,6.76,98431
2024-05-01,6.78,6.85,6.57,6.7,107129
2024-05-02,6.77,6.77,6.29,6.51,136628
2024-05-03,6.69,6.69,6.5,6.51,86304
2024-05-06,6.51,6.67,6.33,6.34,160810
2024-05-07,6.45,6.45,6.25,6.36,138554
2024-05-08,6.29,6.34,6.02,6.06,191421
2024-05-09,6.12,6.4,6,6.22,139801
2024-05-10,6.3,6.41,6.1238,6.19,149240
2024-05-13,6.31,6.3162,6.02,6.1,180508
2024-05-14,6.27,6.77,6.1289,6.62,249211
2024-05-15,6.64,7.17,6.49,7.15,197452
2024-05-16,7.15,7.28,6.65,6.69,139708
2024-05-17,6.66,7.28,6.41,7.06,284560
2024-05-20,7.1,7.2,6.8,6.97,85991
2024-05-21,6.9,7.39,6.9,7.28,115573
2024-05-22,7.35,7.73,7.09,7.62,170501
2024-05-23,7.79,7.79,7.36,7.56,131058
2024-05-24,7.71,7.89,7.43,7.46,106523
2024-05-28,7.19,7.4291,6.55,6.57,348962
2024-05-29,6.5,6.9,6.36,6.76,104258
2024-05-30,6.76,6.9,6.56,6.72,53471
2024-05-31,6.8,6.8,6.4772,6.74,61167
2024-06-03,6.8,7,6.56,6.69,52935
2024-06-04,6.69,6.8,6.47,6.78,82515
2024-06-05,6.59,7.01,6.5015,6.9,119526
2024-06-06,6.85,7.05,6.47,6.47,126506
2024-06-07,6.43,6.57,6.04,6.16,114518
2024-06-10,6.14,6.54,6.11,6.5,107767
2024-06-11,6.44,6.44,5.58,5.58,275552
2024-06-12,5.85,6.2,5.705,6.1,159155
2024-06-13,6.11,6.3,5.86,5.92,119998
2024-06-14,5.92,6.18,5.58,5.64,104689
2024-06-17,5.7,5.74,5.27,5.42,120180
2024-06-18,5.38,5.46,5.17,5.38,124290
2024-06-20,5.39,5.5,5.25,5.36,750974
2024-06-21,5.32,5.3432,4.44,4.51,331200
2024-06-24,4.49,4.81,3.98,4.77,361829
2024-06-25,4.9,5,4.16,4.33,300784
2024-06-26,4.39,4.55,4.03,4.36,173942
2024-06-27,4.34,4.65,4.25,4.43,137527
2024-06-28,4.47,4.57,4.17,4.27,951197
2024-07-01,4.39,4.69,4.25,4.46,227524
2024-07-02,4.47,4.5799,4.3,4.44,96890
2024-07-03,4.49,4.7,4.32,4.47,101767
2024-07-05,4.38,4.58,4.32,4.44,155756
2024-07-08,4.47,4.48,4.3,4.32,144190
2024-07-09,4.31,4.59,4.3,4.32,131181
2024-07-10,4.46,4.61,4.3,4.47,157826
2024-07-11,4.61,4.74,4.53,4.68,140439
2024-07-12,4.75,4.85,4.42,4.58,130245
2024-07-15,4.6,4.82,4.41,4.5,202710
2024-07-16,4.5,4.82,4.42,4.75,331787
2024-07-17,4.69,4.92,4.65,4.72,151461
2024-07-18,4.55,4.695,4.27,4.3,120223
2024-07-19,4.3,4.3612,3.91,3.94,202697
2024-07-22,4.03,4.08,3.765,3.99,134379
2024-07-23,4.02,4.21,4,4.06,97573
2024-07-24,4.02,4.11,3.88,3.89,130192
2024-07-25,3.89,4.07,3.85,4.04,42562
2024-07-26,4.03,4.27,3.98,4.19,78463
2024-07-29,4.29,4.37,4.06,4.09,54857
2024-07-30,4.17,4.27,3.71,4.01,436253
2024-07-31,3.86,3.93,3.08,3.19,921939
2024-08-01,3.27,3.275,2.66,2.73,785419
