date,open,high,low,close,volume
2024-03-01,12.94,12.99,12.86,12.97,19264
2024-03-04,13,13.15,12.8716,13.05,28642
2024-03-05,13.09,13.17,13.01,13.17,12728
2024-03-06,13.19,13.42,13.01,13.01,50765
2024-03-07,13.05,13.295,12.25,12.35,24189
2024-03-08,12.73,13.26,12.6,13.1,51042
2024-03-11,13,13.18,12.2,12.28,45968
2024-03-12,12.23,13,12.23,12.35,35285
2024-03-13,12.5,12.67,12.36,12.52,36107
2024-03-14,12.61,12.61,12.16,12.3,43874
2024-03-15,12.2,12.7199,12.2,12.68,64785
2024-03-18,12.97,12.97,12.52,12.55,23168
2024-03-19,12.52,12.75,12.2,12.5,28211
2024-03-20,12.4,12.65,12.36,12.48,17097
2024-03-21,12.52,12.5586,12.315,12.34,19640
2024-03-22,12.34,12.38,12.2,12.21,20223
2024-03-25,12.26,12.9,12.26,12.7,34644
2024-03-26,12.76,12.95,12.73,12.82,18385
2024-03-27,12.92,13.1,12.71,12.88,47781
2024-03-28,12.92,13.139,12.84,12.84,22338
2024-04-01,12.97,13.05,12.865,12.91,41844
2024-04-02,12.83,12.88,12.5,12.52,17861
2024-04-03,12.53,12.855,12.53,12.65,29218
2024-04-04,12.81,12.99,12.72,12.83,19994
2024-04-05,12.72,12.8694,12.5301,12.55,19051
2024-04-08,12.61,12.9279,12.5501,12.71,16215
2024-04-09,12.73,12.745,12.55,12.55,10380
2024-04-10,12.5,12.6231,12.2,12.36,28036
2024-04-11,12.4,12.5721,12.2,12.28,18043
2024-04-12,12.25,12.53,12.2,12.2,20941
2024-04-15,12.3,12.47,11.99,12.01,40443
2024-04-16,12.1,12.1961,11.97,12.12,15588
2024-04-17,12.07,12.2,11.9901,12.12,13611
2024-04-18,12.08,12.3,12.08,12.13,17381
2024-04-19,12.13,12.49,12.1101,12.44,16233
2024-04-22,12.5,12.5,12.15,12.2,11307
2024-04-23,12.19,12.279,12.0401,12.23,10423
2024-04-24,12.14,12.22,12.01,12.13,16054
2024-04-25,12.1,12.39,12.06,12.25,25574
2024-04-26,12.26,12.5,12.04,12.19,12233
2024-04-29,12.47,12.7,12.47,12.7,26650
2024-04-30,12.7,12.7,12.24,12.24,22478
2024-05-01,12.26,12.75,12.1982,12.47,18985
2024-05-02,12.56,12.93,12.515,12.77,14470
2024-05-03,12.8,12.8,12.651,12.76,16945
2024-05-06,12.86,12.86,12.54,12.62,14192
2024-05-07,12.71,12.9499,12.6001,12.7,26089
2024-05-08,12.7,12.8885,12.7,12.83,10504
2024-05-09,12.9,12.97,12.5568,12.9,18639
2024-05-10,12.97,12.97,12.5,12.53,19936
2024-05-13,12.36,13.32,12.36,13.03,61003
2024-05-14,13.1,13.35,12.905,12.99,19966
2024-05-15,13,13.33,12.91,13.11,33117
2024-05-16,13.17,13.3473,13.0501,13.23,19981
2024-05-17,13.29,13.29,13.1071,13.19,13235
2024-05-20,13.22,13.26,13,13,14503
2024-05-21,13.1,13.3099,13,13.04,18981
2024-05-22,12.99,13.09,12.83,12.83,16399
2024-05-23,12.82,12.8499,12.315,12.32,17100
2024-05-24,12.39,12.47,12.31,12.47,13848
2024-05-28,12.55,12.68,12.4,12.63,19708
2024-05-29,12.55,12.69,12.46,12.5,19526
2024-05-30,12.58,12.7399,12.4601,12.64,18791
2024-05-31,12.73,12.9695,12.715,12.92,16865
2024-06-03,12.97,13.08,12.46,12.46,19387
2024-06-04,12.5,12.5,12.24,12.3,11445
2024-06-05,12.48,12.6,12.3101,12.5,18209
2024-06-06,12.4,12.73,12.3844,12.55,11500
2024-06-07,12.47,12.55,12.22,12.22,13101
2024-06-10,12.2,12.39,12.1939,12.27,23566
2024-06-11,12.25,12.4295,12.2,12.42,14311
2024-06-12,12.55,12.8,12.43,12.43,19371
2024-06-13,12.44,12.5,12.32,12.32,14088
2024-06-14,12.13,12.29,12.03,12.15,19200
2024-06-17,12.03,12.17,12,12.05,17983
2024-06-18,12.1,12.205,12,12,14979
2024-06-20,12,12.1499,12,12.07,12981
2024-06-21,12.11,12.11,12,12,35782
2024-06-24,12.12,12.29,12.07,12.07,12873
2024-06-25,12.08,12.23,12,12,25366
2024-06-26,12,12.08,12,12.03,17719
2024-06-27,12.05,12.37,12.05,12.22,21656
2024-06-28,12.33,12.39,12.1,12.1,62274
2024-07-01,12.14,12.43,12,12.14,25248
2024-07-02,12.1,12.35,11.95,12.08,28176
2024-07-03,12.17,12.17,11.97,12.02,8265
2024-07-05,12,12.13,11.76,11.86,33058
2024-07-08,11.95,12.08,11.94,12.01,12308
2024-07-09,11.95,11.9862,11.8,11.87,19239
2024-07-10,11.92,11.96,11.75,11.96,10039
2024-07-11,12,12,11.75,12,37242
2024-07-12,12,12.475,11.964,12.44,49668
2024-07-15,12.5,12.5,12.22,12.4,32788
2024-07-16,12.49,12.85,12.3213,12.84,43062
2024-07-17,12.62,13.2,12.36,13.08,43558
2024-07-18,12.99,13.2,12.79,12.79,27742
2024-07-19,12.87,12.87,12.72,12.75,14606
2024-07-22,12.84,13.02,12.7475,13.02,23038
2024-07-23,13.01,13.34,12.935,13.27,33410
2024-07-24,13.25,13.35,13,13.01,21009
2024-07-25,13.07,13.196,12.92,13,22535
2024-07-26,13.15,13.32,12.8,13.3,27461
2024-07-29,13.29,13.29,12.85,12.9,21938
2024-07-30,13,13.1,12.6801,13,19207
2024-07-31,12.99,13.08,12.68,12.93,32054
2024-08-01,12.91,13.015,12.75,12.83,17159
2024-08-02,12.53,12.9211,12.43,12.43,25267
2024-08-05,12.25,12.28,11.81,11.81,32993
2024-08-06,11.96,12.185,11.955,12.14,20924
2024-08-07,12.29,12.29,11.905,11.95,20634
2024-08-08,11.9,12.21,11.72,12.2,21849
2024-08-09,12.05,12.05,11.8101,11.96,10852
2024-08-12,12.05,12.14,11.7,11.8,14976
2024-08-13,11.8,11.9,11.5301,11.64,16501
2024-08-14,11.6,11.7,11.46,11.7,27712
2024-08-15,11.89,11.965,11.41,11.94,22764
2024-08-16,11.86,11.97,11.8,11.89,15507
2024-08-19,11.92,12.23,11.896,12.18,18334
2024-08-20,12.16,12.16,11.88,11.89,14196
2024-08-21,11.82,12.1,11.82,12.09,23122
2024-08-22,12.1,12.1,11.8201,11.88,13716
2024-08-23,11.91,12.29,11.8701,12.23,21269
2024-08-26,12.22,12.76,12,12.75,50498
2024-08-27,12.79,12.79,12.41,12.41,16944
2024-08-28,12.49,12.7999,12.4,12.58,21158
2024-08-29,12.63,12.6762,12.49,12.56,21986
2024-08-30,12.53,12.71,12.51,12.69,13646
2024-09-03,12.62,12.62,12,12.02,20820
2024-09-04,12.08,12.29,12.04,12.1,15956
2024-09-05,12.18,12.61,12.18,12.6,29912
2024-09-06,12.67,12.86,12.6101,12.75,32544
2024-09-09,12.66,12.85,12.525,12.58,21039
2024-09-10,12.1001,12.882,12.1001,12.85,17347
2024-09-11,12.77,12.882,12.7312,12.85,13242
2024-09-12,12.94,13,12.785,12.99,51314
2024-09-13,13.03,13.1357,13.02,13.08,26321
2024-09-16,13.06,13.17,12.9901,13.12,32502
2024-09-17,13.1,13.1499,12.99,13.05,16508
2024-09-18,13.05,13.1033,12.84,12.92,20878
2024-09-19,13.09,13.25,12.94,13.25,22614
2024-09-20,13.25,13.25,12.66,12.74,105773
2024-09-23,12.82,12.91,12.69,12.88,23228
2024-09-24,12.85,13,12.705,12.86,19464
2024-09-25,12.91,12.91,12.58,12.63,24086
