date,open,high,low,close,volume
2024-03-01,6.2712,6.8508,5.904,6.5928,62265.1667
2024-03-04,6.3948,6.8124,6,6.276,37196
2024-03-05,6.126,6.432,5.8824,6.0192,29146
2024-03-06,5.88,6.3,5.28,5.6688,81707.8333
2024-03-07,5.4,6.5988,5.052,6.1632,130365.0833
2024-03-08,6.31,6.545,5.33,6.325,300224
2024-03-11,6.37,6.5799,5.76,6,162675
2024-03-12,5.98,5.98,5.3,5.32,136276
2024-03-13,10.59,16.27,6.5,8.04,43556207.0
2024-03-14,9.2,9.74,7.63,8.6,1369733.0
2024-03-15,7.56,8.14,6.75,6.96,376920
2024-03-18,6.68,7.27,6.5003,6.71,294123
2024-03-19,6.5,6.8819,6.12,6.8,131417
2024-03-20,6.76,7.9,6.66,7.74,323444
2024-03-21,7.43,7.65,7.0601,7.37,89319
2024-03-22,7.1,7.18,5.92,6,177611
2024-03-25,6.35,6.6372,5.91,5.94,65255
2024-03-26,6.06,6.35,5.96,6.26,86408
2024-03-27,6.26,6.5199,6.02,6.14,54816
2024-03-28,6,6.23,6,6.14,28969
2024-04-01,6.03,6.32,5.9501,6.03,44915
2024-04-02,6.65,6.7,5.5,5.86,1406707.0
2024-04-03,5.65,6,5.4301,6,69266
2024-04-04,5.57,6.09,5.57,6,42678
2024-04-05,5.79,6.6,5.75,6.14,213469
2024-04-08,6.31,6.95,6.08,6.9,143443
2024-04-09,6.81,7.24,6.47,7.04,94163
2024-04-10,7.31,7.31,6.6,6.9,23452
2024-04-11,6.49,7.05,6.35,6.64,19898
2024-04-12,6.65,6.97,6.27,6.45,52857
2024-04-15,6.3,6.32,5.57,5.72,46449
2024-04-16,5.55,6.11,5.51,5.93,60549
2024-04-17,6.273,6.4,5.45,5.79,104156
2024-04-18,5.67,6.28,5.55,5.8,112095
2024-04-19,5.52,6.29,5.52,6.04,56000
2024-04-22,5.9,6.12,5.74,6.1,18714
2024-04-23,5.93,6.14,5.65,5.72,29192
2024-04-24,5.67,5.78,5.1,5.33,20413
2024-04-25,5.27,5.37,4.68,5.01,134141
2024-04-26,4.95,5.123,4.9071,4.99,10587
2024-04-29,4.97,5.2299,4.88,5.19,11635
2024-04-30,5.1,5.1,4.9,5.08,6348
2024-05-01,5.08,5.23,4.8751,4.89,13978
2024-05-02,4.71,4.71,4.45,4.5857,21424
2024-05-03,4.405,4.6599,4.3401,4.63,21133
2024-05-06,4.63,4.86,4.51,4.7,36416
2024-05-07,4.42,4.7,4.2,4.2,102059
2024-05-08,4.35,4.4,3.62,4.15,22795
2024-05-09,4.03,4.11,3.85,3.9,23157
2024-05-10,3.9,3.97,3.5201,3.58,29585
2024-05-13,3.55,3.77,3.25,3.76,51989
2024-05-14,3.67,3.98,3.565,3.86,37433
2024-05-15,3.86,3.8997,3.5,3.69,19811
2024-05-16,3.71,3.93,3.585,3.93,31606
2024-05-17,4.08,4.08,3.84,3.93,12705
2024-05-20,3.86,3.9,3.76,3.8,9941
2024-05-21,3.86,3.86,3.61,3.64,12792
2024-05-22,3.64,3.75,3.57,3.62,14318
2024-05-23,3.79,3.85,3.55,3.7,9725
2024-05-24,3.8294,3.8294,3.56,3.57,9038
2024-05-28,3.5,3.82,3.5,3.82,11308
2024-05-29,3.83,3.85,3.66,3.69,6866
2024-05-30,3.78,3.84,3.65,3.6628,3325
2024-05-31,3.75,3.8,3.75,3.75,3123
2024-06-03,4.0435,4.0435,3.6,4.01,7279
2024-06-04,3.89,3.89,3.74,3.82,4649
2024-06-05,3.86,3.89,3.65,3.71,4438
2024-06-06,3.58,3.7584,3.58,3.6111,5956
2024-06-07,3.76,3.76,3.53,3.65,5952
2024-06-10,3.65,3.66,3.5,3.5,9674
2024-06-11,3.5,3.64,3.33,3.33,7543
2024-06-12,3.49,3.6199,3.25,3.52,15901
2024-06-13,3.5103,3.93,3.5101,3.69,22113
2024-06-14,3.69,3.75,3.57,3.655,3766
2024-06-17,3.61,3.7,3.56,3.63,4835
2024-06-18,3.785,3.785,3.43,3.46,5900
2024-06-20,3.43,3.4602,3.0001,3.17,16861
2024-06-21,3.23,3.23,2.95,2.95,12119
2024-06-24,2.89,3.01,2.8,2.8,7517
2024-06-25,3.04,3.2381,2.9,2.9,6633
2024-06-26,3.2599,3.2599,2.66,2.66,4886
2024-06-27,2.98,2.98,2.752,2.76,8136
2024-06-28,2.74,2.78,2.7,2.78,7696
2024-07-01,2.78,2.78,2.73,2.73,3150
2024-07-02,2.73,2.73,2.7,2.7059,1631
2024-07-03,2.6802,2.6802,2.64,2.64,2585
2024-07-05,2.7418,2.7999,2.5,2.585,9679
2024-07-08,2.65,2.79,2.59,2.738,8508
2024-07-09,2.795,3.1996,2.61,2.67,105250
2024-07-10,3,3.17,2.21,2.56,5816657.0
2024-07-11,2.4,2.47,2.12,2.33,289073
2024-07-12,2.24,2.4828,2.16,2.33,169664
2024-07-15,2.26,2.52,2.16,2.3,143412
2024-07-16,2.18,2.3,2.09,2.22,101079
2024-07-17,2.2169,2.2169,2.11,2.15,43204
2024-07-18,2.11,2.16,2.1,2.14,30778
2024-07-19,2.08,2.13,2.06,2.11,18072
2024-07-22,2.1154,2.54,2.1154,2.34,176685
2024-07-23,2.23,2.39,2.2,2.31,60506
2024-07-24,2.38,2.4399,1.9274,2.13,703037
2024-07-25,2.02,2.1,2.02,2.04,50700
2024-07-26,2.1,2.38,2.05,2.27,116837
2024-07-29,2.16,2.17,2.01,2.0501,64875
2024-07-30,2.11,2.2599,2.0629,2.15,161537
