date,open,high,low,close,volume
2024-03-05,0.0264,0.0264,0.0264,0.0264,3000
2024-03-26,0.0464,0.0464,0.0464,0.0464,1005
2024-04-04,0.0401,0.0401,0.0401,0.0401,400
2024-05-07,0.053,0.053,0.0407,0.0407,4090
2024-05-13,0.05,0.05,0.05,0.05,150
2024-05-16,0.0562,0.0562,0.0562,0.0562,125
2024-05-24,0.057,0.0598,0.057,0.0598,1000
2024-06-03,0.0407,0.05,0.04,0.05,52386
2024-06-04,0.0455,0.0483,0.04,0.0401,326546
2024-06-05,0.0395,0.0401,0.0374,0.0401,83100
2024-06-07,0.0392,0.0394,0.0301,0.0301,109236
2024-06-12,0.0301,0.0302,0.0301,0.0301,37512
2024-06-13,0.0535,0.0535,0.0356,0.0356,2421
2024-06-17,0.0399,0.0399,0.0399,0.0399,500
2024-06-18,0.0399,0.0399,0.0399,0.0399,240
2024-06-20,0.04,0.04,0.04,0.04,3689
2024-06-24,0.04,0.04,0.035,0.035,20100
2024-06-25,0.04,0.04,0.04,0.04,18050
2024-07-02,0.04,0.04,0.04,0.04,15000
2024-07-08,0.04,0.04,0.04,0.04,5000
2024-07-10,0.0375,0.0375,0.03,0.0375,17952
2024-07-16,0.05,0.05,0.05,0.05,700
2024-07-18,0.0567,0.0598,0.0567,0.0597,1040
2024-07-19,0.0595,0.0595,0.0595,0.0595,550
2024-07-22,0.0565,0.0565,0.0565,0.0565,117
2024-08-01,0.0441,0.0441,0.0441,0.0441,250
2024-08-08,0.0595,0.0595,0.0595,0.0595,111
2024-08-13,0.05979,0.05979,0.05979,0.05979,1500
2024-08-16,0.06,0.0773,0.04,0.04,62937
2024-08-19,0.036,0.036,0.03,0.03,42200
2024-08-20,0.0364,0.0483,0.017626,0.02,106223
2024-08-21,0.0314,0.0553,0.0151,0.01529,27818
2024-08-22,0.0434,0.0484,0.015,0.0202,26622
2024-08-23,0.045,0.0496,0.0175,0.0284,12456
2024-08-26,0.0251,0.0443,0.0197,0.0197,12960
2024-08-27,0.0203,0.026,0.0179,0.0199,275638
2024-08-29,0.02,0.02,0.0175,0.0175,18100
2024-08-30,0.02,0.025,0.02,0.025,104796
2024-09-04,0.025,0.025,0.025,0.025,201
2024-09-05,0.025,0.025,0.025,0.025,3301
2024-09-06,0.0273,0.0298,0.025,0.025,217814
2024-09-16,0.025,0.025,0.0201,0.0203,41142
2024-09-17,0.0241,0.025,0.02,0.02,21200
2024-09-18,0.025,0.025,0.025,0.025,18840
2024-09-19,0.0279,0.0369,0.0279,0.0369,200
2024-09-26,0.025,0.025,0.025,0.025,209
2024-10-02,0.025,0.0269,0.025,0.025,124248
2024-10-03,0.0248,0.0271,0.02,0.02,22746
2024-10-09,0.025,0.025,0.025,0.025,396
2024-10-15,0.0196,0.0224,0.0195,0.0224,1077
2024-10-16,0.025,0.025,0.025,0.025,5000
2024-10-25,0.0231,0.0239,0.0175,0.0175,20453
2024-10-30,0.017,0.017,0.016,0.016,2694
2024-11-05,0.0169,0.0169,0.011,0.0116,9806
2024-11-06,0.0112,0.0181,0.0112,0.0114,400
2024-11-12,0.0183,0.02,0.011,0.0111,30201
2024-11-13,0.0199,0.02,0.011172,0.011172,16746
2024-11-14,0.0112,0.0198,0.0112,0.0198,620
2024-11-18,0.0199,0.025,0.0112,0.014,20702
2024-11-19,0.0126,0.0224,0.0125,0.0224,514
2024-11-20,0.0146,0.0146,0.0127,0.0127,864
2024-11-21,0.0127,0.0127,0.0112,0.0127,29510
2024-12-06,0.0116,0.0116,0.0116,0.0116,2600
2024-12-10,0.0117,0.0117,0.0117,0.0117,15000
2024-12-11,0.0116,0.0205,0.01,0.0113,584877
2024-12-12,0.0111,0.0112,0.0111,0.0112,440
