date,open,high,low,close,volume
2024-03-01,13.15,13.84,13.15,13.37,1579213.0
2024-03-04,13.435,13.48,13.07,13.1,977273
2024-03-05,12.96,13.175,12.84,12.96,1162945.0
2024-03-06,12.98,13.105,12.87,12.98,1092944.0
2024-03-07,12.92,13.06,12.74,12.93,1022738.0
2024-03-08,13.06,13.22,12.98,13.06,1018612.0
2024-03-11,13.04,13.185,12.945,13.02,742969
2024-03-12,13.09,13.24,12.945,12.96,949862
2024-03-13,12.89,13.06,12.73,12.94,1005390.0
2024-03-14,12.95,13.01,12.785,12.86,864692
2024-03-15,12.8,13.03,12.35,12.55,1784101.0
2024-03-18,12.45,12.57,12.355,12.4,1343413.0
2024-03-19,12.35,12.67,12.32,12.63,982747
2024-03-20,12.63,12.94,12.395,12.93,1310632.0
2024-03-21,12.98,13.615,12.9,13.3,1571626.0
2024-03-22,13.26,13.39,13.09,13.19,913287
2024-03-25,13.2,13.405,12.89,12.95,804939
2024-03-26,13.05,13.36,13.05,13.08,869168
2024-03-27,13.16,13.54,13.15,13.52,1217048.0
2024-03-28,13.52,13.6,13.35,13.44,979083
2024-04-01,13.47,13.68,12.93,13.06,1293321.0
2024-04-02,12.94,13.11,12.87,12.91,1087156.0
2024-04-03,12.79,13.385,12.79,13.3,1055874.0
2024-04-04,13.5,13.53,12.99,13.04,1147847.0
2024-04-05,13,13.07,12.825,12.94,797843
2024-04-08,12.98,13.15,12.96,13.14,635517
2024-04-09,12.21,12.36,10.905,11.22,6596285.0
2024-04-10,11.1,11.315,10.9201,10.94,5193488.0
2024-04-11,11.02,11.02,10.53,10.91,3200518.0
2024-04-12,10.76,10.84,10.47,10.56,3287684.0
2024-04-15,10.59,10.65,10.27,10.33,2500947.0
2024-04-16,10.26,10.34,10.1,10.23,1726710.0
2024-04-17,10.25,10.4,9.98,10.03,1744789.0
2024-04-18,10.01,10.115,9.925,9.99,1692813.0
2024-04-19,9.93,10.02,9.62,9.68,1784881.0
2024-04-22,9.78,9.805,9.525,9.7,1862947.0
2024-04-23,9.64,9.83,9.53,9.58,1597790.0
2024-04-24,9.57,9.6,9.33,9.43,1691311.0
2024-04-25,9.28,9.355,9.125,9.2,2759442.0
2024-04-26,9.22,9.55,9.1,9.2,7516904.0
2024-04-29,9.34,9.53,9.165,9.4,2297163.0
2024-04-30,11.85,12.11,10.5,10.74,7107720.0
2024-05-01,10.7,11.4,10.6,11.09,3064498.0
2024-05-02,11.12,11.2088,10.815,11.1,1988467.0
2024-05-03,11.3,11.3,10.91,10.96,1946281.0
