date,open,high,low,close,volume
2024-03-01,0.1114,0.1336,0.1114,0.121,43600
2024-03-04,0.1298,0.1298,0.1021,0.1197,48072
2024-03-05,0.11,0.1111,0.101,0.11,43126
2024-03-06,0.123,0.13899,0.1049,0.11485,52391
2024-03-07,0.1148,0.120038,0.1004,0.1049,44431
2024-03-08,0.1049,0.11,0.099,0.099,17898
2024-03-11,0.109,0.109,0.09,0.0998,55084
2024-03-12,0.102,0.1375,0.086,0.1,289838
2024-03-13,0.114,0.13,0.1011,0.1067,520868
2024-03-14,0.1112,0.12,0.1032,0.103249,348252
2024-03-15,0.11,0.112491,0.1,0.1018,33650
2024-03-18,0.108,0.112,0.091,0.094175,43078
2024-03-19,0.0942,0.1025,0.0831,0.0882,77439
2024-03-20,0.084,0.1,0.084,0.0969,13960
2024-03-21,0.0969,0.1043,0.085,0.085,151255
2024-03-22,0.0868,0.1044,0.083,0.098,98449
2024-03-25,0.09,0.09,0.082,0.082,13475
2024-03-26,0.082,0.0987,0.082,0.0822,48034
2024-03-27,0.095,0.095,0.0755,0.0843,38231
2024-03-28,0.085,0.09,0.083,0.0865,39299
2024-04-01,0.087,0.0981,0.087,0.0955,74754
2024-04-02,0.095,0.1,0.0876,0.0929,90031
2024-04-03,0.09,0.09,0.08,0.09,264124
2024-04-04,0.0975,0.0975,0.082201,0.0879,78546
2024-04-05,0.09,0.0963,0.081,0.085,84207
2024-04-08,0.0811,0.0918,0.075,0.0801,58994
2024-04-09,0.088,0.088,0.0751,0.08,10250
2024-04-10,0.07661,0.08,0.0759,0.0799,13416
2024-04-11,0.0766,0.0766,0.075,0.0751,8832
2024-04-12,0.0846,0.0846,0.072,0.072,39964
2024-04-15,0.0711,0.0751,0.065,0.065,50985
2024-04-16,0.0661,0.0675,0.065,0.0675,23807
2024-04-17,0.063,0.0751,0.06,0.075,25676
2024-04-18,0.11,0.11,0.0752,0.0801,199628
2024-04-19,0.072,0.0859,0.0615,0.0651,56360
2024-04-22,0.0888,0.0888,0.072,0.085814,23180
2024-04-23,0.08,0.08,0.0624,0.079,55798
2024-04-24,0.0766,0.0766,0.0624,0.065,8106
2024-04-25,0.0699,0.1,0.0651,0.08,174617
2024-04-26,0.0799,0.08495,0.0712,0.078,15577
2024-04-29,0.078,0.0888,0.072,0.0722,46071
