date,open,high,low,close,volume
2024-03-01,32.1,32.15,30.66,32.11,436254
2024-03-04,32.21,32.21,30.8,30.87,324912
2024-03-05,30.69,31.11,30.01,30.75,356085
2024-03-06,31.01,31.23,30.21,30.68,281534
2024-03-07,30.74,31.34,30.6968,31.04,232659
2024-03-08,31.27,32,30.97,31.09,229647
2024-03-11,31.09,31.19,30.31,30.78,304145
2024-03-12,30.67,31.63,29.35,30.42,707099
2024-03-13,30.35,30.82,29.7,29.93,480789
2024-03-14,29.97,31.505,29.355,31.36,555134
2024-03-15,31.08,32.06,30.93,31.98,2000552.0
2024-03-18,31.67,32.45,31.37,31.59,367875
2024-03-19,31.52,32.775,31.36,32.33,246162
2024-03-20,32.46,34.03,32.205,33.645,280821
2024-03-21,33.95,34.44,33.47,33.55,421187
2024-03-22,33.55,33.55,33.01,33.31,158696
2024-03-25,33.49,33.93,32.5301,32.6,214137
2024-03-26,32.82,32.82,31.76,32.02,221861
2024-03-27,32.41,33.62,32.21,33.52,258186
2024-03-28,33.52,33.98,32.62,33.58,303550
2024-04-01,34.08,34.08,32.02,33.01,269125
2024-04-02,32.5,32.99,32.13,32.7,285360
2024-04-03,32.71,33.66,31.67,31.7,378746
2024-04-04,31.93,32.27,31.15,31.23,340005
2024-04-05,31.29,31.33,30.42,30.65,330741
2024-04-08,30.6,30.9,28.63,29.84,985274
2024-04-09,29.94,31.28,29.6801,30.86,392475
2024-04-10,29.99,30.37,28.95,29.37,361527
2024-04-11,30.01,31.3,29.5,31.26,418675
2024-04-12,31.4,31.4,29.03,29.5,415639
2024-04-15,29.66,30.55,29.3,29.52,338775
2024-04-16,29.54,30.655,29.36,29.78,308177
2024-04-17,30.07,30.07,29.12,29.19,362366
2024-04-18,29.05,29.69,28.9,29.03,400109
2024-04-19,28.75,29.54,28.75,29.4,377455
2024-04-22,29.31,29.675,28.8,29.35,296254
2024-04-23,29.52,30,28.69,28.85,422963
2024-04-24,28.68,29.54,28.68,29.23,370881
2024-04-25,28.88,28.98,28.14,28.93,301056
2024-04-26,29,30.14,29,29.32,373028
2024-04-29,29.55,29.865,29.19,29.25,520264
2024-04-30,31.65,34.4,30.85,30.91,1729298.0
2024-05-01,30.42,30.7129,29.62,30.27,779666
2024-05-02,30.92,31.82,30.34,31.69,659323
2024-05-03,31.79,32.37,31.17,31.57,544529
2024-05-06,31.71,32.02,30.77,30.9,318750
2024-05-07,31.1,31.79,31.1,31.36,269095
2024-05-08,31.16,31.77,31,31.7,450628
2024-05-09,31.81,31.81,31.25,31.28,317512
2024-05-10,31.45,31.5699,30.1,30.14,246692
2024-05-13,30.43,30.94,30.12,30.22,269387
2024-05-14,30.79,31.32,29.37,29.86,293387
2024-05-15,30.46,30.6,29.445,29.7,291267
2024-05-16,29.77,29.9,29.1,29.31,338080
2024-05-17,29.3,29.56,28.8701,29.03,330079
2024-05-20,29.27,29.82,28.9,29.72,374191
2024-05-21,29.56,30.13,29.445,29.65,329251
2024-05-22,29.53,30.495,29.26,30.19,283261
2024-05-23,30.39,30.39,29.11,29.35,203468
2024-05-24,29.59,30.11,29.05,29.95,228175
2024-05-28,30.08,30.08,29.25,29.42,234345
2024-05-29,29.18,29.45,28.57,29.33,260184
2024-05-30,29.42,30.29,28.86,28.87,292707
2024-05-31,29.07,29.8468,29.07,29.4,245668
2024-06-03,29.66,30.26,29.49,29.98,216253
2024-06-04,30,30.28,29.43,29.71,194129
2024-06-05,29.98,30.1603,29.22,29.88,192444
2024-06-06,29.88,30.57,29.1,30.52,209482
2024-06-07,30.49,30.57,29.88,30.5,211590
2024-06-10,29.81,30.08,29.08,29.92,268253
