date,open,high,low,close,volume
2024-03-01,5.03,5.03,4.56,4.56,51895
2024-03-04,6.66,6.98,5.2,5.8,8209574.0
2024-03-05,5.74,6.5,5.4201,5.67,356851
2024-03-06,5.56,5.96,5.3901,5.73,80891
2024-03-07,5.69,6,5.6401,6,38183
2024-03-08,6.05,6.05,5.8701,5.92,14448
2024-03-11,5.9,6.17,5.88,6.08,16543
2024-03-12,5.97,6.06,5.83,5.925,12336
2024-03-13,5.9,5.94,5.63,5.83,18461
2024-03-14,5.83,5.91,5.5,5.5001,11600
2024-03-15,5.885,5.885,5.4421,5.71,8263
2024-03-18,5.86,5.86,5.5301,5.81,10176
2024-03-19,5.85,5.85,5.5844,5.67,24891
2024-03-20,5.67,5.8411,5.5762,5.68,11589
2024-03-21,5.67,6.0541,5.67,5.86,13642
2024-03-22,5.73,5.7915,5.63,5.7915,5061
2024-03-25,5.92,5.92,5.69,5.69,2791
2024-03-26,5.59,5.6556,5.5,5.58,17339
2024-03-27,5.57,5.84,5.57,5.6,4967
2024-03-28,5.6234,5.9,5.58,5.83,10697
2024-04-01,5.6,5.8339,5.58,5.6201,5965
2024-04-02,5.63,5.8313,5.6,5.66,7057
2024-04-03,7.04,7.188,5.9266,6.48,5719419.0
2024-04-04,6.12,6.46,5.75,6.15,183100
2024-04-05,5.84,6.15,5.66,6.13,83976
2024-04-08,5.71,6.79,5.71,6.11,104268
2024-04-09,6.355,6.5,5.73,5.98,91082
2024-04-10,6,6,5.81,5.87,9094
2024-04-11,5.92,6.1,5.8591,6,38117
2024-04-12,6,6.17,5.85,6.17,10067
2024-04-15,6.08,6.08,5.801,5.82,19941
2024-04-16,5.53,5.6,5.19,5.32,26552
2024-04-17,5.2,5.33,5.15,5.18,16475
2024-04-18,5.15,5.165,5.1001,5.11,6642
2024-04-19,5,5.19,5,5.145,4520
2024-04-22,5.1,5.1,4.9,5.075,8376
2024-04-23,4.94,5.07,4.76,4.98,4077
2024-04-24,4.81,4.9,4.56,4.815,17231
2024-04-25,4.84,4.8499,4.44,4.44,13586
2024-04-26,4.43,4.6892,4.42,4.5,5124
2024-04-29,4.42,4.5,4.05,4.09,44291
2024-04-30,4.01,4.2,3.99,3.99,9203
2024-05-01,3.96,3.96,3.47,3.6,46530
2024-05-02,3.61,3.68,2.5,2.66,197127
2024-05-03,3.59,3.61,2.35,2.87,12265232.0
2024-05-06,2.72,3.21,2.27,2.42,1340493.0
2024-05-07,2.14,2.2,1.75,1.8,1511264.0
2024-05-08,1.96,1.96,1.6601,1.79,1337859.0
2024-05-09,1.81,1.83,1.63,1.7,279500
