date,open,high,low,close,volume
2024-03-01,27.5,27.72,27.1,27.14,165009
2024-03-04,27.07,27.35,26.885,26.97,54734
2024-03-05,26.93,26.93,26.4,26.49,55394
2024-03-06,26.62,26.71,26.25,26.43,92774
2024-03-07,26.61,27.085,26.61,26.75,93971
2024-03-08,26.84,26.98,26.36,26.47,86327
2024-03-11,26.45,27.02,26.25,26.7,111518
2024-03-12,26.72,26.72,26.36,26.45,150588
2024-03-13,26.36,26.58,26.01,26.09,125364
2024-03-14,26,26.02,25.52,25.57,143008
2024-03-15,25.53,26.08,25.48,25.83,263755
2024-03-18,25.73,26.22,25.6,26.1,140207
2024-03-19,26.1,27.03,26.1,26.59,115097
2024-03-20,26.5,27.03,26.35,26.79,104763
2024-03-21,26.89,26.94,26.545,26.6,120535
2024-03-22,26.7,26.71,26.38,26.43,72012
2024-03-25,26.52,26.6625,26.01,26.06,56597
2024-03-26,26.26,26.44,26.14,26.17,88528
2024-03-27,26.33,26.485,25.89,25.96,90773
2024-03-28,26.08,26.76,25.54,26.66,241703
2024-04-01,26.69,26.69,26.13,26.14,87428
2024-04-02,26.1,26.1,25.64,25.91,114558
2024-04-03,25.74,25.99,25.42,25.61,88601
2024-04-04,25.73,26.06,25.42,25.42,80179
2024-04-05,25.46,25.46,25.05,25.15,43770
2024-04-08,25.16,25.3829,25.16,25.21,51476
2024-04-09,25.3,25.46,24.88,25.35,142952
2024-04-10,25.15,25.17,24.66,24.85,107468
2024-04-11,24.94,25.125,24.84,24.89,73147
2024-04-12,24.91,24.925,24.65,24.76,90440
2024-04-15,24.92,25.0925,24.52,24.58,66718
2024-04-16,24.56,24.68,24.16,24.67,82634
2024-04-17,24.88,24.9,24.41,24.47,103136
2024-04-18,24.45,24.52,23.92,23.99,164750
2024-04-19,23.95,24.97,23.95,24.84,265858
2024-04-22,24.78,24.88,24.01,24.11,152491
2024-04-23,24.6,26.84,24.6,26.41,320565
2024-04-24,26.36,26.36,25.665,25.92,206065
2024-04-25,25.7,26.005,25.3882,25.92,117548
2024-04-26,25.96,25.975,25.57,25.61,178306
2024-04-29,25.79,26.025,25.66,25.97,105058
2024-04-30,25.83,25.89,25.61,25.77,76843
2024-05-01,25.92,26.27,25.52,26.07,117980
2024-05-02,26.2,27.06,25.995,27.01,121023
2024-05-03,27.07,27.2,26.67,27.03,103045
2024-05-06,27.03,27.14,26.81,26.81,81381
2024-05-07,26.84,27.2,26.84,26.94,99754
2024-05-08,26.75,27.13,26.725,27.13,265423
2024-05-09,27.14,27.15,26.785,27.15,129189
2024-05-10,27.02,27.13,26.58,26.77,154355
2024-05-13,26.97,27.2,26.83,26.92,82204
2024-05-14,27.19,27.77,26.94,27.26,242768
2024-05-15,27.47,27.63,27.15,27.26,90052
2024-05-16,27.2,27.375,27.15,27.33,54532
2024-05-17,27.42,27.42,27.1,27.39,65564
2024-05-20,27.46,27.8393,27.31,27.5,75735
2024-05-21,27.42,27.52,27.31,27.42,43863
2024-05-22,27.38,27.405,27.03,27.28,86645
2024-05-23,27.34,27.34,26.6001,26.99,75217
2024-05-24,27.05,27.2875,26.885,27.08,74123
2024-05-28,27.08,27.19,26.91,27.11,99274
2024-05-29,26.97,27.31,26.94,27.03,63616
2024-05-30,27.02,27.25,26.97,27.17,73697
2024-05-31,27.17,27.33,27.1,27.29,78351
2024-06-03,27.48,27.6,27.25,27.47,79920
2024-06-04,27.33,27.59,27.24,27.47,68470
2024-06-05,27.49,27.65,27.235,27.65,73063
2024-06-06,27.37,28.18,27.37,28.13,109097
2024-06-07,27.89,28.125,27.66,27.75,108821
2024-06-10,27.52,27.95,27.25,27.92,77500
2024-06-11,27.78,28.045,27.625,27.98,73135
2024-06-12,28.17,28.39,28.01,28.13,82404
2024-06-13,28.05,28.27,27.53,27.7,92015
2024-06-14,27.63,27.705,27.34,27.69,79375
2024-06-17,27.69,27.81,27.43,27.7,75846
2024-06-18,27.64,27.775,27.54,27.6,62661
2024-06-20,27.46,27.62,27.45,27.58,76359
2024-06-21,27.66,27.9,27.5038,27.7,291316
2024-06-24,27.81,28.11,27.74,27.99,73198
2024-06-25,27.89,28.1,27.82,28.09,115342
2024-06-26,27.96,28.19,27.71,27.82,114550
2024-06-27,27.92,27.94,27.61,27.85,86222
2024-06-28,27.95,28.08,27.51,27.9,421162
2024-07-01,27.87,28,27.505,27.57,90565
2024-07-02,27.7,27.805,27.3862,27.75,88455
2024-07-03,27.58,27.85,27.45,27.6,32277
2024-07-05,27.46,27.46,27.11,27.19,62521
2024-07-08,27.36,27.83,27.32,27.79,107559
2024-07-09,27.87,28.03,27.48,27.65,154165
2024-07-10,27.67,27.9399,27.55,27.88,67241
2024-07-11,28.34,28.46,27.975,28.39,149891
2024-07-12,28.4,28.9,28.36,28.66,99869
2024-07-15,28.72,28.99,28.63,28.74,115203
2024-07-16,29.02,30.24,29.02,30.19,124045
2024-07-17,30.06,31.13,29.98,30.84,145779
2024-07-18,30.63,31.15,30.17,30.34,97532
2024-07-19,30.41,30.475,30.08,30.38,104608
2024-07-22,30.39,30.75,30.1244,30.7,77477
2024-07-23,29.69,30.84,28.895,29.46,191139
2024-07-24,29.51,30.14,29.13,29.14,143032
2024-07-25,29.19,29.74,28.77,28.77,116730
2024-07-26,29.14,29.42,29.011,29.34,170081
2024-07-29,29.34,29.91,29.34,29.41,127858
2024-07-30,29.41,29.51,29.07,29.21,243668
2024-07-31,29.38,30.28,29.06,29.71,130978
2024-08-01,29.68,30,29.3044,29.88,166189
2024-08-02,29.05,29.6,29.05,29.25,101697
2024-08-05,28.35,28.35,27.65,28.11,114706
2024-08-06,27.96,28.29,27.83,28.05,94320
2024-08-07,28.23,28.54,27.64,27.8,73959
2024-08-08,27.99,28.12,27.53,28.04,62258
2024-08-09,28.05,28.27,27.88,27.99,242974
2024-08-12,27.9,27.93,27.48,27.52,64165
2024-08-13,27.68,27.6878,27.255,27.44,86268
2024-08-14,27.52,27.72,27.15,27.65,106828
2024-08-15,28.1,28.138,27.75,27.83,65011
2024-08-16,27.79,28.055,27.57,27.87,67687
2024-08-19,27.98,28.81,27.96,28.76,159910
2024-08-20,28.84,28.84,28.065,28.3,77797
2024-08-21,28.51,28.6499,28.07,28.17,157734
2024-08-22,28.15,28.39,28,28.21,113737
