date,open,high,low,close,volume
2024-03-01,0.021,0.021,0.0159,0.0159,7403
2024-03-04,0.0221,0.0229,0.0161,0.0229,62732
2024-03-05,0.026,0.026,0.0164,0.0164,9561
2024-03-06,0.0269,0.0269,0.0166,0.0167,14164
2024-03-07,0.0246,0.0246,0.0165,0.0165,2878
2024-03-08,0.0205,0.0205,0.0175,0.0175,2006
2024-03-11,0.023,0.023,0.0165,0.0166,104760
2024-03-12,0.0175,0.0175,0.01455,0.0151,55640
2024-03-13,0.0175,0.0175,0.0137,0.0137,96008
2024-03-14,0.0165,0.0165,0.0133,0.0137,49667
2024-03-15,0.0155,0.0155,0.0123,0.0143,54769
2024-03-18,0.0195,0.0195,0.0115,0.015,117550
2024-03-19,0.019,0.019,0.0155,0.0179,1977
2024-03-20,0.01665,0.0184,0.01665,0.0182,4490
2024-03-21,0.0174,0.0174,0.0167,0.0167,15533
2024-03-22,0.0169,0.0183,0.0131,0.01625,29469
2024-03-25,0.018,0.018,0.0127,0.013,94854
2024-03-26,0.0162,0.0162,0.013,0.013,6102
2024-03-27,0.018,0.018,0.013501,0.0138,4217
2024-03-28,0.0179,0.0179,0.0119,0.0162,15705
2024-04-01,0.017,0.017,0.012,0.012,4416
2024-04-02,0.0169,0.0169,0.0125,0.0125,6220
2024-04-03,0.0168,0.0168,0.0158,0.0158,9586
2024-04-04,0.016,0.025099,0.016,0.024,218208
2024-04-05,0.0214,0.0387,0.02099,0.0297,1091227.0
2024-04-08,0.022,0.0311,0.022,0.0268,146597
2024-04-09,0.0229,0.0275,0.02,0.024899,98446
2024-04-10,0.018,0.0298,0.0162,0.0291,39252
2024-04-11,0.0292,0.029301,0.0235,0.0236,24487
2024-04-12,0.0322,0.0349,0.026,0.031661,108098
2024-04-15,0.038,0.0521,0.0267,0.0419,935110
2024-04-16,0.042,0.0455,0.027,0.0364,277062
2024-04-17,0.038,0.038,0.0281,0.0284,131640
2024-04-18,0.0272,0.0272,0.0205,0.0249,151684
2024-04-19,0.027,0.027099,0.025,0.025,55189
2024-04-22,0.027049,0.0292,0.025,0.0275,22598
2024-04-23,0.0212,0.028,0.017,0.022,100249
2024-04-24,0.0239,0.0239,0.0153,0.02389,9356
2024-04-25,0.0199,0.02389,0.0199,0.02369,3180
2024-04-26,0.0209,0.0235,0.0154,0.020899,50433
2024-04-29,0.02099,0.02099,0.0157,0.0199,21213
