date,open,high,low,close,volume
2024-03-01,1.9,1.99,1.8702,1.96,128969
2024-03-04,1.99,2.04,1.95,1.98,145599
2024-03-05,2.01,2.03,1.96,1.97,62809
2024-03-06,1.97,2.26,1.97,2.24,462358
2024-03-07,2.25,2.4463,2.1915,2.28,279223
2024-03-08,2.28,2.3137,2.2403,2.28,207189
2024-03-11,2.3,2.45,2.25,2.27,170236
2024-03-12,2.27,2.3,2.2,2.24,102008
2024-03-13,2.27,2.37,2.2,2.32,172885
2024-03-14,2.32,2.35,2.245,2.33,127667
2024-03-15,2.33,2.51,2.2601,2.49,145668
2024-03-18,2.45,2.52,2.34,2.44,130000
2024-03-19,2.39,2.52,2.35,2.37,131745
2024-03-20,2.35,2.4099,2.31,2.38,247660
2024-03-21,2.4,2.45,2.28,2.3,143117
2024-03-22,2.3,2.32,2.15,2.18,125333
2024-03-25,2.19,2.22,2.14,2.17,131773
2024-03-26,2.19,2.19,2.11,2.13,104371
2024-03-27,2.22,2.22,2.15,2.2,113465
2024-03-28,2.2,2.26,2.18,2.21,225480
2024-04-01,2.24,2.7994,2.22,2.75,723340
2024-04-02,2.8,3.49,2.67,3.37,3453854.0
2024-04-03,3.5,3.88,3.13,3.67,2775975.0
2024-04-04,3.63,3.7,3.16,3.26,1058723.0
2024-04-05,3.22,3.47,3,3.15,850512
2024-04-08,3.3,3.58,3,3.4,906767
2024-04-09,3.49,3.51,3.17,3.32,396946
2024-04-10,3.24,3.395,3.08,3.395,375943
2024-04-11,3.69,4.57,3.4614,4.24,4391476.0
2024-04-12,4.42,4.65,3.5634,3.86,2372899.0
2024-04-15,4.08,4.22,3.77,3.86,902228
2024-04-16,3.76,3.78,3.41,3.76,553690
2024-04-17,3.75,3.8,3.35,3.7,557756
2024-04-18,3.68,3.7499,3.51,3.58,350049
2024-04-19,3.6,3.9,3.534,3.65,719912
2024-04-22,3.45,3.6,3.3511,3.49,304788
2024-04-23,3.47,3.94,3.45,3.86,469305
2024-04-24,3.78,3.83,3.62,3.74,252976
2024-04-25,3.75,3.8,3.61,3.66,371343
2024-04-26,3.7,3.81,3.65,3.78,367911
2024-04-29,3.88,4.02,3.53,3.64,738125
2024-04-30,3.54,3.68,3.2,3.31,1014616.0
2024-05-01,3.41,3.47,3.22,3.23,240973
2024-05-02,3.31,3.36,3.11,3.25,204538
2024-05-03,3.21,3.31,3.13,3.24,184225
2024-05-06,3.37,3.7,3.3,3.56,427096
2024-05-07,3.54,3.55,3.37,3.41,258064
2024-05-08,3.35,3.51,3.35,3.49,187009
2024-05-09,3.53,3.59,3.48,3.54,251070
2024-05-10,3.59,3.61,3.17,3.26,509672
2024-05-13,3.19,3.51,3.19,3.43,503312
2024-05-14,3.5,3.79,3.4481,3.665,832856
2024-05-15,3.69,3.72,3.37,3.47,484681
2024-05-16,3.49,3.54,3.36,3.49,277147
2024-05-17,3.47,3.69,3.45,3.59,708512
2024-05-20,3.69,3.69,3.3901,3.53,332385
2024-05-21,3.56,3.5684,3.33,3.49,280352
2024-05-22,3.49,3.51,3.35,3.37,439837
2024-05-23,3.35,3.5,3.3031,3.34,210767
2024-05-24,3.37,3.63,3.3501,3.57,172642
2024-05-28,3.67,3.77,3.57,3.69,301846
2024-05-29,3.65,3.6698,3.375,3.42,232699
2024-05-30,3.4,3.51,3.38,3.42,111174
2024-05-31,3.45,3.47,3.33,3.43,118939
2024-06-03,3.43,3.57,3.35,3.48,227903
2024-06-04,3.41,3.42,3.13,3.2,321024
2024-06-05,3.2,3.3,3.1,3.12,274339
2024-06-06,3.09,3.18,2.8,3.135,536592
2024-06-07,3.05,3.0661,2.72,2.75,364870
2024-06-10,2.85,2.97,2.77,2.95,282456
2024-06-11,2.9,2.9,2.75,2.81,239337
2024-06-12,2.87,2.9,2.69,2.73,291475
2024-06-13,2.69,2.75,2.55,2.68,238343
2024-06-14,2.7,2.8,2.64,2.75,202065
2024-06-17,2.72,2.76,2.57,2.59,277469
2024-06-18,2.6,2.6599,2.46,2.47,411146
2024-06-20,2.49,2.6,2.48,2.48,112160
2024-06-21,2.49,2.5913,2.42,2.44,222706
2024-06-24,2.47,2.49,2.343,2.35,152264
2024-06-25,2.32,2.38,2.264,2.27,186854
2024-06-26,2.23,2.35,2.2,2.32,152100
2024-06-27,2.35,2.4699,2.32,2.34,122675
2024-06-28,2.39,2.44,2.3,2.4,154071
2024-07-01,2.44,2.44,2.29,2.29,78097
2024-07-02,2.27,2.33,2.23,2.31,138094
2024-07-03,2.32,2.614,2.32,2.5,202600
2024-07-05,2.5,2.65,2.48,2.57,164787
2024-07-08,2.57,2.5898,2.41,2.49,129021
2024-07-09,2.48,2.58,2.45,2.56,145520
2024-07-10,2.55,2.68,2.55,2.64,133119
2024-07-11,2.73,2.74,2.63,2.65,134768
2024-07-12,2.65,2.86,2.65,2.81,170590
2024-07-15,2.79,2.83,2.65,2.69,149964
2024-07-16,2.72,2.91,2.71,2.89,218927
2024-07-17,2.91,2.93,2.68,2.71,219005
2024-07-18,2.69,2.7486,2.575,2.6,190320
2024-07-19,2.6,2.61,2.48,2.55,138375
2024-07-22,2.54,2.71,2.5,2.7,119669
2024-07-23,2.64,2.6823,2.61,2.61,63172
2024-07-24,2.62,2.85,2.5701,2.6,265496
2024-07-25,2.56,2.62,2.5,2.58,132293
2024-07-26,2.6,2.63,2.55,2.6,88857
2024-07-29,2.6,2.6794,2.48,2.58,109733
2024-07-30,2.57,2.63,2.51,2.51,102079
2024-07-31,2.57,2.61,2.53,2.53,123614
2024-08-01,2.55,2.58,2.4,2.46,122953
2024-08-02,2.46,2.55,2.4,2.41,216065
2024-08-05,2.25,2.3461,2.114,2.29,202599
2024-08-06,2.26,2.31,2.1801,2.25,151988
2024-08-07,2.26,2.3647,2.12,2.12,107663
2024-08-08,2.2,2.2712,2.15,2.23,114748
2024-08-09,2.28,2.28,2.09,2.13,225848
2024-08-12,2.14,2.23,2.13,2.14,130540
2024-08-13,2.14,2.2599,2.14,2.24,89876
2024-08-14,2.26,2.3,2.16,2.19,113478
2024-08-15,2.22,2.3095,2.18,2.24,121669
2024-08-16,2.25,2.3494,2.23,2.29,177034
2024-08-19,2.3,2.45,2.29,2.45,214884
2024-08-20,2.5,2.6198,2.42,2.48,191203
2024-08-21,2.52,2.525,2.35,2.48,117147
2024-08-22,2.46,2.5303,2.2201,2.32,186534
2024-08-23,2.33,2.4297,2.32,2.35,168660
2024-08-26,2.41,2.41,2.26,2.38,104553
2024-08-27,2.35,2.4099,2.245,2.27,91048
2024-08-28,2.2,2.225,2.135,2.18,149615
2024-08-29,2.2,2.25,2.15,2.2,81119
2024-08-30,2.22,2.25,2.1,2.1,201318
2024-09-03,2.11,2.15,1.95,1.99,247598
2024-09-04,2,2.0799,1.99,2.06,89887
2024-09-05,2.1,2.11,2.04,2.08,85835
2024-09-06,2.09,2.09,1.99,2.02,81288
2024-09-09,2.02,2.15,2.02,2.06,97004
2024-09-10,2.07,2.1294,1.96,2.01,220965
2024-09-11,2.02,2.08,1.95,2.07,159479
2024-09-12,2.08,2.33,2.051,2.26,450816
2024-09-13,2.38,2.68,2.35,2.67,466242
2024-09-16,2.7,2.74,2.56,2.64,180563
2024-09-17,2.62,2.74,2.51,2.59,189972
2024-09-18,2.61,2.65,2.45,2.45,144062
2024-09-19,2.58,2.62,2.48,2.5,143780
2024-09-20,2.57,2.57,2.3801,2.49,202572
2024-09-23,2.51,2.63,2.49,2.52,71869
2024-09-24,2.53,2.74,2.53,2.66,213089
2024-09-25,2.68,2.74,2.58,2.64,196540
2024-09-26,2.71,2.72,2.57,2.63,276357
2024-09-27,2.65,2.65,2.49,2.5,174588
2024-09-30,2.53,2.55,2.46,2.5,136457
2024-10-01,2.54,2.54,2.41,2.46,107331
2024-10-02,2.43,2.5799,2.43,2.53,102778
2024-10-03,2.52,2.6699,2.505,2.53,188891
2024-10-04,2.58,2.6,2.34,2.41,291461
2024-10-07,2.43,2.43,2.31,2.37,92984
2024-10-08,2.35,2.38,2.315,2.36,95146
2024-10-09,2.34,2.42,2.3,2.4,61893
2024-10-10,2.37,2.5,2.34,2.47,107917
2024-10-11,2.44,2.5,2.364,2.37,105624
2024-10-14,2.35,2.415,2.32,2.4,83291
2024-10-15,2.42,2.42,2.2736,2.3,111513
2024-10-16,2.36,2.39,2.28,2.35,125890
2024-10-17,2.35,2.53,2.295,2.43,276042
2024-10-18,2.5,2.66,2.498,2.61,472368
2024-10-21,2.7,2.8,2.6439,2.68,634675
2024-10-22,2.72,2.94,2.72,2.91,608780
2024-10-23,2.91,2.91,2.6701,2.78,320238
2024-10-24,2.78,2.8475,2.6,2.67,304589
2024-10-25,2.66,2.6985,2.515,2.58,275167
2024-10-28,2.57,2.58,2.5,2.55,171996
2024-10-29,2.56,2.635,2.5333,2.59,229162
2024-10-30,2.6,2.65,2.47,2.5,234008
2024-10-31,2.47,2.48,2.35,2.39,215955
2024-11-01,2.41,2.54,2.41,2.45,136596
2024-11-04,2.49,2.49,2.36,2.37,154389
2024-11-05,2.34,2.45,2.28,2.35,181328
2024-11-06,2.35,2.35,2.23,2.29,255248
2024-11-07,2.29,2.3514,2.26,2.27,186939
2024-11-08,2.25,2.3,2.18,2.21,246107
2024-11-11,2.17,2.39,2.1,2.35,361432
2024-11-12,2.34,2.34,2.18,2.3,254745
2024-11-13,2.3,2.55,2.25,2.46,557526
2024-11-14,2.47,2.71,2.37,2.65,476812
2024-11-15,2.69,2.69,2.42,2.46,1799277.0
2024-11-18,2.52,2.54,2.42,2.45,263009
2024-11-19,2.43,2.49,2.4067,2.45,133142
2024-11-20,2.45,2.5,2.35,2.45,148903
2024-11-21,2.43,2.44,2.39,2.39,100363
2024-11-22,2.4,2.455,2.375,2.44,157673
