date,open,high,low,close,volume
2024-03-01,0.0297,0.0297,0.022,0.022201,2781
2024-03-04,0.0221,0.0288,0.0221,0.0288,2596
2024-03-05,0.0283,0.0283,0.02598,0.02598,950
2024-03-06,0.0283,0.04,0.025,0.025,31001
2024-03-07,0.0275,0.0276,0.0275,0.0275,3263
2024-03-08,0.028249,0.029,0.0275,0.0275,3395
2024-03-11,0.029,0.029,0.025,0.025,1429
2024-03-12,0.03,0.04,0.029,0.03,64918
2024-03-13,0.037,0.038,0.025,0.038,6283
2024-03-14,0.038,0.0398,0.038,0.0398,13471
2024-03-15,0.02755,0.03,0.02755,0.03,1100
2024-03-18,0.03,0.03,0.03,0.03,1000
2024-03-19,0.028101,0.028101,0.028,0.028,2200
2024-03-20,0.0336,0.0336,0.0219,0.0286,62224
2024-03-21,0.03,0.0313,0.023,0.03,33033
2024-03-22,0.0231,0.0325,0.0231,0.0311,54549
2024-03-25,0.05,0.0775,0.031,0.05,113348
2024-03-26,0.031,0.069,0.031,0.05,128142
2024-03-27,0.05,0.075,0.05,0.05,29005
2024-03-28,0.0549,0.082,0.0501,0.08,12340
2024-04-01,0.053501,0.069,0.053501,0.061299,6119
2024-04-02,0.0534,0.0536,0.0534,0.0536,12430
2024-04-03,0.0534,0.0613,0.05,0.0599,18732
2024-04-04,0.0536,0.06,0.05,0.0501,6737
2024-04-05,0.06,0.06,0.05,0.05,62879
2024-04-08,0.0595,0.0595,0.0506,0.0506,1367
2024-04-09,0.0588,0.0679,0.0507,0.0679,655
2024-04-10,0.075,0.075,0.075,0.075,4680
2024-04-11,0.0747,0.075,0.05,0.0506,13531
2024-04-12,0.05,0.05936,0.05,0.05936,25704
2024-04-15,0.0501,0.0552,0.05,0.052649,4006
2024-04-16,0.05,0.05,0.0427,0.0428,13636
2024-04-17,0.0409,0.0476,0.0409,0.0476,2543
2024-04-18,0.0475,0.0648,0.0451,0.0451,4809
2024-04-19,0.033,0.0588,0.033,0.0588,4129
2024-04-22,0.041,0.047,0.04,0.0401,4200
2024-04-23,0.041,0.0501,0.04,0.04,8695
2024-04-24,0.041,0.041,0.0407,0.0407,1008
2024-04-25,0.045499,0.049899,0.041,0.041,5190
2024-04-26,0.0402,0.049,0.04,0.049,3017
2024-04-29,0.0401,0.06,0.04,0.04,10603
2024-04-30,0.04,0.0454,0.029,0.029,25105
2024-05-01,0.03,0.04,0.03,0.03,13274
2024-05-02,0.035499,0.0356,0.030099,0.032108,36927
2024-05-03,0.0356,0.040699,0.025,0.0251,31914
2024-05-06,0.0264,0.039,0.025291,0.026309,21336
2024-05-07,0.0264,0.0358,0.0235,0.0237,25275
2024-05-08,0.024,0.0349,0.022,0.0221,46938
2024-05-09,0.0349,0.0349,0.023,0.0305,129929
2024-05-10,0.0307,0.0307,0.0223,0.02545,88531
2024-05-13,0.0348,0.0348,0.0225,0.0268,152885
2024-05-14,0.027,0.030999,0.0225,0.026249,47041
2024-05-15,0.025,0.03,0.023,0.023,27225
2024-05-16,0.0299,0.04,0.023,0.04,86675
2024-05-17,0.0589,0.0589,0.027,0.033499,142470
2024-05-20,0.05,0.0589,0.0275,0.0511,78404
2024-05-21,0.0511,0.0512,0.0276,0.0489,29348
2024-05-22,0.0322,0.0488,0.0281,0.048299,46215
2024-05-23,0.0303,0.044,0.028,0.0293,74678
2024-05-24,0.034,0.034,0.023,0.033899,37460
2024-05-29,0.034,0.034,0.0279,0.0279,16702
2024-05-30,0.034,0.034,0.03,0.0333,12395
2024-05-31,0.0334,0.0334,0.0299,0.0334,19267
2024-06-03,0.030799,0.0393,0.030799,0.0393,11421
2024-06-04,0.0388,0.0388,0.0283,0.0353,26583
2024-06-05,0.0399,0.0399,0.03,0.03,8100
2024-06-06,0.0313,0.0313,0.0252,0.027,4250
2024-06-07,0.0276,0.03,0.0249,0.025,35799
2024-06-10,0.0277,0.0288,0.024,0.0288,22284
2024-06-11,0.0288,0.0328,0.0288,0.0314,9918
2024-06-12,0.0288,0.0315,0.0281,0.0288,13470
2024-06-13,0.03,0.0305,0.0254,0.0277,18276
2024-06-14,0.0278,0.0286,0.0232,0.0279,30463
2024-06-17,0.0232,0.026,0.0211,0.0216,192453
2024-06-18,0.022,0.022799,0.018,0.019,135441
2024-06-20,0.02,0.0395,0.02,0.029,41296
2024-06-21,0.021,0.0221,0.0197,0.021696,29450
2024-06-24,0.0183,0.0285,0.0183,0.0285,37109
2024-06-25,0.02,0.024,0.018,0.0194,28610
2024-06-26,0.0282,0.0283,0.0205,0.023,46236
2024-06-27,0.0205,0.022301,0.0199,0.02,30467
2024-06-28,0.0185,0.0205,0.0184,0.0199,15399
2024-07-01,0.0158,0.0205,0.0151,0.0183,24831
2024-07-02,0.0185,0.0185,0.0147,0.016,93922
2024-07-03,0.0124,0.0155,0.0124,0.0141,12606
2024-07-05,0.0156,0.0168,0.0145,0.0159,73082
2024-07-08,0.014,0.016499,0.0124,0.016499,30900
2024-07-09,0.015,0.0167,0.015,0.015,76840
2024-07-10,0.0168,0.021,0.0168,0.021,141087
2024-07-11,0.021,0.0295,0.021,0.0288,28053
2024-07-12,0.0202,0.0289,0.012,0.0289,9276
2024-07-16,0.0182,0.0183,0.0182,0.0183,1013
2024-07-17,0.0131,0.0279,0.0131,0.0279,412
2024-07-18,0.0137,0.0278,0.0137,0.02,2365
2024-07-19,0.015,0.02,0.015,0.0163,54674
2024-07-22,0.0195,0.0219,0.0183,0.0204,72587
2024-07-23,0.0203,0.0289,0.0145,0.0191,75837
2024-07-24,0.014,0.02,0.014,0.01913,27156
2024-07-25,0.026,0.026,0.0141,0.0143,10505
2024-07-26,0.015,0.018,0.014,0.0165,60123
2024-07-29,0.0165,0.0195,0.0165,0.0195,8114
2024-07-30,0.017,0.0193,0.0124,0.0187,111906
2024-07-31,0.0148,0.017,0.0124,0.017,14460
2024-08-01,0.0126,0.0177,0.0126,0.0177,3636
2024-08-02,0.0195,0.0195,0.0121,0.0121,41446
2024-08-05,0.012,0.0122,0.0113,0.0113,31900
2024-08-06,0.0106,0.015,0.0106,0.0106,14040
2024-08-07,0.0105,0.0107,0.0105,0.0105,15052
2024-08-08,0.0195,0.0195,0.0102,0.0135,99638
2024-08-09,0.0135,0.019,0.0101,0.0105,128536
2024-08-12,0.016,0.0161,0.0105,0.0106,18500
2024-08-13,0.0106,0.0165,0.0106,0.0107,20743
2024-08-14,0.012,0.0144,0.0101,0.010167,147284
2024-08-15,0.0102,0.0165,0.0101,0.0104,256266
2024-08-16,0.013251,0.016,0.0103,0.0108,58154
2024-08-19,0.016,0.016,0.013,0.013,9282
2024-08-20,0.0149,0.015,0.011,0.0112,16454
2024-08-21,0.0137,0.0137,0.0101,0.0101,29592
2024-08-22,0.0103,0.0111,0.0103,0.0104,32848
2024-08-23,0.0108,0.0108,0.0108,0.0108,26930
2024-08-26,0.0142,0.026,0.0142,0.0258,113582
2024-08-27,0.0258,0.0258,0.025,0.025,1082
2024-08-28,0.0222,0.025,0.0222,0.025,2104
2024-08-30,0.025,0.025,0.012699,0.012699,22281
2024-09-04,0.0111,0.0112,0.0111,0.0112,1498
2024-09-05,0.02,0.02,0.0179,0.0179,1000
2024-09-06,0.0112,0.0258,0.0112,0.0258,23469
2024-09-09,0.0258,0.0259,0.013,0.0131,12406
2024-09-10,0.02,0.02,0.013101,0.013101,2801
2024-09-11,0.0135,0.014,0.0135,0.014,4518
2024-09-12,0.0135,0.016749,0.0133,0.0145,7935
2024-09-13,0.0137,0.0138,0.0125,0.013,13271
2024-09-16,0.015,0.02,0.015,0.0166,2677
2024-09-17,0.019,0.019,0.0125,0.0128,35890
2024-09-18,0.0125,0.0139,0.0125,0.013,16588
2024-09-19,0.015899,0.016,0.013,0.013,15358
2024-09-20,0.015,0.0196,0.015,0.0196,7718
2024-09-23,0.015,0.015101,0.0126,0.015,12222
2024-09-24,0.015,0.019,0.013,0.013,62831
2024-09-25,0.0126,0.0126,0.0126,0.0126,10593
2024-09-26,0.0126,0.0142,0.0126,0.0142,810
2024-09-27,0.018,0.0195,0.0153,0.0194,14502
2024-09-30,0.0194,0.0195,0.01765,0.0195,1419
2024-10-01,0.02,0.02,0.0138,0.015001,9500
2024-10-03,0.0198,0.0198,0.0196,0.0197,2780
2024-10-04,0.0198,0.02,0.0151,0.0152,3703
2024-10-07,0.015,0.015,0.015,0.015,150
2024-10-08,0.0199,0.0199,0.0151,0.0152,3020
2024-10-09,0.0198,0.0198,0.0151,0.0151,1400
2024-10-10,0.0188,0.0198,0.0125,0.0126,47889
2024-10-11,0.0125,0.0145,0.0125,0.0125,35490
2024-10-14,0.0156,0.0156,0.0127,0.0127,1400
2024-10-15,0.0168,0.0168,0.0127,0.0127,875
2024-10-16,0.0125,0.0168,0.0125,0.0126,13824
2024-10-17,0.0125,0.0125,0.0125,0.0125,881
2024-10-18,0.0125,0.0149,0.0125,0.0149,22500
2024-10-21,0.012601,0.012601,0.0125,0.0125,896
2024-10-22,0.02,0.05,0.0175,0.0235,228793
2024-10-23,0.03,0.041,0.02,0.02,116369
2024-10-24,0.02,0.026,0.015,0.0259,31580
2024-10-25,0.026,0.0314,0.0248,0.0248,7310
2024-10-28,0.0242,0.025,0.0153,0.0224,4279
2024-10-29,0.0224,0.0299,0.0157,0.0275,18613
2024-10-30,0.02,0.0285,0.0152,0.02294,45426
2024-10-31,0.0225,0.0225,0.019144,0.0192,2412
2024-11-01,0.0193,0.0205,0.016601,0.018,10482
2024-11-04,0.017,0.0195,0.017,0.0195,23009
2024-11-05,0.0195,0.0195,0.0175,0.0194,1921
2024-11-06,0.0187,0.0189,0.0187,0.0188,3137
2024-11-07,0.0189,0.0189,0.017,0.0185,8730
2024-11-08,0.017,0.0185,0.017,0.0185,6736
2024-11-11,0.018,0.0189,0.017,0.017,5292
2024-11-12,0.0183,0.0183,0.017,0.0173,8185
2024-11-13,0.0152,0.0299,0.0126,0.0135,84130
2024-11-14,0.017,0.0171,0.0136,0.015,2500
2024-11-15,0.015,0.015,0.0132,0.0133,1862
2024-11-18,0.0141,0.015,0.0129,0.0149,4752
2024-11-19,0.0147,0.0147,0.014,0.0141,9119
2024-11-20,0.013,0.0138,0.013,0.0131,1687
2024-11-21,0.0131,0.014151,0.013,0.0138,16618
2024-11-22,0.0145,0.016651,0.01375,0.014,6774
2024-11-25,0.014,0.0168,0.014,0.014,39514
2024-11-26,0.014,0.014,0.014,0.014,382
2024-11-27,0.015,0.01695,0.0145,0.0151,48025
2024-11-29,0.0193,0.0193,0.0155,0.0156,2170
2024-12-02,0.0156,0.025,0.015,0.022,11444
2024-12-03,0.025,0.025,0.02,0.02,2732
2024-12-04,0.016,0.03,0.016,0.0243,28459
2024-12-05,0.0261,0.0265,0.0261,0.0262,32661
2024-12-06,0.0175,0.0176,0.0175,0.0176,500
2024-12-09,0.0245,0.0245,0.0245,0.0245,1050
2024-12-10,0.020432,0.020432,0.020432,0.020432,400
2024-12-11,0.0288,0.0288,0.0175,0.0177,34118
2024-12-12,0.0176,0.02,0.0176,0.0176,4625
2024-12-13,0.0175,0.02,0.0175,0.0186,8531
2024-12-16,0.0175,0.02,0.0175,0.0176,6732
2024-12-17,0.02,0.02,0.0194,0.0194,528
