date,open,high,low,close,volume
2024-03-01,24.29,24.41,23.7,24.35,86712
2024-03-04,24.25,24.915,24.18,24.25,44530
2024-03-05,24.21,24.88,23.84,24.66,52356
2024-03-06,24.66,25.11,24.045,24.68,83206
2024-03-07,25.03,25.23,24.57,24.7,53476
2024-03-08,25.01,25.28,24.62,24.64,42169
2024-03-11,24.51,24.72,24.35,24.45,41657
2024-03-12,24.4,24.47,24.05,24.38,57095
2024-03-13,24.31,24.7,24.11,24.24,52169
2024-03-14,24.24,24.24,23.4458,23.55,59844
2024-03-15,23.51,24.39,23.45,23.96,200524
2024-03-18,23.99,24.25,23.31,23.52,65189
2024-03-19,23.53,23.8,23.44,23.55,58148
2024-03-20,23.44,24.72,23.28,24.46,54478
2024-03-21,24.56,24.85,24.53,24.73,75414
2024-03-22,24.69,24.9,24.19,24.23,45471
2024-03-25,24.33,24.61,24.26,24.43,59332
2024-03-26,24.64,24.64,24.12,24.14,40038
2024-03-27,24.21,25.07,24.21,25.07,51921
2024-03-28,25.02,25.425,24.717,25.35,101740
2024-04-01,25.25,25.32,24.58,24.62,81053
2024-04-02,24.26,24.5,24.1,24.24,36277
2024-04-03,24.04,24.23,24,24.14,40598
2024-04-04,24.5,24.78,23.54,24.23,50251
2024-04-05,24.13,24.5,24.13,24.4,83734
2024-04-08,24.44,24.77,24.27,24.58,47918
2024-04-09,24.6,24.69,24.35,24.52,29692
2024-04-10,23.86,23.86,22.9509,23.15,63352
2024-04-11,23.26,23.645,23,23.46,50532
2024-04-12,23.2,23.43,23.11,23.28,55650
2024-04-15,23.49,23.59,22.81,23.14,135265
2024-04-16,22.9,23.33,22.755,23.25,53494
2024-04-17,23.44,23.73,23.13,23.2,46095
2024-04-18,23.18,23.63,23.18,23.58,52510
2024-04-19,23.43,24.36,23.43,24.36,51870
2024-04-22,24.32,24.65,24.3,24.49,46025
2024-04-23,24.55,25.39,24.55,25.3,55959
2024-04-24,25.01,25.25,24.685,25.12,93637
2024-04-25,25.66,25.67,24.99,25.17,150417
2024-04-26,25.27,25.7103,24.94,24.99,54091
2024-04-29,25,25.18,24.95,24.99,44305
2024-04-30,24.71,24.97,24.565,24.81,72087
2024-05-01,25.02,25.55,24.99,25.04,108315
2024-05-02,25.06,25.06,24.765,25.04,86563
2024-05-03,25.28,25.52,25.12,25.2,100706
2024-05-06,25.44,25.59,25.2,25.25,78843
2024-05-07,25.3,25.62,25.26,25.3,61011
2024-05-08,25.04,25.63,25.04,25.5,89930
2024-05-09,25.61,26.04,25.4158,25.75,123074
2024-05-10,25.91,25.98,25.67,25.77,92260
2024-05-13,26,26.03,25.67,25.84,102559
2024-05-14,25.97,25.98,25.595,25.8,72307
2024-05-15,26.09,26.23,25.88,26.16,48966
2024-05-16,26.05,26.38,25.9,26.22,62738
2024-05-17,26.38,26.605,26.2,26.48,48781
2024-05-20,26.47,26.68,26.24,26.4,107283
2024-05-21,26.39,26.69,26.19,26.27,105579
2024-05-22,26.21,26.43,25.95,26.03,87855
2024-05-23,26.01,26.01,25.07,25.1,77510
2024-05-24,25.25,25.39,25.02,25.39,38728
2024-05-28,25.46,25.54,24.98,25.06,53196
2024-05-29,24.75,24.79,24.365,24.46,86791
2024-05-30,24.75,25.07,24.44,24.8,69459
2024-05-31,24.98,25.34,24.935,25.06,107367
2024-06-03,25.13,25.36,24.64,24.87,54677
2024-06-04,24.63,24.7,22.53,24.07,53137
2024-06-05,24.32,24.32,23.87,24.18,60254
2024-06-06,24.12,24.48,23.91,24.48,56535
2024-06-07,24.22,24.43,24.17,24.24,29653
2024-06-10,24.04,24.04,23.57,23.91,51220
2024-06-11,23.59,24.12,23.59,24.1,62506
2024-06-12,24.82,25.49,24.5,24.5,129672
2024-06-13,24.51,24.51,23.81,24.23,59198
2024-06-14,23.89,23.9,23.53,23.62,51149
2024-06-17,23.51,24.11,23.48,24.11,56611
2024-06-18,24,24.38,23.97,24.09,45699
