date,open,high,low,close,volume
2024-03-01,43.42,43.8,42.105,43.34,157289
2024-03-04,43.16,43.98,42.33,42.83,234203
2024-03-05,42.43,45.34,42.35,45.22,239562
2024-03-06,45.29,46.01,43.76,45.22,263170
2024-03-07,46,46.53,44.65,44.98,173305
2024-03-08,45.73,46.13,45.05,45.45,161131
2024-03-11,45.46,46.04,45.27,45.27,216355
2024-03-12,44.98,45.03,44.16,44.62,146084
2024-03-13,44.42,45.26,44.245,44.34,515031
2024-03-14,44.05,44.615,42.46,42.55,381865
2024-03-15,42.33,43.25,42.18,42.24,441406
2024-03-18,42.38,42.985,41.85,42.08,286949
2024-03-19,42.04,43.19,42.04,42.44,157154
2024-03-20,42.16,45.06,42.06,44.58,165998
2024-03-21,45.02,45.88,44.92,45.56,217286
2024-03-22,45.27,45.38,43.75,43.78,162323
2024-03-25,43.98,44.7,43.815,43.86,113858
2024-03-26,44.36,44.36,43.5,43.67,121639
2024-03-27,44.18,45.8,44.18,45.78,254544
2024-03-28,45.6,46.52,45.39,45.65,210553
2024-04-01,45.4,45.42,43.91,43.97,240497
2024-04-02,43.32,43.48,42.655,42.95,219697
2024-04-03,42.56,43.09,42.34,42.8,194259
2024-04-04,43.34,44.05,42.58,42.72,190058
2024-04-05,42.18,42.61,42.11,42.36,131611
2024-04-08,42.73,43.09,42.48,42.52,108049
2024-04-09,42.88,43.37,42.79,43.26,106201
2024-04-10,41.71,41.75,40.26,40.73,238854
2024-04-11,40.88,41.115,39.95,40.76,112707
2024-04-12,40.29,40.75,40.13,40.55,111517
2024-04-15,40.8,41.27,39.7,40.33,176737
2024-04-16,39.85,39.975,39.17,39.18,124616
2024-04-17,39.5,40.01,39.3,39.55,156363
2024-04-18,39.44,40.305,39.28,40.12,215044
2024-04-19,39.92,41.705,39.91,41.6,214937
2024-04-22,41.61,42.92,41.54,41.87,436261
2024-04-23,44.33,44.33,39.51,40.55,418533
2024-04-24,39.26,41.23,39.07,40.82,299906
2024-04-25,40.41,40.41,39.14,39.26,237705
2024-04-26,39.21,40.11,38.91,39.34,150444
2024-04-29,39.34,39.945,38.22,38.29,185063
2024-04-30,37.95,38.425,36.7106,37.24,169398
2024-05-01,37.13,38.51,36.47,37.64,331592
2024-05-02,38.25,39,37.87,38.83,290417
2024-05-03,39.73,40.39,39.3,40.31,262372
2024-05-06,40.41,41.12,40.41,40.9,224821
2024-05-07,40.99,41.4,40.54,40.73,203735
